units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,629.3035,0.1995,199.4999
1,629.8145,0.7105,710.4999
1,630.3092,1.2052,1205.1999
1,630.6822,1.5782,1578.1999
1,630.9056,1.8016,1801.5999
1,631.6322,2.5282,2528.1999
1,631.8743,2.7703,2770.2999
1,632.1400,3.0360,3035.9999
1,633.5584,4.4544,4454.3999
1,634.0875,4.9835,4983.4999
1,634.2642,5.1602,5160.1999
1,634.4787,5.3747,5374.6999
1,634.5966,5.4926,5492.5999
1,634.6632,5.5592,5559.1999
1,634.6845,5.5805,5580.4999
1,635.0004,5.8964,5896.3999
1,636.5019,7.3979,7397.8999
1,636.7262,7.6222,7622.1999
1,637.4063,8.3023,8302.2999
1,637.4531,8.3491,8349.0999
1,637.5434,8.4394,8439.3999
1,637.6624,8.5584,8558.3999
1,637.7751,8.6711,8671.0999
1,637.7838,8.6798,8679.7999
1,637.8324,8.7284,8728.3999
1,637.8845,8.7805,8780.4999
1,637.9348,8.8308,8830.7999
1,638.0639,8.9599,8959.8999
1,638.0992,8.9952,8995.1999
1,638.2619,9.1579,9157.8999
1,638.3159,9.2119,9211.8999
1,638.3517,9.2477,9247.6999
1,638.4334,9.3294,9329.3999
1,638.4452,9.3412,9341.1999
1,638.6078,9.5038,9503.7999
1,638.6456,9.5416,9541.5999
1,638.7006,9.5966,9596.5999
1,638.7176,9.6136,9613.5999
1,638.7456,9.6416,9641.5999
1,639.1421,10.0381,10038.0999
1,640.3520,11.2480,11247.9999
1,640.7239,11.6199,11619.8999
1,640.7306,11.6266,11626.5999
1,640.7641,11.6601,11660.0999
1,640.9306,11.8266,11826.5999
1,640.9677,11.8637,11863.6999
1,641.0540,11.9500,11949.9999
1,641.0565,11.9525,11952.4999
1,641.1059,12.0019,12001.8999
1,641.1956,12.0916,12091.5999
1,641.2575,12.1535,12153.4999
1,641.3628,12.2588,12258.7999
1,641.4766,12.3726,12372.5999
1,643.0966,13.9926,13992.5999
1,646.1665,17.0625,17062.4999
1,646.7853,17.6813,17681.2999
1,647.0409,17.9369,17936.8999
1,649.0460,19.9420,19941.9999
1,649.0654,19.9614,19961.3999
1,651.1481,22.0441,22044.0999
1,651.2409,22.1369,22136.8999
1,652.4448,23.3408,23340.7999
1,652.5813,23.4773,23477.2999
1,652.6911,23.5871,23587.0999
1,652.7628,23.6588,23658.7999
1,652.7754,23.6714,23671.3999
1,652.8383,23.7343,23734.2999
1,653.0846,23.9806,23980.5999
1,655.9011,26.7971,26797.0999
1,656.6997,27.5957,27595.6999
1,656.8906,27.7866,27786.5999
1,657.2651,28.1611,28161.0999
1,657.2901,28.1861,28186.0999
1,657.3245,28.2205,28220.4999
1,657.5773,28.4733,28473.2999
1,657.5888,28.4848,28484.7999
1,657.7045,28.6005,28600.4999
1,657.7827,28.6787,28678.6999
1,657.8298,28.7258,28725.7999
1,658.8903,29.7863,29786.2999
1,659.7908,30.6868,30686.7999
1,660.2217,31.1177,31117.6999
1,660.9907,31.8867,31886.6999
1,661.4310,32.3270,32326.9999
1,661.5514,32.4474,32447.3999
1,661.6695,32.5655,32565.4999
1,661.7575,32.6535,32653.4999
1,662.7384,33.6344,33634.3999
1,663.2307,34.1267,34126.6999
1,663.4497,34.3457,34345.6999
1,664.9026,35.7986,35798.5999
1,666.4587,37.3547,37354.6999
1,668.4946,39.3906,39390.5999
1,668.6482,39.5442,39544.1999
1,668.6860,39.5820,39581.9999
1,668.7054,39.6014,39601.3999
1,668.7363,39.6323,39632.2999
1,669.2409,40.1369,40136.8999
1,669.2440,40.1400,40139.9999
1,669.3299,40.2259,40225.8999
1,669.4710,40.3670,40366.9999
1,669.4732,40.3692,40369.1999
1,669.5236,40.4196,40419.5999
1,670.3226,41.2186,41218.5999
1,670.5297,41.4257,41425.6999
1,670.8606,41.7566,41756.5999
1,671.0888,41.9848,41984.7999
1,671.2921,42.1881,42188.0999
1,671.4469,42.3429,42342.8999
1,671.6058,42.5018,42501.7999
1,671.6857,42.5817,42581.6999
1,671.8246,42.7206,42720.5999
1,671.9047,42.8007,42800.6999
1,672.3472,43.2432,43243.1999
1,672.6734,43.5694,43569.3999
1,673.1885,44.0845,44084.4999
1,673.4027,44.2987,44298.6999
1,673.7499,44.6459,44645.8999
1,673.7670,44.6630,44662.9999
1,674.2090,45.1050,45104.9999
1,674.2891,45.1851,45185.0999
1,674.9944,45.8904,45890.3999
1,678.2713,49.1673,49167.2999
1,678.4810,49.3770,49376.9999
1,678.6923,49.5883,49588.2999
1,678.7140,49.6100,49609.9999
1,678.7951,49.6911,49691.0999
1,679.1570,50.0530,50052.9999
1,679.1822,50.0782,50078.1999
1,679.1849,50.0809,50080.8999
1,679.2041,50.1001,50100.0999
1,679.4551,50.3511,50351.0999
1,684.0371,54.9331,54933.0999
1,684.0396,54.9356,54935.5999
1,684.2136,55.1096,55109.5999
1,684.3829,55.2789,55278.8999
1,684.5357,55.4317,55431.6999
