units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,2129.8145,1500.7105,1500710.4999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,310.4999,0.3105
1,2525.0226,1895.9186,1895918.5999,3,1-1895845-1898080,799,1,1,3,True,1895845.0000,1898080.0000,73.5999,0.0736
1,2525.2002,1896.0962,1896096.1999,3,1-1895845-1898080,799,1,1,3,True,1895845.0000,1898080.0000,251.1999,0.2512
1,2525.2225,1896.1185,1896118.4999,3,1-1895845-1898080,799,1,1,3,True,1895845.0000,1898080.0000,273.4999,0.2735
1,2525.2327,1896.1287,1896128.6999,3,1-1895845-1898080,799,1,1,3,True,1895845.0000,1898080.0000,283.6999,0.2837
1,2525.4474,1896.3434,1896343.3999,3,1-1895845-1898080,799,1,1,3,True,1895845.0000,1898080.0000,498.3999,0.4984
1,2525.9278,1896.8238,1896823.7999,3,1-1895845-1898080,799,1,1,3,True,1895845.0000,1898080.0000,978.7999,0.9788
1,1438.9495,809.8455,809845.4999,5,1-809206-812076,358,1,0,42,True,809206.0000,812076.0000,639.4999,0.6395
1,1439.5882,810.4842,810484.1999,5,1-809206-812076,358,1,0,42,True,809206.0000,812076.0000,1278.1999,1.2782
1,1948.2597,1319.1557,1319155.6999,6,1-1317092-1322096,535,1,1,5,True,1317092.0000,1322096.0000,2063.6999,2.0637
1,1948.3605,1319.2565,1319256.4999,6,1-1317092-1322096,535,1,1,5,True,1317092.0000,1322096.0000,2164.4999,2.1645
1,1948.6269,1319.5229,1319522.8999,6,1-1317092-1322096,535,1,1,5,True,1317092.0000,1322096.0000,2430.8999,2.4309
1,1949.4675,1320.3635,1320363.4999,6,1-1317092-1322096,535,1,1,5,True,1317092.0000,1322096.0000,3271.4999,3.2715
1,1949.7754,1320.6714,1320671.3999,6,1-1317092-1322096,535,1,1,5,True,1317092.0000,1322096.0000,3579.3999,3.5794
1,2640.6653,2011.5613,2011561.2999,7,1-2010654-2012823,835,1,1,6,True,2010654.0000,2012823.0000,907.2999,0.9073
1,2641.7728,2012.6688,2012668.7999,7,1-2010654-2012823,835,1,1,6,True,2010654.0000,2012823.0000,2014.7999,2.0148
1,937.1067,308.0027,308002.6999,8,1-307894-310296,173,1,1,7,True,307894.0000,310296.0000,108.6999,0.1087
1,937.3004,308.1964,308196.3999,8,1-307894-310296,173,1,1,7,True,307894.0000,310296.0000,302.3999,0.3024
1,937.9366,308.8326,308832.5999,8,1-307894-310296,173,1,1,7,True,307894.0000,310296.0000,938.5999,0.9386
1,939.0088,309.9048,309904.7999,8,1-307894-310296,173,1,1,7,True,307894.0000,310296.0000,2010.7999,2.0108
1,1710.0250,1080.9210,1080920.9999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,254.9999,0.2550
1,1710.5456,1081.4416,1081441.5999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,775.5999,0.7756
1,1710.8240,1081.7200,1081719.9999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,1053.9999,1.0540
1,1712.3471,1083.2431,1083243.0999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,2577.0999,2.5771
1,1712.4467,1083.3427,1083342.6999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,2676.6999,2.6767
1,1712.5037,1083.3997,1083399.6999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,2733.6999,2.7337
1,1712.6880,1083.5840,1083583.9999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,2917.9999,2.9180
1,1712.8847,1083.7807,1083780.6999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,3114.6999,3.1147
1,1713.1191,1084.0151,1084015.0999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,3349.0999,3.3491
1,1713.8961,1084.7921,1084792.0999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,4126.0999,4.1261
1,1714.7286,1085.6246,1085624.5999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,4958.5999,4.9586
1,1325.5987,696.4947,696494.6999,10,1-695798-697433,326,1,0,43,True,695798.0000,697433.0000,696.6999,0.6967
1,1325.6610,696.5570,696556.9999,10,1-695798-697433,326,1,0,43,True,695798.0000,697433.0000,758.9999,0.7590
1,1325.8768,696.7728,696772.7999,10,1-695798-697433,326,1,0,43,True,695798.0000,697433.0000,974.7999,0.9748
1,1326.2946,697.1906,697190.5999,10,1-695798-697433,326,1,0,43,True,695798.0000,697433.0000,1392.5999,1.3926
1,1338.3485,709.2445,709244.4999,11,1-708911-710946,330,1,0,44,True,708911.0000,710946.0000,333.4999,0.3335
1,1338.9273,709.8233,709823.2999,11,1-708911-710946,330,1,0,44,True,708911.0000,710946.0000,912.2999,0.9123
1,1339.8064,710.7024,710702.3999,11,1-708911-710946,330,1,0,44,True,708911.0000,710946.0000,1791.3999,1.7914
1,1667.5226,1038.4186,1038418.5999,12,1-1037825-1040694,444,1,0,45,True,1037825.0000,1040694.0000,593.5999,0.5936
1,1668.3943,1039.2903,1039290.2999,12,1-1037825-1040694,444,1,0,45,True,1037825.0000,1040694.0000,1465.2999,1.4653
1,1669.5780,1040.4740,1040473.9999,12,1-1037825-1040694,444,1,0,45,True,1037825.0000,1040694.0000,2648.9999,2.6490
1,2719.3899,2090.2859,2090285.8999,13,1-2090030-2091131,872,1,0,46,True,2090030.0000,2091131.0000,255.8999,0.2559
1,2719.7392,2090.6352,2090635.1999,13,1-2090030-2091131,872,1,0,46,True,2090030.0000,2091131.0000,605.1999,0.6052
1,2719.7821,2090.6781,2090678.0999,13,1-2090030-2091131,872,1,0,46,True,2090030.0000,2091131.0000,648.0999,0.6481
1,2719.8226,2090.7186,2090718.5999,13,1-2090030-2091131,872,1,0,46,True,2090030.0000,2091131.0000,688.5999,0.6886
1,2719.8288,2090.7248,2090724.7999,13,1-2090030-2091131,872,1,0,46,True,2090030.0000,2091131.0000,694.7999,0.6948
1,2666.3060,2037.2020,2037201.9999,15,1-2036712-2039448,848,1,1,10,True,2036712.0000,2039448.0000,489.9999,0.4900
1,2666.3780,2037.2740,2037273.9999,15,1-2036712-2039448,848,1,1,10,True,2036712.0000,2039448.0000,561.9999,0.5620
1,2667.2640,2038.1600,2038159.9999,15,1-2036712-2039448,848,1,1,10,True,2036712.0000,2039448.0000,1447.9999,1.4480
1,2667.9923,2038.8883,2038888.2999,15,1-2036712-2039448,848,1,1,10,True,2036712.0000,2039448.0000,2176.2999,2.1763
1,2668.1619,2039.0579,2039057.8999,15,1-2036712-2039448,848,1,1,10,True,2036712.0000,2039448.0000,2345.8999,2.3459
1,1571.0725,941.9685,941968.4999,16,1-941967-942534,408,1,0,47,True,941967.0000,942534.0000,1.4999,0.0015
1,1571.1336,942.0296,942029.5999,16,1-941967-942534,408,1,0,47,True,941967.0000,942534.0000,62.5999,0.0626
1,1571.1698,942.0658,942065.7999,16,1-941967-942534,408,1,0,47,True,941967.0000,942534.0000,98.7999,0.0988
1,1571.2148,942.1108,942110.7999,16,1-941967-942534,408,1,0,47,True,941967.0000,942534.0000,143.7999,0.1438
1,1571.5543,942.4503,942450.2999,16,1-941967-942534,408,1,0,47,True,941967.0000,942534.0000,483.2999,0.4833
1,2150.9703,1521.8663,1521866.2999,18,1-1520753-1525758,612,1,1,11,True,1520753.0000,1525758.0000,1113.2999,1.1133
1,2154.2819,1525.1779,1525177.8999,18,1-1520753-1525758,612,1,1,11,True,1520753.0000,1525758.0000,4424.8999,4.4249
1,2186.9265,1557.8225,1557822.4999,20,1-1556787-1561792,634,1,1,12,True,1556787.0000,1561792.0000,1035.4999,1.0355
