units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1210.6589,581.5549,581554.8999,1,1-581122-582156,287,1,1,1,True,581122.0000,582156.0000,432.8999,0.4329
1,1210.6957,581.5917,581591.6999,1,1-581122-582156,287,1,1,1,True,581122.0000,582156.0000,469.6999,0.4697
1,1211.0705,581.9665,581966.4999,1,1-581122-582156,287,1,1,1,True,581122.0000,582156.0000,844.4999,0.8445
1,1211.2112,582.1072,582107.1999,1,1-581122-582156,287,1,1,1,True,581122.0000,582156.0000,985.1999,0.9852
1,2129.7354,1500.6314,1500631.3999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,231.3999,0.2314
1,2129.9064,1500.8024,1500802.3999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,402.3999,0.4024
1,2130.2286,1501.1246,1501124.5999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,724.5999,0.7246
1,2130.6333,1501.5293,1501529.2999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,1129.2999,1.1293
1,2130.7471,1501.6431,1501643.0999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,1243.0999,1.2431
1,2130.7615,1501.6575,1501657.4999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,1257.4999,1.2575
1,2130.8913,1501.7873,1501787.2999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,1387.2999,1.3873
1,2131.3001,1502.1961,1502196.0999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,1796.0999,1.7961
1,2131.7191,1502.6151,1502615.0999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,2215.0999,2.2151
1,2131.8450,1502.7410,1502740.9999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,2340.9999,2.3410
1,2525.5230,1896.4190,1896418.9999,3,1-1895845-1898080,799,1,1,3,True,1895845.0000,1898080.0000,573.9999,0.5740
1,2525.5857,1896.4817,1896481.6999,3,1-1895845-1898080,799,1,1,3,True,1895845.0000,1898080.0000,636.6999,0.6367
1,2526.1736,1897.0696,1897069.5999,3,1-1895845-1898080,799,1,1,3,True,1895845.0000,1898080.0000,1224.5999,1.2246
1,2526.6660,1897.5620,1897561.9999,3,1-1895845-1898080,799,1,1,3,True,1895845.0000,1898080.0000,1716.9999,1.7170
1,1438.3115,809.2075,809207.4999,5,1-809206-812076,358,1,0,42,True,809206.0000,812076.0000,1.4999,0.0015
1,1438.5546,809.4506,809450.5999,5,1-809206-812076,358,1,0,42,True,809206.0000,812076.0000,244.5999,0.2446
1,1438.7156,809.6116,809611.5999,5,1-809206-812076,358,1,0,42,True,809206.0000,812076.0000,405.5999,0.4056
1,1439.4297,810.3257,810325.6999,5,1-809206-812076,358,1,0,42,True,809206.0000,812076.0000,1119.6999,1.1197
1,1439.6571,810.5531,810553.0999,5,1-809206-812076,358,1,0,42,True,809206.0000,812076.0000,1347.0999,1.3471
