units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1210.8320,581.7280,581727.9999,1,1-581122-582156,287,1,1,1,True,581122.0000,582156.0000,605.9999,0.6060
1,2129.9153,1500.8113,1500811.2999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,411.2999,0.4113
1,2130.0682,1500.9642,1500964.1999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,564.1999,0.5642
1,2130.1345,1501.0305,1501030.4999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,630.4999,0.6305
1,2130.5366,1501.4326,1501432.5999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,1032.5999,1.0326
1,2130.7083,1501.6043,1501604.2999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,1204.2999,1.2043
1,2131.5046,1502.4006,1502400.5999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,2000.5999,2.0006
1,2131.5765,1502.4725,1502472.4999,2,1-1500400-1502869,600,1,1,2,True,1500400.0000,1502869.0000,2072.4999,2.0725
1,2525.7063,1896.6023,1896602.2999,3,1-1895845-1898080,799,1,1,3,True,1895845.0000,1898080.0000,757.2999,0.7573
1,2525.9933,1896.8893,1896889.2999,3,1-1895845-1898080,799,1,1,3,True,1895845.0000,1898080.0000,1044.2999,1.0443
1,2526.7218,1897.6178,1897617.7999,3,1-1895845-1898080,799,1,1,3,True,1895845.0000,1898080.0000,1772.7999,1.7728
1,1438.8936,809.7896,809789.5999,5,1-809206-812076,358,1,0,42,True,809206.0000,812076.0000,583.5999,0.5836
1,1440.7756,811.6716,811671.5999,5,1-809206-812076,358,1,0,42,True,809206.0000,812076.0000,2465.5999,2.4656
1,1440.7878,811.6838,811683.7999,5,1-809206-812076,358,1,0,42,True,809206.0000,812076.0000,2477.7999,2.4778
1,1947.2206,1318.1166,1318116.5999,6,1-1317092-1322096,535,1,1,5,True,1317092.0000,1322096.0000,1024.5999,1.0246
1,1949.1172,1320.0132,1320013.1999,6,1-1317092-1322096,535,1,1,5,True,1317092.0000,1322096.0000,2921.1999,2.9212
1,2640.7744,2011.6704,2011670.3999,7,1-2010654-2012823,835,1,1,6,True,2010654.0000,2012823.0000,1016.3999,1.0164
1,1709.8503,1080.7463,1080746.2999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,80.2999,0.0803
1,1711.3324,1082.2284,1082228.3999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,1562.3999,1.5624
1,1711.6132,1082.5092,1082509.1999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,1843.1999,1.8432
1,1712.1596,1083.0556,1083055.5999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,2389.5999,2.3896
1,1712.3469,1083.2429,1083242.8999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,2576.8999,2.5769
1,1712.9022,1083.7982,1083798.1999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,3132.1999,3.1322
1,1713.3738,1084.2698,1084269.7999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,3603.7999,3.6038
1,1325.0580,695.9540,695953.9999,10,1-695798-697433,326,1,0,43,True,695798.0000,697433.0000,155.9999,0.1560
1,1326.5168,697.4128,697412.7999,10,1-695798-697433,326,1,0,43,True,695798.0000,697433.0000,1614.7999,1.6148
1,1338.7839,709.6799,709679.8999,11,1-708911-710946,330,1,0,44,True,708911.0000,710946.0000,768.8999,0.7689
1,1339.0782,709.9742,709974.1999,11,1-708911-710946,330,1,0,44,True,708911.0000,710946.0000,1063.1999,1.0632
1,1339.3368,710.2328,710232.7999,11,1-708911-710946,330,1,0,44,True,708911.0000,710946.0000,1321.7999,1.3218
1,1339.3812,710.2772,710277.1999,11,1-708911-710946,330,1,0,44,True,708911.0000,710946.0000,1366.1999,1.3662
1,1339.5630,710.4590,710458.9999,11,1-708911-710946,330,1,0,44,True,708911.0000,710946.0000,1547.9999,1.5480
1,1339.7117,710.6077,710607.6999,11,1-708911-710946,330,1,0,44,True,708911.0000,710946.0000,1696.6999,1.6967
1,1667.1713,1038.0673,1038067.2999,12,1-1037825-1040694,444,1,0,45,True,1037825.0000,1040694.0000,242.2999,0.2423
1,1668.7006,1039.5966,1039596.5999,12,1-1037825-1040694,444,1,0,45,True,1037825.0000,1040694.0000,1771.5999,1.7716
1,1669.2693,1040.1653,1040165.2999,12,1-1037825-1040694,444,1,0,45,True,1037825.0000,1040694.0000,2340.2999,2.3403
1,2666.7804,2037.6764,2037676.3999,15,1-2036712-2039448,848,1,1,10,True,2036712.0000,2039448.0000,964.3999,0.9644
1,2512.3639,1883.2599,1883259.8999,17,1-1882899-1884400,791,1,0,48,True,1882899.0000,1884400.0000,360.8999,0.3609
1,2150.0953,1520.9913,1520991.2999,18,1-1520753-1525758,612,1,1,11,True,1520753.0000,1525758.0000,238.2999,0.2383
1,2150.5672,1521.4632,1521463.1999,18,1-1520753-1525758,612,1,1,11,True,1520753.0000,1525758.0000,710.1999,0.7102
1,2152.3382,1523.2342,1523234.1999,18,1-1520753-1525758,612,1,1,11,True,1520753.0000,1525758.0000,2481.1999,2.4812
1,2153.4486,1524.3446,1524344.5999,18,1-1520753-1525758,612,1,1,11,True,1520753.0000,1525758.0000,3591.5999,3.5916
1,2154.1096,1525.0056,1525005.5999,18,1-1520753-1525758,612,1,1,11,True,1520753.0000,1525758.0000,4252.5999,4.2526
1,2154.3737,1525.2697,1525269.6999,18,1-1520753-1525758,612,1,1,11,True,1520753.0000,1525758.0000,4516.6999,4.5167
1,2154.5856,1525.4816,1525481.5999,18,1-1520753-1525758,612,1,1,11,True,1520753.0000,1525758.0000,4728.5999,4.7286
1,2154.8605,1525.7565,1525756.4999,18,1-1520753-1525758,612,1,1,11,True,1520753.0000,1525758.0000,5003.4999,5.0035
1,2185.9438,1556.8398,1556839.7999,20,1-1556787-1561792,634,1,1,12,True,1556787.0000,1561792.0000,52.7999,0.0528
1,2187.0194,1557.9154,1557915.3999,20,1-1556787-1561792,634,1,1,12,True,1556787.0000,1561792.0000,1128.3999,1.1284
1,2187.1957,1558.0917,1558091.6999,20,1-1556787-1561792,634,1,1,12,True,1556787.0000,1561792.0000,1304.6999,1.3047
1,2187.5268,1558.4228,1558422.7999,20,1-1556787-1561792,634,1,1,12,True,1556787.0000,1561792.0000,1635.7999,1.6358
1,2187.8567,1558.7527,1558752.6999,20,1-1556787-1561792,634,1,1,12,True,1556787.0000,1561792.0000,1965.6999,1.9657
1,2189.1352,1560.0312,1560031.1999,20,1-1556787-1561792,634,1,1,12,True,1556787.0000,1561792.0000,3244.1999,3.2442
1,2190.3712,1561.2672,1561267.1999,20,1-1556787-1561792,634,1,1,12,True,1556787.0000,1561792.0000,4480.1999,4.4802
1,670.2848,41.1808,41180.7999,22,1-40539-43041,22,1,1,13,True,40539.0000,43041.0000,641.7999,0.6418
1,671.1570,42.0530,42052.9999,22,1-40539-43041,22,1,1,13,True,40539.0000,43041.0000,1513.9999,1.5140
1,671.3040,42.2000,42199.9999,22,1-40539-43041,22,1,1,13,True,40539.0000,43041.0000,1660.9999,1.6610
1,671.3346,42.2306,42230.5999,22,1-40539-43041,22,1,1,13,True,40539.0000,43041.0000,1691.5999,1.6916
1,671.9163,42.8123,42812.2999,22,1-40539-43041,22,1,1,13,True,40539.0000,43041.0000,2273.2999,2.2733
1,1152.8953,523.7913,523791.2999,27,1-522900-527904,267,1,1,18,True,522900.0000,527904.0000,891.2999,0.8913
1,1153.0113,523.9073,523907.2999,27,1-522900-527904,267,1,1,18,True,522900.0000,527904.0000,1007.2999,1.0073
1,1153.3499,524.2459,524245.8999,27,1-522900-527904,267,1,1,18,True,522900.0000,527904.0000,1345.8999,1.3459
1,1154.5460,525.4420,525441.9999,27,1-522900-527904,267,1,1,18,True,522900.0000,527904.0000,2541.9999,2.5420
1,1216.9131,587.8091,587809.0999,28,1-586594-589497,290,1,0,51,True,586594.0000,589497.0000,1215.0999,1.2151
