units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
3,2640.9753,2011.8713,2011871.2999,7,1-2010654-2012823,835,1,1,6,True,2010654.0000,2012823.0000,1217.2999,1.2173
3,937.2461,308.1421,308142.0999,8,1-307894-310296,173,1,1,7,True,307894.0000,310296.0000,248.0999,0.2481
3,1712.9627,1083.8587,1083858.6999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,3192.6999,3.1927
3,1713.7515,1084.6475,1084647.4999,9,1-1080666-1085671,458,1,1,8,True,1080666.0000,1085671.0000,3981.4999,3.9815
3,1622.6296,993.5256,993525.5999,25,1-990780-993683,427,1,1,16,True,990780.0000,993683.0000,2745.5999,2.7456
3,1622.6473,993.5433,993543.2999,25,1-990780-993683,427,1,1,16,True,990780.0000,993683.0000,2763.2999,2.7633
3,1008.3829,379.2789,379278.8999,26,1-378095-380230,210,1,1,17,True,378095.0000,380230.0000,1183.8999,1.1839
3,1152.2388,523.1348,523134.7999,27,1-522900-527904,267,1,1,18,True,522900.0000,527904.0000,234.7999,0.2348
3,1153.7737,524.6697,524669.6999,27,1-522900-527904,267,1,1,18,True,522900.0000,527904.0000,1769.6999,1.7697
3,1153.7975,524.6935,524693.4999,27,1-522900-527904,267,1,1,18,True,522900.0000,527904.0000,1793.4999,1.7935
3,810.6516,181.5476,181547.5999,41,1-180272-182107,107,1,0,59,True,180272.0000,182107.0000,1275.5999,1.2756
3,2635.1601,2006.0561,2006056.0999,48,1-2005416-2006817,833,1,1,27,True,2005416.0000,2006817.0000,640.0999,0.6401
3,675.3402,46.2362,46236.1999,53,1-44609-47579,24,1,0,66,True,44609.0000,47579.0000,1627.1999,1.6272
3,675.8344,46.7304,46730.3999,53,1-44609-47579,24,1,0,66,True,44609.0000,47579.0000,2121.3999,2.1214
3,998.8822,369.7782,369778.1999,55,1-368919-370487,205,1,1,29,True,368919.0000,370487.0000,859.1999,0.8592
3,719.0648,89.9608,89960.7999,56,1-88785-90453,51,1,0,68,True,88785.0000,90453.0000,1175.7999,1.1758
3,719.1830,90.0790,90078.9999,56,1-88785-90453,51,1,0,68,True,88785.0000,90453.0000,1293.9999,1.2940
3,769.6623,140.5583,140558.2999,57,1-139467-140601,83,1,0,69,True,139467.0000,140601.0000,1091.2999,1.0913
3,840.3776,211.2736,211273.5999,67,1-209934-212136,126,1,0,74,True,209934.0000,212136.0000,1339.5999,1.3396
3,840.4305,211.3265,211326.4999,67,1-209934-212136,126,1,0,74,True,209934.0000,212136.0000,1392.4999,1.3925
