bin_10s,spike_count,firing_rate_hz
0,9,0.9
1,38,3.8
2,22,2.2
3,37,3.7
4,16,1.6
5,23,2.3
6,29,2.9
7,28,2.8
8,22,2.2
9,20,2.0
10,13,1.3
11,31,3.1
12,17,1.7
13,13,1.3
14,18,1.8
15,27,2.7
16,11,1.1
17,32,3.2
18,43,4.3
19,45,4.5
20,20,2.0
21,13,1.3
22,38,3.8
23,28,2.8
24,23,2.3
25,18,1.8
26,12,1.2
27,13,1.3
28,19,1.9
29,10,1.0
30,40,4.0
31,25,2.5
32,29,2.9
33,11,1.1
34,15,1.5
35,23,2.3
36,21,2.1
37,26,2.6
38,9,0.9
39,18,1.8
40,15,1.5
41,43,4.3
42,28,2.8
43,33,3.3
44,20,2.0
45,21,2.1
46,23,2.3
47,15,1.5
48,14,1.4
49,12,1.2
50,24,2.4
51,22,2.2
52,21,2.1
53,17,1.7
54,17,1.7
55,24,2.4
56,19,1.9
57,35,3.5
58,16,1.6
59,42,4.2
60,23,2.3
61,29,2.9
62,40,4.0
63,17,1.7
64,8,0.8
65,19,1.9
66,19,1.9
67,20,2.0
68,32,3.2
69,17,1.7
70,37,3.7
71,25,2.5
72,11,1.1
73,40,4.0
74,18,1.8
75,28,2.8
76,26,2.6
77,7,0.7
78,24,2.4
79,17,1.7
80,10,1.0
81,27,2.7
82,28,2.8
83,21,2.1
84,27,2.7
85,24,2.4
86,19,1.9
87,17,1.7
88,33,3.3
89,16,1.6
90,20,2.0
91,21,2.1
92,19,1.9
93,22,2.2
94,13,1.3
95,33,3.3
96,26,2.6
97,24,2.4
98,19,1.9
99,24,2.4
100,28,2.8
101,28,2.8
102,19,1.9
103,31,3.1
104,21,2.1
105,16,1.6
106,18,1.8
107,43,4.3
108,29,2.9
109,19,1.9
110,29,2.9
111,9,0.9
112,18,1.8
113,22,2.2
114,15,1.5
115,11,1.1
116,19,1.9
117,16,1.6
118,29,2.9
119,27,2.7
120,16,1.6
121,17,1.7
122,33,3.3
123,24,2.4
124,19,1.9
125,13,1.3
126,18,1.8
127,23,2.3
128,17,1.7
129,20,2.0
130,33,3.3
131,36,3.6
132,21,2.1
133,14,1.4
134,14,1.4
135,23,2.3
136,23,2.3
137,7,0.7
138,20,2.0
139,22,2.2
140,18,1.8
141,18,1.8
142,19,1.9
143,39,3.9
144,16,1.6
145,24,2.4
146,18,1.8
147,14,1.4
148,8,0.8
149,33,3.3
150,29,2.9
151,24,2.4
152,26,2.6
153,16,1.6
154,19,1.9
155,27,2.7
156,13,1.3
157,19,1.9
158,37,3.7
159,13,1.3
160,12,1.2
161,14,1.4
162,19,1.9
163,21,2.1
164,12,1.2
165,22,2.2
166,15,1.5
167,17,1.7
168,20,2.0
169,25,2.5
170,17,1.7
171,20,2.0
172,11,1.1
173,8,0.8
174,19,1.9
175,32,3.2
176,14,1.4
177,22,2.2
178,23,2.3
179,24,2.4
180,10,1.0
181,6,0.6
182,16,1.6
183,7,0.7
184,27,2.7
185,6,0.6
186,17,1.7
187,10,1.0
188,28,2.8
189,26,2.6
190,7,0.7
191,9,0.9
192,24,2.4
193,9,0.9
194,26,2.6
195,17,1.7
196,22,2.2
197,12,1.2
198,20,2.0
199,18,1.8
200,19,1.9
201,16,1.6
202,11,1.1
203,14,1.4
204,13,1.3
205,18,1.8
206,19,1.9
207,12,1.2
208,22,2.2
209,14,1.4
