bin_10s,spike_count,firing_rate_hz
0,7,0.7
1,7,0.7
2,11,1.1
3,13,1.3
4,13,1.3
5,2,0.2
6,10,1.0
7,21,2.1
8,21,2.1
9,15,1.5
10,8,0.8
11,8,0.8
12,14,1.4
13,13,1.3
14,16,1.6
15,12,1.2
16,12,1.2
17,24,2.4
18,17,1.7
19,9,0.9
20,7,0.7
21,17,1.7
22,5,0.5
23,15,1.5
24,6,0.6
25,8,0.8
26,10,1.0
27,24,2.4
28,11,1.1
29,9,0.9
30,6,0.6
31,12,1.2
32,9,0.9
33,3,0.3
34,3,0.3
35,10,1.0
36,17,1.7
37,8,0.8
38,10,1.0
39,14,1.4
40,9,0.9
41,15,1.5
42,14,1.4
43,11,1.1
44,12,1.2
45,5,0.5
46,11,1.1
47,14,1.4
48,5,0.5
49,5,0.5
50,10,1.0
51,14,1.4
52,7,0.7
53,3,0.3
54,9,0.9
55,16,1.6
56,6,0.6
57,4,0.4
58,12,1.2
59,2,0.2
60,8,0.8
61,14,1.4
62,11,1.1
63,10,1.0
64,16,1.6
65,12,1.2
66,11,1.1
67,11,1.1
68,6,0.6
69,8,0.8
70,8,0.8
71,12,1.2
72,6,0.6
73,7,0.7
74,2,0.2
75,13,1.3
76,5,0.5
77,10,1.0
78,12,1.2
79,11,1.1
80,5,0.5
81,4,0.4
82,5,0.5
83,16,1.6
84,11,1.1
85,8,0.8
86,2,0.2
87,4,0.4
88,9,0.9
89,16,1.6
90,5,0.5
91,8,0.8
92,15,1.5
93,8,0.8
94,14,1.4
95,5,0.5
96,4,0.4
97,13,1.3
98,5,0.5
99,14,1.4
100,2,0.2
101,9,0.9
102,7,0.7
103,9,0.9
104,15,1.5
105,7,0.7
106,5,0.5
107,10,1.0
108,12,1.2
109,4,0.4
110,7,0.7
111,7,0.7
112,17,1.7
113,6,0.6
114,8,0.8
115,7,0.7
116,7,0.7
117,16,1.6
118,8,0.8
119,7,0.7
120,1,0.1
121,11,1.1
122,5,0.5
123,11,1.1
124,15,1.5
125,13,1.3
126,8,0.8
127,5,0.5
128,8,0.8
129,6,0.6
130,8,0.8
131,2,0.2
132,3,0.3
133,7,0.7
134,14,1.4
135,4,0.4
136,7,0.7
137,8,0.8
138,19,1.9
139,9,0.9
140,19,1.9
141,13,1.3
142,13,1.3
143,10,1.0
144,24,2.4
145,27,2.7
146,16,1.6
147,6,0.6
148,9,0.9
149,13,1.3
150,14,1.4
151,10,1.0
152,18,1.8
153,12,1.2
154,12,1.2
155,21,2.1
156,10,1.0
157,5,0.5
158,10,1.0
159,11,1.1
160,6,0.6
161,11,1.1
162,5,0.5
163,14,1.4
164,20,2.0
165,8,0.8
166,7,0.7
167,17,1.7
168,15,1.5
169,7,0.7
170,6,0.6
171,8,0.8
172,11,1.1
173,11,1.1
174,12,1.2
175,8,0.8
176,10,1.0
177,13,1.3
178,8,0.8
179,17,1.7
180,5,0.5
181,2,0.2
182,11,1.1
183,9,0.9
184,12,1.2
185,6,0.6
186,2,0.2
187,1,0.1
188,3,0.3
189,8,0.8
190,7,0.7
191,10,1.0
192,11,1.1
193,8,0.8
194,6,0.6
195,11,1.1
196,10,1.0
197,13,1.3
198,7,0.7
199,25,2.5
200,4,0.4
201,9,0.9
202,9,0.9
203,9,0.9
204,12,1.2
205,7,0.7
206,3,0.3
207,15,1.5
208,5,0.5
209,2,0.2
