bin_10s,spike_count,firing_rate_hz
0,46,4.6
1,54,5.4
2,33,3.3
3,29,2.9
4,63,6.3
5,51,5.1
6,52,5.2
7,45,4.5
8,68,6.8
9,66,6.6
10,36,3.6
11,26,2.6
12,43,4.3
13,37,3.7
14,30,3.0
15,9,0.9
16,37,3.7
17,26,2.6
18,55,5.5
19,33,3.3
20,25,2.5
21,29,2.9
22,44,4.4
23,31,3.1
24,49,4.9
25,36,3.6
26,34,3.4
27,46,4.6
28,53,5.3
29,45,4.5
30,52,5.2
31,46,4.6
32,25,2.5
33,24,2.4
34,43,4.3
35,35,3.5
36,33,3.3
37,65,6.5
38,20,2.0
39,57,5.7
40,58,5.8
41,55,5.5
42,45,4.5
43,23,2.3
44,33,3.3
45,64,6.4
46,42,4.2
47,46,4.6
48,48,4.8
49,38,3.8
50,28,2.8
51,45,4.5
52,43,4.3
53,34,3.4
54,38,3.8
55,33,3.3
56,77,7.7
57,22,2.2
58,18,1.8
59,44,4.4
60,27,2.7
61,21,2.1
62,34,3.4
63,16,1.6
64,26,2.6
65,56,5.6
66,38,3.8
67,38,3.8
68,31,3.1
69,45,4.5
70,25,2.5
71,33,3.3
72,76,7.6
73,48,4.8
74,30,3.0
75,52,5.2
76,40,4.0
77,19,1.9
78,43,4.3
79,56,5.6
80,62,6.2
81,31,3.1
82,46,4.6
83,29,2.9
84,42,4.2
85,30,3.0
86,58,5.8
87,33,3.3
88,45,4.5
89,36,3.6
90,36,3.6
91,23,2.3
92,21,2.1
93,29,2.9
94,38,3.8
95,43,4.3
96,19,1.9
97,27,2.7
98,31,3.1
99,31,3.1
100,23,2.3
101,17,1.7
102,43,4.3
103,38,3.8
104,67,6.7
105,30,3.0
106,49,4.9
107,28,2.8
108,29,2.9
109,31,3.1
110,42,4.2
111,66,6.6
112,46,4.6
113,35,3.5
114,59,5.9
115,58,5.8
116,52,5.2
117,32,3.2
118,40,4.0
119,34,3.4
120,25,2.5
121,45,4.5
122,36,3.6
123,24,2.4
124,30,3.0
125,39,3.9
126,42,4.2
127,47,4.7
128,22,2.2
129,46,4.6
130,39,3.9
131,25,2.5
132,43,4.3
133,40,4.0
134,42,4.2
135,46,4.6
136,26,2.6
137,29,2.9
138,53,5.3
139,50,5.0
140,25,2.5
141,29,2.9
142,32,3.2
143,40,4.0
144,20,2.0
145,43,4.3
146,27,2.7
147,57,5.7
148,23,2.3
149,22,2.2
150,38,3.8
151,90,9.0
152,38,3.8
153,35,3.5
154,43,4.3
155,39,3.9
156,31,3.1
157,35,3.5
158,21,2.1
159,15,1.5
160,23,2.3
161,32,3.2
162,19,1.9
163,44,4.4
164,41,4.1
165,72,7.2
166,23,2.3
167,26,2.6
168,50,5.0
169,42,4.2
170,50,5.0
171,55,5.5
172,57,5.7
173,67,6.7
174,55,5.5
175,32,3.2
176,38,3.8
177,22,2.2
178,22,2.2
179,23,2.3
180,43,4.3
181,36,3.6
182,40,4.0
183,49,4.9
184,40,4.0
185,29,2.9
186,78,7.8
187,79,7.9
188,58,5.8
189,35,3.5
190,36,3.6
191,68,6.8
192,50,5.0
193,33,3.3
194,38,3.8
195,34,3.4
196,40,4.0
197,56,5.6
198,71,7.1
199,36,3.6
200,57,5.7
201,65,6.5
202,51,5.1
203,26,2.6
204,35,3.5
205,38,3.8
206,29,2.9
207,40,4.0
208,24,2.4
209,8,0.8
