pID,trial_num,movie_ID,target_movie,frame_on,frame_off,unq_frame_id,clip_ID,mov_clip_ID,clip_duration_sec,resp_answer,reaction_time_sec,timeout,correct,mat_trial_start_sec,ttl_movie_ID,effective_movie_ID,final_time_unix,clip_end_unix,ttl_minus_final_sec,local_shift_sec,exclude,experimentPhase,trialNumber,movieID,clipID,response,reactionTimePTB,trialStartTimePTB,frameOn,frameOff,Accurate,clipStartTime,clipEndTime,clipStartTimeMs,clipEndTimeMs,clipDurationMs,clipDurationSec,clipFrameRange,clipTimeRangeMs,clipWindowId,isAccurate,trialOrder,plotOrder,includeInPlots
572,1.0,1,1,17417,17448,1-17417-17448,287,1-287,1.0194999996666638,2,5.166640830982942,0,1,274072.329079171,1,1,1711146317.1383357,1711146318.1578355,-0.0902357101440429,-0.03078125,False,recog_task,1.0,1,287,2,5.166640830982942,274072.329079171,17417,17448,1,581.1218371738405,582.1561586386387,581122,582156,1034,1.034321464798154,17417-17448,581122-582156,1-581122-582156,1,1,1,True
572,2.0,1,1,44969,45043,1-44969-45043,600,1-600,2.46999999966647,2,1.754504409036599,0,1,274079.304894143,1,1,1711146324.1141508,1711146326.5841508,-0.0906808376312255,-0.57575,False,recog_task,2.0,1,600,2,1.754504409036599,274079.304894143,44969,45043,1,1500.4000629195862,1502.8690883516851,1500400,1502869,2469,2.469025432098988,44969-45043,1500400-1502869,1-1500400-1502869,1,2,2,True
572,5.0,1,1,56821,56888,1-56821-56888,799,1-799,2.229999999333131,2,1.1012795169954188,0,1,274091.688519346,1,1,1711146336.4977758,1711146338.7277758,-0.0907456874847412,-0.000875,False,recog_task,5.0,1,799,2,1.1012795169954188,274091.688519346,56821,56888,1,1895.8445145578912,1898.0799835301968,1895845,1898080,2235,2.2354689723056254,56821-56888,1895845-1898080,1-1895845-1898080,1,3,3,True
572,7.0,1,1,69724,69765,1-69724-69765,954,1-954,1.3499999993332494,2,1.2636140870163215,0,1,274098.721513607,1,1,1711146343.53077,1711146344.88077,-0.0910000801086425,0.0029375,False,recog_task,7.0,1,954,2,1.2636140870163215,274098.721513607,69724,69765,1,2326.355800373707,2327.723773923924,2326356,2327724,1368,1.3679735502169024,69724-69765,2326356-2327724,1-2326356-2327724,1,4,4,True
572,8.0,1,1,24253,24339,1-24253-24339,358,1-358,2.839999999333372,1,2.071981045999564,0,0,274102.006427298,1,1,1711146346.8156838,1711146349.6556838,-0.0909738540649414,-0.2141875,False,recog_task,8.0,1,358,1,2.071981045999564,274102.006427298,24253,24339,0,809.2064027660995,812.0758107007008,809206,812076,2870,2.869407934601327,24253-24339,809206-812076,1-809206-812076,0,5,42,True
572,9.0,1,1,39475,39625,1-39475-39625,535,1-535,5.019999999333322,2,1.134904699982144,0,1,274107.599836551,1,1,1711146352.4090931,1711146357.4290931,-0.0919830799102783,-0.0115,False,recog_task,9.0,1,535,2,1.134904699982144,274107.599836551,39475,39625,1,1317.091607190524,1322.0963884718053,1317092,1322096,5004,5.004781281281339,39475-39625,1317092-1322096,1-1317092-1322096,1,6,5,True
572,11.0,1,1,60262,60327,1-60262-60327,835,1-835,2.169999999333413,2,0.9944430129835382,0,1,274117.100072455,1,1,1711146361.909329,1711146364.079329,-0.0926589965820312,-0.0093125,False,recog_task,11.0,1,835,2,0.9944430129835382,274117.100072455,60262,60327,1,2010.654197150484,2012.8229357057057,2010654,2012823,2169,2.1687385552218075,60262-60327,2010654-2012823,1-2010654-2012823,1,7,6,True
572,12.0,1,1,9228,9300,1-9228-9300,173,1-173,2.3999999999999773,2,0.9948065179632976,0,1,274120.924868239,1,1,1711146365.734125,1711146368.1341248,-0.0908246040344238,-0.0246875,False,recog_task,12.0,1,173,2,0.9948065179632976,274120.924868239,9228,9300,1,307.89414442442444,310.2964394394395,307894,310296,2402,2.4022950150150564,9228-9300,307894-310296,1-307894-310296,1,8,7,True
572,17.0,1,1,32389,32539,1-32389-32539,458,1-458,4.99999999933334,2,1.1677915070322342,0,1,274137.557835608,1,1,1711146382.367092,1711146387.367092,-0.0919620990753173,-0.0185,False,recog_task,17.0,1,458,2,1.1677915070322342,274137.557835608,32389,32539,1,1080.6657394627962,1085.6705207440775,1080666,1085671,5005,5.004781281281339,32389-32539,1080666-1085671,1-1080666-1085671,1,9,8,True
572,21.0,1,1,20854,20903,1-20854-20903,326,1-326,1.6399999993333267,1,1.955633528996259,0,0,274155.414193038,1,1,1711146400.2234497,1711146401.8634496,-0.0923194885253906,-0.0155625,False,recog_task,21.0,1,326,1,1.955633528996259,274155.414193038,20854,20903,0,695.7980589322657,697.4329541508175,695798,697433,1635,1.6348952185518328,20854-20903,695798-697433,1-695798-697433,0,10,43,True
