units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,27.7258,3.5768,3576.8001
1,27.7909,3.6419,3641.9001
1,27.9067,3.7577,3757.7001
1,27.9622,3.8132,3813.2001
1,27.9954,3.8464,3846.4001
1,28.1810,4.0320,4032.0001
1,28.2411,4.0921,4092.1001
1,33.6807,9.5317,9531.7001
1,35.6764,11.5274,11527.4001
1,36.3835,12.2345,12234.5001
1,36.6575,12.5085,12508.5001
1,37.3956,13.2466,13246.6001
1,38.0055,13.8565,13856.5001
1,39.2630,15.1140,15114.0001
1,39.7737,15.6247,15624.7001
1,41.4829,17.3339,17333.9001
1,41.5245,17.3755,17375.5001
1,41.5592,17.4102,17410.2001
1,41.6330,17.4840,17484.0001
1,42.1025,17.9535,17953.5001
1,42.4345,18.2855,18285.5001
1,44.0230,19.8740,19874.0001
1,46.3972,22.2482,22248.2001
1,47.4002,23.2512,23251.2001
1,47.7236,23.5746,23574.6001
1,48.1346,23.9856,23985.6001
1,48.2190,24.0700,24070.0001
1,49.2930,25.1440,25144.0001
1,63.1980,39.0490,39049.0001
1,69.1156,44.9666,44966.6001
1,73.8096,49.6606,49660.6001
1,74.5357,50.3867,50386.7001
1,153.3244,129.1754,129175.4001
1,186.8351,162.6861,162686.1001
1,186.9082,162.7592,162759.2001
1,187.2279,163.0789,163078.9001
1,187.7025,163.5535,163553.5001
1,190.5389,166.3899,166389.9001
1,220.5589,196.4099,196409.9001
1,222.2963,198.1473,198147.3001
1,229.3918,205.2428,205242.8001
1,229.5816,205.4326,205432.6001
1,229.7104,205.5614,205561.4001
1,229.8924,205.7434,205743.4001
1,229.9811,205.8321,205832.1001
1,230.5572,206.4082,206408.2001
1,230.9101,206.7611,206761.1001
1,231.1152,206.9662,206966.2001
1,231.2559,207.1069,207106.9001
1,232.1546,208.0056,208005.6001
1,232.3937,208.2447,208244.7001
1,233.1628,209.0138,209013.8001
1,233.3509,209.2019,209201.9001
1,245.5992,221.4502,221450.2001
1,245.9772,221.8282,221828.2001
1,354.8449,330.6959,330695.9001
1,365.5926,341.4436,341443.6001
1,367.3452,343.1962,343196.2001
1,490.2594,466.1104,466110.4001
1,490.9296,466.7806,466780.6001
1,491.1783,467.0293,467029.3001
1,491.6893,467.5403,467540.3001
1,491.9924,467.8434,467843.4001
1,493.8831,469.7341,469734.1001
1,523.8533,499.7043,499704.3001
1,525.4194,501.2704,501270.4001
1,525.6449,501.4959,501495.9001
1,526.0319,501.8829,501882.9001
1,526.4448,502.2958,502295.8001
1,541.7872,517.6382,517638.2001
1,542.0034,517.8544,517854.4001
1,542.1744,518.0254,518025.4001
1,542.2282,518.0792,518079.2001
1,542.2531,518.1041,518104.1001
1,542.2982,518.1492,518149.2001
1,542.4881,518.3391,518339.1001
1,542.5612,518.4122,518412.2001
1,542.6765,518.5275,518527.5001
1,542.9453,518.7963,518796.3001
1,543.0177,518.8687,518868.7001
1,543.0403,518.8913,518891.3001
1,543.0575,518.9085,518908.5001
1,543.1001,518.9511,518951.1001
1,543.1211,518.9721,518972.1001
1,543.5671,519.4181,519418.1001
1,543.7238,519.5748,519574.8001
1,543.7907,519.6417,519641.7001
1,543.8164,519.6674,519667.4001
1,543.8338,519.6848,519684.8001
1,544.1377,519.9887,519988.7001
1,544.2671,520.1181,520118.1001
1,544.5936,520.4446,520444.6001
1,545.5279,521.3789,521378.9001
1,545.6855,521.5365,521536.5001
1,545.8012,521.6522,521652.2001
1,545.8378,521.6888,521688.8001
1,546.0089,521.8599,521859.9001
1,547.4838,523.3348,523334.8001
1,547.9171,523.7681,523768.1001
1,549.3450,525.1960,525196.0001
1,549.6212,525.4722,525472.2001
1,550.0307,525.8817,525881.7001
1,550.3137,526.1647,526164.7001
1,551.5619,527.4129,527412.9001
1,553.1297,528.9807,528980.7001
1,565.4444,541.2954,541295.4001
1,612.2779,588.1289,588128.9001
1,625.8680,601.7190,601719.0001
1,643.7847,619.6357,619635.7001
1,649.1969,625.0479,625047.9001
1,649.4230,625.2740,625274.0001
1,649.7291,625.5801,625580.1001
1,651.2065,627.0575,627057.5001
1,651.5423,627.3933,627393.3001
1,655.4115,631.2625,631262.5001
1,656.2419,632.0929,632092.9001
1,659.1262,634.9772,634977.2001
1,704.9886,680.8396,680839.6001
1,705.9649,681.8159,681815.9001
1,724.4426,700.2936,700293.6001
