units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,24.3435,0.1945,194.5001
2,24.3502,0.2012,201.2001
2,24.3558,0.2068,206.8001
2,24.3633,0.2143,214.3001
2,25.8312,1.6822,1682.2001
2,27.1971,3.0481,3048.1001
2,27.5185,3.3695,3369.5001
2,27.5387,3.3897,3389.7001
2,28.1321,3.9831,3983.1001
2,28.4392,4.2902,4290.2001
2,29.9478,5.7988,5798.8001
2,31.2405,7.0915,7091.5001
2,31.2459,7.0969,7096.9001
2,31.3863,7.2373,7237.3001
2,32.1579,8.0089,8008.9001
2,32.2924,8.1434,8143.4001
2,32.4875,8.3385,8338.5001
2,32.5036,8.3546,8354.6001
2,32.7568,8.6078,8607.8001
2,33.8067,9.6577,9657.7001
2,34.1327,9.9837,9983.7001
2,34.1522,10.0032,10003.2001
2,35.0253,10.8763,10876.3001
2,39.1350,14.9860,14986.0001
2,39.1460,14.9970,14997.0001
2,40.0301,15.8811,15881.1001
2,40.2930,16.1440,16144.0001
2,40.2987,16.1497,16149.7001
2,40.3067,16.1577,16157.7001
2,40.9590,16.8100,16810.0001
2,41.3693,17.2203,17220.3001
2,42.9029,18.7539,18753.9001
2,44.1315,19.9825,19982.5001
2,46.2591,22.1101,22110.1001
2,46.9374,22.7884,22788.4001
2,47.3127,23.1637,23163.7001
2,47.3981,23.2491,23249.1001
2,47.9423,23.7933,23793.3001
2,48.0452,23.8962,23896.2001
2,48.6730,24.5240,24524.0001
2,49.7264,25.5774,25577.4001
2,54.0504,29.9014,29901.4001
2,57.7541,33.6051,33605.1001
2,57.8362,33.6872,33687.2001
2,60.3899,36.2409,36240.9001
2,61.7080,37.5590,37559.0001
2,61.7416,37.5926,37592.6001
2,62.2259,38.0769,38076.9001
2,62.9048,38.7558,38755.8001
2,62.9154,38.7664,38766.4001
2,62.9208,38.7718,38771.8001
2,63.3382,39.1892,39189.2001
2,63.3546,39.2056,39205.6001
2,63.6212,39.4722,39472.2001
2,63.7988,39.6498,39649.8001
2,63.8182,39.6692,39669.2001
2,63.8950,39.7460,39746.0001
2,64.0605,39.9115,39911.5001
2,64.1495,40.0005,40000.5001
2,64.3843,40.2353,40235.3001
2,64.4704,40.3214,40321.4001
2,64.4761,40.3271,40327.1001
2,65.4457,41.2967,41296.7001
2,65.4578,41.3088,41308.8001
2,65.8899,41.7409,41740.9001
2,65.9314,41.7824,41782.4001
2,66.1243,41.9753,41975.3001
2,66.9304,42.7814,42781.4001
2,66.9488,42.7998,42799.8001
2,67.9723,43.8233,43823.3001
2,68.7645,44.6155,44615.5001
2,69.3181,45.1691,45169.1001
2,69.8227,45.6737,45673.7001
2,69.8667,45.7177,45717.7001
2,69.8852,45.7362,45736.2001
2,70.0104,45.8614,45861.4001
2,72.5353,48.3863,48386.3001
2,74.7275,50.5785,50578.5001
2,75.0520,50.9030,50903.0001
2,77.0996,52.9506,52950.6001
2,78.0719,53.9229,53922.9001
2,78.1158,53.9668,53966.8001
2,79.1589,55.0099,55009.9001
2,80.1994,56.0504,56050.4001
2,85.2482,61.0992,61099.2001
2,85.2750,61.1260,61126.0001
2,85.4876,61.3386,61338.6001
2,85.4919,61.3429,61342.9001
2,86.4107,62.2617,62261.7001
2,86.4211,62.2721,62272.1001
2,86.4905,62.3415,62341.5001
2,87.1994,63.0504,63050.4001
2,87.4928,63.3438,63343.8001
2,87.8566,63.7076,63707.6001
2,88.7485,64.5995,64599.5001
2,89.8147,65.6657,65665.7001
2,89.8463,65.6973,65697.3001
2,89.8598,65.7108,65710.8001
2,89.8731,65.7241,65724.1001
2,89.8938,65.7448,65744.8001
2,90.5643,66.4153,66415.3001
2,92.3157,68.1667,68166.7001
2,93.4092,69.2602,69260.2001
2,94.1558,70.0068,70006.8001
2,94.9456,70.7966,70796.6001
2,95.0283,70.8793,70879.3001
2,95.2223,71.0733,71073.3001
2,95.3941,71.2451,71245.1001
2,95.6780,71.5290,71529.0001
2,95.6896,71.5406,71540.6001
2,95.6950,71.5460,71546.0001
2,95.7013,71.5523,71552.3001
2,95.7171,71.5681,71568.1001
2,95.7637,71.6147,71614.7001
2,96.9093,72.7603,72760.3001
2,97.3132,73.1642,73164.2001
2,97.3463,73.1973,73197.3001
2,102.5724,78.4234,78423.4001
2,102.5932,78.4442,78444.2001
2,104.2316,80.0826,80082.6001
2,106.5019,82.3529,82352.9001
2,106.9115,82.7625,82762.5001
2,110.4349,86.2859,86285.9001
2,112.2176,88.0686,88068.6001
2,112.9162,88.7672,88767.2001
2,112.9898,88.8408,88840.8001
2,112.9965,88.8475,88847.5001
2,113.0625,88.9135,88913.5001
2,113.0700,88.9210,88921.0001
2,113.1230,88.9740,88974.0001
2,114.8305,90.6815,90681.5001
2,116.4613,92.3123,92312.3001
2,116.4639,92.3149,92314.9001
2,117.8977,93.7487,93748.7001
2,118.4920,94.3430,94343.0001
2,120.1251,95.9761,95976.1001
2,121.5955,97.4465,97446.5001
2,122.1589,98.0099,98009.9001
2,122.3577,98.2087,98208.7001
2,126.3781,102.2291,102229.1001
2,126.8794,102.7304,102730.4001
2,138.7056,114.5566,114556.6001
2,141.0906,116.9416,116941.6001
2,141.1193,116.9703,116970.3001
2,141.9724,117.8234,117823.4001
2,143.4317,119.2827,119282.7001
2,147.3459,123.1969,123196.9001
2,147.3478,123.1988,123198.8001
2,148.6421,124.4931,124493.1001
2,148.6493,124.5003,124500.3001
2,149.5532,125.4042,125404.2001
2,150.4581,126.3091,126309.1001
2,150.4707,126.3217,126321.7001
2,155.3261,131.1771,131177.1001
2,155.4268,131.2778,131277.8001
2,155.7372,131.5882,131588.2001
2,155.7494,131.6004,131600.4001
2,158.0964,133.9474,133947.4001
2,158.3484,134.1994,134199.4001
2,158.9793,134.8303,134830.3001
2,159.1273,134.9783,134978.3001
2,160.1232,135.9742,135974.2001
2,160.1775,136.0285,136028.5001
2,160.4940,136.3450,136345.0001
2,160.8617,136.7127,136712.7001
2,160.8753,136.7263,136726.3001
2,160.9307,136.7817,136781.7001
2,165.2372,141.0882,141088.2001
2,165.2528,141.1038,141103.8001
2,165.2655,141.1165,141116.5001
2,166.9668,142.8178,142817.8001
2,171.9347,147.7857,147785.7001
2,171.9604,147.8114,147811.4001
2,175.2750,151.1260,151126.0001
2,175.3685,151.2195,151219.5001
2,175.3851,151.2361,151236.1001
2,175.3898,151.2408,151240.8001
2,175.4917,151.3427,151342.7001
2,175.6210,151.4720,151472.0001
2,176.2305,152.0815,152081.5001
2,176.2631,152.1141,152114.1001
2,176.3189,152.1699,152169.9001
2,176.9199,152.7709,152770.9001
2,178.1993,154.0503,154050.3001
2,178.2385,154.0895,154089.5001
2,178.2665,154.1175,154117.5001
2,181.6610,157.5120,157512.0001
2,181.6748,157.5258,157525.8001
2,182.8925,158.7435,158743.5001
2,183.6184,159.4694,159469.4001
2,183.7586,159.6096,159609.6001
2,184.1934,160.0444,160044.4001
2,184.2913,160.1423,160142.3001
2,184.3045,160.1555,160155.5001
2,184.4573,160.3083,160308.3001
2,184.4692,160.3202,160320.2001
2,184.4754,160.3264,160326.4001
2,184.4813,160.3323,160332.3001
2,184.5107,160.3617,160361.7001
2,184.5624,160.4134,160413.4001
2,184.5746,160.4256,160425.6001
2,185.1186,160.9696,160969.6001
2,185.7454,161.5964,161596.4001
2,186.1242,161.9752,161975.2001
2,186.3865,162.2375,162237.5001
2,187.0899,162.9409,162940.9001
2,188.4280,164.2790,164279.0001
2,188.5254,164.3764,164376.4001
2,188.6082,164.4592,164459.2001
2,188.6277,164.4787,164478.7001
2,188.6420,164.4930,164493.0001
2,189.9357,165.7867,165786.7001
2,193.1421,168.9931,168993.1001
2,193.2350,169.0860,169086.0001
2,196.5895,172.4405,172440.5001
2,197.9988,173.8498,173849.8001
2,198.2330,174.0840,174084.0001
2,199.9542,175.8052,175805.2001
2,200.0017,175.8527,175852.7001
2,200.0123,175.8633,175863.3001
2,200.0327,175.8837,175883.7001
2,200.3064,176.1574,176157.4001
2,200.8610,176.7120,176712.0001
2,201.0826,176.9336,176933.6001
2,205.1250,180.9760,180976.0001
2,208.9335,184.7845,184784.5001
2,211.2286,187.0796,187079.6001
2,212.7162,188.5672,188567.2001
2,213.0209,188.8719,188871.9001
2,216.8645,192.7155,192715.5001
2,217.1611,193.0121,193012.1001
2,221.2677,197.1187,197118.7001
2,221.2790,197.1300,197130.0001
2,221.3286,197.1796,197179.6001
2,221.5210,197.3720,197372.0001
2,221.5491,197.4001,197400.1001
2,225.9791,201.8301,201830.1001
2,227.9107,203.7617,203761.7001
2,228.4328,204.2838,204283.8001
2,228.4750,204.3260,204326.0001
2,229.0141,204.8651,204865.1001
2,229.0252,204.8762,204876.2001
2,230.3442,206.1952,206195.2001
2,231.6191,207.4701,207470.1001
2,231.6522,207.5032,207503.2001
2,232.4245,208.2755,208275.5001
2,236.8177,212.6687,212668.7001
2,238.6892,214.5402,214540.2001
2,238.8487,214.6997,214699.7001
2,239.4587,215.3097,215309.7001
2,239.4736,215.3246,215324.6001
2,239.5373,215.3883,215388.3001
2,240.0921,215.9431,215943.1001
2,240.1378,215.9888,215988.8001
2,240.4538,216.3048,216304.8001
2,240.4868,216.3378,216337.8001
2,240.5052,216.3562,216356.2001
2,240.7860,216.6370,216637.0001
2,241.4518,217.3028,217302.8001
2,241.4691,217.3201,217320.1001
2,241.5273,217.3783,217378.3001
2,241.5321,217.3831,217383.1001
2,245.7968,221.6478,221647.8001
2,245.8218,221.6728,221672.8001
2,246.6637,222.5147,222514.7001
2,249.2793,225.1303,225130.3001
2,249.4064,225.2574,225257.4001
2,249.4238,225.2748,225274.8001
2,250.3832,226.2342,226234.2001
2,250.3985,226.2495,226249.5001
2,250.5924,226.4434,226443.4001
2,255.2166,231.0676,231067.6001
2,255.2289,231.0799,231079.9001
2,255.2533,231.1043,231104.3001
2,255.3337,231.1847,231184.7001
2,255.3984,231.2494,231249.4001
2,260.5421,236.3931,236393.1001
2,260.5583,236.4093,236409.3001
2,260.5808,236.4318,236431.8001
2,261.2365,237.0875,237087.5001
2,261.8052,237.6562,237656.2001
2,261.8384,237.6894,237689.4001
2,262.5760,238.4270,238427.0001
2,262.6394,238.4904,238490.4001
2,262.6654,238.5164,238516.4001
2,262.6726,238.5236,238523.6001
2,262.7962,238.6472,238647.2001
2,262.9749,238.8259,238825.9001
2,263.8689,239.7199,239719.9001
2,264.7747,240.6257,240625.7001
2,266.1681,242.0191,242019.1001
2,266.1747,242.0257,242025.7001
2,266.1884,242.0394,242039.4001
2,267.2864,243.1374,243137.4001
2,272.4346,248.2856,248285.6001
2,274.2479,250.0989,250098.9001
2,274.6021,250.4531,250453.1001
2,275.2704,251.1214,251121.4001
2,276.4317,252.2827,252282.7001
2,278.3892,254.2402,254240.2001
2,280.4539,256.3049,256304.9001
2,283.3369,259.1879,259187.9001
2,283.3508,259.2018,259201.8001
2,283.3548,259.2058,259205.8001
2,283.3636,259.2146,259214.6001
2,284.3725,260.2235,260223.5001
2,285.1724,261.0234,261023.4001
2,285.2131,261.0641,261064.1001
2,285.2298,261.0808,261080.8001
2,285.3003,261.1513,261151.3001
2,286.1934,262.0444,262044.4001
2,286.7969,262.6479,262647.9001
2,291.4375,267.2885,267288.5001
2,293.1237,268.9747,268974.7001
2,294.4304,270.2814,270281.4001
2,294.5346,270.3856,270385.6001
2,294.5518,270.4028,270402.8001
2,299.4607,275.3117,275311.7001
2,300.2625,276.1135,276113.5001
2,301.5259,277.3769,277376.9001
2,301.5672,277.4182,277418.2001
2,303.2856,279.1366,279136.6001
2,304.9912,280.8422,280842.2001
2,309.4656,285.3166,285316.6001
2,314.1297,289.9807,289980.7001
2,314.1368,289.9878,289987.8001
2,314.3339,290.1849,290184.9001
2,314.3763,290.2273,290227.3001
2,314.4292,290.2802,290280.2001
2,314.6207,290.4717,290471.7001
2,315.0217,290.8727,290872.7001
2,317.9431,293.7941,293794.1001
2,317.9763,293.8273,293827.3001
2,321.0528,296.9038,296903.8001
2,328.2872,304.1382,304138.2001
2,328.2948,304.1458,304145.8001
2,328.2993,304.1503,304150.3001
2,328.3011,304.1521,304152.1001
2,329.9738,305.8248,305824.8001
2,337.7275,313.5785,313578.5001
2,337.7656,313.6166,313616.6001
2,337.7726,313.6236,313623.6001
2,337.7842,313.6352,313635.2001
2,337.7892,313.6402,313640.2001
2,341.7088,317.5598,317559.8001
2,345.8885,321.7395,321739.5001
2,352.0784,327.9294,327929.4001
2,353.0360,328.8870,328887.0001
2,354.7803,330.6313,330631.3001
2,354.7870,330.6380,330638.0001
2,354.7944,330.6454,330645.4001
2,354.7997,330.6507,330650.7001
2,354.9108,330.7618,330761.8001
2,356.8818,332.7328,332732.8001
2,358.9352,334.7862,334786.2001
2,359.5623,335.4133,335413.3001
2,359.6354,335.4864,335486.4001
2,359.7745,335.6255,335625.5001
2,363.8376,339.6886,339688.6001
2,365.1128,340.9638,340963.8001
2,365.1432,340.9942,340994.2001
2,365.2696,341.1206,341120.6001
2,366.8276,342.6786,342678.6001
2,366.9042,342.7552,342755.2001
2,367.3626,343.2136,343213.6001
2,371.6689,347.5199,347519.9001
2,372.2068,348.0578,348057.8001
2,373.3243,349.1753,349175.3001
2,373.3364,349.1874,349187.4001
2,373.3891,349.2401,349240.1001
2,373.4131,349.2641,349264.1001
2,374.7844,350.6354,350635.4001
2,374.8456,350.6966,350696.6001
2,374.9263,350.7773,350777.3001
2,375.1464,350.9974,350997.4001
2,375.1518,351.0028,351002.8001
2,375.4690,351.3200,351320.0001
2,377.9242,353.7752,353775.2001
2,377.9287,353.7797,353779.7001
2,378.4742,354.3252,354325.2001
