units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,47.4402,23.2912,23291.2001
1,54.1769,30.0279,30027.9001
1,57.0159,32.8669,32866.9001
1,74.9521,50.8031,50803.1001
1,78.2250,54.0760,54076.0001
1,83.0558,58.9068,58906.8001
1,84.4929,60.3439,60343.9001
1,91.8975,67.7485,67748.5001
1,140.6167,116.4677,116467.7001
1,147.1999,123.0509,123050.9001
1,179.4442,155.2952,155295.2001
1,199.0503,174.9013,174901.3001
1,239.1766,215.0276,215027.6001
1,256.9933,232.8443,232844.3001
1,257.7116,233.5626,233562.6001
1,284.2865,260.1375,260137.5001
1,310.1560,286.0070,286007.0001
1,322.3164,298.1674,298167.4001
1,329.3354,305.1864,305186.4001
1,347.4639,323.3149,323314.9001
1,351.0717,326.9227,326922.7001
1,356.8282,332.6792,332679.2001
1,361.4302,337.2812,337281.2001
1,398.0143,373.8653,373865.3001
1,440.0511,415.9021,415902.1001
1,451.2062,427.0572,427057.2001
1,451.2173,427.0683,427068.3001
1,451.3027,427.1537,427153.7001
1,476.2014,452.0524,452052.4001
1,500.9388,476.7898,476789.8001
1,517.6803,493.5313,493531.3001
1,520.0361,495.8871,495887.1001
1,541.0978,516.9488,516948.8001
1,543.2105,519.0615,519061.5001
1,546.2773,522.1283,522128.3001
1,549.8177,525.6687,525668.7001
1,556.5129,532.3639,532363.9001
1,572.7315,548.5825,548582.5001
1,578.5200,554.3710,554371.0001
1,586.9615,562.8125,562812.5001
1,596.1516,572.0026,572002.6001
1,605.3820,581.2330,581233.0001
1,611.6455,587.4965,587496.5001
1,627.6818,603.5328,603532.8001
1,632.6283,608.4793,608479.3001
1,643.8295,619.6805,619680.5001
1,649.5548,625.4058,625405.8001
1,660.7584,636.6094,636609.4001
1,664.5303,640.3813,640381.3001
1,670.7447,646.5957,646595.7001
1,684.6467,660.4977,660497.7001
1,685.2895,661.1405,661140.5001
1,688.6131,664.4641,664464.1001
1,689.2937,665.1447,665144.7001
1,690.6559,666.5069,666506.9001
1,694.8739,670.7249,670724.9001
1,695.1078,670.9588,670958.8001
1,700.4008,676.2518,676251.8001
1,702.9274,678.7784,678778.4001
1,706.6473,682.4983,682498.3001
1,708.2127,684.0637,684063.7001
1,711.2657,687.1167,687116.7001
1,715.0834,690.9344,690934.4001
1,741.0595,716.9105,716910.5001
1,744.5646,720.4156,720415.6001
1,748.0506,723.9016,723901.6001
1,752.3899,728.2409,728240.9001
1,754.9679,730.8189,730818.9001
1,756.0950,731.9460,731946.0001
1,760.3574,736.2084,736208.4001
1,765.7811,741.6321,741632.1001
1,765.9193,741.7703,741770.3001
1,767.4058,743.2568,743256.8001
1,768.3662,744.2172,744217.2001
1,769.7579,745.6089,745608.9001
1,792.9716,768.8226,768822.6001
1,799.8849,775.7359,775735.9001
1,800.6203,776.4713,776471.3001
1,800.8752,776.7262,776726.2001
1,804.0677,779.9187,779918.7001
