units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,542.9453,518.7963,518796.3001,3,1.0-518795-520197,264.0000,1.0000,0,61,True,518795.0000,520197.0000,1.3001,0.0013
1,543.0177,518.8687,518868.7001,3,1.0-518795-520197,264.0000,1.0000,0,61,True,518795.0000,520197.0000,73.7001,0.0737
1,543.0403,518.8913,518891.3001,3,1.0-518795-520197,264.0000,1.0000,0,61,True,518795.0000,520197.0000,96.3001,0.0963
1,543.0575,518.9085,518908.5001,3,1.0-518795-520197,264.0000,1.0000,0,61,True,518795.0000,520197.0000,113.5001,0.1135
1,543.1001,518.9511,518951.1001,3,1.0-518795-520197,264.0000,1.0000,0,61,True,518795.0000,520197.0000,156.1001,0.1561
1,543.1211,518.9721,518972.1001,3,1.0-518795-520197,264.0000,1.0000,0,61,True,518795.0000,520197.0000,177.1001,0.1771
1,543.5671,519.4181,519418.1001,3,1.0-518795-520197,264.0000,1.0000,0,61,True,518795.0000,520197.0000,623.1001,0.6231
1,543.7238,519.5748,519574.8001,3,1.0-518795-520197,264.0000,1.0000,0,61,True,518795.0000,520197.0000,779.8001,0.7798
1,543.7907,519.6417,519641.7001,3,1.0-518795-520197,264.0000,1.0000,0,61,True,518795.0000,520197.0000,846.7001,0.8467
1,543.8164,519.6674,519667.4001,3,1.0-518795-520197,264.0000,1.0000,0,61,True,518795.0000,520197.0000,872.4001,0.8724
1,543.8338,519.6848,519684.8001,3,1.0-518795-520197,264.0000,1.0000,0,61,True,518795.0000,520197.0000,889.8001,0.8898
1,544.1377,519.9887,519988.7001,3,1.0-518795-520197,264.0000,1.0000,0,61,True,518795.0000,520197.0000,1193.7001,1.1937
1,544.2671,520.1181,520118.1001,3,1.0-518795-520197,264.0000,1.0000,0,61,True,518795.0000,520197.0000,1323.1001,1.3231
1,1106.7158,1082.5668,1082566.8001,15,1.0-1080665-1082667,458.0000,1.0000,1,8,True,1080665.0000,1082667.0000,1901.8001,1.9018
1,1570.5279,1546.3789,1546378.9001,21,1.0-1545943-1547110,627.0000,1.0000,1,13,True,1545943.0000,1547110.0000,435.9001,0.4359
1,1570.7676,1546.6186,1546618.6001,21,1.0-1545943-1547110,627.0000,1.0000,1,13,True,1545943.0000,1547110.0000,675.6001,0.6756
1,1571.0183,1546.8693,1546869.3001,21,1.0-1545943-1547110,627.0000,1.0000,1,13,True,1545943.0000,1547110.0000,926.3001,0.9263
1,1571.2331,1547.0841,1547084.1001,21,1.0-1545943-1547110,627.0000,1.0000,1,13,True,1545943.0000,1547110.0000,1141.1001,1.1411
1,1062.4440,1038.2950,1038295.0001,23,1.0-1037824-1040694,444.0000,1.0000,1,15,True,1037824.0000,1040694.0000,471.0001,0.4710
1,1063.0724,1038.9234,1038923.4001,23,1.0-1037824-1040694,444.0000,1.0000,1,15,True,1037824.0000,1040694.0000,1099.4001,1.0994
1,1063.4202,1039.2712,1039271.2001,23,1.0-1037824-1040694,444.0000,1.0000,1,15,True,1037824.0000,1040694.0000,1447.2001,1.4472
1,1063.6726,1039.5236,1039523.6001,23,1.0-1037824-1040694,444.0000,1.0000,1,15,True,1037824.0000,1040694.0000,1699.6001,1.6996
1,1063.9358,1039.7868,1039786.8001,23,1.0-1037824-1040694,444.0000,1.0000,1,15,True,1037824.0000,1040694.0000,1962.8001,1.9628
1,1064.2863,1040.1373,1040137.3001,23,1.0-1037824-1040694,444.0000,1.0000,1,15,True,1037824.0000,1040694.0000,2313.3001,2.3133
1,1707.9361,1683.7871,1683787.1001,43,1.0-1683207-1684675,688.0000,1.0000,1,33,True,1683207.0000,1684675.0000,580.1001,0.5801
1,1395.8790,1371.7300,1371730.0001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,87.0001,0.0870
1,1396.0841,1371.9351,1371935.1001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,292.1001,0.2921
1,1396.2934,1372.1444,1372144.4001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,501.4001,0.5014
1,1396.4084,1372.2594,1372259.4001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,616.4001,0.6164
1,1396.7494,1372.6004,1372600.4001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,957.4001,0.9574
1,1396.8191,1372.6701,1372670.1001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,1027.1001,1.0271
1,1396.8633,1372.7143,1372714.3001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,1071.3001,1.0713
1,1396.8923,1372.7433,1372743.3001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,1100.3001,1.1003
1,1396.9186,1372.7696,1372769.6001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,1126.6001,1.1266
1,1397.1632,1373.0142,1373014.2001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,1371.2001,1.3712
1,1397.2315,1373.0825,1373082.5001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,1439.5001,1.4395
1,1397.3470,1373.1980,1373198.0001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,1555.0001,1.5550
1,1397.3957,1373.2467,1373246.7001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,1603.7001,1.6037
1,1397.4737,1373.3247,1373324.7001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,1681.7001,1.6817
1,1397.5285,1373.3795,1373379.5001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,1736.5001,1.7365
1,233.1628,209.0138,209013.8001,45,1.0-208933-209867,125.0000,1.0000,0,69,True,208933.0000,209867.0000,80.8001,0.0808
1,233.3509,209.2019,209201.9001,45,1.0-208933-209867,125.0000,1.0000,0,69,True,208933.0000,209867.0000,268.9001,0.2689
1,69.1156,44.9666,44966.6001,46,1.0-44609-47579,24.0000,1.0000,1,35,True,44609.0000,47579.0000,357.6001,0.3576
1,547.4838,523.3348,523334.8001,53,1.0-522899-524901,267.0000,1.0000,1,42,True,522899.0000,524901.0000,435.8001,0.4358
1,547.9171,523.7681,523768.1001,53,1.0-522899-524901,267.0000,1.0000,1,42,True,522899.0000,524901.0000,869.1001,0.8691
1,1438.2675,1414.1185,1414118.5001,54,1.0-1413883-1415752,560.0000,1.0000,1,43,True,1413883.0000,1415752.0000,235.5001,0.2355
1,1438.4086,1414.2596,1414259.6001,54,1.0-1413883-1415752,560.0000,1.0000,1,43,True,1413883.0000,1415752.0000,376.6001,0.3766
1,1438.9894,1414.8404,1414840.4001,54,1.0-1413883-1415752,560.0000,1.0000,1,43,True,1413883.0000,1415752.0000,957.4001,0.9574
1,1439.3808,1415.2318,1415231.8001,54,1.0-1413883-1415752,560.0000,1.0000,1,43,True,1413883.0000,1415752.0000,1348.8001,1.3488
1,1439.7181,1415.5691,1415569.1001,54,1.0-1413883-1415752,560.0000,1.0000,1,43,True,1413883.0000,1415752.0000,1686.1001,1.6861
1,1439.7410,1415.5920,1415592.0001,54,1.0-1413883-1415752,560.0000,1.0000,1,43,True,1413883.0000,1415752.0000,1709.0001,1.7090
1,1439.7605,1415.6115,1415611.5001,54,1.0-1413883-1415752,560.0000,1.0000,1,43,True,1413883.0000,1415752.0000,1728.5001,1.7285
1,1439.7940,1415.6450,1415645.0001,54,1.0-1413883-1415752,560.0000,1.0000,1,43,True,1413883.0000,1415752.0000,1762.0001,1.7620
1,1439.8974,1415.7484,1415748.4001,54,1.0-1413883-1415752,560.0000,1.0000,1,43,True,1413883.0000,1415752.0000,1865.4001,1.8654
1,2434.7905,2410.6415,2410641.5001,58,1.0-2410234-2411402,990.0000,1.0000,1,46,True,2410234.0000,2411402.0000,407.5001,0.4075
1,2030.2469,2006.0979,2006097.9001,66,1.0-2005415-2006816,833.0000,1.0000,0,71,True,2005415.0000,2006816.0000,682.9001,0.6829
1,612.2779,588.1289,588128.9001,71,1.0-586593-589496,290.0000,1.0000,0,73,True,586593.0000,589496.0000,1535.9001,1.5359
