units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1921.6322,1897.4832,1897483.2001,4,1.0-1895843-1898079,799.0000,1.0000,0,62,True,1895843.0000,1898079.0000,1640.2001,1.6402
1,1921.8120,1897.6630,1897663.0001,4,1.0-1895843-1898079,799.0000,1.0000,0,62,True,1895843.0000,1898079.0000,1820.0001,1.8200
1,1922.0901,1897.9411,1897941.1001,4,1.0-1895843-1898079,799.0000,1.0000,0,62,True,1895843.0000,1898079.0000,2098.1001,2.0981
1,640.5926,616.4436,616443.6001,7,1.0-616388-619391,300.0000,1.0000,1,3,True,616388.0000,619391.0000,55.6001,0.0556
1,1980.4540,1956.3050,1956305.0001,10,1.0-1954466-1957469,818.0000,1.0000,0,64,True,1954466.0000,1957469.0000,1839.0001,1.8390
1,1980.7513,1956.6023,1956602.3001,10,1.0-1954466-1957469,818.0000,1.0000,0,64,True,1954466.0000,1957469.0000,2136.3001,2.1363
1,1627.1006,1602.9516,1602951.6001,11,1.0-1602764-1605533,650.0000,1.0000,1,5,True,1602764.0000,1605533.0000,187.6001,0.1876
1,1627.1550,1603.0060,1603006.0001,11,1.0-1602764-1605533,650.0000,1.0000,1,5,True,1602764.0000,1605533.0000,242.0001,0.2420
1,1627.8551,1603.7061,1603706.1001,11,1.0-1602764-1605533,650.0000,1.0000,1,5,True,1602764.0000,1605533.0000,942.1001,0.9421
1,333.2546,309.1056,309105.6001,12,1.0-307894-310296,173.0000,1.0000,0,65,True,307894.0000,310296.0000,1211.6001,1.2116
1,333.3774,309.2284,309228.4001,12,1.0-307894-310296,173.0000,1.0000,0,65,True,307894.0000,310296.0000,1334.4001,1.3344
1,333.5581,309.4091,309409.1001,12,1.0-307894-310296,173.0000,1.0000,0,65,True,307894.0000,310296.0000,1515.1001,1.5151
1,1106.7423,1082.5933,1082593.3001,15,1.0-1080665-1082667,458.0000,1.0000,1,8,True,1080665.0000,1082667.0000,1928.3001,1.9283
1,62.3678,38.2188,38218.8001,16,1.0-37569-38670,19.0000,1.0000,1,9,True,37569.0000,38670.0000,649.8001,0.6498
1,127.0785,102.9295,102929.5001,18,1.0-102298-103065,58.0000,1.0000,1,11,True,102298.0000,103065.0000,631.5001,0.6315
1,1478.9316,1454.7826,1454782.6001,20,1.0-1454722-1455890,577.0000,1.0000,1,12,True,1454722.0000,1455890.0000,60.6001,0.0606
1,1062.2269,1038.0779,1038077.9001,23,1.0-1037824-1040694,444.0000,1.0000,1,15,True,1037824.0000,1040694.0000,253.9001,0.2539
1,2442.9947,2418.8457,2418845.7001,25,1.0-2418476-2421479,995.0000,1.0000,1,17,True,2418476.0000,2421479.0000,369.7001,0.3697
1,2445.5317,2421.3827,2421382.7001,25,1.0-2418476-2421479,995.0000,1.0000,1,17,True,2418476.0000,2421479.0000,2906.7001,2.9067
1,2082.7609,2058.6119,2058611.9001,27,1.0-2057598-2059666,857.0000,1.0000,1,19,True,2057598.0000,2059666.0000,1013.9001,1.0139
1,2082.9271,2058.7781,2058778.1001,27,1.0-2057598-2059666,857.0000,1.0000,1,19,True,2057598.0000,2059666.0000,1180.1001,1.1801
1,2083.7094,2059.5604,2059560.4001,27,1.0-2057598-2059666,857.0000,1.0000,1,19,True,2057598.0000,2059666.0000,1962.4001,1.9624
1,1580.9532,1556.8042,1556804.2001,29,1.0-1556786-1558788,634.0000,1.0000,1,21,True,1556786.0000,1558788.0000,18.2001,0.0182
1,1015.8556,991.7066,991706.6001,31,1.0-990779-993682,427.0000,1.0000,1,22,True,990779.0000,993682.0000,927.6001,0.9276
1,720.5034,696.3544,696354.4001,32,1.0-695798-697433,326.0000,1.0000,1,23,True,695798.0000,697433.0000,556.4001,0.5564
1,720.6062,696.4572,696457.2001,32,1.0-695798-697433,326.0000,1.0000,1,23,True,695798.0000,697433.0000,659.2001,0.6592
1,160.0311,135.8821,135882.1001,35,1.0-134962-137798,79.0000,1.0000,1,26,True,134962.0000,137798.0000,920.1001,0.9201
1,2105.2496,2081.1006,2081100.6001,36,1.0-2080620-2082822,867.0000,1.0000,1,27,True,2080620.0000,2082822.0000,480.6001,0.4806
1,1525.0457,1500.8967,1500896.7001,37,1.0-1500399-1502868,600.0000,1.0000,1,28,True,1500399.0000,1502868.0000,497.7001,0.4977
1,1526.2050,1502.0560,1502056.0001,37,1.0-1500399-1502868,600.0000,1.0000,1,28,True,1500399.0000,1502868.0000,1657.0001,1.6570
1,1526.8429,1502.6939,1502693.9001,37,1.0-1500399-1502868,600.0000,1.0000,1,28,True,1500399.0000,1502868.0000,2294.9001,2.2949
1,1526.9441,1502.7951,1502795.1001,37,1.0-1500399-1502868,600.0000,1.0000,1,28,True,1500399.0000,1502868.0000,2396.1001,2.3961
1,234.6133,210.4643,210464.3001,38,1.0-209934-212136,126.0000,1.0000,1,29,True,209934.0000,212136.0000,530.3001,0.5303
1,1662.8655,1638.7165,1638716.5001,39,1.0-1637664-1640666,666.0000,1.0000,1,30,True,1637664.0000,1640666.0000,1052.5001,1.0525
1,1663.2387,1639.0897,1639089.7001,39,1.0-1637664-1640666,666.0000,1.0000,1,30,True,1637664.0000,1640666.0000,1425.7001,1.4257
1,210.5479,186.3989,186398.9001,41,1.0-184243-187145,109.0000,1.0000,0,68,True,184243.0000,187145.0000,2155.9001,2.1559
1,210.6859,186.5369,186536.9001,41,1.0-184243-187145,109.0000,1.0000,0,68,True,184243.0000,187145.0000,2293.9001,2.2939
1,1397.4015,1373.2525,1373252.5001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,1609.5001,1.6095
1,1397.6431,1373.4941,1373494.1001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,1851.1001,1.8511
1,1397.7292,1373.5802,1373580.2001,44,1.0-1371643-1373645,548.0000,1.0000,1,34,True,1371643.0000,1373645.0000,1937.2001,1.9372
1,233.6011,209.4521,209452.1001,45,1.0-208933-209867,125.0000,1.0000,0,69,True,208933.0000,209867.0000,519.1001,0.5191
1,1895.4140,1871.2650,1871265.0001,48,1.0-1871220-1873355,783.0000,1.0000,1,37,True,1871220.0000,1873355.0000,45.0001,0.0450
1,1895.5376,1871.3886,1871388.6001,48,1.0-1871220-1873355,783.0000,1.0000,1,37,True,1871220.0000,1873355.0000,168.6001,0.1686
1,1895.9445,1871.7955,1871795.5001,48,1.0-1871220-1873355,783.0000,1.0000,1,37,True,1871220.0000,1873355.0000,575.5001,0.5755
1,1896.1499,1872.0009,1872000.9001,48,1.0-1871220-1873355,783.0000,1.0000,1,37,True,1871220.0000,1873355.0000,780.9001,0.7809
1,1896.7521,1872.6031,1872603.1001,48,1.0-1871220-1873355,783.0000,1.0000,1,37,True,1871220.0000,1873355.0000,1383.1001,1.3831
1,1606.8043,1582.6553,1582655.3001,50,1.0-1581176-1583178,643.0000,1.0000,1,39,True,1581176.0000,1583178.0000,1479.3001,1.4793
1,1341.3023,1317.1533,1317153.3001,52,1.0-1317091-1320094,535.0000,1.0000,1,41,True,1317091.0000,1320094.0000,62.3001,0.0623
1,1341.8357,1317.6867,1317686.7001,52,1.0-1317091-1320094,535.0000,1.0000,1,41,True,1317091.0000,1320094.0000,595.7001,0.5957
1,1341.9221,1317.7731,1317773.1001,52,1.0-1317091-1320094,535.0000,1.0000,1,41,True,1317091.0000,1320094.0000,682.1001,0.6821
1,1342.1426,1317.9936,1317993.6001,52,1.0-1317091-1320094,535.0000,1.0000,1,41,True,1317091.0000,1320094.0000,902.6001,0.9026
1,1342.2185,1318.0695,1318069.5001,52,1.0-1317091-1320094,535.0000,1.0000,1,41,True,1317091.0000,1320094.0000,978.5001,0.9785
1,1342.2422,1318.0932,1318093.2001,52,1.0-1317091-1320094,535.0000,1.0000,1,41,True,1317091.0000,1320094.0000,1002.2001,1.0022
1,1342.3161,1318.1671,1318167.1001,52,1.0-1317091-1320094,535.0000,1.0000,1,41,True,1317091.0000,1320094.0000,1076.1001,1.0761
1,1342.3590,1318.2100,1318210.0001,52,1.0-1317091-1320094,535.0000,1.0000,1,41,True,1317091.0000,1320094.0000,1119.0001,1.1190
1,1343.0345,1318.8855,1318885.5001,52,1.0-1317091-1320094,535.0000,1.0000,1,41,True,1317091.0000,1320094.0000,1794.5001,1.7945
1,1343.3776,1319.2286,1319228.6001,52,1.0-1317091-1320094,535.0000,1.0000,1,41,True,1317091.0000,1320094.0000,2137.6001,2.1376
1,1343.4984,1319.3494,1319349.4001,52,1.0-1317091-1320094,535.0000,1.0000,1,41,True,1317091.0000,1320094.0000,2258.4001,2.2584
1,1439.0811,1414.9321,1414932.1001,54,1.0-1413883-1415752,560.0000,1.0000,1,43,True,1413883.0000,1415752.0000,1049.1001,1.0491
1,1858.0333,1833.8843,1833884.3001,56,1.0-1833884-1835586,758.0000,1.0000,1,44,True,1833884.0000,1835586.0000,0.3001,0.0003
1,1858.3739,1834.2249,1834224.9001,56,1.0-1833884-1835586,758.0000,1.0000,1,44,True,1833884.0000,1835586.0000,340.9001,0.3409
1,1858.7062,1834.5572,1834557.2001,56,1.0-1833884-1835586,758.0000,1.0000,1,44,True,1833884.0000,1835586.0000,673.2001,0.6732
1,1858.7746,1834.6256,1834625.6001,56,1.0-1833884-1835586,758.0000,1.0000,1,44,True,1833884.0000,1835586.0000,741.6001,0.7416
1,1858.8491,1834.7001,1834700.1001,56,1.0-1833884-1835586,758.0000,1.0000,1,44,True,1833884.0000,1835586.0000,816.1001,0.8161
1,1859.2986,1835.1496,1835149.6001,56,1.0-1833884-1835586,758.0000,1.0000,1,44,True,1833884.0000,1835586.0000,1265.6001,1.2656
1,933.8569,909.7079,909707.9001,57,1.0-909168-910669,394.0000,1.0000,1,45,True,909168.0000,910669.0000,539.9001,0.5399
1,934.2064,910.0574,910057.4001,57,1.0-909168-910669,394.0000,1.0000,1,45,True,909168.0000,910669.0000,889.4001,0.8894
1,2435.1505,2411.0015,2411001.5001,58,1.0-2410234-2411402,990.0000,1.0000,1,46,True,2410234.0000,2411402.0000,767.5001,0.7675
1,605.6526,581.5036,581503.6001,61,1.0-581121-582156,287.0000,1.0000,1,49,True,581121.0000,582156.0000,382.6001,0.3826
1,355.4166,331.2676,331267.6001,63,1.0-331083-334052,187.0000,1.0000,1,51,True,331083.0000,334052.0000,184.6001,0.1846
1,2062.3176,2038.1686,2038168.6001,65,1.0-2036711-2039447,848.0000,1.0000,1,53,True,2036711.0000,2039447.0000,1457.6001,1.4576
1,1182.0316,1157.8826,1157882.6001,67,1.0-1156871-1158940,477.0000,1.0000,1,54,True,1156871.0000,1158940.0000,1011.6001,1.0116
1,1182.1303,1157.9813,1157981.3001,67,1.0-1156871-1158940,477.0000,1.0000,1,54,True,1156871.0000,1158940.0000,1110.3001,1.1103
1,1472.3114,1448.1624,1448162.4001,68,1.0-1446781-1448716,574.0000,1.0000,1,55,True,1446781.0000,1448716.0000,1381.4001,1.3814
1,1472.3921,1448.2431,1448243.1001,68,1.0-1446781-1448716,574.0000,1.0000,1,55,True,1446781.0000,1448716.0000,1462.1001,1.4621
1,516.1291,491.9801,491980.1001,69,1.0-491436-493171,257.0000,1.0000,1,56,True,491436.0000,493171.0000,544.1001,0.5441
1,2417.1686,2393.0196,2393019.6001,72,1.0-2390082-2393085,981.0000,1.0000,0,74,True,2390082.0000,2393085.0000,2937.6001,2.9376
1,918.1782,894.0292,894029.2001,75,1.0-893820-895655,387.0000,1.0000,0,75,True,893820.0000,895655.0000,209.2001,0.2092
