units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,476.2409,452.0919,452091.9001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,660.9001,0.6609
1,476.2778,452.1288,452128.8001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,697.8001,0.6978
1,476.5560,452.4070,452407.0001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,976.0001,0.9760
1,476.6035,452.4545,452454.5001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1023.5001,1.0235
1,476.6251,452.4761,452476.1001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1045.1001,1.0451
1,476.7388,452.5898,452589.8001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1158.8001,1.1588
1,476.7769,452.6279,452627.9001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1196.9001,1.1969
1,476.7944,452.6454,452645.4001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1214.4001,1.2144
1,476.8022,452.6532,452653.2001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1222.2001,1.2222
1,476.8111,452.6621,452662.1001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1231.1001,1.2311
1,476.8322,452.6832,452683.2001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1252.2001,1.2522
1,476.8399,452.6909,452690.9001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1259.9001,1.2599
1,476.8777,452.7287,452728.7001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1297.7001,1.2977
1,476.9125,452.7635,452763.5001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1332.5001,1.3325
1,476.9909,452.8419,452841.9001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1410.9001,1.4109
1,477.0438,452.8948,452894.8001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1463.8001,1.4638
1,477.0553,452.9063,452906.3001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1475.3001,1.4753
1,477.1016,452.9526,452952.6001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1521.6001,1.5216
1,477.1264,452.9774,452977.4001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1546.4001,1.5464
1,477.2062,453.0572,453057.2001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1626.2001,1.6262
1,477.2215,453.0725,453072.5001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1641.5001,1.6415
1,477.2557,453.1067,453106.7001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1675.7001,1.6757
1,477.2656,453.1166,453116.6001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1685.6001,1.6856
1,477.3354,453.1864,453186.4001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1755.4001,1.7554
1,477.3541,453.2051,453205.1001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1774.1001,1.7741
1,477.3694,453.2204,453220.4001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1789.4001,1.7894
1,477.4084,453.2594,453259.4001,1,1.0-451431-453266,246.0000,1.0000,0,59,True,451431.0000,453266.0000,1828.4001,1.8284
1,2351.3107,2327.1617,2327161.7001,2,1.0-2326354-2327722,954.0000,1.0000,0,60,True,2326354.0000,2327722.0000,807.7001,0.8077
1,2351.3672,2327.2182,2327218.2001,2,1.0-2326354-2327722,954.0000,1.0000,0,60,True,2326354.0000,2327722.0000,864.2001,0.8642
1,2351.4171,2327.2681,2327268.1001,2,1.0-2326354-2327722,954.0000,1.0000,0,60,True,2326354.0000,2327722.0000,914.1001,0.9141
1,2351.4539,2327.3049,2327304.9001,2,1.0-2326354-2327722,954.0000,1.0000,0,60,True,2326354.0000,2327722.0000,950.9001,0.9509
1,2351.4945,2327.3455,2327345.5001,2,1.0-2326354-2327722,954.0000,1.0000,0,60,True,2326354.0000,2327722.0000,991.5001,0.9915
1,2351.5999,2327.4509,2327450.9001,2,1.0-2326354-2327722,954.0000,1.0000,0,60,True,2326354.0000,2327722.0000,1096.9001,1.0969
1,2351.6922,2327.5432,2327543.2001,2,1.0-2326354-2327722,954.0000,1.0000,0,60,True,2326354.0000,2327722.0000,1189.2001,1.1892
1,2351.7263,2327.5773,2327577.3001,2,1.0-2326354-2327722,954.0000,1.0000,0,60,True,2326354.0000,2327722.0000,1223.3001,1.2233
1,2351.7528,2327.6038,2327603.8001,2,1.0-2326354-2327722,954.0000,1.0000,0,60,True,2326354.0000,2327722.0000,1249.8001,1.2498
1,2351.7632,2327.6142,2327614.2001,2,1.0-2326354-2327722,954.0000,1.0000,0,60,True,2326354.0000,2327722.0000,1260.2001,1.2602
1,2351.7718,2327.6228,2327622.8001,2,1.0-2326354-2327722,954.0000,1.0000,0,60,True,2326354.0000,2327722.0000,1268.8001,1.2688
1,2351.7889,2327.6399,2327639.9001,2,1.0-2326354-2327722,954.0000,1.0000,0,60,True,2326354.0000,2327722.0000,1285.9001,1.2859
1,2351.7977,2327.6487,2327648.7001,2,1.0-2326354-2327722,954.0000,1.0000,0,60,True,2326354.0000,2327722.0000,1294.7001,1.2947
