bin_10s,spike_count,firing_rate_hz
0,4,0.4
1,3,0.3
2,0,0.0
3,9,0.9
4,15,1.5
5,4,0.4
6,2,0.2
7,0,0.0
8,2,0.2
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,4,0.4
16,8,0.8
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,1,0.1
22,1,0.1
23,0,0.0
24,0,0.0
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,2,0.2
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,1,0.1
50,0,0.0
51,0,0.0
52,6,0.6
53,0,0.0
54,5,0.5
55,2,0.2
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,11,1.1
61,11,1.1
62,9,0.9
63,0,0.0
64,0,0.0
65,0,0.0
66,0,0.0
67,0,0.0
68,0,0.0
69,5,0.5
70,0,0.0
71,0,0.0
72,0,0.0
73,0,0.0
74,0,0.0
75,0,0.0
76,0,0.0
77,0,0.0
78,0,0.0
79,0,0.0
80,0,0.0
81,0,0.0
82,0,0.0
83,0,0.0
84,0,0.0
85,0,0.0
86,0,0.0
87,0,0.0
88,1,0.1
89,0,0.0
90,21,2.1
91,19,1.9
92,8,0.8
93,2,0.2
94,0,0.0
95,4,0.4
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
100,0,0.0
101,0,0.0
102,3,0.3
103,0,0.0
104,1,0.1
105,8,0.8
106,5,0.5
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,0,0.0
112,0,0.0
113,0,0.0
114,0,0.0
115,0,0.0
116,0,0.0
117,0,0.0
118,0,0.0
119,0,0.0
120,1,0.1
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,0,0.0
126,0,0.0
127,0,0.0
128,0,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,0,0.0
137,0,0.0
138,0,0.0
139,0,0.0
140,0,0.0
141,56,5.6
142,17,1.7
143,14,1.4
144,5,0.5
145,5,0.5
146,0,0.0
147,7,0.7
148,13,1.3
149,4,0.4
150,0,0.0
151,0,0.0
152,2,0.2
153,0,0.0
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,1,0.1
159,1,0.1
160,1,0.1
161,2,0.2
162,1,0.1
163,0,0.0
164,2,0.2
165,0,0.0
166,12,1.2
167,0,0.0
168,0,0.0
169,0,0.0
170,0,0.0
171,0,0.0
172,0,0.0
173,0,0.0
174,0,0.0
175,0,0.0
176,1,0.1
177,11,1.1
178,12,1.2
179,0,0.0
180,3,0.3
181,0,0.0
182,0,0.0
183,0,0.0
184,3,0.3
185,0,0.0
186,1,0.1
187,0,0.0
188,0,0.0
189,0,0.0
190,0,0.0
191,0,0.0
192,9,0.9
193,2,0.2
194,0,0.0
195,0,0.0
196,1,0.1
197,0,0.0
198,0,0.0
199,0,0.0
200,0,0.0
201,0,0.0
202,0,0.0
203,14,1.4
204,51,5.1
205,0,0.0
206,2,0.2
207,0,0.0
208,0,0.0
209,0,0.0
210,0,0.0
211,0,0.0
212,0,0.0
213,0,0.0
214,0,0.0
215,0,0.0
216,0,0.0
217,0,0.0
218,0,0.0
219,0,0.0
220,0,0.0
221,3,0.3
222,0,0.0
223,0,0.0
224,0,0.0
225,0,0.0
226,0,0.0
227,0,0.0
228,0,0.0
229,0,0.0
230,0,0.0
231,0,0.0
232,0,0.0
233,0,0.0
234,0,0.0
235,2,0.2
236,0,0.0
237,1,0.1
238,0,0.0
239,0,0.0
240,151,15.1
241,34,3.4
242,5,0.5
243,0,0.0
244,0,0.0
245,2,0.2
