bin_10s,spike_count,firing_rate_hz
0,158,15.8
1,105,10.5
2,66,6.6
3,98,9.8
4,65,6.5
5,119,11.9
6,189,18.9
7,151,15.1
8,134,13.4
9,202,20.2
10,139,13.9
11,177,17.7
12,104,10.4
13,102,10.2
14,54,5.4
15,134,13.4
16,62,6.2
17,123,12.3
18,199,19.9
19,196,19.6
20,54,5.4
21,164,16.4
22,180,18.0
23,95,9.5
24,155,15.5
25,114,11.4
26,224,22.4
27,28,2.8
28,78,7.8
29,105,10.5
30,111,11.1
31,147,14.7
32,148,14.8
33,168,16.8
34,139,13.9
35,115,11.5
36,174,17.4
37,132,13.2
38,142,14.2
39,157,15.7
40,136,13.6
41,175,17.5
42,174,17.4
43,69,6.9
44,169,16.9
45,180,18.0
46,97,9.7
47,106,10.6
48,70,7.0
49,147,14.7
50,205,20.5
51,178,17.8
52,113,11.3
53,151,15.1
54,98,9.8
55,156,15.6
56,77,7.7
57,77,7.7
58,103,10.3
59,96,9.6
60,94,9.4
61,58,5.8
62,151,15.1
63,85,8.5
64,139,13.9
65,223,22.3
66,186,18.6
67,112,11.2
68,96,9.6
69,91,9.1
70,136,13.6
71,129,12.9
72,116,11.6
73,25,2.5
74,83,8.3
75,116,11.6
76,85,8.5
77,136,13.6
78,197,19.7
79,71,7.1
80,36,3.6
81,134,13.4
82,132,13.2
83,228,22.8
84,234,23.4
85,78,7.8
86,209,20.9
87,173,17.3
88,125,12.5
89,123,12.3
90,121,12.1
91,146,14.6
92,75,7.5
93,98,9.8
94,206,20.6
95,124,12.4
96,110,11.0
97,135,13.5
98,89,8.9
99,96,9.6
100,94,9.4
101,156,15.6
102,98,9.8
103,93,9.3
104,151,15.1
105,146,14.6
106,60,6.0
107,104,10.4
108,130,13.0
109,58,5.8
110,112,11.2
111,94,9.4
112,147,14.7
113,101,10.1
114,66,6.6
115,140,14.0
116,150,15.0
117,157,15.7
118,109,10.9
119,78,7.8
120,86,8.6
121,59,5.9
122,20,2.0
123,69,6.9
124,145,14.5
125,62,6.2
126,68,6.8
127,205,20.5
128,72,7.2
129,67,6.7
130,106,10.6
131,107,10.7
132,45,4.5
133,172,17.2
134,181,18.1
135,87,8.7
136,74,7.4
137,110,11.0
138,129,12.9
139,113,11.3
140,69,6.9
141,63,6.3
142,92,9.2
143,66,6.6
144,59,5.9
145,73,7.3
146,33,3.3
147,165,16.5
148,72,7.2
149,107,10.7
150,124,12.4
151,144,14.4
152,91,9.1
153,162,16.2
154,77,7.7
155,87,8.7
156,32,3.2
157,88,8.8
158,139,13.9
159,160,16.0
160,168,16.8
161,84,8.4
162,82,8.2
163,130,13.0
164,113,11.3
165,147,14.7
166,194,19.4
167,116,11.6
168,122,12.2
169,0,0.0
170,0,0.0
171,0,0.0
172,0,0.0
173,0,0.0
174,0,0.0
175,135,13.5
176,138,13.8
177,82,8.2
178,140,14.0
179,101,10.1
180,90,9.0
181,201,20.1
182,101,10.1
183,186,18.6
184,125,12.5
185,156,15.6
186,145,14.5
187,142,14.2
188,115,11.5
189,97,9.7
190,218,21.8
191,124,12.4
192,153,15.3
193,180,18.0
194,272,27.2
195,222,22.2
196,181,18.1
197,182,18.2
198,90,9.0
199,134,13.4
200,108,10.8
201,119,11.9
202,203,20.3
203,224,22.4
204,163,16.3
205,168,16.8
206,95,9.5
207,158,15.8
208,155,15.5
209,175,17.5
210,70,7.0
211,150,15.0
212,71,7.1
213,44,4.4
214,53,5.3
215,71,7.1
216,151,15.1
217,115,11.5
218,93,9.3
219,124,12.4
220,139,13.9
221,110,11.0
222,78,7.8
223,59,5.9
224,116,11.6
225,206,20.6
226,161,16.1
227,158,15.8
228,170,17.0
229,241,24.1
230,110,11.0
231,205,20.5
232,92,9.2
233,68,6.8
234,156,15.6
235,130,13.0
236,173,17.3
237,110,11.0
238,195,19.5
239,145,14.5
240,68,6.8
241,131,13.1
242,285,28.5
243,199,19.9
244,120,12.0
245,100,10.0
246,164,16.4
247,224,22.4
