units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,11.0052,0.0242,24.2001
1,11.0207,0.0397,39.7001
1,11.1452,0.1642,164.2001
1,11.2272,0.2462,246.2001
1,11.3117,0.3307,330.7001
1,11.8541,0.8731,873.1001
1,12.1141,1.1331,1133.1001
1,12.2152,1.2342,1234.2001
1,14.0792,3.0982,3098.2001
1,14.3294,3.3484,3348.4001
1,15.2746,4.2936,4293.6001
1,15.4258,4.4448,4444.8001
1,15.4741,4.4931,4493.1001
1,15.5684,4.5874,4587.4001
1,16.0371,5.0561,5056.1001
1,18.2766,7.2956,7295.6001
1,18.3061,7.3251,7325.1001
1,19.5974,8.6164,8616.4001
1,19.8344,8.8534,8853.4001
1,20.6057,9.6247,9624.7001
1,21.1449,10.1639,10163.9001
1,21.9977,11.0167,11016.7001
1,22.3009,11.3199,11319.9001
1,23.5283,12.5473,12547.3001
1,24.8911,13.9101,13910.1001
1,27.1070,16.1260,16126.0001
1,31.3140,20.3330,20333.0001
1,32.1377,21.1567,21156.7001
1,33.2187,22.2377,22237.7001
1,34.6169,23.6359,23635.9001
1,35.2519,24.2709,24270.9001
1,35.3241,24.3431,24343.1001
1,35.8730,24.8920,24892.0001
1,36.9886,26.0076,26007.6001
1,37.5133,26.5323,26532.3001
1,38.9515,27.9705,27970.5001
1,39.1425,28.1615,28161.5001
1,39.5118,28.5308,28530.8001
1,39.6214,28.6404,28640.4001
1,39.6261,28.6451,28645.1001
1,39.6588,28.6778,28677.8001
1,39.7515,28.7705,28770.5001
1,39.8476,28.8666,28866.6001
1,39.8566,28.8756,28875.6001
1,39.8660,28.8850,28885.0001
1,39.9338,28.9528,28952.8001
1,40.0637,29.0827,29082.7001
1,40.2499,29.2689,29268.9001
1,40.5205,29.5395,29539.5001
1,41.2798,30.2988,30298.8001
1,41.3240,30.3430,30343.0001
1,41.3853,30.4043,30404.3001
1,41.8329,30.8519,30851.9001
1,41.9330,30.9520,30952.0001
1,41.9654,30.9844,30984.4001
1,42.0880,31.1070,31107.0001
1,42.4551,31.4741,31474.1001
1,42.5051,31.5241,31524.1001
1,43.2031,32.2221,32222.1001
1,43.2533,32.2723,32272.3001
1,43.2612,32.2802,32280.2001
1,44.3853,33.4043,33404.3001
1,44.7502,33.7692,33769.2001
1,44.9092,33.9282,33928.2001
1,46.1532,35.1722,35172.2001
1,46.4499,35.4689,35468.9001
1,46.9434,35.9624,35962.4001
1,47.8342,36.8532,36853.2001
1,47.9154,36.9344,36934.4001
1,47.9901,37.0091,37009.1001
1,48.5645,37.5835,37583.5001
1,49.6557,38.6747,38674.7001
1,49.6977,38.7167,38716.7001
1,49.9307,38.9497,38949.7001
1,50.9214,39.9404,39940.4001
1,51.4473,40.4663,40466.3001
1,51.8388,40.8578,40857.8001
1,51.8722,40.8912,40891.2001
1,52.1709,41.1899,41189.9001
1,52.3002,41.3192,41319.2001
1,53.2245,42.2435,42243.5001
1,53.4365,42.4555,42455.5001
1,54.2062,43.2252,43225.2001
1,54.2563,43.2753,43275.3001
1,54.5196,43.5386,43538.6001
1,55.5951,44.6141,44614.1001
1,55.7899,44.8089,44808.9001
1,56.2513,45.2703,45270.3001
1,56.5315,45.5505,45550.5001
1,56.8127,45.8317,45831.7001
1,56.8358,45.8548,45854.8001
1,57.2113,46.2303,46230.3001
1,57.2480,46.2670,46267.0001
1,57.3273,46.3463,46346.3001
1,57.3495,46.3685,46368.5001
1,57.5504,46.5694,46569.4001
1,57.7640,46.7830,46783.0001
1,58.8840,47.9030,47903.0001
1,59.1617,48.1807,48180.7001
1,59.4207,48.4397,48439.7001
1,59.7272,48.7462,48746.2001
1,60.2239,49.2429,49242.9001
1,60.8684,49.8874,49887.4001
1,60.8810,49.9000,49900.0001
1,61.0300,50.0490,50049.0001
1,61.6350,50.6540,50654.0001
1,61.6853,50.7043,50704.3001
1,62.4351,51.4541,51454.1001
1,62.6390,51.6580,51658.0001
1,63.1133,52.1323,52132.3001
1,63.7939,52.8129,52812.9001
1,64.3412,53.3602,53360.2001
1,64.4289,53.4479,53447.9001
1,65.1831,54.2021,54202.1001
1,65.6379,54.6569,54656.9001
1,66.7422,55.7612,55761.2001
1,67.4716,56.4906,56490.6001
1,67.5659,56.5849,56584.9001
1,68.0183,57.0373,57037.3001
1,68.0653,57.0843,57084.3001
1,68.7265,57.7455,57745.5001
1,69.7046,58.7236,58723.6001
1,69.7535,58.7725,58772.5001
1,70.0264,59.0454,59045.4001
1,71.0219,60.0409,60040.9001
1,71.0902,60.1092,60109.2001
1,71.5261,60.5451,60545.1001
1,71.8849,60.9039,60903.9001
1,73.6996,62.7186,62718.6001
1,73.9142,62.9332,62933.2001
1,74.0013,63.0203,63020.3001
1,76.5905,65.6095,65609.5001
1,76.5987,65.6177,65617.7001
1,77.3583,66.3773,66377.3001
1,79.2516,68.2706,68270.6001
1,79.3722,68.3912,68391.2001
1,79.4143,68.4333,68433.3001
1,79.5569,68.5759,68575.9001
1,81.3240,70.3430,70343.0001
1,81.6817,70.7007,70700.7001
1,82.2872,71.3062,71306.2001
1,82.3266,71.3456,71345.6001
1,82.4316,71.4506,71450.6001
1,83.6903,72.7093,72709.3001
1,84.1398,73.1588,73158.8001
1,84.5499,73.5689,73568.9001
1,84.6208,73.6398,73639.8001
1,84.6602,73.6792,73679.2001
1,84.8048,73.8238,73823.8001
1,84.9872,74.0062,74006.2001
1,85.2839,74.3029,74302.9001
1,85.3125,74.3315,74331.5001
1,85.4291,74.4481,74448.1001
1,86.0562,75.0752,75075.2001
1,86.8046,75.8236,75823.6001
1,87.2119,76.2309,76230.9001
