units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,10.9872,0.0062,6.2001
2,11.0492,0.0682,68.2001
2,11.0667,0.0857,85.7001
2,11.1433,0.1623,162.3001
2,11.3602,0.3792,379.2001
2,11.4630,0.4820,482.0001
2,11.4864,0.5054,505.4001
2,11.5136,0.5326,532.6001
2,11.5417,0.5607,560.7001
2,11.7922,0.8112,811.2001
2,11.8584,0.8774,877.4001
2,11.8788,0.8978,897.8001
2,11.9103,0.9293,929.3001
2,11.9978,1.0168,1016.8001
2,12.2318,1.2508,1250.8001
2,12.2677,1.2867,1286.7001
2,12.3346,1.3536,1353.6001
2,12.4177,1.4367,1436.7001
2,12.4411,1.4601,1460.1001
2,12.8029,1.8219,1821.9001
2,12.8808,1.8998,1899.8001
2,13.0104,2.0294,2029.4001
2,13.0686,2.0876,2087.6001
2,13.1727,2.1917,2191.7001
2,13.2709,2.2899,2289.9001
2,13.2927,2.3117,2311.7001
2,13.3187,2.3377,2337.7001
2,13.3534,2.3724,2372.4001
2,13.4096,2.4286,2428.6001
2,13.4761,2.4951,2495.1001
2,13.8546,2.8736,2873.6001
2,13.8905,2.9095,2909.5001
2,13.9010,2.9200,2920.0001
2,13.9126,2.9316,2931.6001
2,13.9221,2.9411,2941.1001
2,13.9421,2.9611,2961.1001
2,14.0044,3.0234,3023.4001
2,14.4061,3.4251,3425.1001
2,14.5323,3.5513,3551.3001
2,14.5462,3.5652,3565.2001
2,14.6256,3.6446,3644.6001
2,14.6483,3.6673,3667.3001
2,14.6587,3.6777,3677.7001
2,14.6711,3.6901,3690.1001
2,14.6821,3.7011,3701.1001
2,14.7170,3.7360,3736.0001
2,14.7950,3.8140,3814.0001
2,15.1406,4.1596,4159.6001
2,15.2474,4.2664,4266.4001
2,15.3062,4.3252,4325.2001
2,15.3162,4.3352,4335.2001
2,15.4484,4.4674,4467.4001
2,15.4870,4.5060,4506.0001
2,15.5785,4.5975,4597.5001
2,15.8176,4.8366,4836.6001
2,15.8666,4.8856,4885.6001
2,15.9175,4.9365,4936.5001
2,15.9359,4.9549,4954.9001
2,15.9534,4.9724,4972.4001
2,15.9918,5.0108,5010.8001
2,16.3677,5.3867,5386.7001
2,16.4251,5.4441,5444.1001
2,16.5273,5.5463,5546.3001
2,16.5689,5.5879,5587.9001
2,16.6086,5.6276,5627.6001
2,16.6337,5.6527,5652.7001
2,16.7261,5.7451,5745.1001
2,16.8908,5.9098,5909.8001
2,16.9226,5.9416,5941.6001
2,16.9825,6.0015,6001.5001
2,17.0143,6.0333,6033.3001
2,17.0743,6.0933,6093.3001
2,17.1561,6.1751,6175.1001
2,17.4305,6.4495,6449.5001
2,17.5233,6.5423,6542.3001
2,17.5799,6.5989,6598.9001
2,17.6387,6.6577,6657.7001
2,17.7015,6.7205,6720.5001
2,17.7701,6.7891,6789.1001
2,18.0345,7.0535,7053.5001
2,18.1307,7.1497,7149.7001
2,18.3067,7.3257,7325.7001
2,18.3816,7.4006,7400.6001
2,18.6782,7.6972,7697.2001
2,19.2465,8.2655,8265.5001
2,19.2822,8.3012,8301.2001
2,19.7483,8.7673,8767.3001
2,19.8998,8.9188,8918.8001
2,20.0197,9.0387,9038.7001
2,20.0596,9.0786,9078.6001
2,20.1467,9.1657,9165.7001
2,20.2328,9.2518,9251.8001
2,20.2849,9.3039,9303.9001
2,20.6029,9.6219,9621.9001
2,20.6998,9.7188,9718.8001
2,20.9190,9.9380,9938.0001
2,21.6464,10.6654,10665.4001
2,21.6859,10.7049,10704.9001
2,22.0415,11.0605,11060.5001
2,22.0796,11.0986,11098.6001
2,22.3151,11.3341,11334.1001
2,22.8198,11.8388,11838.8001
2,23.0950,12.1140,12114.0001
2,23.3295,12.3485,12348.5001
2,23.3929,12.4119,12411.9001
2,23.6922,12.7112,12711.2001
2,23.7617,12.7807,12780.7001
2,23.9929,13.0119,13011.9001
2,24.2585,13.2775,13277.5001
2,24.2931,13.3121,13312.1001
2,24.3293,13.3483,13348.3001
2,24.6419,13.6609,13660.9001
2,24.6829,13.7019,13701.9001
2,24.7751,13.7941,13794.1001
2,24.9694,13.9884,13988.4001
2,25.0229,14.0419,14041.9001
2,25.1106,14.1296,14129.6001
2,25.1402,14.1592,14159.2001
2,25.1794,14.1984,14198.4001
2,25.3675,14.3865,14386.5001
2,25.4698,14.4888,14488.8001
2,25.5637,14.5827,14582.7001
2,25.6071,14.6261,14626.1001
2,25.6512,14.6702,14670.2001
2,25.6668,14.6858,14685.8001
2,25.6860,14.7050,14705.0001
2,25.7684,14.7874,14787.4001
2,25.8290,14.8480,14848.0001
2,25.8834,14.9024,14902.4001
2,25.9283,14.9473,14947.3001
2,26.2328,15.2518,15251.8001
2,26.2438,15.2628,15262.8001
2,26.2756,15.2946,15294.6001
2,26.4652,15.4842,15484.2001
2,26.5945,15.6135,15613.5001
2,26.6137,15.6327,15632.7001
2,27.4006,16.4196,16419.6001
2,27.5243,16.5433,16543.3001
2,27.5873,16.6063,16606.3001
2,27.6466,16.6656,16665.6001
2,27.8291,16.8481,16848.1001
2,27.8732,16.8922,16892.2001
2,27.9084,16.9274,16927.4001
2,28.1909,17.2099,17209.9001
2,28.3062,17.3252,17325.2001
2,28.3414,17.3604,17360.4001
2,28.5128,17.5318,17531.8001
2,28.7808,17.7998,17799.8001
2,28.8691,17.8881,17888.1001
2,28.9442,17.9632,17963.2001
2,28.9625,17.9815,17981.5001
2,29.0088,18.0278,18027.8001
