units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,18.6955,7.7145,7714.5001
2,18.7188,7.7378,7737.8001
2,25.3971,14.4161,14416.1001
2,28.2927,17.3117,17311.7001
2,29.4870,18.5060,18506.0001
2,31.2612,20.2802,20280.2001
2,32.7432,21.7622,21762.2001
2,45.0237,34.0427,34042.7001
2,47.6009,36.6199,36619.9001
2,47.6666,36.6856,36685.6001
2,47.7405,36.7595,36759.5001
2,47.7437,36.7627,36762.7001
2,51.6111,40.6301,40630.1001
2,56.7203,45.7393,45739.3001
2,56.7255,45.7445,45744.5001
2,57.7466,46.7656,46765.6001
2,59.4906,48.5096,48509.6001
2,59.4944,48.5134,48513.4001
2,59.4980,48.5170,48517.0001
2,69.0009,58.0199,58019.9001
2,80.1128,69.1318,69131.8001
2,88.3592,77.3782,77378.2001
2,88.7873,77.8063,77806.3001
2,88.8523,77.8713,77871.3001
2,90.6606,79.6796,79679.6001
2,90.7141,79.7331,79733.1001
2,91.2544,80.2734,80273.4001
2,91.2781,80.2971,80297.1001
2,91.9035,80.9225,80922.5001
2,92.3959,81.4149,81414.9001
2,93.1111,82.1301,82130.1001
2,93.4750,82.4940,82494.0001
2,93.7309,82.7499,82749.9001
2,96.7151,85.7341,85734.1001
2,96.8143,85.8333,85833.3001
2,96.8678,85.8868,85886.8001
2,103.3965,92.4155,92415.5001
2,105.8287,94.8477,94847.7001
2,107.0361,96.0551,96055.1001
2,107.0887,96.1077,96107.7001
2,107.6035,96.6225,96622.5001
2,107.6595,96.6785,96678.5001
2,108.3393,97.3583,97358.3001
2,109.3176,98.3366,98336.6001
2,110.7950,99.8140,99814.0001
2,120.2639,109.2829,109282.9001
2,120.2677,109.2867,109286.7001
2,120.5116,109.5306,109530.6001
2,124.1514,113.1704,113170.4001
2,124.1558,113.1748,113174.8001
2,124.6009,113.6199,113619.9001
2,124.6270,113.6460,113646.0001
2,124.6417,113.6607,113660.7001
2,124.7123,113.7313,113731.3001
2,124.7694,113.7884,113788.4001
2,125.9471,114.9661,114966.1001
2,126.0351,115.0541,115054.1001
2,126.0815,115.1005,115100.5001
2,128.1457,117.1647,117164.7001
2,128.5770,117.5960,117596.0001
2,131.5899,120.6089,120608.9001
2,132.0826,121.1016,121101.6001
2,132.1267,121.1457,121145.7001
2,132.1329,121.1519,121151.9001
2,132.1372,121.1562,121156.2001
2,138.3258,127.3448,127344.8001
2,160.5982,149.6172,149617.2001
2,166.5801,155.5991,155599.1001
2,186.0141,175.0331,175033.1001
2,187.8325,176.8515,176851.5001
2,187.8891,176.9081,176908.1001
2,187.9609,176.9799,176979.9001
2,188.0725,177.0915,177091.5001
2,191.9344,180.9534,180953.4001
2,194.1372,183.1562,183156.2001
2,205.0132,194.0322,194032.2001
2,206.7501,195.7691,195769.1001
2,223.7704,212.7894,212789.4001
2,234.6538,223.6728,223672.8001
2,243.4139,232.4329,232432.9001
2,245.4062,234.4252,234425.2001
2,246.2931,235.3121,235312.1001
2,254.5686,243.5876,243587.6001
2,257.1827,246.2017,246201.7001
2,258.6290,247.6480,247648.0001
2,258.6401,247.6591,247659.1001
2,259.8575,248.8765,248876.5001
2,259.9564,248.9754,248975.4001
2,260.0385,249.0575,249057.5001
2,269.0163,258.0353,258035.3001
2,273.3353,262.3543,262354.3001
2,289.2151,278.2341,278234.1001
2,296.2768,285.2958,285295.8001
2,302.8579,291.8769,291876.9001
2,308.8534,297.8724,297872.4001
2,308.8759,297.8949,297894.9001
2,312.9518,301.9708,301970.8001
2,315.5700,304.5890,304589.0001
2,325.7249,314.7439,314743.9001
2,327.1663,316.1853,316185.3001
2,355.1937,344.2127,344212.7001
2,356.6937,345.7127,345712.7001
2,361.5771,350.5961,350596.1001
2,362.4254,351.4444,351444.4001
2,362.4375,351.4565,351456.5001
2,362.4771,351.4961,351496.1001
2,362.4804,351.4994,351499.4001
2,362.4959,351.5149,351514.9001
2,362.5221,351.5411,351541.1001
2,362.5284,351.5474,351547.4001
2,362.5744,351.5934,351593.4001
2,363.0314,352.0504,352050.4001
2,363.0373,352.0563,352056.3001
2,363.5638,352.5828,352582.8001
2,363.5690,352.5880,352588.0001
2,363.5772,352.5962,352596.2001
2,364.4160,353.4350,353435.0001
2,364.4324,353.4514,353451.4001
2,364.5862,353.6052,353605.2001
2,368.9185,357.9375,357937.5001
2,368.9225,357.9415,357941.5001
2,377.9027,366.9217,366921.7001
2,377.9641,366.9831,366983.1001
2,382.5694,371.5884,371588.4001
2,397.5818,386.6008,386600.8001
2,398.1792,387.1982,387198.2001
2,408.6689,397.6879,397687.9001
2,424.5924,413.6114,413611.4001
2,425.5580,414.5770,414577.0001
2,426.8248,415.8438,415843.8001
2,430.8908,419.9098,419909.8001
2,430.9489,419.9679,419967.9001
2,432.9558,421.9748,421974.8001
2,433.5099,422.5289,422528.9001
2,440.3804,429.3994,429399.4001
2,453.4287,442.4477,442447.7001
2,461.2704,450.2894,450289.4001
2,469.3573,458.3763,458376.3001
2,471.1208,460.1398,460139.8001
2,472.5619,461.5809,461580.9001
2,480.0010,469.0200,469020.0001
2,495.2089,484.2279,484227.9001
2,495.4026,484.4216,484421.6001
2,495.4065,484.4255,484425.5001
2,495.5449,484.5639,484563.9001
2,495.5482,484.5672,484567.2001
2,497.7123,486.7313,486731.3001
2,498.1923,487.2113,487211.3001
2,498.3344,487.3534,487353.4001
2,498.3532,487.3722,487372.2001
2,498.8955,487.9145,487914.5001
2,498.9054,487.9244,487924.4001
2,498.9725,487.9915,487991.5001
2,498.9763,487.9953,487995.3001
2,499.4943,488.5133,488513.3001
2,499.5218,488.5408,488540.8001
2,500.8822,489.9012,489901.2001
2,505.3083,494.3273,494327.3001
2,505.3292,494.3482,494348.2001
2,506.2692,495.2882,495288.2001
2,506.7878,495.8068,495806.8001
2,506.8126,495.8316,495831.6001
2,506.8289,495.8479,495847.9001
2,507.2359,496.2549,496254.9001
2,507.8521,496.8711,496871.1001
2,507.8711,496.8901,496890.1001
2,508.0931,497.1121,497112.1001
2,510.5653,499.5843,499584.3001
2,513.2323,502.2513,502251.3001
2,519.8001,508.8191,508819.1001
2,519.8032,508.8222,508822.2001
2,519.8328,508.8518,508851.8001
2,519.8498,508.8688,508868.8001
2,526.1047,515.1237,515123.7001
2,533.7652,522.7842,522784.2001
2,541.8921,530.9111,530911.1001
2,544.8190,533.8380,533838.0001
2,550.0282,539.0472,539047.2001
2,552.3914,541.4104,541410.4001
2,554.1580,543.1770,543177.0001
2,558.6155,547.6345,547634.5001
2,574.8381,563.8571,563857.1001
2,605.5577,594.5767,594576.7001
2,606.0649,595.0839,595083.9001
2,606.0744,595.0934,595093.4001
2,606.0784,595.0974,595097.4001
2,608.1510,597.1700,597170.0001
2,608.1599,597.1789,597178.9001
2,608.1710,597.1900,597190.0001
2,611.6849,600.7039,600703.9001
