units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,11.1390,0.1580,158.0001
1,11.8237,0.8427,842.7001
1,11.9976,1.0166,1016.6001
1,12.0055,1.0245,1024.5001
1,12.0496,1.0686,1068.6001
1,12.0650,1.0840,1084.0001
1,12.0688,1.0878,1087.8001
1,12.0876,1.1066,1106.6001
1,12.1294,1.1484,1148.4001
1,12.3093,1.3283,1328.3001
1,12.4056,1.4246,1424.6001
1,12.7917,1.8107,1810.7001
1,12.9873,2.0063,2006.3001
1,13.1223,2.1413,2141.3001
1,13.4912,2.5102,2510.2001
1,13.9281,2.9471,2947.1001
1,14.8645,3.8835,3883.5001
1,15.8363,4.8553,4855.3001
1,15.8824,4.9014,4901.4001
1,15.9538,4.9728,4972.8001
1,16.0020,5.0210,5021.0001
1,16.6010,5.6200,5620.0001
1,16.9888,6.0078,6007.8001
1,17.2211,6.2401,6240.1001
1,17.2371,6.2561,6256.1001
1,17.2448,6.2638,6263.8001
1,17.2777,6.2967,6296.7001
1,17.3923,6.4113,6411.3001
1,17.4755,6.4945,6494.5001
1,17.8740,6.8930,6893.0001
1,19.0708,8.0898,8089.8001
1,19.1983,8.2173,8217.3001
1,19.5731,8.5921,8592.1001
1,19.6700,8.6890,8689.0001
1,20.0533,9.0723,9072.3001
1,20.3395,9.3585,9358.5001
1,20.5901,9.6091,9609.1001
1,21.6279,10.6469,10646.9001
1,21.6391,10.6581,10658.1001
1,22.0336,11.0526,11052.6001
1,22.1129,11.1319,11131.9001
1,22.4068,11.4258,11425.8001
1,22.6290,11.6480,11648.0001
1,22.8813,11.9003,11900.3001
1,22.8933,11.9123,11912.3001
1,23.0320,12.0510,12051.0001
1,23.1864,12.2054,12205.4001
1,23.2735,12.2925,12292.5001
1,23.3683,12.3873,12387.3001
1,23.7386,12.7576,12757.6001
1,24.3226,13.3416,13341.6001
1,24.4758,13.4948,13494.8001
1,24.5348,13.5538,13553.8001
1,25.4589,14.4779,14477.9001
1,25.8569,14.8759,14875.9001
1,25.9037,14.9227,14922.7001
1,26.4282,15.4472,15447.2001
1,26.4389,15.4579,15457.9001
1,26.6158,15.6348,15634.8001
1,26.9164,15.9354,15935.4001
1,27.2655,16.2845,16284.5001
1,28.0016,17.0206,17020.6001
1,28.0382,17.0572,17057.2001
1,28.0796,17.0986,17098.6001
1,28.4276,17.4466,17446.6001
1,28.4637,17.4827,17482.7001
1,28.5352,17.5542,17554.2001
1,28.5925,17.6115,17611.5001
1,28.5982,17.6172,17617.2001
1,28.6496,17.6686,17668.6001
1,29.0378,18.0568,18056.8001
1,29.0999,18.1189,18118.9001
1,29.2998,18.3188,18318.8001
1,29.3391,18.3581,18358.1001
1,29.5388,18.5578,18557.8001
1,30.0267,19.0457,19045.7001
1,30.9132,19.9322,19932.2001
1,30.9311,19.9501,19950.1001
1,31.4922,20.5112,20511.2001
1,31.7204,20.7394,20739.4001
1,31.7400,20.7590,20759.0001
1,32.1510,21.1700,21170.0001
1,32.2592,21.2782,21278.2001
1,32.3311,21.3501,21350.1001
1,32.6841,21.7031,21703.1001
1,32.7968,21.8158,21815.8001
1,33.8666,22.8856,22885.6001
1,33.9938,23.0128,23012.8001
1,34.2985,23.3175,23317.5001
1,34.5474,23.5664,23566.4001
1,34.5749,23.5939,23593.9001
1,35.0553,24.0743,24074.3001
1,35.1872,24.2062,24206.2001
1,35.2780,24.2970,24297.0001
1,35.4213,24.4403,24440.3001
1,35.4694,24.4884,24488.4001
1,35.9770,24.9960,24996.0001
1,36.0440,25.0630,25063.0001
1,36.0953,25.1143,25114.3001
1,36.1459,25.1649,25164.9001
1,36.3182,25.3372,25337.2001
1,37.1751,26.1941,26194.1001
1,37.4699,26.4889,26488.9001
1,37.4914,26.5104,26510.4001
1,37.6625,26.6815,26681.5001
1,38.0185,27.0375,27037.5001
1,38.1275,27.1465,27146.5001
1,38.2099,27.2289,27228.9001
1,38.3047,27.3237,27323.7001
1,38.3277,27.3467,27346.7001
1,38.3758,27.3948,27394.8001
1,38.4347,27.4537,27453.7001
1,38.4953,27.5143,27514.3001
1,38.9445,27.9635,27963.5001
1,39.3631,28.3821,28382.1001
1,39.3918,28.4108,28410.8001
1,39.5564,28.5754,28575.4001
1,39.6010,28.6200,28620.0001
1,39.8085,28.8275,28827.5001
1,39.8322,28.8512,28851.2001
1,39.8750,28.8940,28894.0001
1,40.0308,29.0498,29049.8001
1,40.1973,29.2163,29216.3001
1,40.3319,29.3509,29350.9001
1,40.3642,29.3832,29383.2001
1,41.9963,31.0153,31015.3001
1,42.1546,31.1736,31173.6001
1,42.3972,31.4162,31416.2001
1,42.4669,31.4859,31485.9001
1,42.6253,31.6443,31644.3001
1,42.7468,31.7658,31765.8001
1,43.5395,32.5585,32558.5001
1,43.5512,32.5702,32570.2001
1,43.5669,32.5859,32585.9001
1,44.2577,33.2767,33276.7001
1,44.3880,33.4070,33407.0001
1,44.5050,33.5240,33524.0001
1,44.7826,33.8016,33801.6001
1,44.8611,33.8801,33880.1001
1,44.9611,33.9801,33980.1001
1,45.0438,34.0628,34062.8001
1,45.2414,34.2604,34260.4001
1,45.3368,34.3558,34355.8001
1,45.3440,34.3630,34363.0001
1,45.8928,34.9118,34911.8001
1,45.9463,34.9653,34965.3001
1,46.1074,35.1264,35126.4001
1,46.2002,35.2192,35219.2001
1,46.2897,35.3087,35308.7001
1,46.3006,35.3196,35319.6001
1,46.3634,35.3824,35382.4001
1,46.6732,35.6922,35692.2001
1,46.7393,35.7583,35758.3001
1,46.7591,35.7781,35778.1001
1,47.0982,36.1172,36117.2001
1,47.1054,36.1244,36124.4001
1,47.3135,36.3325,36332.5001
1,48.1008,37.1198,37119.8001
1,48.2958,37.3148,37314.8001
1,48.5038,37.5228,37522.8001
1,48.6078,37.6268,37626.8001
1,50.2961,39.3151,39315.1001
1,50.6858,39.7048,39704.8001
1,50.7999,39.8189,39818.9001
1,51.2026,40.2216,40221.6001
1,51.8965,40.9155,40915.5001
1,51.9502,40.9692,40969.2001
1,52.5767,41.5957,41595.7001
1,53.1985,42.2175,42217.5001
1,53.2054,42.2244,42224.4001
1,53.2466,42.2656,42265.6001
1,53.2572,42.2762,42276.2001
1,53.2864,42.3054,42305.4001
1,53.3010,42.3200,42320.0001
1,53.7759,42.7949,42794.9001
1,53.8562,42.8752,42875.2001
1,55.7037,44.7227,44722.7001
1,56.4172,45.4362,45436.2001
1,56.4190,45.4380,45438.0001
1,56.4984,45.5174,45517.4001
1,56.5431,45.5621,45562.1001
1,56.8400,45.8590,45859.0001
1,57.0616,46.0806,46080.6001
1,57.1672,46.1862,46186.2001
1,57.2599,46.2789,46278.9001
1,57.6197,46.6387,46638.7001
1,58.0434,47.0624,47062.4001
1,59.0521,48.0711,48071.1001
1,60.4857,49.5047,49504.7001
1,60.5627,49.5817,49581.7001
1,60.7038,49.7228,49722.8001
1,60.8058,49.8248,49824.8001
1,60.9129,49.9319,49931.9001
1,61.3830,50.4020,50402.0001
1,61.8818,50.9008,50900.8001
1,62.0519,51.0709,51070.9001
1,62.1872,51.2062,51206.2001
1,62.2771,51.2961,51296.1001
1,62.6358,51.6548,51654.8001
1,62.8813,51.9003,51900.3001
1,62.8900,51.9090,51909.0001
1,63.2000,52.2190,52219.0001
1,63.2364,52.2554,52255.4001
1,63.9155,52.9345,52934.5001
1,65.1258,54.1448,54144.8001
1,65.4272,54.4462,54446.2001
1,65.4812,54.5002,54500.2001
1,66.3558,55.3748,55374.8001
1,66.6308,55.6498,55649.8001
1,67.2611,56.2801,56280.1001
1,67.3560,56.3750,56375.0001
1,67.3608,56.3798,56379.8001
1,67.3906,56.4096,56409.6001
1,67.6083,56.6273,56627.3001
1,68.1503,57.1693,57169.3001
1,68.6538,57.6728,57672.8001
1,68.9460,57.9650,57965.0001
1,69.2943,58.3133,58313.3001
1,69.3712,58.3902,58390.2001
1,69.4570,58.4760,58476.0001
1,69.6337,58.6527,58652.7001
1,70.4150,59.4340,59434.0001
1,70.5942,59.6132,59613.2001
1,70.6331,59.6521,59652.1001
1,70.6698,59.6888,59688.8001
1,70.7044,59.7234,59723.4001
1,70.7404,59.7594,59759.4001
1,70.7434,59.7624,59762.4001
1,71.0909,60.1099,60109.9001
1,71.2227,60.2417,60241.7001
1,71.2488,60.2678,60267.8001
1,71.2723,60.2913,60291.3001
1,71.3100,60.3290,60329.0001
1,71.4250,60.4440,60444.0001
1,71.4861,60.5051,60505.1001
1,72.2298,61.2488,61248.8001
1,73.1083,62.1273,62127.3001
1,73.4873,62.5063,62506.3001
1,73.5302,62.5492,62549.2001
1,74.0440,63.0630,63063.0001
1,74.2615,63.2805,63280.5001
1,74.7188,63.7378,63737.8001
1,74.7618,63.7808,63780.8001
1,74.7670,63.7860,63786.0001
1,74.7863,63.8053,63805.3001
1,74.7924,63.8114,63811.4001
1,75.2336,64.2526,64252.6001
1,75.4388,64.4578,64457.8001
1,75.5308,64.5498,64549.8001
1,75.6409,64.6599,64659.9001
1,75.8305,64.8495,64849.5001
1,76.0456,65.0646,65064.6001
1,76.2291,65.2481,65248.1001
1,76.7993,65.8183,65818.3001
1,76.8285,65.8475,65847.5001
1,76.8344,65.8534,65853.4001
1,76.8666,65.8856,65885.6001
1,76.8908,65.9098,65909.8001
1,77.1320,66.1510,66151.0001
1,77.1614,66.1804,66180.4001
1,77.4715,66.4905,66490.5001
1,77.7415,66.7605,66760.5001
1,78.3177,67.3367,67336.7001
1,79.4879,68.5069,68506.9001
1,80.0064,69.0254,69025.4001
1,80.1611,69.1801,69180.1001
