units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
3,11.0869,0.1059,105.9001
3,12.0669,1.0859,1085.9001
3,12.7866,1.8056,1805.6001
3,15.0590,4.0780,4078.0001
3,15.7010,4.7200,4720.0001
3,15.8891,4.9081,4908.1001
3,16.4686,5.4876,5487.6001
3,16.6376,5.6566,5656.6001
3,16.8382,5.8572,5857.2001
3,17.9801,6.9991,6999.1001
3,18.5389,7.5579,7557.9001
3,21.1342,10.1532,10153.2001
3,21.8092,10.8282,10828.2001
3,22.6319,11.6509,11650.9001
3,22.6367,11.6557,11655.7001
3,22.7295,11.7485,11748.5001
3,22.8346,11.8536,11853.6001
3,23.2281,12.2471,12247.1001
3,24.1947,13.2137,13213.7001
3,24.7529,13.7719,13771.9001
3,24.9145,13.9335,13933.5001
3,26.8536,15.8726,15872.6001
3,27.3882,16.4072,16407.2001
3,28.1592,17.1782,17178.2001
3,29.5029,18.5219,18521.9001
3,32.0773,21.0963,21096.3001
3,32.2702,21.2892,21289.2001
3,33.4138,22.4328,22432.8001
3,33.5182,22.5372,22537.2001
3,33.5222,22.5412,22541.2001
3,34.5591,23.5781,23578.1001
3,35.1050,24.1240,24124.0001
3,37.4463,26.4653,26465.3001
3,38.1973,27.2163,27216.3001
3,38.4525,27.4715,27471.5001
3,38.7154,27.7344,27734.4001
3,39.3392,28.3582,28358.2001
3,39.8423,28.8613,28861.3001
3,39.9274,28.9464,28946.4001
3,40.7118,29.7308,29730.8001
3,43.8423,32.8613,32861.3001
3,43.9223,32.9413,32941.3001
3,45.5972,34.6162,34616.2001
3,47.4419,36.4609,36460.9001
3,47.8953,36.9143,36914.3001
3,48.3978,37.4168,37416.8001
3,49.4693,38.4883,38488.3001
3,49.8208,38.8398,38839.8001
3,50.3696,39.3886,39388.6001
3,52.0492,41.0682,41068.2001
3,52.5920,41.6110,41611.0001
3,52.7863,41.8053,41805.3001
3,53.0182,42.0372,42037.2001
3,53.9910,43.0100,43010.0001
3,54.5566,43.5756,43575.6001
3,54.9022,43.9212,43921.2001
3,57.5601,46.5791,46579.1001
3,57.7249,46.7439,46743.9001
3,58.2834,47.3024,47302.4001
3,58.4360,47.4550,47455.0001
3,59.5789,48.5979,48597.9001
3,59.5959,48.6149,48614.9001
3,60.3033,49.3223,49322.3001
3,62.1596,51.1786,51178.6001
3,63.0209,52.0399,52039.9001
3,64.9529,53.9719,53971.9001
3,67.9358,56.9548,56954.8001
3,69.5213,58.5403,58540.3001
3,69.9418,58.9608,58960.8001
3,72.3685,61.3875,61387.5001
3,72.6710,61.6900,61690.0001
3,73.5689,62.5879,62587.9001
3,73.9994,63.0184,63018.4001
3,74.1310,63.1500,63150.0001
3,74.3257,63.3447,63344.7001
3,74.6872,63.7062,63706.2001
3,75.7745,64.7935,64793.5001
3,76.4864,65.5054,65505.4001
3,76.5847,65.6037,65603.7001
3,77.2974,66.3164,66316.4001
3,79.1931,68.2121,68212.1001
3,80.2193,69.2383,69238.3001
3,81.4004,70.4194,70419.4001
3,82.0925,71.1115,71111.5001
3,82.9302,71.9492,71949.2001
3,84.0805,73.0995,73099.5001
3,84.1937,73.2127,73212.7001
3,85.1673,74.1863,74186.3001
3,85.3357,74.3547,74354.7001
3,85.7727,74.7917,74791.7001
3,86.8057,75.8247,75824.7001
3,87.7431,76.7621,76762.1001
3,88.1005,77.1195,77119.5001
3,88.8054,77.8244,77824.4001
3,88.8401,77.8591,77859.1001
3,88.8829,77.9019,77901.9001
3,89.5952,78.6142,78614.2001
3,89.7368,78.7558,78755.8001
3,89.7662,78.7852,78785.2001
3,89.7713,78.7903,78790.3001
3,90.3914,79.4104,79410.4001
3,91.3348,80.3538,80353.8001
3,91.8844,80.9034,80903.4001
3,92.9048,81.9238,81923.8001
3,93.4177,82.4367,82436.7001
3,93.5040,82.5230,82523.0001
3,93.5869,82.6059,82605.9001
3,93.8924,82.9114,82911.4001
3,94.8193,83.8383,83838.3001
3,95.1708,84.1898,84189.8001
3,95.2055,84.2245,84224.5001
3,96.4788,85.4978,85497.8001
3,96.5526,85.5716,85571.6001
3,96.8825,85.9015,85901.5001
3,97.2568,86.2758,86275.8001
3,97.3653,86.3843,86384.3001
3,97.5471,86.5661,86566.1001
3,97.5856,86.6046,86604.6001
3,100.0895,89.1085,89108.5001
3,103.5317,92.5507,92550.7001
3,103.6047,92.6237,92623.7001
3,103.6868,92.7058,92705.8001
3,103.7063,92.7253,92725.3001
3,103.7090,92.7280,92728.0001
3,106.5316,95.5506,95550.6001
3,106.5676,95.5866,95586.6001
3,106.5782,95.5972,95597.2001
3,106.6589,95.6779,95677.9001
3,106.9383,95.9573,95957.3001
3,107.1478,96.1668,96166.8001
3,107.6046,96.6236,96623.6001
3,108.1440,97.1630,97163.0001
3,109.8414,98.8604,98860.4001
3,110.1367,99.1557,99155.7001
3,110.7777,99.7967,99796.7001
3,113.8928,102.9118,102911.8001
3,114.5908,103.6098,103609.8001
3,114.6124,103.6314,103631.4001
3,115.1861,104.2051,104205.1001
3,115.9199,104.9389,104938.9001
3,117.4145,106.4335,106433.5001
3,118.4693,107.4883,107488.3001
3,120.1932,109.2122,109212.2001
3,122.8780,111.8970,111897.0001
3,123.0691,112.0881,112088.1001
3,125.1751,114.1941,114194.1001
3,125.3583,114.3773,114377.3001
3,126.3842,115.4032,115403.2001
3,126.6497,115.6687,115668.7001
3,127.5480,116.5670,116567.0001
3,129.6872,118.7062,118706.2001
3,129.9243,118.9433,118943.3001
3,129.9271,118.9461,118946.1001
3,132.9670,121.9860,121986.0001
3,133.2588,122.2778,122277.8001
3,134.1943,123.2133,123213.3001
3,135.1321,124.1511,124151.1001
3,136.2586,125.2776,125277.6001
3,136.9194,125.9384,125938.4001
3,137.4372,126.4562,126456.2001
3,137.7603,126.7793,126779.3001
3,138.2614,127.2804,127280.4001
3,139.8524,128.8714,128871.4001
3,140.9724,129.9914,129991.4001
3,142.3894,131.4084,131408.4001
3,142.8402,131.8592,131859.2001
3,142.9688,131.9878,131987.8001
3,143.0148,132.0338,132033.8001
3,143.0343,132.0533,132053.3001
3,143.0804,132.0994,132099.4001
3,145.9563,134.9753,134975.3001
3,147.5604,136.5794,136579.4001
3,148.0177,137.0367,137036.7001
3,150.0057,139.0247,139024.7001
3,151.4687,140.4877,140487.7001
3,152.1187,141.1377,141137.7001
3,153.6284,142.6474,142647.4001
3,154.7743,143.7933,143793.3001
3,154.9462,143.9652,143965.2001
3,155.4707,144.4897,144489.7001
3,157.4691,146.4881,146488.1001
3,159.7689,148.7879,148787.9001
3,164.2653,153.2843,153284.3001
3,171.3019,160.3209,160320.9001
3,172.1884,161.2074,161207.4001
3,177.1392,166.1582,166158.2001
3,179.5271,168.5461,168546.1001
3,183.0398,172.0588,172058.8001
3,183.6279,172.6469,172646.9001
3,183.8307,172.8497,172849.7001
3,184.4818,173.5008,173500.8001
3,184.8127,173.8317,173831.7001
3,185.9320,174.9510,174951.0001
3,186.0693,175.0883,175088.3001
3,186.2588,175.2778,175277.8001
3,186.9501,175.9691,175969.1001
3,187.1944,176.2134,176213.4001
3,187.5427,176.5617,176561.7001
3,187.9465,176.9655,176965.5001
3,187.9680,176.9870,176987.0001
3,188.2864,177.3054,177305.4001
3,188.2897,177.3087,177308.7001
3,188.5230,177.5420,177542.0001
3,188.5926,177.6116,177611.6001
3,188.6199,177.6389,177638.9001
3,190.0209,179.0399,179039.9001
3,190.3240,179.3430,179343.0001
3,190.5180,179.5370,179537.0001
3,191.2151,180.2341,180234.1001
3,191.3175,180.3365,180336.5001
3,192.1084,181.1274,181127.4001
3,192.4738,181.4928,181492.8001
3,193.1268,182.1458,182145.8001
3,193.9701,182.9891,182989.1001
3,194.1619,183.1809,183180.9001
3,194.4581,183.4771,183477.1001
3,194.5811,183.6001,183600.1001
3,195.5041,184.5231,184523.1001
3,195.5951,184.6141,184614.1001
3,195.7054,184.7244,184724.4001
3,196.3185,185.3375,185337.5001
3,196.5603,185.5793,185579.3001
3,196.5623,185.5813,185581.3001
3,199.2859,188.3049,188304.9001
3,199.6193,188.6383,188638.3001
3,200.0992,189.1182,189118.2001
3,206.4189,195.4379,195437.9001
3,207.0606,196.0796,196079.6001
3,207.3478,196.3668,196366.8001
3,207.5611,196.5801,196580.1001
3,207.5972,196.6162,196616.2001
3,208.5524,197.5714,197571.4001
3,210.3442,199.3632,199363.2001
3,210.4490,199.4680,199468.0001
3,210.4819,199.5009,199500.9001
3,211.8823,200.9013,200901.3001
3,213.8932,202.9122,202912.2001
3,216.9020,205.9210,205921.0001
3,217.8348,206.8538,206853.8001
3,218.1948,207.2138,207213.8001
3,220.9806,209.9996,209999.6001
3,222.5352,211.5542,211554.2001
3,223.8713,212.8903,212890.3001
3,225.9869,215.0059,215005.9001
3,226.9483,215.9673,215967.3001
3,227.7286,216.7476,216747.6001
3,228.5643,217.5833,217583.3001
3,229.0098,218.0288,218028.8001
3,229.3453,218.3643,218364.3001
3,229.6323,218.6513,218651.3001
3,229.7839,218.8029,218802.9001
3,230.3574,219.3764,219376.4001
3,232.0627,221.0817,221081.7001
3,232.4585,221.4775,221477.5001
3,234.0292,223.0482,223048.2001
3,235.4273,224.4463,224446.3001
3,236.0966,225.1156,225115.6001
3,237.0317,226.0507,226050.7001
3,237.7612,226.7802,226780.2001
3,239.2760,228.2950,228295.0001
3,240.0951,229.1141,229114.1001
3,241.8599,230.8789,230878.9001
3,243.7425,232.7615,232761.5001
3,244.6147,233.6337,233633.7001
3,244.7448,233.7638,233763.8001
3,246.7943,235.8133,235813.3001
3,246.8878,235.9068,235906.8001
3,247.1724,236.1914,236191.4001
3,247.6606,236.6796,236679.6001
3,247.6719,236.6909,236690.9001
3,247.8033,236.8223,236822.3001
3,247.8235,236.8425,236842.5001
3,248.0196,237.0386,237038.6001
3,248.4067,237.4257,237425.7001
3,248.6345,237.6535,237653.5001
3,248.7441,237.7631,237763.1001
3,249.4934,238.5124,238512.4001
3,249.5053,238.5243,238524.3001
3,249.5279,238.5469,238546.9001
3,249.5775,238.5965,238596.5001
3,249.5866,238.6056,238605.6001
3,250.1132,239.1322,239132.2001
3,250.6016,239.6206,239620.6001
3,251.5785,240.5975,240597.5001
3,252.6856,241.7046,241704.6001
3,253.0731,242.0921,242092.1001
3,253.3727,242.3917,242391.7001
3,254.2163,243.2353,243235.3001
3,254.2801,243.2991,243299.1001
3,254.6197,243.6387,243638.7001
3,256.0380,245.0570,245057.0001
3,256.0912,245.1102,245110.2001
3,256.2636,245.2826,245282.6001
3,256.3593,245.3783,245378.3001
3,256.3909,245.4099,245409.9001
3,256.3972,245.4162,245416.2001
3,257.0302,246.0492,246049.2001
3,257.3684,246.3874,246387.4001
3,258.2366,247.2556,247255.6001
3,260.1856,249.2046,249204.6001
3,260.3058,249.3248,249324.8001
3,261.4545,250.4735,250473.5001
3,261.4760,250.4950,250495.0001
3,261.4913,250.5103,250510.3001
3,262.2340,251.2530,251253.0001
3,262.6903,251.7093,251709.3001
3,263.5260,252.5450,252545.0001
3,265.1071,254.1261,254126.1001
3,265.7655,254.7845,254784.5001
3,266.1843,255.2033,255203.3001
3,267.2046,256.2236,256223.6001
3,267.3930,256.4120,256412.0001
3,268.2390,257.2580,257258.0001
3,268.5350,257.5540,257554.0001
3,268.7348,257.7538,257753.8001
3,269.0300,258.0490,258049.0001
3,269.2664,258.2854,258285.4001
3,269.4807,258.4997,258499.7001
3,273.4466,262.4656,262465.6001
3,274.1510,263.1700,263170.0001
3,274.1993,263.2183,263218.3001
3,275.7034,264.7224,264722.4001
3,275.8180,264.8370,264837.0001
3,278.4233,267.4423,267442.3001
3,279.5275,268.5465,268546.5001
3,279.9363,268.9553,268955.3001
