units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,12.0918,1.1108,1110.8001
1,14.4015,3.4205,3420.5001
1,14.6940,3.7130,3713.0001
1,14.7293,3.7483,3748.3001
1,15.0141,4.0331,4033.1001
1,15.8752,4.8942,4894.2001
1,17.3210,6.3400,6340.0001
1,18.0909,7.1099,7109.9001
1,20.2793,9.2983,9298.3001
1,21.0726,10.0916,10091.6001
1,22.2318,11.2508,11250.8001
1,22.5136,11.5326,11532.6001
1,22.8892,11.9082,11908.2001
1,22.9259,11.9449,11944.9001
1,29.1898,18.2088,18208.8001
1,29.8501,18.8691,18869.1001
1,29.9715,18.9905,18990.5001
1,30.7635,19.7825,19782.5001
1,33.3406,22.3596,22359.6001
1,33.5359,22.5549,22554.9001
1,35.9162,24.9352,24935.2001
1,38.4219,27.4409,27440.9001
1,38.4876,27.5066,27506.6001
1,38.4930,27.5120,27512.0001
1,38.5397,27.5587,27558.7001
1,38.6502,27.6692,27669.2001
1,38.7462,27.7652,27765.2001
1,38.8080,27.8270,27827.0001
1,38.8276,27.8466,27846.6001
1,38.8454,27.8644,27864.4001
1,38.8664,27.8854,27885.4001
1,38.8729,27.8919,27891.9001
1,38.8801,27.8991,27899.1001
1,38.8973,27.9163,27916.3001
1,38.9006,27.9196,27919.6001
1,38.9169,27.9359,27935.9001
1,38.9606,27.9796,27979.6001
1,38.9874,28.0064,28006.4001
1,41.8148,30.8338,30833.8001
1,42.2858,31.3048,31304.8001
1,42.4039,31.4229,31422.9001
1,42.4247,31.4437,31443.7001
1,42.4268,31.4458,31445.8001
1,42.4369,31.4559,31455.9001
1,42.6695,31.6885,31688.5001
1,42.7144,31.7334,31733.4001
1,42.7273,31.7463,31746.3001
1,42.7612,31.7802,31780.2001
1,42.7898,31.8088,31808.8001
1,42.8009,31.8199,31819.9001
1,42.8535,31.8725,31872.5001
1,42.8950,31.9140,31914.0001
1,42.9156,31.9346,31934.6001
1,42.9259,31.9449,31944.9001
1,42.9823,32.0013,32001.3001
1,42.9887,32.0077,32007.7001
1,42.9941,32.0131,32013.1001
1,43.3076,32.3266,32326.6001
1,43.3110,32.3300,32330.0001
1,43.6233,32.6423,32642.3001
1,44.0145,33.0335,33033.5001
1,44.2615,33.2805,33280.5001
1,44.7459,33.7649,33764.9001
1,44.9619,33.9809,33980.9001
1,47.4244,36.4434,36443.4001
1,47.5397,36.5587,36558.7001
1,47.6655,36.6845,36684.5001
1,47.6917,36.7107,36710.7001
1,47.7054,36.7244,36724.4001
1,47.7464,36.7654,36765.4001
1,47.8102,36.8292,36829.2001
1,47.8916,36.9106,36910.6001
1,47.9643,36.9833,36983.3001
1,47.9785,36.9975,36997.5001
1,48.2720,37.2910,37291.0001
1,48.8541,37.8731,37873.1001
1,49.7119,38.7309,38730.9001
1,58.9569,47.9759,47975.9001
1,64.9119,53.9309,53930.9001
1,65.1609,54.1799,54179.9001
1,65.4508,54.4698,54469.8001
1,65.5381,54.5571,54557.1001
1,65.5502,54.5692,54569.2001
1,65.7627,54.7817,54781.7001
1,72.8041,61.8231,61823.1001
1,73.3820,62.4010,62401.0001
1,74.3593,63.3783,63378.3001
1,80.4487,69.4677,69467.7001
1,88.1519,77.1709,77170.9001
1,88.2054,77.2244,77224.4001
1,88.2324,77.2514,77251.4001
1,88.3378,77.3568,77356.8001
1,88.4576,77.4766,77476.6001
1,88.4711,77.4901,77490.1001
1,88.5575,77.5765,77576.5001
1,88.5638,77.5828,77582.8001
1,88.5873,77.6063,77606.3001
1,88.5968,77.6158,77615.8001
1,88.6129,77.6319,77631.9001
1,88.7308,77.7498,77749.8001
1,88.7377,77.7567,77756.7001
1,88.7488,77.7678,77767.8001
1,88.7703,77.7893,77789.3001
1,88.7971,77.8161,77816.1001
1,88.7991,77.8181,77818.1001
1,88.8115,77.8305,77830.5001
1,88.8150,77.8340,77834.0001
1,88.8467,77.8657,77865.7001
1,88.9261,77.9451,77945.1001
1,89.0152,78.0342,78034.2001
1,89.0222,78.0412,78041.2001
1,89.0597,78.0787,78078.7001
1,89.0718,78.0908,78090.8001
1,89.0869,78.1059,78105.9001
1,89.0991,78.1181,78118.1001
1,89.1034,78.1224,78122.4001
1,89.1093,78.1283,78128.3001
1,89.1621,78.1811,78181.1001
1,89.1921,78.2111,78211.1001
1,89.1997,78.2187,78218.7001
1,90.2800,79.2990,79299.0001
1,90.4235,79.4425,79442.5001
1,90.5670,79.5860,79586.0001
1,90.6055,79.6245,79624.5001
1,90.7282,79.7472,79747.2001
1,91.6304,80.6494,80649.4001
1,92.2972,81.3162,81316.2001
1,92.6100,81.6290,81629.0001
1,92.7176,81.7366,81736.6001
1,93.8330,82.8520,82852.0001
1,93.9649,82.9839,82983.9001
1,94.0071,83.0261,83026.1001
1,96.4767,85.4957,85495.7001
1,96.5073,85.5263,85526.3001
1,96.5189,85.5379,85537.9001
1,96.5285,85.5475,85547.5001
1,96.5761,85.5951,85595.1001
1,96.6309,85.6499,85649.9001
1,96.6761,85.6951,85695.1001
1,96.6801,85.6991,85699.1001
1,96.6843,85.7033,85703.3001
1,96.6901,85.7091,85709.1001
1,96.7086,85.7276,85727.6001
1,96.7159,85.7349,85734.9001
1,96.7261,85.7451,85745.1001
1,96.7579,85.7769,85776.9001
1,96.7617,85.7807,85780.7001
1,98.2922,87.3112,87311.2001
1,103.8175,92.8365,92836.5001
1,106.0320,95.0510,95051.0001
1,107.1787,96.1977,96197.7001
1,107.4474,96.4664,96466.4001
1,107.4514,96.4704,96470.4001
1,107.4590,96.4780,96478.0001
1,107.4714,96.4904,96490.4001
1,107.5125,96.5315,96531.5001
1,107.5749,96.5939,96593.9001
1,107.5805,96.5995,96599.5001
1,107.5963,96.6153,96615.3001
1,107.5990,96.6180,96618.0001
1,107.6024,96.6214,96621.4001
1,107.6046,96.6236,96623.6001
1,107.6152,96.6342,96634.2001
1,107.6663,96.6853,96685.3001
1,107.6722,96.6912,96691.2001
1,107.6788,96.6978,96697.8001
1,107.6859,96.7049,96704.9001
1,107.7515,96.7705,96770.5001
1,107.7741,96.7931,96793.1001
1,107.7839,96.8029,96802.9001
1,107.7943,96.8133,96813.3001
1,107.9570,96.9760,96976.0001
1,107.9784,96.9974,96997.4001
1,107.9945,97.0135,97013.5001
1,108.0510,97.0700,97070.0001
1,108.0801,97.0991,97099.1001
1,108.3137,97.3327,97332.7001
1,108.3250,97.3440,97344.0001
1,108.3391,97.3581,97358.1001
1,108.3645,97.3835,97383.5001
1,110.7449,99.7639,99763.9001
1,110.9640,99.9830,99983.0001
1,122.9493,111.9683,111968.3001
1,123.5216,112.5406,112540.6001
1,127.4968,116.5158,116515.8001
1,127.4992,116.5182,116518.2001
1,129.6880,118.7070,118707.0001
1,129.6895,118.7085,118708.5001
1,129.8236,118.8426,118842.6001
1,129.9456,118.9646,118964.6001
1,130.1547,119.1737,119173.7001
1,130.1670,119.1860,119186.0001
1,135.3532,124.3722,124372.2001
1,136.4416,125.4606,125460.6001
1,141.6914,130.7104,130710.4001
1,160.3768,149.3958,149395.8001
1,161.3032,150.3222,150322.2001
1,190.5550,179.5740,179574.0001
1,190.7448,179.7638,179763.8001
1,191.9435,180.9625,180962.5001
1,207.8219,196.8409,196840.9001
1,210.3676,199.3866,199386.6001
1,210.4865,199.5055,199505.5001
1,210.5398,199.5588,199558.8001
1,210.6372,199.6562,199656.2001
1,210.6454,199.6644,199664.4001
1,210.6514,199.6704,199670.4001
1,210.7387,199.7577,199757.7001
1,210.7883,199.8073,199807.3001
1,211.5854,200.6044,200604.4001
1,212.5356,201.5546,201554.6001
1,217.5450,206.5640,206564.0001
1,222.8367,211.8557,211855.7001
1,223.7965,212.8155,212815.5001
1,223.8226,212.8416,212841.6001
1,224.0753,213.0943,213094.3001
1,227.6343,216.6533,216653.3001
1,227.6568,216.6758,216675.8001
1,246.2956,235.3146,235314.6001
1,246.7142,235.7332,235733.2001
1,247.0233,236.0423,236042.3001
1,250.5247,239.5437,239543.7001
