units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1882.4314,1871.4504,1871450.4001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,231.4001,0.2314
1,1883.4383,1872.4573,1872457.3001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1238.3001,1.2383
1,1883.4518,1872.4708,1872470.8001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1251.8001,1.2518
1,1883.9205,1872.9395,1872939.5001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1720.5001,1.7205
1,104.3461,93.3651,93365.1001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,610.1001,0.6101
1,104.4446,93.4636,93463.6001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,708.6001,0.7086
1,195.3380,184.3570,184357.0001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,115.0001,0.1150
1,195.5824,184.6014,184601.4001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,359.4001,0.3594
1,195.7138,184.7328,184732.8001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,490.8001,0.4908
1,195.7610,184.7800,184780.0001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,538.0001,0.5380
1,195.8284,184.8474,184847.4001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,605.4001,0.6054
1,195.8665,184.8855,184885.5001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,643.5001,0.6435
1,195.8717,184.8907,184890.7001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,648.7001,0.6487
1,196.2216,185.2406,185240.6001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,998.6001,0.9986
1,196.4502,185.4692,185469.2001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1227.2001,1.2272
1,196.6539,185.6729,185672.9001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1430.9001,1.4309
1,196.6718,185.6908,185690.8001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1448.8001,1.4488
1,197.2828,186.3018,186301.8001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2059.8001,2.0598
1,197.3198,186.3388,186338.8001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2096.8001,2.0968
1,197.3752,186.3942,186394.2001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2152.2001,2.1522
1,197.5050,186.5240,186524.0001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2282.0001,2.2820
1,198.0933,187.1123,187112.3001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2870.3001,2.8703
