units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1883.2277,1872.2467,1872246.7001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1027.7001,1.0277
1,1883.2735,1872.2925,1872292.5001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1073.5001,1.0735
1,1883.3565,1872.3755,1872375.5001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1156.5001,1.1565
1,1884.0249,1873.0439,1873043.9001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1824.9001,1.8249
1,104.0519,93.0709,93070.9001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,315.9001,0.3159
1,104.2880,93.3070,93307.0001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,552.0001,0.5520
1,195.4478,184.4668,184466.8001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,224.8001,0.2248
1,195.4908,184.5098,184509.8001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,267.8001,0.2678
1,195.6362,184.6552,184655.2001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,413.2001,0.4132
1,195.7057,184.7247,184724.7001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,482.7001,0.4827
1,195.9804,184.9994,184999.4001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,757.4001,0.7574
1,195.9934,185.0124,185012.4001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,770.4001,0.7704
1,196.1200,185.1390,185139.0001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,897.0001,0.8970
1,196.1766,185.1956,185195.6001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,953.6001,0.9536
1,196.2389,185.2579,185257.9001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1015.9001,1.0159
1,196.9361,185.9551,185955.1001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1713.1001,1.7131
1,197.2537,186.2727,186272.7001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2030.7001,2.0307
1,197.3026,186.3216,186321.6001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2079.6001,2.0796
1,197.5301,186.5491,186549.1001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2307.1001,2.3071
1,533.9071,522.9261,522926.1001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,27.1001,0.0271
