units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1882.3965,1871.4155,1871415.5001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,196.5001,0.1965
1,1882.5137,1871.5327,1871532.7001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,313.7001,0.3137
1,1882.5525,1871.5715,1871571.5001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,352.5001,0.3525
1,1882.6178,1871.6368,1871636.8001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,417.8001,0.4178
1,1882.6236,1871.6426,1871642.6001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,423.6001,0.4236
1,1882.6750,1871.6940,1871694.0001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,475.0001,0.4750
1,1882.6966,1871.7156,1871715.6001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,496.6001,0.4966
1,1882.7186,1871.7376,1871737.6001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,518.6001,0.5186
1,1882.7512,1871.7702,1871770.2001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,551.2001,0.5512
1,1882.7889,1871.8079,1871807.9001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,588.9001,0.5889
1,1882.8864,1871.9054,1871905.4001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,686.4001,0.6864
1,1883.0068,1872.0258,1872025.8001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,806.8001,0.8068
1,1883.0345,1872.0535,1872053.5001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,834.5001,0.8345
1,1883.0955,1872.1145,1872114.5001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,895.5001,0.8955
1,1883.1879,1872.2069,1872206.9001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,987.9001,0.9879
1,1883.2223,1872.2413,1872241.3001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1022.3001,1.0223
1,1883.3005,1872.3195,1872319.5001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1100.5001,1.1005
1,1883.3409,1872.3599,1872359.9001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1140.9001,1.1409
1,1883.3794,1872.3984,1872398.4001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1179.4001,1.1794
1,1883.6515,1872.6705,1872670.5001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1451.5001,1.4515
1,1883.6671,1872.6861,1872686.1001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1467.1001,1.4671
1,1883.6720,1872.6910,1872691.0001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1472.0001,1.4720
1,1883.8194,1872.8384,1872838.4001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1619.4001,1.6194
1,1884.0187,1873.0377,1873037.7001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1818.7001,1.8187
1,1884.0555,1873.0745,1873074.5001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1855.5001,1.8555
1,1884.0838,1873.1028,1873102.8001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1883.8001,1.8838
1,1884.1803,1873.1993,1873199.3001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1980.3001,1.9803
1,1884.2014,1873.2204,1873220.4001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,2001.4001,2.0014
1,1884.2290,1873.2480,1873248.0001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,2029.0001,2.0290
1,1884.3197,1873.3387,1873338.7001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,2119.7001,2.1197
1,103.8092,92.8282,92828.2001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,73.2001,0.0732
1,103.8873,92.9063,92906.3001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,151.3001,0.1513
1,103.9714,92.9904,92990.4001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,235.4001,0.2354
1,104.0553,93.0743,93074.3001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,319.3001,0.3193
1,104.0584,93.0774,93077.4001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,322.4001,0.3224
1,104.4639,93.4829,93482.9001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,727.9001,0.7279
1,195.3524,184.3714,184371.4001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,129.4001,0.1294
1,195.3970,184.4160,184416.0001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,174.0001,0.1740
1,195.4739,184.4929,184492.9001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,250.9001,0.2509
1,195.4808,184.4998,184499.8001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,257.8001,0.2578
1,195.5035,184.5225,184522.5001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,280.5001,0.2805
1,195.5521,184.5711,184571.1001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,329.1001,0.3291
1,195.5555,184.5745,184574.5001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,332.5001,0.3325
1,195.5788,184.5978,184597.8001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,355.8001,0.3558
1,195.6561,184.6751,184675.1001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,433.1001,0.4331
1,195.9055,184.9245,184924.5001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,682.5001,0.6825
1,195.9619,184.9809,184980.9001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,738.9001,0.7389
1,196.0335,185.0525,185052.5001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,810.5001,0.8105
1,196.0662,185.0852,185085.2001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,843.2001,0.8432
1,196.2716,185.2906,185290.6001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1048.6001,1.0486
1,196.3329,185.3519,185351.9001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1109.9001,1.1099
