units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,432.9558,421.9748,421974.8001,9,1.0-421669-424238,230.0000,1.0000,1,8,True,421669.0000,424238.0000,305.8001,0.3058
2,433.5099,422.5289,422528.9001,9,1.0-421669-424238,230.0000,1.0000,1,8,True,421669.0000,424238.0000,859.9001,0.8599
2,1168.7068,1157.7258,1157725.8001,10,1.0-1156870-1158939,477.0000,1.0000,0,44,True,1156870.0000,1158939.0000,855.8001,0.8558
2,1169.4015,1158.4205,1158420.5001,10,1.0-1156870-1158939,477.0000,1.0000,0,44,True,1156870.0000,1158939.0000,1550.5001,1.5505
2,2070.5392,2059.5582,2059558.2001,13,1.0-2057597-2059665,857.0000,1.0000,0,47,True,2057597.0000,2059665.0000,1961.2001,1.9612
2,2070.5551,2059.5741,2059574.1001,13,1.0-2057597-2059665,857.0000,1.0000,0,47,True,2057597.0000,2059665.0000,1977.1001,1.9771
2,1329.3833,1318.4023,1318402.3001,14,1.0-1317090-1320093,535.0000,1.0000,0,48,True,1317090.0000,1320093.0000,1312.3001,1.3123
2,2430.8376,2419.8566,2419856.6001,16,1.0-2418474-2421477,995.0000,1.0000,0,50,True,2418474.0000,2421477.0000,1382.6001,1.3826
2,2101.1070,2090.1260,2090126.0001,21,1.0-2090028-2091129,872.0000,1.0000,0,52,True,2090028.0000,2091129.0000,98.0001,0.0980
2,2101.5830,2090.6020,2090602.0001,21,1.0-2090028-2091129,872.0000,1.0000,0,52,True,2090028.0000,2091129.0000,574.0001,0.5740
2,2101.8454,2090.8644,2090864.4001,21,1.0-2090028-2091129,872.0000,1.0000,0,52,True,2090028.0000,2091129.0000,836.4001,0.8364
2,627.7056,616.7246,616724.6001,25,1.0-616388-619391,300.0000,1.0000,1,13,True,616388.0000,619391.0000,336.6001,0.3366
2,627.7107,616.7297,616729.7001,25,1.0-616388-619391,300.0000,1.0000,1,13,True,616388.0000,619391.0000,341.7001,0.3417
2,629.3573,618.3763,618376.3001,25,1.0-616388-619391,300.0000,1.0000,1,13,True,616388.0000,619391.0000,1988.3001,1.9883
2,1092.5656,1081.5846,1081584.6001,26,1.0-1080664-1082666,458.0000,1.0000,1,14,True,1080664.0000,1082666.0000,920.6001,0.9206
2,56.7203,45.7393,45739.3001,30,1.0-44609-47579,24.0000,1.0000,1,17,True,44609.0000,47579.0000,1130.3001,1.1303
2,56.7255,45.7445,45744.5001,30,1.0-44609-47579,24.0000,1.0000,1,17,True,44609.0000,47579.0000,1135.5001,1.1355
2,57.7466,46.7656,46765.6001,30,1.0-44609-47579,24.0000,1.0000,1,17,True,44609.0000,47579.0000,2156.6001,2.1566
2,1909.0234,1898.0424,1898042.4001,34,1.0-1895842-1898078,799.0000,1.0000,0,57,True,1895842.0000,1898078.0000,2200.4001,2.2004
2,2093.2874,2082.3064,2082306.4001,41,1.0-2080619-2082821,867.0000,1.0000,0,61,True,2080619.0000,2082821.0000,1687.4001,1.6874
2,1459.2658,1448.2848,1448284.8001,47,1.0-1446780-1448716,574.0000,1.0000,0,65,True,1446780.0000,1448716.0000,1504.8001,1.5048
2,2243.1947,2232.2137,2232213.7001,48,1.0-2232063-2233464,922.0000,1.0000,0,66,True,2232063.0000,2233464.0000,150.7001,0.1507
2,187.8325,176.8515,176851.5001,56,1.0-176135-178404,105.0000,1.0000,1,31,True,176135.0000,178404.0000,716.5001,0.7165
2,187.8891,176.9081,176908.1001,56,1.0-176135-178404,105.0000,1.0000,1,31,True,176135.0000,178404.0000,773.1001,0.7731
2,187.9609,176.9799,176979.9001,56,1.0-176135-178404,105.0000,1.0000,1,31,True,176135.0000,178404.0000,844.9001,0.8449
2,188.0725,177.0915,177091.5001,56,1.0-176135-178404,105.0000,1.0000,1,31,True,176135.0000,178404.0000,956.5001,0.9565
2,1426.2025,1415.2215,1415221.5001,69,1.0-1413882-1415751,560.0000,1.0000,1,38,True,1413882.0000,1415751.0000,1339.5001,1.3395
2,191.9344,180.9534,180953.4001,71,1.0-180272-182107,107.0000,1.0000,1,40,True,180272.0000,182107.0000,681.4001,0.6814
2,1616.4026,1605.4216,1605421.6001,74,1.0-1602763-1605532,650.0000,1.0000,1,42,True,1602763.0000,1605532.0000,2658.6001,2.6586
