units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1882.5461,1871.5651,1871565.1001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,346.1001,0.3461
1,1882.7673,1871.7863,1871786.3001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,567.3001,0.5673
1,1882.7897,1871.8087,1871808.7001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,589.7001,0.5897
1,1882.9201,1871.9391,1871939.1001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,720.1001,0.7201
1,1882.9618,1871.9808,1871980.8001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,761.8001,0.7618
1,1883.4694,1872.4884,1872488.4001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1269.4001,1.2694
1,1883.6161,1872.6351,1872635.1001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1416.1001,1.4161
1,1883.7551,1872.7741,1872774.1001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1555.1001,1.5551
1,1883.9331,1872.9521,1872952.1001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1733.1001,1.7331
1,1884.0358,1873.0548,1873054.8001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1835.8001,1.8358
1,103.8042,92.8232,92823.2001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,68.2001,0.0682
1,103.9240,92.9430,92943.0001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,188.0001,0.1880
1,104.0421,93.0611,93061.1001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,306.1001,0.3061
1,104.1707,93.1897,93189.7001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,434.7001,0.4347
1,104.3615,93.3805,93380.5001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,625.5001,0.6255
1,195.5521,184.5711,184571.1001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,329.1001,0.3291
1,195.5788,184.5978,184597.8001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,355.8001,0.3558
1,195.5949,184.6139,184613.9001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,371.9001,0.3719
1,196.0782,185.0972,185097.2001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,855.2001,0.8552
1,196.1290,185.1480,185148.0001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,906.0001,0.9060
1,196.3029,185.3219,185321.9001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1079.9001,1.0799
1,196.4083,185.4273,185427.3001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1185.3001,1.1853
1,196.4974,185.5164,185516.4001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1274.4001,1.2744
1,196.7934,185.8124,185812.4001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1570.4001,1.5704
1,197.4045,186.4235,186423.5001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2181.5001,2.1815
1,197.8115,186.8305,186830.5001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2588.5001,2.5885
1,534.0039,523.0229,523022.9001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,123.9001,0.1239
1,534.1873,523.2063,523206.3001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,307.3001,0.3073
1,534.8292,523.8482,523848.2001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,949.2001,0.9492
1,535.0904,524.1094,524109.4001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,1210.4001,1.2104
1,535.1013,524.1203,524120.3001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,1221.3001,1.2213
1,535.2153,524.2343,524234.3001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,1335.3001,1.3353
1,535.2967,524.3157,524315.7001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,1416.7001,1.4167
1,535.2986,524.3176,524317.6001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,1418.6001,1.4186
1,535.3508,524.3698,524369.8001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,1470.8001,1.4708
1,535.4973,524.5163,524516.3001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,1617.3001,1.6173
1,535.6524,524.6714,524671.4001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,1772.4001,1.7724
1,535.6926,524.7116,524711.6001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,1812.6001,1.8126
1,1048.8725,1037.8915,1037891.5001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,67.5001,0.0675
1,1049.0182,1038.0372,1038037.2001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,213.2001,0.2132
1,1049.1979,1038.2169,1038216.9001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,392.9001,0.3929
1,1049.3032,1038.3222,1038322.2001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,498.2001,0.4982
1,1049.3211,1038.3401,1038340.1001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,516.1001,0.5161
1,1049.4954,1038.5144,1038514.4001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,690.4001,0.6904
1,1049.5339,1038.5529,1038552.9001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,728.9001,0.7289
1,1050.0263,1039.0453,1039045.3001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1221.3001,1.2213
1,1050.2158,1039.2348,1039234.8001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1410.8001,1.4108
1,1050.2492,1039.2682,1039268.2001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1444.2001,1.4442
1,1050.3731,1039.3921,1039392.1001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1568.1001,1.5681
1,1050.4262,1039.4452,1039445.2001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1621.2001,1.6212
1,1050.4619,1039.4809,1039480.9001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1656.9001,1.6569
1,1050.4737,1039.4927,1039492.7001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1668.7001,1.6687
1,1050.4782,1039.4972,1039497.2001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1673.2001,1.6732
1,1050.5282,1039.5472,1039547.2001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1723.2001,1.7232
1,1050.5462,1039.5652,1039565.2001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1741.2001,1.7412
1,1050.5754,1039.5944,1039594.4001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1770.4001,1.7704
1,1050.5846,1039.6036,1039603.6001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1779.6001,1.7796
1,1050.6882,1039.7072,1039707.2001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1883.2001,1.8832
1,1050.7116,1039.7306,1039730.6001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1906.6001,1.9066
1,1050.9657,1039.9847,1039984.7001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,2160.7001,2.1607
1,1050.9710,1039.9900,1039990.0001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,2166.0001,2.1660
1,1050.9950,1040.0140,1040014.0001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,2190.0001,2.1900
1,1051.0443,1040.0633,1040063.3001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,2239.3001,2.2393
1,1051.0701,1040.0891,1040089.1001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,2265.1001,2.2651
