units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1882.2127,1871.2317,1871231.7001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,12.7001,0.0127
1,1882.2973,1871.3163,1871316.3001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,97.3001,0.0973
1,1882.3046,1871.3236,1871323.6001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,104.6001,0.1046
1,1883.4497,1872.4687,1872468.7001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1249.7001,1.2497
1,1883.5194,1872.5384,1872538.4001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1319.4001,1.3194
1,1883.5853,1872.6043,1872604.3001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1385.3001,1.3853
1,1883.6056,1872.6246,1872624.6001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1405.6001,1.4056
1,1883.8725,1872.8915,1872891.5001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1672.5001,1.6725
1,1883.9628,1872.9818,1872981.8001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1762.8001,1.7628
1,1883.9812,1873.0002,1873000.2001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1781.2001,1.7812
1,1884.1255,1873.1445,1873144.5001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1925.5001,1.9255
1,1884.1803,1873.1993,1873199.3001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1980.3001,1.9803
1,1884.2728,1873.2918,1873291.8001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,2072.8001,2.0728
1,103.7398,92.7588,92758.8001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,3.8001,0.0038
1,104.0082,93.0272,93027.2001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,272.2001,0.2722
1,104.1503,93.1693,93169.3001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,414.3001,0.4143
1,104.3513,93.3703,93370.3001,2,1.0-92755-93489,54.0000,1.0000,1,2,True,92755.0000,93489.0000,615.3001,0.6153
1,195.7317,184.7507,184750.7001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,508.7001,0.5087
1,196.2193,185.2383,185238.3001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,996.3001,0.9963
1,196.2255,185.2445,185244.5001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1002.5001,1.0025
1,196.3410,185.3600,185360.0001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1118.0001,1.1180
1,196.5010,185.5200,185520.0001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1278.0001,1.2780
1,196.5235,185.5425,185542.5001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1300.5001,1.3005
1,196.5323,185.5513,185551.3001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1309.3001,1.3093
1,196.6833,185.7023,185702.3001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1460.3001,1.4603
1,196.8988,185.9178,185917.8001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1675.8001,1.6758
1,196.9796,185.9986,185998.6001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1756.6001,1.7566
1,197.0927,186.1117,186111.7001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,1869.7001,1.8697
1,197.3668,186.3858,186385.8001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2143.8001,2.1438
1,197.4495,186.4685,186468.5001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2226.5001,2.2265
1,197.5643,186.5833,186583.3001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2341.3001,2.3413
1,197.6271,186.6461,186646.1001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2404.1001,2.4041
1,197.7115,186.7305,186730.5001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2488.5001,2.4885
1,197.9447,186.9637,186963.7001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2721.7001,2.7217
1,198.0555,187.0745,187074.5001,3,1.0-184242-187145,109.0000,1.0000,1,3,True,184242.0000,187145.0000,2832.5001,2.8325
1,533.9382,522.9572,522957.2001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,58.2001,0.0582
1,533.9780,522.9970,522997.0001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,98.0001,0.0980
1,534.0953,523.1143,523114.3001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,215.3001,0.2153
1,534.0983,523.1173,523117.3001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,218.3001,0.2183
1,534.6607,523.6797,523679.7001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,780.7001,0.7807
1,534.9243,523.9433,523943.3001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,1044.3001,1.0443
1,535.1402,524.1592,524159.2001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,1260.2001,1.2602
1,535.4053,524.4243,524424.3001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,1525.3001,1.5253
1,535.8031,524.8221,524822.1001,4,1.0-522899-524901,267.0000,1.0000,1,4,True,522899.0000,524901.0000,1923.1001,1.9231
1,1049.2006,1038.2196,1038219.6001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,395.6001,0.3956
1,1049.3180,1038.3370,1038337.0001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,513.0001,0.5130
1,1049.4409,1038.4599,1038459.9001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,635.9001,0.6359
1,1049.6940,1038.7130,1038713.0001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,889.0001,0.8890
1,1050.1225,1039.1415,1039141.5001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1317.5001,1.3175
1,1050.1460,1039.1650,1039165.0001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1341.0001,1.3410
1,1050.1848,1039.2038,1039203.8001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1379.8001,1.3798
1,1050.5166,1039.5356,1039535.6001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1711.6001,1.7116
1,1050.6334,1039.6524,1039652.4001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1828.4001,1.8284
1,1050.8199,1039.8389,1039838.9001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,2014.9001,2.0149
1,1050.9971,1040.0161,1040016.1001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,2192.1001,2.1921
1,1051.1954,1040.2144,1040214.4001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,2390.4001,2.3904
1,1051.2730,1040.2920,1040292.0001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,2468.0001,2.4680
1,1051.4930,1040.5120,1040512.0001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,2688.0001,2.6880
1,1051.6604,1040.6794,1040679.4001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,2855.4001,2.8554
1,319.8370,308.8560,308856.0001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,962.0001,0.9620
1,319.8473,308.8663,308866.3001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,972.3001,0.9723
1,320.2380,309.2570,309257.0001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,1363.0001,1.3630
1,320.2745,309.2935,309293.5001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,1399.5001,1.3995
1,320.3034,309.3224,309322.4001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,1428.4001,1.4284
1,320.3917,309.4107,309410.7001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,1516.7001,1.5167
1,320.4104,309.4294,309429.4001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,1535.4001,1.5354
1,320.4272,309.4462,309446.2001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,1552.2001,1.5522
1,320.4631,309.4821,309482.1001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,1588.1001,1.5881
1,320.5145,309.5335,309533.5001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,1639.5001,1.6395
1,320.5444,309.5634,309563.4001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,1669.4001,1.6694
1,320.5932,309.6122,309612.2001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,1718.2001,1.7182
1,320.7461,309.7651,309765.1001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,1871.1001,1.8711
1,320.8557,309.8747,309874.7001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,1980.7001,1.9807
1,320.9303,309.9493,309949.3001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,2055.3001,2.0553
1,321.1366,310.1556,310155.6001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,2261.6001,2.2616
1,321.1948,310.2138,310213.8001,6,1.0-307894-310296,173.0000,1.0000,1,6,True,307894.0000,310296.0000,2319.8001,2.3198
1,1205.0981,1194.1171,1194117.1001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,44.1001,0.0441
1,1205.3704,1194.3894,1194389.4001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,316.4001,0.3164
1,1205.4080,1194.4270,1194427.0001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,354.0001,0.3540
1,1205.6044,1194.6234,1194623.4001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,550.4001,0.5504
1,1205.8309,1194.8499,1194849.9001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,776.9001,0.7769
1,1205.8589,1194.8779,1194877.9001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,804.9001,0.8049
1,1205.8981,1194.9171,1194917.1001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,844.1001,0.8441
1,1206.0141,1195.0331,1195033.1001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,960.1001,0.9601
1,1206.0434,1195.0624,1195062.4001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,989.4001,0.9894
1,1206.1315,1195.1505,1195150.5001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,1077.5001,1.0775
1,1206.1941,1195.2131,1195213.1001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,1140.1001,1.1401
1,1206.2098,1195.2288,1195228.8001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,1155.8001,1.1558
1,1206.3201,1195.3391,1195339.1001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,1266.1001,1.2661
1,1206.3455,1195.3645,1195364.5001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,1291.5001,1.2915
1,1206.4250,1195.4440,1195444.0001,7,1.0-1194073-1196775,492.0000,1.0000,0,43,True,1194073.0000,1196775.0000,1371.0001,1.3710
