units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1883.5801,1872.5991,1872599.1001,1,1.0-1871219-1873354,783.0000,1.0000,1,1,True,1871219.0000,1873354.0000,1380.1001,1.3801
1,1049.9113,1038.9303,1038930.3001,5,1.0-1037824-1040693,444.0000,1.0000,1,5,True,1037824.0000,1040693.0000,1106.3001,1.1063
1,1511.9888,1501.0078,1501007.8001,12,1.0-1500398-1502867,600.0000,1.0000,0,46,True,1500398.0000,1502867.0000,609.8001,0.6098
1,1328.5906,1317.6096,1317609.6001,14,1.0-1317090-1320093,535.0000,1.0000,0,48,True,1317090.0000,1320093.0000,519.6001,0.5196
1,1330.5198,1319.5388,1319538.8001,14,1.0-1317090-1320093,535.0000,1.0000,0,48,True,1317090.0000,1320093.0000,2448.8001,2.4488
1,2431.7701,2420.7891,2420789.1001,16,1.0-2418474-2421477,995.0000,1.0000,0,50,True,2418474.0000,2421477.0000,2315.1001,2.3151
1,2017.3681,2006.3871,2006387.1001,20,1.0-2005413-2006815,833.0000,1.0000,1,11,True,2005413.0000,2006815.0000,974.1001,0.9741
1,2050.2340,2039.2530,2039253.0001,22,1.0-2036710-2039446,848.0000,1.0000,0,53,True,2036710.0000,2039446.0000,2543.0001,2.5430
1,904.8322,893.8512,893851.2001,23,1.0-893819-895655,387.0000,1.0000,0,54,True,893819.0000,895655.0000,32.2001,0.0322
1,530.5946,519.6136,519613.6001,33,1.0-518795-520196,264.0000,1.0000,1,19,True,518795.0000,520196.0000,818.6001,0.8186
1,147.4052,136.4242,136424.2001,44,1.0-134962-137798,79.0000,1.0000,1,24,True,134962.0000,137798.0000,1462.2001,1.4622
1,147.6038,136.6228,136622.8001,44,1.0-134962-137798,79.0000,1.0000,1,24,True,134962.0000,137798.0000,1660.8001,1.6608
1,1459.3498,1448.3688,1448368.8001,47,1.0-1446780-1448716,574.0000,1.0000,0,65,True,1446780.0000,1448716.0000,1588.8001,1.5888
1,1459.5029,1448.5219,1448521.9001,47,1.0-1446780-1448716,574.0000,1.0000,0,65,True,1446780.0000,1448716.0000,1741.9001,1.7419
1,1459.6006,1448.6196,1448619.6001,47,1.0-1446780-1448716,574.0000,1.0000,0,65,True,1446780.0000,1448716.0000,1839.6001,1.8396
1,1592.3886,1581.4076,1581407.6001,49,1.0-1581175-1583177,643.0000,1.0000,1,25,True,1581175.0000,1583177.0000,232.6001,0.2326
1,65.4532,54.4722,54472.2001,50,1.0-53584-55586,28.0000,1.0000,0,67,True,53584.0000,55586.0000,888.2001,0.8882
1,222.8368,211.8558,211855.8001,54,1.0-209934-212136,126.0000,1.0000,1,29,True,209934.0000,212136.0000,1921.8001,1.9218
1,1967.7957,1956.8147,1956814.7001,63,1.0-1954465-1957468,818.0000,1.0000,0,70,True,1954465.0000,1957468.0000,2349.7001,2.3497
1,1426.1293,1415.1483,1415148.3001,69,1.0-1413882-1415751,560.0000,1.0000,1,38,True,1413882.0000,1415751.0000,1266.3001,1.2663
1,1426.1440,1415.1630,1415163.0001,69,1.0-1413882-1415751,560.0000,1.0000,1,38,True,1413882.0000,1415751.0000,1281.0001,1.2810
1,1426.1750,1415.1940,1415194.0001,69,1.0-1413882-1415751,560.0000,1.0000,1,38,True,1413882.0000,1415751.0000,1312.0001,1.3120
1,1426.1952,1415.2142,1415214.2001,69,1.0-1413882-1415751,560.0000,1.0000,1,38,True,1413882.0000,1415751.0000,1332.2001,1.3322
1,1426.1990,1415.2180,1415218.0001,69,1.0-1413882-1415751,560.0000,1.0000,1,38,True,1413882.0000,1415751.0000,1336.0001,1.3360
1,1426.2330,1415.2520,1415252.0001,69,1.0-1413882-1415751,560.0000,1.0000,1,38,True,1413882.0000,1415751.0000,1370.0001,1.3700
1,1426.2589,1415.2779,1415277.9001,69,1.0-1413882-1415751,560.0000,1.0000,1,38,True,1413882.0000,1415751.0000,1395.9001,1.3959
1,1426.2836,1415.3026,1415302.6001,69,1.0-1413882-1415751,560.0000,1.0000,1,38,True,1413882.0000,1415751.0000,1420.6001,1.4206
1,1426.3159,1415.3349,1415334.9001,69,1.0-1413882-1415751,560.0000,1.0000,1,38,True,1413882.0000,1415751.0000,1452.9001,1.4529
