bin_10s,spike_count,firing_rate_hz
0,7,0.7
1,32,3.2
2,5,0.5
3,16,1.6
4,8,0.8
5,7,0.7
6,5,0.5
7,14,1.4
8,10,1.0
9,10,1.0
10,10,1.0
11,15,1.5
12,16,1.6
13,10,1.0
14,4,0.4
15,0,0.0
16,4,0.4
17,10,1.0
18,16,1.6
19,15,1.5
20,8,0.8
21,8,0.8
22,7,0.7
23,5,0.5
24,7,0.7
25,7,0.7
26,6,0.6
27,11,1.1
28,14,1.4
29,12,1.2
30,9,0.9
31,6,0.6
32,5,0.5
33,13,1.3
34,14,1.4
35,17,1.7
36,10,1.0
37,7,0.7
38,8,0.8
39,4,0.4
40,13,1.3
41,7,0.7
42,7,0.7
43,19,1.9
44,11,1.1
45,3,0.3
46,6,0.6
47,9,0.9
48,13,1.3
49,9,0.9
50,12,1.2
51,24,2.4
52,17,1.7
53,32,3.2
54,4,0.4
55,7,0.7
56,9,0.9
57,16,1.6
58,10,1.0
59,7,0.7
60,13,1.3
61,8,0.8
62,9,0.9
63,4,0.4
64,13,1.3
65,15,1.5
66,10,1.0
67,8,0.8
68,12,1.2
69,8,0.8
70,9,0.9
71,15,1.5
72,6,0.6
73,10,1.0
74,9,0.9
75,16,1.6
76,7,0.7
77,11,1.1
78,10,1.0
79,14,1.4
80,17,1.7
81,25,2.5
82,10,1.0
83,9,0.9
84,13,1.3
85,14,1.4
86,13,1.3
87,15,1.5
88,18,1.8
89,20,2.0
90,15,1.5
91,8,0.8
92,20,2.0
93,21,2.1
94,14,1.4
95,6,0.6
96,12,1.2
97,9,0.9
98,14,1.4
99,9,0.9
100,11,1.1
101,15,1.5
102,13,1.3
103,23,2.3
104,14,1.4
105,14,1.4
106,13,1.3
107,4,0.4
108,8,0.8
109,13,1.3
110,6,0.6
111,3,0.3
112,8,0.8
113,13,1.3
114,8,0.8
115,9,0.9
116,5,0.5
117,8,0.8
118,10,1.0
119,9,0.9
120,3,0.3
121,10,1.0
122,6,0.6
123,10,1.0
124,11,1.1
125,15,1.5
126,3,0.3
127,9,0.9
128,7,0.7
129,21,2.1
130,28,2.8
131,19,1.9
132,13,1.3
133,6,0.6
134,2,0.2
135,6,0.6
136,6,0.6
137,16,1.6
138,27,2.7
139,19,1.9
140,17,1.7
141,24,2.4
142,12,1.2
143,5,0.5
144,16,1.6
145,20,2.0
146,14,1.4
147,9,0.9
148,10,1.0
149,12,1.2
150,7,0.7
151,12,1.2
152,20,2.0
153,4,0.4
154,10,1.0
155,7,0.7
156,12,1.2
157,9,0.9
158,9,0.9
159,7,0.7
160,13,1.3
161,18,1.8
162,13,1.3
163,16,1.6
164,11,1.1
165,12,1.2
166,22,2.2
167,13,1.3
168,35,3.5
169,17,1.7
170,16,1.6
171,11,1.1
172,16,1.6
173,21,2.1
174,7,0.7
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,2,0.2
181,8,0.8
182,8,0.8
183,11,1.1
184,19,1.9
185,23,2.3
186,16,1.6
187,15,1.5
188,20,2.0
189,20,2.0
190,9,0.9
191,10,1.0
192,16,1.6
193,8,0.8
194,27,2.7
195,34,3.4
196,36,3.6
197,19,1.9
198,10,1.0
199,24,2.4
200,15,1.5
201,8,0.8
202,9,0.9
203,4,0.4
204,5,0.5
205,5,0.5
206,10,1.0
207,13,1.3
208,22,2.2
209,21,2.1
210,9,0.9
211,17,1.7
212,19,1.9
213,15,1.5
214,27,2.7
215,14,1.4
216,12,1.2
217,23,2.3
218,22,2.2
219,14,1.4
220,9,0.9
221,5,0.5
222,6,0.6
223,6,0.6
224,4,0.4
225,2,0.2
226,8,0.8
227,34,3.4
228,17,1.7
229,11,1.1
230,25,2.5
231,45,4.5
232,25,2.5
233,22,2.2
234,14,1.4
235,13,1.3
236,13,1.3
237,7,0.7
238,15,1.5
239,7,0.7
240,15,1.5
241,9,0.9
242,7,0.7
243,13,1.3
244,10,1.0
245,6,0.6
246,10,1.0
247,8,0.8
