bin_10s,spike_count,firing_rate_hz
0,13,1.3
1,12,1.2
2,12,1.2
3,20,2.0
4,10,1.0
5,7,0.7
6,4,0.4
7,12,1.2
8,9,0.9
9,15,1.5
10,9,0.9
11,8,0.8
12,5,0.5
13,6,0.6
14,5,0.5
15,11,1.1
16,10,1.0
17,13,1.3
18,10,1.0
19,11,1.1
20,13,1.3
21,8,0.8
22,12,1.2
23,14,1.4
24,12,1.2
25,12,1.2
26,2,0.2
27,6,0.6
28,8,0.8
29,4,0.4
30,9,0.9
31,13,1.3
32,4,0.4
33,4,0.4
34,8,0.8
35,4,0.4
36,13,1.3
37,2,0.2
38,7,0.7
39,4,0.4
40,4,0.4
41,11,1.1
42,5,0.5
43,5,0.5
44,8,0.8
45,8,0.8
46,3,0.3
47,3,0.3
48,5,0.5
49,4,0.4
50,4,0.4
51,3,0.3
52,3,0.3
53,6,0.6
54,8,0.8
55,2,0.2
56,3,0.3
57,1,0.1
58,4,0.4
59,3,0.3
60,2,0.2
61,5,0.5
62,2,0.2
63,1,0.1
64,1,0.1
65,6,0.6
66,9,0.9
67,5,0.5
68,1,0.1
69,2,0.2
70,4,0.4
71,2,0.2
72,3,0.3
73,0,0.0
74,3,0.3
75,2,0.2
76,1,0.1
77,2,0.2
78,4,0.4
79,1,0.1
80,0,0.0
81,1,0.1
82,2,0.2
83,0,0.0
84,2,0.2
85,1,0.1
86,0,0.0
87,0,0.0
88,2,0.2
89,5,0.5
90,3,0.3
91,3,0.3
92,3,0.3
93,1,0.1
94,4,0.4
95,0,0.0
96,4,0.4
97,5,0.5
98,5,0.5
99,6,0.6
100,2,0.2
101,1,0.1
102,6,0.6
103,4,0.4
104,3,0.3
105,1,0.1
106,3,0.3
107,3,0.3
108,4,0.4
109,5,0.5
110,7,0.7
111,4,0.4
112,3,0.3
113,6,0.6
114,4,0.4
115,3,0.3
116,2,0.2
117,4,0.4
118,5,0.5
119,5,0.5
120,1,0.1
121,5,0.5
122,2,0.2
123,5,0.5
124,3,0.3
125,5,0.5
126,6,0.6
127,6,0.6
128,11,1.1
129,2,0.2
130,12,1.2
131,9,0.9
132,2,0.2
133,4,0.4
134,4,0.4
135,6,0.6
136,3,0.3
137,1,0.1
138,6,0.6
139,5,0.5
140,5,0.5
141,16,1.6
142,9,0.9
143,7,0.7
144,8,0.8
145,1,0.1
146,11,1.1
147,4,0.4
148,3,0.3
149,7,0.7
150,3,0.3
151,2,0.2
152,3,0.3
153,2,0.2
154,7,0.7
155,1,0.1
156,5,0.5
157,3,0.3
158,5,0.5
159,5,0.5
160,2,0.2
161,3,0.3
162,2,0.2
163,3,0.3
164,2,0.2
165,2,0.2
166,3,0.3
167,1,0.1
168,1,0.1
169,2,0.2
170,6,0.6
171,4,0.4
172,3,0.3
173,2,0.2
174,6,0.6
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,0,0.0
181,2,0.2
182,3,0.3
183,7,0.7
184,2,0.2
185,15,1.5
186,16,1.6
187,9,0.9
188,4,0.4
189,3,0.3
190,9,0.9
191,3,0.3
192,2,0.2
193,3,0.3
194,5,0.5
195,7,0.7
196,4,0.4
197,4,0.4
198,2,0.2
199,1,0.1
200,9,0.9
201,4,0.4
202,5,0.5
203,2,0.2
204,3,0.3
205,1,0.1
206,1,0.1
207,1,0.1
208,3,0.3
209,3,0.3
210,4,0.4
211,2,0.2
212,9,0.9
213,5,0.5
214,6,0.6
215,3,0.3
216,8,0.8
217,4,0.4
218,4,0.4
219,6,0.6
220,4,0.4
221,2,0.2
222,9,0.9
223,3,0.3
224,2,0.2
225,1,0.1
226,6,0.6
227,3,0.3
228,5,0.5
229,0,0.0
230,3,0.3
231,0,0.0
232,5,0.5
233,5,0.5
234,3,0.3
235,6,0.6
236,4,0.4
237,7,0.7
238,1,0.1
239,4,0.4
240,5,0.5
241,4,0.4
242,2,0.2
243,1,0.1
244,1,0.1
245,5,0.5
246,1,0.1
247,8,0.8
