bin_10s,spike_count,firing_rate_hz
0,53,5.3
1,50,5.0
2,48,4.8
3,56,5.6
4,61,6.1
5,70,7.0
6,53,5.3
7,42,4.2
8,45,4.5
9,40,4.0
10,77,7.7
11,53,5.3
12,41,4.1
13,52,5.2
14,29,2.9
15,56,5.6
16,42,4.2
17,45,4.5
18,52,5.2
19,43,4.3
20,50,5.0
21,40,4.0
22,39,3.9
23,34,3.4
24,37,3.7
25,63,6.3
26,37,3.7
27,26,2.6
28,46,4.6
29,44,4.4
30,51,5.1
31,58,5.8
32,43,4.3
33,39,3.9
34,54,5.4
35,40,4.0
36,28,2.8
37,37,3.7
38,63,6.3
39,38,3.8
40,43,4.3
41,54,5.4
42,94,9.4
43,45,4.5
44,42,4.2
45,70,7.0
46,53,5.3
47,43,4.3
48,36,3.6
49,38,3.8
50,24,2.4
51,42,4.2
52,36,3.6
53,37,3.7
54,34,3.4
55,18,1.8
56,23,2.3
57,38,3.8
58,34,3.4
59,41,4.1
60,39,3.9
61,38,3.8
62,23,2.3
63,28,2.8
64,43,4.3
65,46,4.6
66,50,5.0
67,51,5.1
68,30,3.0
69,34,3.4
70,40,4.0
71,41,4.1
72,50,5.0
73,31,3.1
74,24,2.4
75,31,3.1
76,59,5.9
77,52,5.2
78,42,4.2
79,28,2.8
80,31,3.1
81,45,4.5
82,25,2.5
83,43,4.3
84,43,4.3
85,44,4.4
86,38,3.8
87,37,3.7
88,26,2.6
89,26,2.6
90,37,3.7
91,36,3.6
92,31,3.1
93,24,2.4
94,38,3.8
95,41,4.1
96,27,2.7
97,29,2.9
98,70,7.0
99,53,5.3
100,30,3.0
101,24,2.4
102,32,3.2
103,51,5.1
104,39,3.9
105,61,6.1
106,53,5.3
107,48,4.8
108,41,4.1
109,48,4.8
110,48,4.8
111,47,4.7
112,43,4.3
113,52,5.2
114,37,3.7
115,42,4.2
116,60,6.0
117,37,3.7
118,36,3.6
119,52,5.2
120,28,2.8
121,27,2.7
122,34,3.4
123,45,4.5
124,60,6.0
125,48,4.8
126,49,4.9
127,56,5.6
128,43,4.3
129,49,4.9
130,34,3.4
131,36,3.6
132,60,6.0
133,67,6.7
134,59,5.9
135,40,4.0
136,33,3.3
137,40,4.0
138,45,4.5
139,41,4.1
140,49,4.9
141,56,5.6
142,44,4.4
143,35,3.5
144,35,3.5
145,46,4.6
146,38,3.8
147,43,4.3
148,42,4.2
149,49,4.9
150,40,4.0
151,40,4.0
152,45,4.5
153,41,4.1
154,40,4.0
155,84,8.4
156,46,4.6
157,42,4.2
158,34,3.4
159,55,5.5
160,44,4.4
161,53,5.3
162,35,3.5
163,43,4.3
164,25,2.5
165,31,3.1
166,50,5.0
167,52,5.2
168,36,3.6
169,26,2.6
170,51,5.1
171,78,7.8
172,69,6.9
173,67,6.7
174,42,4.2
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,9,0.9
181,66,6.6
182,47,4.7
183,35,3.5
184,60,6.0
185,53,5.3
186,82,8.2
187,53,5.3
188,45,4.5
189,56,5.6
190,28,2.8
191,30,3.0
192,26,2.6
193,31,3.1
194,29,2.9
195,19,1.9
196,29,2.9
197,17,1.7
198,40,4.0
199,51,5.1
200,46,4.6
201,44,4.4
202,31,3.1
203,26,2.6
204,36,3.6
205,40,4.0
206,28,2.8
207,31,3.1
208,40,4.0
209,52,5.2
210,32,3.2
211,30,3.0
212,33,3.3
213,34,3.4
214,28,2.8
215,25,2.5
216,43,4.3
217,35,3.5
218,66,6.6
219,39,3.9
220,35,3.5
221,43,4.3
222,33,3.3
223,62,6.2
224,29,2.9
225,29,2.9
226,23,2.3
227,47,4.7
228,44,4.4
229,37,3.7
230,35,3.5
231,40,4.0
232,29,2.9
233,27,2.7
234,35,3.5
235,26,2.6
236,35,3.5
237,41,4.1
238,27,2.7
239,27,2.7
240,41,4.1
241,43,4.3
242,65,6.5
243,47,4.7
244,40,4.0
245,35,3.5
246,33,3.3
247,42,4.2
