bin_10s,spike_count,firing_rate_hz
0,28,2.8
1,11,1.1
2,34,3.4
3,36,3.6
4,38,3.8
5,33,3.3
6,22,2.2
7,27,2.7
8,36,3.6
9,21,2.1
10,12,1.2
11,15,1.5
12,20,2.0
13,14,1.4
14,17,1.7
15,1,0.1
16,6,0.6
17,14,1.4
18,34,3.4
19,17,1.7
20,16,1.6
21,23,2.3
22,13,1.3
23,14,1.4
24,16,1.6
25,5,0.5
26,19,1.9
27,15,1.5
28,20,2.0
29,31,3.1
30,28,2.8
31,35,3.5
32,20,2.0
33,18,1.8
34,4,0.4
35,10,1.0
36,12,1.2
37,34,3.4
38,38,3.8
39,30,3.0
40,34,3.4
41,15,1.5
42,22,2.2
43,13,1.3
44,11,1.1
45,4,0.4
46,2,0.2
47,5,0.5
48,8,0.8
49,6,0.6
50,1,0.1
51,22,2.2
52,25,2.5
53,12,1.2
54,53,5.3
55,31,3.1
56,23,2.3
57,14,1.4
58,7,0.7
59,0,0.0
60,4,0.4
61,11,1.1
62,19,1.9
63,30,3.0
64,40,4.0
65,35,3.5
66,20,2.0
67,31,3.1
68,16,1.6
69,9,0.9
70,3,0.3
71,11,1.1
72,5,0.5
73,1,0.1
74,13,1.3
75,9,0.9
76,5,0.5
77,7,0.7
78,6,0.6
79,4,0.4
80,5,0.5
81,3,0.3
82,2,0.2
83,2,0.2
84,7,0.7
85,0,0.0
86,3,0.3
87,4,0.4
88,4,0.4
89,22,2.2
90,55,5.5
91,11,1.1
92,41,4.1
93,13,1.3
94,13,1.3
95,25,2.5
96,25,2.5
97,33,3.3
98,22,2.2
99,15,1.5
100,6,0.6
101,8,0.8
102,4,0.4
103,12,1.2
104,17,1.7
105,21,2.1
106,23,2.3
107,18,1.8
108,8,0.8
109,11,1.1
110,10,1.0
111,13,1.3
112,25,2.5
113,24,2.4
114,41,4.1
115,27,2.7
116,12,1.2
117,7,0.7
118,13,1.3
119,16,1.6
120,35,3.5
121,16,1.6
122,26,2.6
123,10,1.0
124,18,1.8
125,11,1.1
126,10,1.0
127,16,1.6
128,14,1.4
129,35,3.5
130,18,1.8
131,29,2.9
132,52,5.2
133,30,3.0
134,15,1.5
135,16,1.6
136,5,0.5
137,18,1.8
138,16,1.6
139,9,0.9
140,18,1.8
141,19,1.9
142,11,1.1
143,3,0.3
144,0,0.0
145,0,0.0
146,0,0.0
147,0,0.0
148,3,0.3
149,16,1.6
150,8,0.8
151,26,2.6
152,15,1.5
153,17,1.7
154,17,1.7
155,5,0.5
156,4,0.4
157,12,1.2
158,7,0.7
159,4,0.4
160,0,0.0
161,1,0.1
162,6,0.6
163,8,0.8
164,7,0.7
165,1,0.1
166,42,4.2
167,18,1.8
168,0,0.0
169,12,1.2
170,33,3.3
171,24,2.4
172,11,1.1
173,12,1.2
174,19,1.9
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,0,0.0
181,15,1.5
182,28,2.8
183,5,0.5
184,33,3.3
185,44,4.4
186,36,3.6
187,25,2.5
188,34,3.4
189,9,0.9
190,0,0.0
191,1,0.1
192,11,1.1
193,21,2.1
194,31,3.1
195,12,1.2
196,3,0.3
197,15,1.5
198,5,0.5
199,4,0.4
200,0,0.0
201,8,0.8
202,14,1.4
203,5,0.5
204,2,0.2
205,1,0.1
206,2,0.2
207,0,0.0
208,0,0.0
209,22,2.2
210,20,2.0
211,13,1.3
212,31,3.1
213,12,1.2
214,7,0.7
215,1,0.1
216,1,0.1
217,2,0.2
218,5,0.5
219,4,0.4
220,16,1.6
221,13,1.3
222,10,1.0
223,9,0.9
224,12,1.2
225,13,1.3
226,3,0.3
227,12,1.2
228,5,0.5
229,2,0.2
230,2,0.2
231,2,0.2
232,19,1.9
233,7,0.7
234,1,0.1
235,8,0.8
236,16,1.6
237,26,2.6
238,29,2.9
239,17,1.7
240,17,1.7
241,26,2.6
242,29,2.9
243,20,2.0
244,24,2.4
245,12,1.2
246,22,2.2
247,12,1.2
