bin_10s,spike_count,firing_rate_hz
0,1,0.1
1,0,0.0
2,4,0.4
3,5,0.5
4,0,0.0
5,0,0.0
6,0,0.0
7,2,0.2
8,6,0.6
9,6,0.6
10,0,0.0
11,1,0.1
12,0,0.0
13,0,0.0
14,0,0.0
15,2,0.2
16,0,0.0
17,3,0.3
18,1,0.1
19,3,0.3
20,0,0.0
21,0,0.0
22,2,0.2
23,2,0.2
24,1,0.1
25,0,0.0
26,0,0.0
27,1,0.1
28,1,0.1
29,0,0.0
30,1,0.1
31,2,0.2
32,2,0.2
33,2,0.2
34,0,0.0
35,3,0.3
36,1,0.1
37,1,0.1
38,0,0.0
39,0,0.0
40,4,0.4
41,1,0.1
42,1,0.1
43,0,0.0
44,1,0.1
45,1,0.1
46,0,0.0
47,1,0.1
48,0,0.0
49,0,0.0
50,1,0.1
51,0,0.0
52,1,0.1
53,1,0.1
54,3,0.3
55,0,0.0
56,1,0.1
57,0,0.0
58,0,0.0
59,1,0.1
60,1,0.1
61,0,0.0
62,0,0.0
63,2,0.2
64,0,0.0
65,0,0.0
66,0,0.0
67,1,0.1
68,0,0.0
69,0,0.0
70,0,0.0
71,0,0.0
72,0,0.0
73,0,0.0
74,0,0.0
75,0,0.0
76,0,0.0
77,1,0.1
78,1,0.1
79,0,0.0
80,0,0.0
81,0,0.0
82,0,0.0
83,0,0.0
84,1,0.1
85,0,0.0
86,0,0.0
87,1,0.1
88,2,0.2
89,2,0.2
90,0,0.0
91,0,0.0
92,1,0.1
93,1,0.1
94,0,0.0
95,0,0.0
96,1,0.1
97,0,0.0
98,0,0.0
99,0,0.0
100,0,0.0
101,0,0.0
102,0,0.0
103,0,0.0
104,0,0.0
105,0,0.0
106,0,0.0
107,0,0.0
108,1,0.1
109,0,0.0
110,0,0.0
111,0,0.0
112,1,0.1
113,1,0.1
114,3,0.3
115,4,0.4
116,1,0.1
117,0,0.0
118,3,0.3
119,1,0.1
120,1,0.1
121,1,0.1
122,0,0.0
123,0,0.0
124,1,0.1
125,0,0.0
126,0,0.0
127,2,0.2
128,1,0.1
129,0,0.0
130,1,0.1
131,0,0.0
132,0,0.0
133,0,0.0
134,1,0.1
135,0,0.0
136,0,0.0
137,1,0.1
138,2,0.2
139,1,0.1
140,1,0.1
141,7,0.7
142,2,0.2
143,0,0.0
144,1,0.1
145,3,0.3
146,1,0.1
147,5,0.5
148,2,0.2
149,0,0.0
150,1,0.1
151,0,0.0
152,1,0.1
153,2,0.2
154,2,0.2
155,1,0.1
156,1,0.1
157,2,0.2
158,1,0.1
159,0,0.0
160,2,0.2
161,2,0.2
162,1,0.1
163,0,0.0
164,2,0.2
165,0,0.0
166,4,0.4
167,2,0.2
168,1,0.1
169,0,0.0
170,0,0.0
171,1,0.1
172,1,0.1
173,1,0.1
174,6,0.6
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,0,0.0
181,0,0.0
182,5,0.5
183,0,0.0
184,4,0.4
185,6,0.6
186,2,0.2
187,5,0.5
188,1,0.1
189,4,0.4
190,1,0.1
191,1,0.1
192,1,0.1
193,0,0.0
194,1,0.1
195,0,0.0
196,3,0.3
197,0,0.0
198,0,0.0
199,1,0.1
200,1,0.1
201,0,0.0
202,1,0.1
203,1,0.1
204,0,0.0
205,1,0.1
206,1,0.1
207,1,0.1
208,3,0.3
209,5,0.5
210,3,0.3
211,2,0.2
212,3,0.3
213,0,0.0
214,0,0.0
215,0,0.0
216,1,0.1
217,2,0.2
218,2,0.2
219,1,0.1
220,1,0.1
221,0,0.0
222,0,0.0
223,1,0.1
224,1,0.1
225,2,0.2
226,0,0.0
227,0,0.0
228,0,0.0
229,1,0.1
230,0,0.0
231,0,0.0
232,1,0.1
233,1,0.1
234,3,0.3
235,0,0.0
236,0,0.0
237,2,0.2
238,5,0.5
239,1,0.1
240,2,0.2
241,4,0.4
242,3,0.3
243,3,0.3
244,0,0.0
245,2,0.2
246,1,0.1
