bin_10s,spike_count,firing_rate_hz
0,6,0.6
1,9,0.9
2,8,0.8
3,15,1.5
4,6,0.6
5,4,0.4
6,0,0.0
7,9,0.9
8,8,0.8
9,29,2.9
10,0,0.0
11,5,0.5
12,5,0.5
13,3,0.3
14,1,0.1
15,0,0.0
16,1,0.1
17,3,0.3
18,1,0.1
19,1,0.1
20,2,0.2
21,2,0.2
22,1,0.1
23,5,0.5
24,7,0.7
25,6,0.6
26,4,0.4
27,3,0.3
28,3,0.3
29,2,0.2
30,2,0.2
31,2,0.2
32,2,0.2
33,1,0.1
34,5,0.5
35,0,0.0
36,8,0.8
37,2,0.2
38,0,0.0
39,1,0.1
40,1,0.1
41,1,0.1
42,4,0.4
43,2,0.2
44,1,0.1
45,2,0.2
46,0,0.0
47,1,0.1
48,0,0.0
49,2,0.2
50,0,0.0
51,1,0.1
52,1,0.1
53,1,0.1
54,0,0.0
55,0,0.0
56,0,0.0
57,3,0.3
58,1,0.1
59,0,0.0
60,0,0.0
61,1,0.1
62,0,0.0
63,0,0.0
64,1,0.1
65,1,0.1
66,0,0.0
67,0,0.0
68,0,0.0
69,0,0.0
70,0,0.0
71,0,0.0
72,2,0.2
73,0,0.0
74,0,0.0
75,3,0.3
76,0,0.0
77,0,0.0
78,0,0.0
79,1,0.1
80,0,0.0
81,1,0.1
82,0,0.0
83,0,0.0
84,0,0.0
85,1,0.1
86,4,0.4
87,1,0.1
88,0,0.0
89,5,0.5
90,1,0.1
91,0,0.0
92,2,0.2
93,1,0.1
94,1,0.1
95,1,0.1
96,0,0.0
97,0,0.0
98,1,0.1
99,2,0.2
100,0,0.0
101,2,0.2
102,4,0.4
103,2,0.2
104,0,0.0
105,1,0.1
106,1,0.1
107,0,0.0
108,0,0.0
109,0,0.0
110,2,0.2
111,2,0.2
112,0,0.0
113,6,0.6
114,0,0.0
115,0,0.0
116,1,0.1
117,0,0.0
118,0,0.0
119,0,0.0
120,0,0.0
121,1,0.1
122,1,0.1
123,0,0.0
124,0,0.0
125,2,0.2
126,0,0.0
127,0,0.0
128,0,0.0
129,4,0.4
130,10,1.0
131,6,0.6
132,1,0.1
133,0,0.0
134,0,0.0
135,1,0.1
136,1,0.1
137,1,0.1
138,0,0.0
139,1,0.1
140,3,0.3
141,16,1.6
142,2,0.2
143,0,0.0
144,5,0.5
145,5,0.5
146,5,0.5
147,1,0.1
148,10,1.0
149,4,0.4
150,1,0.1
151,0,0.0
152,3,0.3
153,0,0.0
154,0,0.0
155,1,0.1
156,1,0.1
157,0,0.0
158,1,0.1
159,1,0.1
160,1,0.1
161,0,0.0
162,2,0.2
163,1,0.1
164,1,0.1
165,1,0.1
166,1,0.1
167,0,0.0
168,2,0.2
169,0,0.0
170,2,0.2
171,0,0.0
172,0,0.0
173,0,0.0
174,1,0.1
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,0,0.0
181,1,0.1
182,0,0.0
183,1,0.1
184,8,0.8
185,11,1.1
186,16,1.6
187,6,0.6
188,6,0.6
189,1,0.1
190,0,0.0
191,1,0.1
192,1,0.1
193,1,0.1
194,0,0.0
195,2,0.2
196,1,0.1
197,1,0.1
198,0,0.0
199,1,0.1
200,2,0.2
201,4,0.4
202,0,0.0
203,2,0.2
204,0,0.0
205,0,0.0
206,0,0.0
207,0,0.0
208,0,0.0
209,1,0.1
210,2,0.2
211,5,0.5
212,1,0.1
213,2,0.2
214,2,0.2
215,1,0.1
216,1,0.1
217,0,0.0
218,0,0.0
219,1,0.1
220,0,0.0
221,1,0.1
222,6,0.6
223,3,0.3
224,0,0.0
225,1,0.1
226,2,0.2
227,1,0.1
228,0,0.0
229,0,0.0
230,0,0.0
231,2,0.2
232,1,0.1
233,0,0.0
234,0,0.0
235,0,0.0
236,9,0.9
237,6,0.6
238,2,0.2
239,2,0.2
240,1,0.1
241,0,0.0
242,2,0.2
243,1,0.1
244,0,0.0
245,0,0.0
246,2,0.2
247,1,0.1
