units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,75.9896,0.0336,33.5999
2,76.0581,0.1021,102.0999
2,76.3960,0.4400,439.9999
2,76.5933,0.6373,637.2999
2,76.6387,0.6827,682.6999
2,76.6903,0.7343,734.2999
2,76.7714,0.8154,815.3999
2,76.8224,0.8664,866.3999
2,76.8888,0.9328,932.7999
2,76.9347,0.9787,978.6999
2,76.9445,0.9885,988.4999
2,78.0343,2.0783,2078.2999
2,78.3407,2.3847,2384.6999
2,78.4948,2.5388,2538.7999
2,78.5111,2.5551,2555.0999
2,78.6820,2.7260,2725.9999
2,78.7206,2.7646,2764.5999
2,78.9052,2.9492,2949.1999
2,78.9293,2.9733,2973.2999
2,79.0266,3.0706,3070.5999
2,79.2493,3.2933,3293.2999
2,79.2679,3.3119,3311.8999
2,79.3195,3.3635,3363.4999
2,79.3532,3.3972,3397.1999
2,79.4611,3.5051,3505.0999
2,79.4859,3.5299,3529.8999
2,79.4988,3.5428,3542.7999
2,79.5328,3.5768,3576.7999
2,79.5589,3.6029,3602.8999
2,79.6335,3.6775,3677.4999
2,79.6522,3.6962,3696.1999
2,79.6683,3.7123,3712.2999
2,79.6897,3.7337,3733.6999
2,79.7547,3.7987,3798.6999
2,79.7854,3.8294,3829.3999
2,79.8187,3.8627,3862.6999
2,79.8276,3.8716,3871.5999
2,79.8591,3.9031,3903.0999
2,79.9854,4.0294,4029.3999
2,80.0441,4.0881,4088.0999
2,80.0841,4.1281,4128.0999
2,80.1382,4.1822,4182.1999
2,80.2126,4.2566,4256.5999
2,80.2622,4.3062,4306.1999
2,80.3030,4.3470,4346.9999
2,80.3205,4.3645,4364.4999
2,80.3307,4.3747,4374.6999
2,80.3973,4.4413,4441.2999
2,80.4208,4.4648,4464.7999
2,80.4481,4.4921,4492.0999
2,80.4848,4.5288,4528.7999
2,80.5176,4.5616,4561.5999
2,80.5276,4.5716,4571.5999
2,80.5412,4.5852,4585.1999
2,80.6458,4.6898,4689.7999
2,80.6609,4.7049,4704.8999
2,80.6870,4.7310,4730.9999
2,80.6942,4.7382,4738.1999
2,80.6969,4.7409,4740.8999
2,80.8632,4.9072,4907.1999
2,80.9134,4.9574,4957.3999
2,80.9447,4.9887,4988.6999
2,80.9584,5.0024,5002.3999
2,80.9769,5.0209,5020.8999
2,81.1146,5.1586,5158.5999
2,81.1690,5.2130,5212.9999
2,81.3035,5.3475,5347.4999
2,81.3603,5.4043,5404.2999
2,81.4261,5.4701,5470.0999
2,81.5312,5.5752,5575.1999
2,81.7667,5.8107,5810.6999
2,81.7734,5.8174,5817.3999
2,81.7949,5.8389,5838.8999
2,81.9061,5.9501,5950.0999
2,81.9590,6.0030,6002.9999
2,82.0154,6.0594,6059.3999
2,82.0515,6.0955,6095.4999
2,82.0602,6.1042,6104.1999
2,82.0886,6.1326,6132.5999
2,82.1033,6.1473,6147.2999
2,82.1156,6.1596,6159.5999
2,82.1311,6.1751,6175.0999
2,82.1517,6.1957,6195.6999
2,82.1583,6.2023,6202.2999
2,82.1762,6.2202,6220.1999
2,82.2158,6.2598,6259.7999
2,82.2798,6.3238,6323.7999
2,82.3063,6.3503,6350.2999
2,82.3412,6.3852,6385.1999
2,82.3886,6.4326,6432.5999
2,82.7980,6.8420,6841.9999
2,82.9668,7.0108,7010.7999
2,82.9877,7.0317,7031.6999
2,83.0029,7.0469,7046.8999
2,83.0842,7.1282,7128.1999
2,83.1085,7.1525,7152.4999
2,83.1344,7.1784,7178.3999
2,83.4798,7.5238,7523.7999
2,84.0377,8.0817,8081.6999
2,84.1312,8.1752,8175.1999
2,84.1417,8.1857,8185.6999
2,84.3668,8.4108,8410.7999
2,84.4797,8.5237,8523.6999
2,84.5678,8.6118,8611.7999
2,84.6000,8.6440,8643.9999
2,84.6611,8.7051,8705.0999
2,84.7793,8.8233,8823.2999
2,84.8745,8.9185,8918.4999
2,85.0475,9.0915,9091.4999
2,85.1012,9.1452,9145.1999
2,85.1987,9.2427,9242.6999
2,85.3220,9.3660,9365.9999
2,85.6637,9.7077,9707.6999
2,85.7332,9.7772,9777.1999
2,86.1216,10.1656,10165.5999
2,86.1809,10.2249,10224.8999
2,86.4533,10.4973,10497.2999
2,86.4958,10.5398,10539.7999
2,86.6404,10.6844,10684.3999
2,86.6564,10.7004,10700.3999
2,86.7715,10.8155,10815.4999
2,86.8443,10.8883,10888.2999
2,86.8552,10.8992,10899.1999
2,86.9365,10.9805,10980.4999
2,87.3902,11.4342,11434.1999
2,87.3991,11.4431,11443.0999
2,87.4377,11.4817,11481.6999
2,87.4922,11.5362,11536.1999
2,87.6904,11.7344,11734.3999
2,88.0137,12.0577,12057.6999
2,88.0745,12.1185,12118.4999
2,88.1397,12.1837,12183.6999
2,88.1518,12.1958,12195.7999
2,88.1672,12.2112,12211.1999
2,88.2430,12.2870,12286.9999
2,88.2649,12.3089,12308.8999
2,88.2828,12.3268,12326.7999
2,88.3306,12.3746,12374.5999
2,88.4258,12.4698,12469.7999
2,88.4574,12.5014,12501.3999
2,88.4605,12.5045,12504.4999
