units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,75.9895,0.0335,33.4999
1,75.9964,0.0404,40.3999
1,76.0018,0.0458,45.7999
1,76.0047,0.0487,48.6999
1,76.0462,0.0902,90.1999
1,76.0561,0.1001,100.0999
1,76.1133,0.1573,157.2999
1,76.1375,0.1815,181.4999
1,76.3442,0.3882,388.1999
1,76.4985,0.5425,542.4999
1,76.5642,0.6082,608.1999
1,76.5834,0.6274,627.3999
1,76.6358,0.6798,679.7999
1,76.7119,0.7559,755.8999
1,76.7208,0.7648,764.7999
1,76.7837,0.8277,827.6999
1,76.9179,0.9619,961.8999
1,76.9863,1.0303,1030.2999
1,77.0708,1.1148,1114.7999
1,77.1326,1.1766,1176.5999
1,77.1415,1.1855,1185.4999
1,77.2043,1.2483,1248.2999
1,77.2312,1.2752,1275.1999
1,77.2825,1.3265,1326.4999
1,77.3951,1.4391,1439.0999
1,77.4228,1.4668,1466.7999
1,77.4324,1.4764,1476.3999
1,77.4349,1.4789,1478.8999
1,77.4677,1.5117,1511.6999
1,77.4740,1.5180,1517.9999
1,77.5784,1.6224,1622.3999
1,77.6198,1.6638,1663.7999
1,77.6263,1.6703,1670.2999
1,77.6329,1.6769,1676.8999
1,77.7062,1.7502,1750.1999
1,77.7490,1.7930,1792.9999
1,77.7649,1.8089,1808.8999
1,77.7799,1.8239,1823.8999
1,77.8442,1.8882,1888.1999
1,77.9696,2.0136,2013.5999
1,77.9718,2.0158,2015.7999
1,77.9945,2.0385,2038.4999
1,78.0236,2.0676,2067.5999
1,78.0667,2.1107,2110.6999
1,78.0991,2.1431,2143.0999
1,78.1786,2.2226,2222.5999
1,78.3126,2.3566,2356.5999
1,78.4231,2.4671,2467.0999
1,78.4696,2.5136,2513.5999
1,78.5485,2.5925,2592.4999
1,78.5819,2.6259,2625.8999
1,78.6352,2.6792,2679.1999
1,78.7547,2.7987,2798.6999
1,78.7908,2.8348,2834.7999
1,78.9003,2.9443,2944.2999
1,78.9221,2.9661,2966.0999
1,78.9701,3.0141,3014.0999
1,79.0337,3.0777,3077.6999
1,79.0402,3.0842,3084.1999
1,79.1886,3.2326,3232.5999
1,79.2102,3.2542,3254.1999
1,79.2681,3.3121,3312.0999
1,79.3084,3.3524,3352.3999
1,79.4013,3.4453,3445.2999
1,79.4894,3.5334,3533.3999
1,79.5202,3.5642,3564.1999
1,79.6411,3.6851,3685.0999
1,79.6836,3.7276,3727.5999
1,79.7162,3.7602,3760.1999
1,79.7647,3.8087,3808.6999
1,79.7672,3.8112,3811.1999
1,79.7765,3.8205,3820.4999
1,79.8671,3.9111,3911.0999
1,80.0312,4.0752,4075.1999
1,80.0527,4.0967,4096.6999
1,80.0757,4.1197,4119.6999
1,80.1100,4.1540,4153.9999
1,80.1252,4.1692,4169.1999
1,80.1970,4.2410,4240.9999
1,80.3695,4.4135,4413.4999
1,80.5015,4.5455,4545.4999
1,80.5417,4.5857,4585.6999
1,80.5564,4.6004,4600.3999
1,80.5996,4.6436,4643.5999
1,80.6156,4.6596,4659.5999
1,80.6353,4.6793,4679.2999
1,80.6755,4.7195,4719.4999
1,80.6939,4.7379,4737.8999
1,80.7492,4.7932,4793.1999
1,80.7937,4.8377,4837.6999
1,80.8322,4.8762,4876.1999
1,80.9060,4.9500,4949.9999
1,80.9527,4.9967,4996.6999
1,81.0113,5.0553,5055.2999
1,81.0187,5.0627,5062.6999
1,81.0657,5.1097,5109.6999
1,81.1429,5.1869,5186.8999
1,81.1784,5.2224,5222.3999
1,81.1922,5.2362,5236.1999
1,81.2698,5.3138,5313.7999
1,81.3136,5.3576,5357.5999
1,81.3523,5.3963,5396.2999
1,81.3735,5.4175,5417.4999
1,81.4108,5.4548,5454.7999
1,81.5594,5.6034,5603.3999
1,81.5688,5.6128,5612.7999
1,81.5749,5.6189,5618.8999
1,81.6662,5.7102,5710.1999
1,81.7111,5.7551,5755.0999
1,81.7178,5.7618,5761.7999
1,81.7587,5.8027,5802.6999
1,81.7894,5.8334,5833.3999
1,81.8346,5.8786,5878.5999
1,81.8498,5.8938,5893.7999
1,81.8840,5.9280,5927.9999
1,81.8986,5.9426,5942.5999
1,81.9783,6.0223,6022.2999
1,82.1419,6.1859,6185.8999
1,82.2105,6.2545,6254.4999
1,82.2306,6.2746,6274.5999
1,82.2730,6.3170,6316.9999
1,82.2934,6.3374,6337.3999
1,82.3086,6.3526,6352.5999
1,82.3185,6.3625,6362.4999
1,82.4151,6.4591,6459.0999
1,82.4248,6.4688,6468.7999
1,82.4816,6.5256,6525.5999
1,82.5198,6.5638,6563.7999
1,82.5375,6.5815,6581.4999
1,82.5824,6.6264,6626.3999
1,82.6261,6.6701,6670.0999
1,82.7955,6.8395,6839.4999
1,82.8502,6.8942,6894.1999
1,82.9502,6.9942,6994.1999
1,82.9883,7.0323,7032.2999
1,83.0267,7.0707,7070.6999
