units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,498.0916,422.1356,422135.5999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,35.5999,0.0356
1,498.1506,422.1946,422194.5999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,94.5999,0.0946
1,498.2089,422.2529,422252.8999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,152.8999,0.1529
1,498.2569,422.3009,422300.8999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,200.8999,0.2009
1,498.3668,422.4108,422410.7999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,310.7999,0.3108
1,498.5419,422.5859,422585.8999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,485.8999,0.4859
1,498.5713,422.6153,422615.2999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,515.2999,0.5153
1,498.6209,422.6649,422664.8999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,564.8999,0.5649
1,498.8585,422.9025,422902.4999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,802.4999,0.8025
1,498.9064,422.9504,422950.3999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,850.3999,0.8504
1,498.9595,423.0035,423003.4999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,903.4999,0.9035
1,499.0429,423.0869,423086.8999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,986.8999,0.9869
1,499.1802,423.2242,423224.1999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,1124.1999,1.1242
1,499.2682,423.3122,423312.1999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,1212.1999,1.2122
1,499.3666,423.4106,423410.5999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,1310.5999,1.3106
1,499.4410,423.4850,423484.9999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,1384.9999,1.3850
1,499.7076,423.7516,423751.5999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,1651.5999,1.6516
