units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
3,498.3499,422.3939,422393.8999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,293.8999,0.2939
3,498.5306,422.5746,422574.5999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,474.5999,0.4746
3,498.7406,422.7846,422784.5999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,684.5999,0.6846
3,498.9599,423.0039,423003.8999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,903.8999,0.9039
3,499.2562,423.3002,423300.1999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,1200.1999,1.2002
3,499.5233,423.5673,423567.2999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,1467.2999,1.4673
3,499.5870,423.6310,423630.9999,1,1.0-422100-424671,230.0000,1.0000,1,1,True,422100.0000,424671.0000,1530.9999,1.5310
3,454.4895,378.5335,378533.4999,2,1.0-378480-380618,210.0000,1.0000,1,2,True,378480.0000,380618.0000,53.4999,0.0535
3,454.8876,378.9316,378931.5999,2,1.0-378480-380618,210.0000,1.0000,1,2,True,378480.0000,380618.0000,451.5999,0.4516
3,455.1226,379.1666,379166.5999,2,1.0-378480-380618,210.0000,1.0000,1,2,True,378480.0000,380618.0000,686.5999,0.6866
3,455.1627,379.2067,379206.6999,2,1.0-378480-380618,210.0000,1.0000,1,2,True,378480.0000,380618.0000,726.6999,0.7267
3,455.4791,379.5231,379523.0999,2,1.0-378480-380618,210.0000,1.0000,1,2,True,378480.0000,380618.0000,1043.0999,1.0431
3,455.4896,379.5336,379533.5999,2,1.0-378480-380618,210.0000,1.0000,1,2,True,378480.0000,380618.0000,1053.5999,1.0536
3,456.0790,380.1230,380122.9999,2,1.0-378480-380618,210.0000,1.0000,1,2,True,378480.0000,380618.0000,1642.9999,1.6430
3,1795.2510,1719.2950,1719294.9999,3,1.0-1718958-1721396,703.0000,1.0000,1,3,True,1718958.0000,1721396.0000,336.9999,0.3370
3,1795.3003,1719.3443,1719344.2999,3,1.0-1718958-1721396,703.0000,1.0000,1,3,True,1718958.0000,1721396.0000,386.2999,0.3863
3,1795.4323,1719.4763,1719476.2999,3,1.0-1718958-1721396,703.0000,1.0000,1,3,True,1718958.0000,1721396.0000,518.2999,0.5183
3,1795.4907,1719.5347,1719534.6999,3,1.0-1718958-1721396,703.0000,1.0000,1,3,True,1718958.0000,1721396.0000,576.6999,0.5767
3,1795.5727,1719.6167,1719616.6999,3,1.0-1718958-1721396,703.0000,1.0000,1,3,True,1718958.0000,1721396.0000,658.6999,0.6587
3,1795.8683,1719.9123,1719912.2999,3,1.0-1718958-1721396,703.0000,1.0000,1,3,True,1718958.0000,1721396.0000,954.2999,0.9543
3,1796.2079,1720.2519,1720251.8999,3,1.0-1718958-1721396,703.0000,1.0000,1,3,True,1718958.0000,1721396.0000,1293.8999,1.2939
3,1796.5219,1720.5659,1720565.8999,3,1.0-1718958-1721396,703.0000,1.0000,1,3,True,1718958.0000,1721396.0000,1607.8999,1.6079
3,1796.6335,1720.6775,1720677.4999,3,1.0-1718958-1721396,703.0000,1.0000,1,3,True,1718958.0000,1721396.0000,1719.4999,1.7195
3,1796.7668,1720.8108,1720810.7999,3,1.0-1718958-1721396,703.0000,1.0000,1,3,True,1718958.0000,1721396.0000,1852.7999,1.8528
3,1796.8606,1720.9046,1720904.5999,3,1.0-1718958-1721396,703.0000,1.0000,1,3,True,1718958.0000,1721396.0000,1946.5999,1.9466
3,1796.9929,1721.0369,1721036.8999,3,1.0-1718958-1721396,703.0000,1.0000,1,3,True,1718958.0000,1721396.0000,2078.8999,2.0789
3,1797.1040,1721.1480,1721147.9999,3,1.0-1718958-1721396,703.0000,1.0000,1,3,True,1718958.0000,1721396.0000,2189.9999,2.1900
3,1524.2614,1448.3054,1448305.3999,4,1.0-1448258-1450195,574.0000,1.0000,1,4,True,1448258.0000,1450195.0000,47.3999,0.0474
3,1524.3549,1448.3989,1448398.8999,4,1.0-1448258-1450195,574.0000,1.0000,1,4,True,1448258.0000,1450195.0000,140.8999,0.1409
3,1524.4818,1448.5258,1448525.7999,4,1.0-1448258-1450195,574.0000,1.0000,1,4,True,1448258.0000,1450195.0000,267.7999,0.2678
3,1524.5861,1448.6301,1448630.0999,4,1.0-1448258-1450195,574.0000,1.0000,1,4,True,1448258.0000,1450195.0000,372.0999,0.3721
3,1524.7824,1448.8264,1448826.3999,4,1.0-1448258-1450195,574.0000,1.0000,1,4,True,1448258.0000,1450195.0000,568.3999,0.5684
3,1524.9165,1448.9605,1448960.4999,4,1.0-1448258-1450195,574.0000,1.0000,1,4,True,1448258.0000,1450195.0000,702.4999,0.7025
3,1525.3531,1449.3971,1449397.0999,4,1.0-1448258-1450195,574.0000,1.0000,1,4,True,1448258.0000,1450195.0000,1139.0999,1.1391
