bin_10s,spike_count,firing_rate_hz
0,107,10.7
1,113,11.3
2,125,12.5
3,91,9.1
4,104,10.4
5,103,10.3
6,98,9.8
7,100,10.0
8,106,10.6
9,113,11.3
10,120,12.0
11,82,8.2
12,129,12.9
13,113,11.3
14,109,10.9
15,89,8.9
16,136,13.6
17,94,9.4
18,102,10.2
19,103,10.3
20,101,10.1
21,124,12.4
22,104,10.4
23,102,10.2
24,77,7.7
25,78,7.8
26,76,7.6
27,99,9.9
28,88,8.8
29,100,10.0
30,112,11.2
31,101,10.1
32,97,9.7
33,78,7.8
34,97,9.7
35,79,7.9
36,79,7.9
37,86,8.6
38,88,8.8
39,110,11.0
40,94,9.4
41,100,10.0
42,87,8.7
43,124,12.4
44,111,11.1
45,94,9.4
46,95,9.5
47,82,8.2
48,76,7.6
49,104,10.4
50,92,9.2
51,103,10.3
52,109,10.9
53,120,12.0
54,109,10.9
55,98,9.8
56,98,9.8
57,107,10.7
58,93,9.3
59,77,7.7
60,77,7.7
61,92,9.2
62,80,8.0
63,112,11.2
64,100,10.0
65,75,7.5
66,83,8.3
67,88,8.8
68,61,6.1
69,74,7.4
70,116,11.6
71,92,9.2
72,95,9.5
73,119,11.9
74,98,9.8
75,79,7.9
76,96,9.6
77,93,9.3
78,112,11.2
79,94,9.4
80,95,9.5
81,89,8.9
82,67,6.7
83,92,9.2
84,67,6.7
85,71,7.1
86,79,7.9
87,76,7.6
88,81,8.1
89,82,8.2
90,86,8.6
91,71,7.1
92,73,7.3
93,78,7.8
94,91,9.1
95,68,6.8
96,69,6.9
97,62,6.2
98,79,7.9
99,67,6.7
100,75,7.5
101,71,7.1
102,87,8.7
103,78,7.8
104,86,8.6
105,86,8.6
106,93,9.3
107,133,13.3
108,122,12.2
109,109,10.9
110,91,9.1
111,90,9.0
112,90,9.0
113,79,7.9
114,88,8.8
115,69,6.9
116,64,6.4
117,46,4.6
118,61,6.1
119,61,6.1
120,63,6.3
121,62,6.2
122,86,8.6
123,55,5.5
124,61,6.1
125,87,8.7
126,65,6.5
127,79,7.9
128,68,6.8
129,73,7.3
130,88,8.8
131,79,7.9
132,101,10.1
133,76,7.6
134,82,8.2
135,102,10.2
136,90,9.0
137,109,10.9
138,132,13.2
139,128,12.8
140,128,12.8
141,112,11.2
142,101,10.1
143,112,11.2
144,87,8.7
145,128,12.8
146,108,10.8
147,105,10.5
148,102,10.2
149,125,12.5
150,111,11.1
151,113,11.3
152,120,12.0
153,11,1.1
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,0,0.0
159,0,0.0
160,65,6.5
161,113,11.3
162,100,10.0
163,101,10.1
164,93,9.3
165,94,9.4
166,93,9.3
167,104,10.4
168,102,10.2
169,111,11.1
170,108,10.8
171,86,8.6
172,88,8.8
173,93,9.3
174,85,8.5
175,102,10.2
176,81,8.1
177,75,7.5
178,98,9.8
179,84,8.4
180,80,8.0
181,82,8.2
182,115,11.5
183,107,10.7
184,101,10.1
185,102,10.2
186,91,9.1
187,80,8.0
188,61,6.1
189,81,8.1
190,73,7.3
191,82,8.2
192,101,10.1
193,85,8.5
194,92,9.2
195,101,10.1
196,93,9.3
197,98,9.8
198,82,8.2
199,80,8.0
200,100,10.0
201,82,8.2
202,86,8.6
203,79,7.9
204,72,7.2
205,72,7.2
206,106,10.6
207,103,10.3
208,100,10.0
209,87,8.7
210,76,7.6
211,48,4.8
212,70,7.0
213,63,6.3
214,65,6.5
215,93,9.3
216,63,6.3
217,81,8.1
218,98,9.8
219,83,8.3
220,86,8.6
221,85,8.5
222,116,11.6
223,85,8.5
224,65,6.5
225,102,10.2
226,94,9.4
227,99,9.9
228,113,11.3
229,122,12.2
230,87,8.7
231,74,7.4
232,92,9.2
233,84,8.4
234,72,7.2
235,70,7.0
236,74,7.4
237,74,7.4
238,88,8.8
239,73,7.3
240,53,5.3
241,48,4.8
242,82,8.2
243,60,6.0
244,94,9.4
245,70,7.0
246,66,6.6
247,80,8.0
