bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,1,0.1
6,0,0.0
7,3,0.3
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,1,0.1
17,0,0.0
18,1,0.1
19,0,0.0
20,1,0.1
21,0,0.0
22,0,0.0
23,1,0.1
24,0,0.0
25,3,0.3
26,1,0.1
27,0,0.0
28,0,0.0
29,3,0.3
30,0,0.0
31,0,0.0
32,2,0.2
33,0,0.0
34,1,0.1
35,0,0.0
36,0,0.0
37,2,0.2
38,0,0.0
39,2,0.2
40,0,0.0
41,1,0.1
42,0,0.0
43,0,0.0
44,1,0.1
45,3,0.3
46,1,0.1
47,0,0.0
48,1,0.1
49,1,0.1
50,0,0.0
51,0,0.0
52,1,0.1
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,1,0.1
62,0,0.0
63,0,0.0
64,0,0.0
65,0,0.0
66,0,0.0
67,0,0.0
68,0,0.0
69,0,0.0
70,0,0.0
71,0,0.0
72,1,0.1
73,0,0.0
74,0,0.0
75,0,0.0
76,1,0.1
77,0,0.0
78,0,0.0
79,0,0.0
80,0,0.0
81,0,0.0
82,1,0.1
83,0,0.0
84,0,0.0
85,0,0.0
86,0,0.0
87,0,0.0
88,0,0.0
89,0,0.0
90,0,0.0
91,1,0.1
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,1,0.1
97,0,0.0
98,0,0.0
99,0,0.0
100,0,0.0
101,0,0.0
102,0,0.0
103,0,0.0
104,0,0.0
105,0,0.0
106,0,0.0
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,2,0.2
112,0,0.0
113,0,0.0
114,0,0.0
115,0,0.0
116,0,0.0
117,0,0.0
118,0,0.0
119,0,0.0
120,0,0.0
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,0,0.0
126,0,0.0
127,1,0.1
128,0,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,0,0.0
137,0,0.0
138,0,0.0
139,0,0.0
140,0,0.0
141,2,0.2
142,1,0.1
143,0,0.0
144,0,0.0
145,3,0.3
146,1,0.1
147,1,0.1
148,0,0.0
149,1,0.1
150,0,0.0
151,0,0.0
152,0,0.0
153,0,0.0
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,0,0.0
159,0,0.0
160,0,0.0
161,0,0.0
162,5,0.5
163,2,0.2
164,3,0.3
165,0,0.0
166,2,0.2
167,3,0.3
168,0,0.0
169,3,0.3
170,1,0.1
171,6,0.6
172,1,0.1
173,1,0.1
174,0,0.0
175,0,0.0
176,1,0.1
177,1,0.1
178,2,0.2
179,0,0.0
180,2,0.2
181,0,0.0
182,1,0.1
183,1,0.1
184,2,0.2
185,0,0.0
186,0,0.0
187,0,0.0
188,0,0.0
189,0,0.0
190,0,0.0
191,0,0.0
192,1,0.1
193,0,0.0
194,0,0.0
195,0,0.0
196,0,0.0
197,0,0.0
198,1,0.1
199,3,0.3
200,1,0.1
201,0,0.0
202,0,0.0
203,0,0.0
204,0,0.0
205,0,0.0
206,2,0.2
207,0,0.0
208,1,0.1
209,1,0.1
210,0,0.0
211,1,0.1
212,2,0.2
213,1,0.1
214,0,0.0
215,2,0.2
216,0,0.0
217,1,0.1
218,0,0.0
219,1,0.1
220,1,0.1
221,0,0.0
222,1,0.1
223,1,0.1
224,0,0.0
225,1,0.1
226,0,0.0
227,1,0.1
228,0,0.0
229,1,0.1
230,1,0.1
231,0,0.0
232,0,0.0
233,0,0.0
234,1,0.1
235,0,0.0
236,0,0.0
237,1,0.1
238,0,0.0
239,0,0.0
240,0,0.0
241,0,0.0
242,1,0.1
