bin_10s,spike_count,firing_rate_hz
0,1,0.1
1,0,0.0
2,4,0.4
3,1,0.1
4,1,0.1
5,0,0.0
6,0,0.0
7,1,0.1
8,1,0.1
9,0,0.0
10,1,0.1
11,2,0.2
12,5,0.5
13,4,0.4
14,3,0.3
15,4,0.4
16,3,0.3
17,2,0.2
18,5,0.5
19,1,0.1
20,1,0.1
21,1,0.1
22,1,0.1
23,1,0.1
24,2,0.2
25,3,0.3
26,2,0.2
27,1,0.1
28,0,0.0
29,0,0.0
30,1,0.1
31,3,0.3
32,3,0.3
33,0,0.0
34,2,0.2
35,1,0.1
36,0,0.0
37,5,0.5
38,3,0.3
39,2,0.2
40,2,0.2
41,3,0.3
42,2,0.2
43,0,0.0
44,3,0.3
45,3,0.3
46,0,0.0
47,2,0.2
48,1,0.1
49,0,0.0
50,1,0.1
51,1,0.1
52,3,0.3
53,4,0.4
54,0,0.0
55,1,0.1
56,2,0.2
57,4,0.4
58,2,0.2
59,1,0.1
60,0,0.0
61,3,0.3
62,1,0.1
63,1,0.1
64,1,0.1
65,2,0.2
66,4,0.4
67,4,0.4
68,0,0.0
69,2,0.2
70,1,0.1
71,3,0.3
72,1,0.1
73,4,0.4
74,2,0.2
75,1,0.1
76,1,0.1
77,2,0.2
78,2,0.2
79,4,0.4
80,1,0.1
81,2,0.2
82,2,0.2
83,8,0.8
84,3,0.3
85,3,0.3
86,3,0.3
87,3,0.3
88,7,0.7
89,6,0.6
90,2,0.2
91,2,0.2
92,4,0.4
93,2,0.2
94,2,0.2
95,0,0.0
96,0,0.0
97,1,0.1
98,3,0.3
99,1,0.1
100,1,0.1
101,3,0.3
102,2,0.2
103,1,0.1
104,2,0.2
105,1,0.1
106,5,0.5
107,2,0.2
108,2,0.2
109,3,0.3
110,2,0.2
111,3,0.3
112,7,0.7
113,5,0.5
114,1,0.1
115,1,0.1
116,0,0.0
117,2,0.2
118,4,0.4
119,2,0.2
120,1,0.1
121,2,0.2
122,4,0.4
123,0,0.0
124,2,0.2
125,1,0.1
126,2,0.2
127,2,0.2
128,3,0.3
129,5,0.5
130,4,0.4
131,4,0.4
132,4,0.4
133,4,0.4
134,7,0.7
135,1,0.1
136,0,0.0
137,1,0.1
138,0,0.0
139,1,0.1
140,3,0.3
141,0,0.0
142,0,0.0
143,0,0.0
144,2,0.2
145,0,0.0
146,6,0.6
147,1,0.1
148,1,0.1
149,1,0.1
150,3,0.3
151,2,0.2
152,2,0.2
153,0,0.0
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,0,0.0
159,0,0.0
160,1,0.1
161,1,0.1
162,0,0.0
163,0,0.0
164,0,0.0
165,1,0.1
166,0,0.0
167,0,0.0
168,1,0.1
169,2,0.2
170,1,0.1
171,0,0.0
172,1,0.1
173,1,0.1
174,0,0.0
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,0,0.0
181,0,0.0
182,0,0.0
183,1,0.1
184,0,0.0
185,0,0.0
186,2,0.2
187,2,0.2
188,4,0.4
189,2,0.2
190,1,0.1
191,0,0.0
192,2,0.2
193,0,0.0
194,1,0.1
195,1,0.1
196,1,0.1
197,1,0.1
198,0,0.0
199,0,0.0
200,3,0.3
201,1,0.1
202,0,0.0
203,0,0.0
204,1,0.1
205,1,0.1
206,1,0.1
207,0,0.0
208,0,0.0
209,0,0.0
210,2,0.2
211,2,0.2
212,3,0.3
213,1,0.1
214,1,0.1
215,1,0.1
216,0,0.0
217,0,0.0
218,0,0.0
219,2,0.2
220,3,0.3
221,0,0.0
222,0,0.0
223,0,0.0
224,0,0.0
225,1,0.1
226,2,0.2
227,1,0.1
228,1,0.1
229,2,0.2
230,1,0.1
231,3,0.3
232,2,0.2
233,4,0.4
234,2,0.2
235,4,0.4
236,1,0.1
237,1,0.1
238,1,0.1
239,6,0.6
240,0,0.0
241,4,0.4
242,2,0.2
243,2,0.2
244,1,0.1
245,1,0.1
