units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,75.9821,0.0261,26.0999
1,76.0316,0.0756,75.5999
1,76.1382,0.1822,182.1999
1,76.4977,0.5417,541.6999
1,76.5736,0.6176,617.5999
1,76.7228,0.7668,766.7999
1,76.7421,0.7861,786.0999
1,76.7522,0.7962,796.1999
1,76.7590,0.8030,802.9999
1,76.7849,0.8289,828.8999
1,76.8229,0.8669,866.8999
1,76.9183,0.9623,962.2999
1,77.0465,1.0905,1090.4999
1,77.2282,1.2722,1272.1999
1,77.2375,1.2815,1281.4999
1,77.3460,1.3900,1389.9999
1,77.3993,1.4433,1443.2999
1,77.5546,1.5986,1598.5999
1,77.7486,1.7926,1792.5999
1,77.9106,1.9546,1954.5999
1,77.9246,1.9686,1968.5999
1,78.2532,2.2972,2297.1999
1,78.5329,2.5769,2576.8999
1,78.7096,2.7536,2753.5999
1,78.8118,2.8558,2855.7999
1,79.0723,3.1163,3116.2999
1,79.0966,3.1406,3140.5999
1,79.1950,3.2390,3238.9999
1,79.2191,3.2631,3263.0999
1,79.2659,3.3099,3309.8999
1,79.2854,3.3294,3329.3999
1,79.2965,3.3405,3340.4999
1,79.3487,3.3927,3392.6999
1,79.5627,3.6067,3606.6999
1,79.6536,3.6976,3697.5999
1,79.7549,3.7989,3798.8999
1,79.7906,3.8346,3834.5999
1,79.8167,3.8607,3860.6999
1,79.8573,3.9013,3901.2999
1,79.9506,3.9946,3994.5999
1,79.9708,4.0148,4014.7999
1,79.9879,4.0319,4031.8999
1,80.1213,4.1653,4165.2999
1,80.1367,4.1807,4180.6999
1,80.1425,4.1865,4186.4999
1,80.2702,4.3142,4314.1999
1,80.4227,4.4667,4466.6999
1,80.4252,4.4692,4469.1999
1,80.5226,4.5666,4566.5999
1,80.7985,4.8425,4842.4999
1,80.8366,4.8806,4880.5999
1,80.8613,4.9053,4905.2999
1,80.8664,4.9104,4910.3999
1,81.1224,5.1664,5166.3999
1,81.1411,5.1851,5185.0999
1,81.2209,5.2649,5264.8999
1,81.4035,5.4475,5447.4999
1,81.5177,5.5617,5561.6999
1,81.6097,5.6537,5653.6999
1,81.7022,5.7462,5746.1999
1,81.7538,5.7978,5797.7999
1,81.8730,5.9170,5916.9999
1,81.9314,5.9754,5975.3999
1,82.0739,6.1179,6117.8999
1,82.0945,6.1385,6138.4999
1,82.1207,6.1647,6164.6999
1,82.1342,6.1782,6178.1999
1,82.1961,6.2401,6240.0999
1,82.2279,6.2719,6271.8999
1,82.2527,6.2967,6296.6999
1,82.4353,6.4793,6479.2999
1,82.6297,6.6737,6673.6999
1,82.7095,6.7535,6753.4999
1,82.8018,6.8458,6845.7999
1,82.8954,6.9394,6939.3999
1,82.9954,7.0394,7039.3999
1,83.0065,7.0505,7050.4999
1,83.0495,7.0935,7093.4999
1,83.0700,7.1140,7113.9999
1,83.1846,7.2286,7228.5999
1,83.3058,7.3498,7349.7999
1,83.4459,7.4899,7489.8999
1,83.6317,7.6757,7675.6999
1,83.8278,7.8718,7871.7999
1,83.9964,8.0404,8040.3999
1,84.0766,8.1206,8120.5999
1,84.3006,8.3446,8344.5999
1,84.3556,8.3996,8399.5999
1,84.4337,8.4777,8477.6999
1,84.4785,8.5225,8522.4999
1,84.5054,8.5494,8549.3999
1,84.5432,8.5872,8587.1999
1,84.7239,8.7679,8767.8999
1,85.0418,9.0858,9085.7999
1,85.0494,9.0934,9093.3999
1,85.1681,9.2121,9212.0999
1,85.3837,9.4277,9427.6999
1,85.3946,9.4386,9438.5999
1,85.4523,9.4963,9496.2999
1,85.4677,9.5117,9511.6999
