units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,75.9661,0.0101,10.0999
1,76.2974,0.3414,341.3999
1,76.4770,0.5210,520.9999
1,76.6083,0.6523,652.2999
1,76.8946,0.9386,938.5999
1,76.9218,0.9658,965.7999
1,77.3569,1.4009,1400.8999
1,77.6291,1.6731,1673.0999
1,78.2707,2.3147,2314.6999
1,78.3697,2.4137,2413.6999
1,78.8411,2.8851,2885.0999
1,79.0904,3.1344,3134.3999
1,79.1350,3.1790,3178.9999
1,79.2278,3.2718,3271.7999
1,79.2739,3.3179,3317.8999
1,79.5076,3.5516,3551.5999
1,79.7329,3.7769,3776.8999
1,79.7523,3.7963,3796.2999
1,80.1075,4.1515,4151.4999
1,80.1853,4.2293,4229.2999
1,80.4177,4.4617,4461.6999
1,80.4870,4.5310,4530.9999
1,80.8433,4.8873,4887.2999
1,81.0354,5.0794,5079.3999
1,81.6654,5.7094,5709.3999
1,81.8779,5.9219,5921.8999
1,82.2413,6.2853,6285.2999
1,82.3882,6.4322,6432.1999
1,82.8672,6.9112,6911.1999
1,82.9612,7.0052,7005.1999
1,83.1079,7.1519,7151.8999
1,83.2539,7.2979,7297.8999
1,83.2604,7.3044,7304.3999
1,83.6694,7.7134,7713.3999
1,83.8129,7.8569,7856.8999
1,84.2040,8.2480,8247.9999
1,84.5456,8.5896,8589.5999
1,84.6257,8.6697,8669.6999
1,85.1691,9.2131,9213.0999
1,85.2051,9.2491,9249.0999
1,85.3786,9.4226,9422.5999
1,85.4408,9.4848,9484.7999
1,85.6301,9.6741,9674.0999
1,85.8734,9.9174,9917.3999
1,86.0046,10.0486,10048.5999
1,86.1724,10.2164,10216.3999
1,86.7888,10.8328,10832.7999
1,86.9236,10.9676,10967.5999
1,86.9545,10.9985,10998.4999
1,86.9933,11.0373,11037.2999
1,87.0298,11.0738,11073.7999
1,88.2709,12.3149,12314.8999
1,88.5433,12.5873,12587.2999
1,88.6258,12.6698,12669.7999
1,88.7586,12.8026,12802.5999
1,90.3677,14.4117,14411.6999
1,91.0478,15.0918,15091.7999
1,92.0686,16.1126,16112.5999
1,92.2911,16.3351,16335.0999
1,92.3063,16.3503,16350.2999
1,92.3190,16.3630,16362.9999
1,92.5494,16.5934,16593.3999
1,92.5889,16.6329,16632.8999
1,92.6448,16.6888,16688.7999
1,92.7388,16.7828,16782.7999
1,93.4561,17.5001,17500.0999
1,93.5148,17.5588,17558.7999
1,93.6629,17.7069,17706.8999
1,93.7005,17.7445,17744.4999
1,93.8748,17.9188,17918.7999
1,94.0287,18.0727,18072.6999
1,94.2017,18.2457,18245.6999
1,94.3924,18.4364,18436.3999
1,94.5931,18.6371,18637.0999
