units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,498.1796,422.2236,422223.5999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,123.5999,0.1236
1,498.2765,422.3205,422320.4999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,220.4999,0.2205
1,498.5136,422.5576,422557.5999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,457.5999,0.4576
1,498.6454,422.6894,422689.3999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,589.3999,0.5894
1,498.7272,422.7712,422771.1999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,671.1999,0.6712
1,498.8746,422.9186,422918.5999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,818.5999,0.8186
1,499.0413,423.0853,423085.2999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,985.2999,0.9853
1,499.2254,423.2694,423269.3999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1169.3999,1.1694
1,499.2851,423.3291,423329.0999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1229.0999,1.2291
1,499.7616,423.8056,423805.5999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1705.5999,1.7056
1,499.9248,423.9688,423968.7999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1868.7999,1.8688
1,500.0924,424.1364,424136.3999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,2036.3999,2.0364
1,500.2857,424.3297,424329.6999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,2229.6999,2.2297
1,500.4435,424.4875,424487.4999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,2387.4999,2.3875
1,500.5127,424.5567,424556.6999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,2456.6999,2.4567
1,500.5393,424.5833,424583.2999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,2483.2999,2.4833
1,454.4589,378.5029,378502.8999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,22.8999,0.0229
1,454.4951,378.5391,378539.0999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,59.0999,0.0591
1,454.4977,378.5417,378541.6999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,61.6999,0.0617
1,454.5488,378.5928,378592.7999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,112.7999,0.1128
1,454.5616,378.6056,378605.5999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,125.5999,0.1256
1,454.7351,378.7791,378779.0999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,299.0999,0.2991
1,454.8573,378.9013,378901.2999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,421.2999,0.4213
1,454.8882,378.9322,378932.1999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,452.1999,0.4522
1,455.0537,379.0977,379097.6999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,617.6999,0.6177
1,455.1840,379.2280,379227.9999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,747.9999,0.7480
1,455.1957,379.2397,379239.6999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,759.6999,0.7597
1,455.2083,379.2523,379252.2999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,772.2999,0.7723
1,455.3389,379.3829,379382.8999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,902.8999,0.9029
1,455.4424,379.4864,379486.3999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1006.3999,1.0064
1,455.4831,379.5271,379527.0999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1047.0999,1.0471
1,455.4883,379.5323,379532.2999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1052.2999,1.0523
1,455.5075,379.5515,379551.4999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1071.4999,1.0715
1,455.5112,379.5552,379555.1999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1075.1999,1.0752
1,455.6547,379.6987,379698.6999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1218.6999,1.2187
1,455.6732,379.7172,379717.1999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1237.1999,1.2372
1,455.7514,379.7954,379795.3999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1315.3999,1.3154
1,455.8276,379.8716,379871.5999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1391.5999,1.3916
1,455.9868,380.0308,380030.7999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1550.7999,1.5508
1,456.0588,380.1028,380102.7999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1622.7999,1.6228
1,456.0701,380.1141,380114.0999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1634.0999,1.6341
1,456.1628,380.2068,380206.7999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1726.7999,1.7268
1,456.1976,380.2416,380241.5999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1761.5999,1.7616
1,456.2622,380.3062,380306.1999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1826.1999,1.8262
1,456.5553,380.5993,380599.2999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,2119.2999,2.1193
1,1795.1204,1719.1644,1719164.3999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,206.3999,0.2064
1,1795.2342,1719.2782,1719278.1999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,320.1999,0.3202
1,1795.2747,1719.3187,1719318.6999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,360.6999,0.3607
1,1795.2880,1719.3320,1719331.9999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,373.9999,0.3740
1,1795.3516,1719.3956,1719395.5999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,437.5999,0.4376
1,1795.4169,1719.4609,1719460.8999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,502.8999,0.5029
1,1795.5253,1719.5693,1719569.2999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,611.2999,0.6113
1,1795.5506,1719.5946,1719594.5999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,636.5999,0.6366
1,1795.7416,1719.7856,1719785.5999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,827.5999,0.8276
1,1795.7491,1719.7931,1719793.0999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,835.0999,0.8351
1,1795.7930,1719.8370,1719836.9999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,878.9999,0.8790
1,1795.9230,1719.9670,1719966.9999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,1008.9999,1.0090
1,1796.0354,1720.0794,1720079.3999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,1121.3999,1.1214
1,1796.1130,1720.1570,1720156.9999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,1198.9999,1.1990
1,1796.1657,1720.2097,1720209.6999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,1251.6999,1.2517
1,1796.1833,1720.2273,1720227.2999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,1269.2999,1.2693
1,1796.1858,1720.2298,1720229.7999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,1271.7999,1.2718
1,1796.4531,1720.4971,1720497.0999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,1539.0999,1.5391
1,1796.4702,1720.5142,1720514.1999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,1556.1999,1.5562
1,1796.6384,1720.6824,1720682.3999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,1724.3999,1.7244
1,1796.7311,1720.7751,1720775.0999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,1817.0999,1.8171
1,1796.7892,1720.8332,1720833.1999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,1875.1999,1.8752
