units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,499.2098,423.2538,423253.7999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1153.7999,1.1538
2,454.4551,378.4991,378499.0999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,19.0999,0.0191
2,455.9006,379.9446,379944.5999,2,1-378480-380618,210,1,1,2,True,378480.0000,380618.0000,1464.5999,1.4646
2,1795.7724,1719.8164,1719816.3999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,858.3999,0.8584
2,1796.0104,1720.0544,1720054.3999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,1096.3999,1.0964
2,1797.0626,1721.1066,1721106.5999,3,1-1718958-1721396,703,1,1,3,True,1718958.0000,1721396.0000,2148.5999,2.1486
2,1524.4442,1448.4882,1448488.1999,4,1-1448258-1450195,574,1,1,4,True,1448258.0000,1450195.0000,230.1999,0.2302
2,120.8573,44.9013,44901.2999,5,1-44655-47627,24,1,1,5,True,44655.0000,47627.0000,246.2999,0.2463
2,121.3169,45.3609,45360.8999,5,1-44655-47627,24,1,1,5,True,44655.0000,47627.0000,705.8999,0.7059
2,122.6105,46.6545,46654.4999,5,1-44655-47627,24,1,1,5,True,44655.0000,47627.0000,1999.4999,1.9995
2,446.3872,370.4312,370431.1999,6,1-369295-370865,205,1,1,6,True,369295.0000,370865.0000,1136.1999,1.1362
2,1949.9676,1874.0116,1874011.5999,8,1-1873129-1875267,783,1,1,8,True,1873129.0000,1875267.0000,882.5999,0.8826
2,1834.3542,1758.3982,1758398.1999,9,1-1757234-1758937,723,1,1,9,True,1757234.0000,1758937.0000,1164.1999,1.1642
2,568.5988,492.6428,492642.7999,10,1-491937-493674,257,1,1,10,True,491937.0000,493674.0000,705.7999,0.7058
2,569.4465,493.4905,493490.4999,10,1-491937-493674,257,1,1,10,True,491937.0000,493674.0000,1553.4999,1.5535
2,569.4789,493.5229,493522.8999,10,1-491937-493674,257,1,1,10,True,491937.0000,493674.0000,1585.8999,1.5859
2,2115.4672,2039.5112,2039511.1999,12,1-2038789-2041528,848,1,1,12,True,2038789.0000,2041528.0000,722.1999,0.7222
2,2116.9153,2040.9593,2040959.2999,12,1-2038789-2041528,848,1,1,12,True,2038789.0000,2041528.0000,2170.2999,2.1703
2,1799.2327,1723.2767,1723276.6999,13,1-1722565-1724569,705,1,1,13,True,1722565.0000,1724569.0000,711.6999,0.7117
2,166.0546,90.0986,90098.5999,14,1-88875-90545,51,1,1,14,True,88875.0000,90545.0000,1223.5999,1.2236
2,166.0860,90.1300,90129.9999,14,1-88875-90545,51,1,1,14,True,88875.0000,90545.0000,1254.9999,1.2550
2,529.1621,453.2061,453206.0999,16,1-451892-453729,246,1,1,16,True,451892.0000,453729.0000,1314.0999,1.3141
2,385.4095,309.4535,309453.4999,17,1-308208-310613,173,1,1,17,True,308208.0000,310613.0000,1245.4999,1.2455
2,252.7530,176.7970,176796.9999,18,1-176315-178586,105,1,1,18,True,176315.0000,178586.0000,481.9999,0.4820
2,2158.9882,2083.0322,2083032.1999,21,1-2082743-2084947,867,1,1,21,True,2082743.0000,2084947.0000,289.1999,0.2892
2,2159.2697,2083.3137,2083313.6999,21,1-2082743-2084947,867,1,1,21,True,2082743.0000,2084947.0000,570.6999,0.5707
2,2159.2809,2083.3249,2083324.8999,21,1-2082743-2084947,867,1,1,21,True,2082743.0000,2084947.0000,581.8999,0.5819
2,2159.5781,2083.6221,2083622.0999,21,1-2082743-2084947,867,1,1,21,True,2082743.0000,2084947.0000,879.0999,0.8791
2,2159.8257,2083.8697,2083869.6999,21,1-2082743-2084947,867,1,1,21,True,2082743.0000,2084947.0000,1126.6999,1.1267
2,2160.0522,2084.0962,2084096.1999,21,1-2082743-2084947,867,1,1,21,True,2082743.0000,2084947.0000,1353.1999,1.3532
2,2160.1823,2084.2263,2084226.2999,21,1-2082743-2084947,867,1,1,21,True,2082743.0000,2084947.0000,1483.2999,1.4833
2,2160.2933,2084.3373,2084337.2999,21,1-2082743-2084947,867,1,1,21,True,2082743.0000,2084947.0000,1594.2999,1.5943
2,2160.7886,2084.8326,2084832.5999,21,1-2082743-2084947,867,1,1,21,True,2082743.0000,2084947.0000,2089.5999,2.0896
2,2136.0506,2060.0946,2060094.5999,22,1-2059697-2061768,857,1,0,54,True,2059697.0000,2061768.0000,397.5999,0.3976
2,2136.8300,2060.8740,2060873.9999,22,1-2059697-2061768,857,1,0,54,True,2059697.0000,2061768.0000,1176.9999,1.1770
2,2137.3726,2061.4166,2061416.5999,22,1-2059697-2061768,857,1,0,54,True,2059697.0000,2061768.0000,1719.5999,1.7196
2,2137.6674,2061.7114,2061711.3999,22,1-2059697-2061768,857,1,0,54,True,2059697.0000,2061768.0000,2014.3999,2.0144
2,986.5028,910.5468,910546.7999,23,1-910096-911599,394,1,0,55,True,910096.0000,911599.0000,450.7999,0.4508
2,1532.9779,1457.0219,1457021.8999,25,1-1456207-1457376,577,1,0,57,True,1456207.0000,1457376.0000,814.8999,0.8149
2,1533.0681,1457.1121,1457112.0999,25,1-1456207-1457376,577,1,0,57,True,1456207.0000,1457376.0000,905.0999,0.9051
2,2497.3717,2421.4157,2421415.6999,27,1-2420943-2423949,995,1,1,22,True,2420943.0000,2423949.0000,472.6999,0.4727
2,407.6013,331.6453,331645.2999,29,1-331421-334393,187,1,1,23,True,331421.0000,334393.0000,224.2999,0.2243
2,408.3183,332.3623,332362.2999,29,1-331421-334393,187,1,1,23,True,331421.0000,334393.0000,941.2999,0.9413
2,410.1856,334.2296,334229.5999,29,1-331421-334393,187,1,1,23,True,331421.0000,334393.0000,2808.5999,2.8086
2,1067.7879,991.8319,991831.8999,30,1-991790-994696,427,1,1,24,True,991790.0000,994696.0000,41.8999,0.0419
2,1068.3088,992.3528,992352.7999,30,1-991790-994696,427,1,1,24,True,991790.0000,994696.0000,562.7999,0.5628
2,1068.8896,992.9336,992933.5999,30,1-991790-994696,427,1,1,24,True,991790.0000,994696.0000,1143.5999,1.1436
2,971.4004,895.4444,895444.3999,31,1-894732-896569,387,1,1,25,True,894732.0000,896569.0000,712.3999,0.7124
2,1491.7497,1415.7937,1415793.6999,32,1-1415326-1417196,560,1,1,26,True,1415326.0000,1417196.0000,467.6999,0.4677
2,1491.9682,1416.0122,1416012.1999,32,1-1415326-1417196,560,1,1,26,True,1415326.0000,1417196.0000,686.1999,0.6862
2,1761.0777,1685.1217,1685121.6999,34,1-1684924-1686394,688,1,1,28,True,1684924.0000,1686394.0000,197.6999,0.1977
2,1762.2325,1686.2765,1686276.4999,34,1-1684924-1686394,688,1,1,28,True,1684924.0000,1686394.0000,1352.4999,1.3525
2,2244.2812,2168.3252,2168325.1999,35,1-2167744-2169748,898,1,1,29,True,2167744.0000,2169748.0000,581.1999,0.5812
2,658.5443,582.5883,582588.2999,37,1-581714-582750,287,1,0,60,True,581714.0000,582750.0000,874.2999,0.8743
2,211.3329,135.3769,135376.8999,38,1-135100-137939,79,1,1,31,True,135100.0000,137939.0000,276.8999,0.2769
2,213.4636,137.5076,137507.5999,38,1-135100-137939,79,1,1,31,True,135100.0000,137939.0000,2407.5999,2.4076
2,1912.5657,1836.6097,1836609.6999,40,1-1835755-1837459,758,1,1,33,True,1835755.0000,1837459.0000,854.6999,0.8547
2,1776.6376,1700.6816,1700681.5999,43,1-1698284-1701123,694,1,1,35,True,1698284.0000,1701123.0000,2397.5999,2.3976
2,1776.7413,1700.7853,1700785.2999,43,1-1698284-1701123,694,1,1,35,True,1698284.0000,1701123.0000,2501.2999,2.5013
2,1776.7563,1700.8003,1700800.2999,43,1-1698284-1701123,694,1,1,35,True,1698284.0000,1701123.0000,2516.2999,2.5163
2,1776.9843,1701.0283,1701028.2999,43,1-1698284-1701123,694,1,1,35,True,1698284.0000,1701123.0000,2744.2999,2.7443
2,1809.7737,1733.8177,1733817.6999,45,1-1732919-1735925,709,1,1,37,True,1732919.0000,1735925.0000,898.6999,0.8987
2,1810.3708,1734.4148,1734414.7999,45,1-1732919-1735925,709,1,1,37,True,1732919.0000,1735925.0000,1495.7999,1.4958
2,1810.6712,1734.7152,1734715.1999,45,1-1732919-1735925,709,1,1,37,True,1732919.0000,1735925.0000,1796.1999,1.7962
2,1810.9290,1734.9730,1734972.9999,45,1-1732919-1735925,709,1,1,37,True,1732919.0000,1735925.0000,2053.9999,2.0540
2,1811.5452,1735.5892,1735589.1999,45,1-1732919-1735925,709,1,1,37,True,1732919.0000,1735925.0000,2670.1999,2.6702
2,2404.7670,2328.8110,2328810.9999,47,1-2328728-2330097,954,1,1,38,True,2328728.0000,2330097.0000,82.9999,0.0830
2,2404.8567,2328.9007,2328900.6999,47,1-2328728-2330097,954,1,1,38,True,2328728.0000,2330097.0000,172.6999,0.1727
2,287.8691,211.9131,211913.0999,49,1-210148-212352,126,1,1,40,True,210148.0000,212352.0000,1765.0999,1.7651
2,372.1709,296.2149,296214.8999,51,1-295249-298122,167,1,0,63,True,295249.0000,298122.0000,965.8999,0.9659
2,372.3082,296.3522,296352.1999,51,1-295249-298122,167,1,0,63,True,295249.0000,298122.0000,1103.1999,1.1032
2,372.3712,296.4152,296415.1999,51,1-295249-298122,167,1,0,63,True,295249.0000,298122.0000,1166.1999,1.1662
2,372.4015,296.4455,296445.4999,51,1-295249-298122,167,1,0,63,True,295249.0000,298122.0000,1196.4999,1.1965
2,372.5520,296.5960,296595.9999,51,1-295249-298122,167,1,0,63,True,295249.0000,298122.0000,1346.9999,1.3470
2,373.3835,297.4275,297427.4999,51,1-295249-298122,167,1,0,63,True,295249.0000,298122.0000,2178.4999,2.1785
2,373.3865,297.4305,297430.4999,51,1-295249-298122,167,1,0,63,True,295249.0000,298122.0000,2181.4999,2.1815
2,373.4145,297.4585,297458.4999,51,1-295249-298122,167,1,0,63,True,295249.0000,298122.0000,2209.4999,2.2095
2,373.7683,297.8123,297812.2999,51,1-295249-298122,167,1,0,63,True,295249.0000,298122.0000,2563.2999,2.5633
2,2033.0003,1957.0443,1957044.2999,52,1-1956460-1959466,818,1,0,64,True,1956460.0000,1959466.0000,584.2999,0.5843
2,2033.9127,1957.9567,1957956.6999,52,1-1956460-1959466,818,1,0,64,True,1956460.0000,1959466.0000,1496.6999,1.4967
2,1821.8085,1745.8525,1745852.4999,54,1-1745477-1746312,716,1,0,66,True,1745477.0000,1746312.0000,375.4999,0.3755
2,1853.7215,1777.7655,1777765.4999,56,1-1777407-1778209,733,1,1,42,True,1777407.0000,1778209.0000,358.4999,0.3585
2,1854.0835,1778.1275,1778127.4999,56,1-1777407-1778209,733,1,1,42,True,1777407.0000,1778209.0000,720.4999,0.7205
