units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,498.1030,422.1470,422146.9999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,46.9999,0.0470
1,498.1328,422.1768,422176.7999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,76.7999,0.0768
1,498.3383,422.3823,422382.2999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,282.2999,0.2823
1,498.4525,422.4965,422496.4999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,396.4999,0.3965
1,498.4562,422.5002,422500.1999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,400.1999,0.4002
1,498.4700,422.5140,422513.9999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,413.9999,0.4140
1,498.5503,422.5943,422594.2999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,494.2999,0.4943
1,498.7013,422.7453,422745.2999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,645.2999,0.6453
1,498.9024,422.9464,422946.3999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,846.3999,0.8464
1,498.9677,423.0117,423011.6999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,911.6999,0.9117
1,498.9746,423.0186,423018.5999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,918.5999,0.9186
1,499.0378,423.0818,423081.7999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,981.7999,0.9818
1,499.0883,423.1323,423132.2999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1032.2999,1.0323
1,499.1300,423.1740,423173.9999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1073.9999,1.0740
1,499.1530,423.1970,423196.9999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1096.9999,1.0970
1,499.3556,423.3996,423399.5999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1299.5999,1.2996
1,499.4410,423.4850,423484.9999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1384.9999,1.3850
1,499.4581,423.5021,423502.0999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1402.0999,1.4021
1,499.4909,423.5349,423534.8999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1434.8999,1.4349
1,499.5625,423.6065,423606.4999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1506.4999,1.5065
1,499.5727,423.6167,423616.6999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1516.6999,1.5167
1,499.9138,423.9578,423957.7999,1,1-422100-424671,230,1,1,1,True,422100.0000,424671.0000,1857.7999,1.8578
