bin_10s,spike_count,firing_rate_hz
0,1,0.1
1,3,0.3
2,0,0.0
3,2,0.2
4,2,0.2
5,0,0.0
6,0,0.0
7,1,0.1
8,0,0.0
9,0,0.0
10,0,0.0
11,2,0.2
12,0,0.0
13,1,0.1
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,1,0.1
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,1,0.1
24,1,0.1
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,1,0.1
31,1,0.1
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,1,0.1
41,1,0.1
42,1,0.1
43,0,0.0
44,3,0.3
45,0,0.0
46,0,0.0
47,0,0.0
48,3,0.3
49,1,0.1
50,1,0.1
51,1,0.1
52,2,0.2
53,1,0.1
54,0,0.0
55,0,0.0
56,2,0.2
57,1,0.1
58,1,0.1
59,1,0.1
60,0,0.0
61,1,0.1
62,0,0.0
63,0,0.0
64,1,0.1
65,0,0.0
66,3,0.3
67,0,0.0
68,0,0.0
69,1,0.1
70,2,0.2
71,0,0.0
72,0,0.0
73,1,0.1
74,0,0.0
75,1,0.1
76,1,0.1
77,0,0.0
78,0,0.0
79,0,0.0
80,1,0.1
81,1,0.1
82,1,0.1
83,2,0.2
84,2,0.2
85,0,0.0
86,0,0.0
87,0,0.0
88,1,0.1
89,1,0.1
90,1,0.1
91,1,0.1
92,1,0.1
93,0,0.0
94,1,0.1
95,2,0.2
96,2,0.2
97,0,0.0
98,0,0.0
99,0,0.0
100,0,0.0
101,0,0.0
102,0,0.0
103,1,0.1
104,0,0.0
105,0,0.0
106,0,0.0
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,0,0.0
112,0,0.0
113,2,0.2
114,0,0.0
115,0,0.0
116,1,0.1
117,1,0.1
118,2,0.2
119,0,0.0
120,1,0.1
121,2,0.2
122,1,0.1
123,0,0.0
124,3,0.3
125,0,0.0
126,0,0.0
127,0,0.0
128,2,0.2
129,0,0.0
130,2,0.2
131,1,0.1
132,2,0.2
133,1,0.1
134,0,0.0
135,0,0.0
136,0,0.0
137,0,0.0
138,2,0.2
139,2,0.2
140,0,0.0
141,3,0.3
142,0,0.0
143,1,0.1
144,1,0.1
145,0,0.0
146,1,0.1
147,2,0.2
148,1,0.1
149,0,0.0
150,1,0.1
151,1,0.1
152,1,0.1
153,0,0.0
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,0,0.0
159,0,0.0
160,0,0.0
161,0,0.0
162,0,0.0
163,2,0.2
164,1,0.1
165,0,0.0
166,0,0.0
167,0,0.0
168,0,0.0
169,0,0.0
170,0,0.0
171,2,0.2
172,0,0.0
173,1,0.1
174,0,0.0
175,1,0.1
176,0,0.0
177,1,0.1
178,1,0.1
179,2,0.2
180,2,0.2
181,0,0.0
182,0,0.0
183,1,0.1
184,2,0.2
185,1,0.1
186,2,0.2
187,0,0.0
188,1,0.1
189,0,0.0
190,0,0.0
191,2,0.2
192,0,0.0
193,1,0.1
194,1,0.1
195,1,0.1
196,2,0.2
197,2,0.2
198,2,0.2
199,1,0.1
200,1,0.1
201,2,0.2
202,1,0.1
203,1,0.1
204,2,0.2
205,2,0.2
206,2,0.2
207,2,0.2
208,0,0.0
209,0,0.0
210,1,0.1
211,2,0.2
212,1,0.1
213,1,0.1
214,1,0.1
215,0,0.0
216,1,0.1
217,0,0.0
218,1,0.1
219,0,0.0
220,1,0.1
221,1,0.1
222,0,0.0
223,0,0.0
224,4,0.4
225,1,0.1
226,0,0.0
227,1,0.1
228,1,0.1
229,1,0.1
230,1,0.1
231,0,0.0
232,1,0.1
233,4,0.4
234,3,0.3
235,0,0.0
236,2,0.2
237,1,0.1
238,1,0.1
239,0,0.0
240,0,0.0
241,1,0.1
242,1,0.1
243,2,0.2
244,1,0.1
245,0,0.0
246,1,0.1
247,3,0.3
