bin_10s,spike_count,firing_rate_hz
0,126,12.6
1,105,10.5
2,139,13.9
3,194,19.4
4,177,17.7
5,196,19.6
6,221,22.1
7,187,18.7
8,170,17.0
9,185,18.5
10,159,15.9
11,125,12.5
12,151,15.1
13,78,7.8
14,81,8.1
15,101,10.1
16,108,10.8
17,98,9.8
18,172,17.2
19,168,16.8
20,149,14.9
21,90,9.0
22,132,13.2
23,100,10.0
24,130,13.0
25,130,13.0
26,124,12.4
27,123,12.3
28,121,12.1
29,111,11.1
30,136,13.6
31,107,10.7
32,135,13.5
33,70,7.0
34,89,8.9
35,130,13.0
36,105,10.5
37,128,12.8
38,140,14.0
39,171,17.1
40,102,10.2
41,99,9.9
42,168,16.8
43,218,21.8
44,189,18.9
45,185,18.5
46,224,22.4
47,200,20.0
48,177,17.7
49,200,20.0
50,133,13.3
51,170,17.0
52,112,11.2
53,193,19.3
54,212,21.2
55,229,22.9
56,174,17.4
57,228,22.8
58,234,23.4
59,116,11.6
60,214,21.4
61,198,19.8
62,167,16.7
63,112,11.2
64,117,11.7
65,153,15.3
66,181,18.1
67,147,14.7
68,159,15.9
69,136,13.6
70,167,16.7
71,152,15.2
72,151,15.1
73,176,17.6
74,170,17.0
75,162,16.2
76,95,9.5
77,147,14.7
78,141,14.1
79,87,8.7
80,121,12.1
81,164,16.4
82,142,14.2
83,157,15.7
84,143,14.3
85,156,15.6
86,135,13.5
87,64,6.4
88,93,9.3
89,110,11.0
90,123,12.3
91,109,10.9
92,89,8.9
93,152,15.2
94,111,11.1
95,93,9.3
96,62,6.2
97,71,7.1
98,86,8.6
99,81,8.1
100,100,10.0
101,96,9.6
102,86,8.6
103,99,9.9
104,93,9.3
105,82,8.2
106,100,10.0
107,97,9.7
108,83,8.3
109,126,12.6
110,112,11.2
111,76,7.6
112,75,7.5
113,76,7.6
114,111,11.1
115,209,20.9
116,197,19.7
117,166,16.6
118,171,17.1
119,163,16.3
120,158,15.8
121,157,15.7
122,141,14.1
123,128,12.8
124,166,16.6
125,146,14.6
126,123,12.3
127,93,9.3
128,210,21.0
129,222,22.2
130,194,19.4
131,111,11.1
132,127,12.7
133,170,17.0
134,110,11.0
135,158,15.8
136,114,11.4
137,80,8.0
138,193,19.3
139,228,22.8
140,207,20.7
141,280,28.0
142,267,26.7
143,267,26.7
144,221,22.1
145,229,22.9
146,217,21.7
147,201,20.1
148,231,23.1
149,201,20.1
150,235,23.5
151,207,20.7
152,178,17.8
153,22,2.2
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,0,0.0
159,0,0.0
160,80,8.0
161,134,13.4
162,156,15.6
163,139,13.9
164,127,12.7
165,162,16.2
166,169,16.9
167,171,17.1
168,164,16.4
169,182,18.2
170,176,17.6
171,171,17.1
172,163,16.3
173,207,20.7
174,222,22.2
175,174,17.4
176,169,16.9
177,202,20.2
178,187,18.7
179,165,16.5
180,179,17.9
181,202,20.2
182,184,18.4
183,131,13.1
184,176,17.6
185,134,13.4
186,170,17.0
187,150,15.0
188,194,19.4
189,153,15.3
190,124,12.4
191,104,10.4
192,150,15.0
193,163,16.3
194,136,13.6
195,166,16.6
196,166,16.6
197,156,15.6
198,138,13.8
199,125,12.5
200,97,9.7
201,107,10.7
202,122,12.2
203,113,11.3
204,120,12.0
205,91,9.1
206,74,7.4
207,93,9.3
208,98,9.8
209,85,8.5
210,105,10.5
211,89,8.9
212,39,3.9
213,62,6.2
214,74,7.4
215,60,6.0
216,72,7.2
217,129,12.9
218,140,14.0
219,137,13.7
220,145,14.5
221,104,10.4
222,92,9.2
223,67,6.7
224,65,6.5
225,103,10.3
226,75,7.5
227,70,7.0
228,62,6.2
229,66,6.6
230,91,9.1
231,118,11.8
232,47,4.7
233,56,5.6
234,159,15.9
235,65,6.5
236,94,9.4
237,41,4.1
238,30,3.0
239,155,15.5
240,108,10.8
241,91,9.1
242,87,8.7
243,176,17.6
244,98,9.8
245,119,11.9
246,84,8.4
247,85,8.5
