units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,48.2243,5.1263,5126.3000
2,50.3090,7.2110,7211.0000
2,51.6237,8.5257,8525.7000
2,51.8536,8.7556,8755.6000
2,52.6590,9.5610,9561.0000
2,53.1119,10.0139,10013.9000
2,53.1196,10.0216,10021.6000
2,53.3187,10.2207,10220.7000
2,53.4449,10.3469,10346.9000
2,53.4490,10.3510,10351.0000
2,53.4762,10.3782,10378.2000
2,53.5724,10.4744,10474.4000
2,53.5962,10.4982,10498.2000
2,54.2621,11.1641,11164.1000
2,54.3909,11.2929,11292.9000
2,54.5907,11.4927,11492.7000
2,54.6082,11.5102,11510.2000
2,54.6291,11.5311,11531.1000
2,54.6586,11.5606,11560.6000
2,54.7118,11.6138,11613.8000
2,54.7809,11.6829,11682.9000
2,55.5756,12.4776,12477.6000
2,56.0729,12.9749,12974.9000
2,57.2572,14.1592,14159.2000
2,57.4530,14.3550,14355.0000
2,59.3503,16.2523,16252.3000
2,59.8820,16.7840,16784.0000
2,59.9168,16.8188,16818.8000
2,62.5710,19.4730,19473.0000
2,62.9757,19.8777,19877.7000
2,63.2832,20.1852,20185.2000
2,63.4048,20.3068,20306.8000
2,64.6514,21.5534,21553.4000
2,65.0858,21.9878,21987.8000
2,65.1792,22.0812,22081.2000
2,65.9868,22.8888,22888.8000
2,66.2535,23.1555,23155.5000
2,66.3334,23.2354,23235.4000
2,66.3802,23.2822,23282.2000
2,66.4219,23.3239,23323.9000
2,67.0121,23.9141,23914.1000
2,67.1810,24.0830,24083.0000
2,67.2356,24.1376,24137.6000
2,68.7227,25.6247,25624.7000
2,69.5787,26.4807,26480.7000
2,69.8580,26.7600,26760.0000
2,70.8450,27.7470,27747.0000
2,71.6156,28.5176,28517.6000
2,72.4906,29.3926,29392.6000
2,72.6137,29.5157,29515.7000
2,73.1416,30.0436,30043.6000
2,76.9168,33.8188,33818.8000
2,77.1003,34.0023,34002.3000
2,78.5754,35.4774,35477.4000
2,78.6094,35.5114,35511.4000
2,78.8783,35.7803,35780.3000
2,83.7179,40.6199,40619.9000
2,83.7953,40.6973,40697.3000
2,83.8013,40.7033,40703.3000
2,83.8646,40.7666,40766.6000
2,84.0733,40.9753,40975.3000
2,84.2999,41.2019,41201.9000
2,84.3786,41.2806,41280.6000
2,84.3861,41.2881,41288.1000
2,84.5309,41.4329,41432.9000
2,84.5555,41.4575,41457.5000
2,84.5784,41.4804,41480.4000
2,84.6302,41.5322,41532.2000
2,84.6512,41.5532,41553.2000
2,84.7327,41.6347,41634.7000
2,84.7464,41.6484,41648.4000
2,84.8122,41.7142,41714.2000
2,84.8237,41.7257,41725.7000
2,84.8810,41.7830,41783.0000
2,85.1993,42.1013,42101.3000
2,85.3223,42.2243,42224.3000
2,85.3517,42.2537,42253.7000
2,85.5015,42.4035,42403.5000
2,85.5252,42.4272,42427.2000
2,85.5439,42.4459,42445.9000
2,85.6663,42.5683,42568.3000
2,85.6767,42.5787,42578.7000
2,86.5676,43.4696,43469.6000
2,88.1424,45.0444,45044.4000
2,88.2110,45.1130,45113.0000
2,88.8479,45.7499,45749.9000
2,88.8867,45.7887,45788.7000
2,89.4892,46.3912,46391.2000
2,89.5041,46.4061,46406.1000
2,89.7157,46.6177,46617.7000
2,90.3736,47.2756,47275.6000
2,90.4267,47.3287,47328.7000
2,90.4477,47.3497,47349.7000
2,90.5041,47.4061,47406.1000
2,90.6087,47.5107,47510.7000
2,90.8280,47.7300,47730.0000
2,91.2162,48.1182,48118.2000
2,91.2824,48.1844,48184.4000
2,91.2875,48.1895,48189.5000
2,91.2897,48.1917,48191.7000
2,91.3499,48.2519,48251.9000
2,91.3908,48.2928,48292.8000
2,91.4197,48.3217,48321.7000
2,92.2222,49.1242,49124.2000
2,92.2698,49.1718,49171.8000
2,92.3043,49.2063,49206.3000
2,92.3457,49.2477,49247.7000
2,92.6579,49.5599,49559.9000
2,92.7595,49.6615,49661.5000
2,92.8650,49.7670,49767.0000
2,92.9002,49.8022,49802.2000
2,93.4071,50.3091,50309.1000
2,93.6449,50.5469,50546.9000
2,93.6811,50.5831,50583.1000
2,93.7537,50.6557,50655.7000
2,93.8077,50.7097,50709.7000
2,94.0479,50.9499,50949.9000
2,94.1212,51.0232,51023.2000
2,94.9329,51.8349,51834.9000
2,96.5507,53.4527,53452.7000
2,96.8128,53.7148,53714.8000
2,96.8889,53.7909,53790.9000
2,96.9387,53.8407,53840.7000
2,97.0771,53.9791,53979.1000
2,97.1364,54.0384,54038.4000
2,97.1933,54.0953,54095.3000
2,97.2159,54.1179,54117.9000
2,97.2795,54.1815,54181.5000
2,97.3950,54.2970,54297.0000
2,97.8285,54.7305,54730.5000
2,97.8557,54.7577,54757.7000
2,97.9014,54.8034,54803.4000
2,98.1670,55.0690,55069.0000
2,98.7684,55.6704,55670.4000
2,98.8446,55.7466,55746.6000
2,99.0741,55.9761,55976.1000
2,100.0651,56.9671,56967.1000
2,100.0920,56.9940,56994.0000
2,100.1211,57.0231,57023.1000
2,100.1629,57.0649,57064.9000
2,100.1827,57.0847,57084.7000
2,100.1996,57.1016,57101.6000
2,100.2197,57.1217,57121.7000
2,100.2443,57.1463,57146.3000
2,100.2675,57.1695,57169.5000
2,100.2896,57.1916,57191.6000
2,100.3175,57.2195,57219.5000
2,100.3406,57.2426,57242.6000
2,100.3813,57.2833,57283.3000
2,100.4481,57.3501,57350.1000
2,100.5426,57.4446,57444.6000
2,100.8199,57.7219,57721.9000
2,101.1236,58.0256,58025.6000
2,101.1603,58.0623,58062.3000
2,101.2020,58.1040,58104.0000
2,101.2806,58.1826,58182.6000
2,101.2980,58.2000,58200.0000
2,101.3461,58.2481,58248.1000
2,101.9040,58.8060,58806.0000
2,102.3111,59.2131,59213.1000
2,102.4831,59.3851,59385.1000
2,102.5056,59.4076,59407.6000
2,102.5850,59.4870,59487.0000
2,102.6382,59.5402,59540.2000
2,102.8254,59.7274,59727.4000
2,102.8578,59.7598,59759.8000
2,103.4919,60.3939,60393.9000
2,103.5959,60.4979,60497.9000
2,103.6150,60.5170,60517.0000
2,104.5100,61.4120,61412.0000
2,104.5273,61.4293,61429.3000
