units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,44.9827,1.8847,1884.7000
2,48.1104,5.0124,5012.4000
2,48.1346,5.0366,5036.6000
2,48.1829,5.0849,5084.9000
2,49.3711,6.2731,6273.1000
2,51.2270,8.1290,8129.0000
2,51.3371,8.2391,8239.1000
2,51.4554,8.3574,8357.4000
2,51.5357,8.4377,8437.7000
2,52.4003,9.3023,9302.3000
2,52.5825,9.4845,9484.5000
2,55.7308,12.6328,12632.8000
2,57.4181,14.3201,14320.1000
2,58.2196,15.1216,15121.6000
2,59.1783,16.0803,16080.3000
2,59.3168,16.2188,16218.8000
2,60.4343,17.3363,17336.3000
2,61.2247,18.1267,18126.7000
2,63.1573,20.0593,20059.3000
2,65.0932,21.9952,21995.2000
2,65.2148,22.1168,22116.8000
2,65.2973,22.1993,22199.3000
2,66.1053,23.0073,23007.3000
2,66.1171,23.0191,23019.1000
2,66.1833,23.0853,23085.3000
2,66.3013,23.2033,23203.3000
2,67.3645,24.2665,24266.5000
2,69.1816,26.0836,26083.6000
2,69.3233,26.2253,26225.3000
2,69.4003,26.3023,26302.3000
2,70.2388,27.1408,27140.8000
2,70.4682,27.3702,27370.2000
2,70.4753,27.3773,27377.3000
2,70.6284,27.5304,27530.4000
2,72.1792,29.0812,29081.2000
2,72.5334,29.4354,29435.4000
2,73.3121,30.2141,30214.1000
2,74.2372,31.1392,31139.2000
2,75.2312,32.1332,32133.2000
2,76.3648,33.2668,33266.8000
2,78.2208,35.1228,35122.8000
2,78.4854,35.3874,35387.4000
2,79.2428,36.1448,36144.8000
2,79.3434,36.2454,36245.4000
2,81.4506,38.3526,38352.6000
2,85.3214,42.2234,42223.4000
2,88.1107,45.0127,45012.7000
2,88.3249,45.2269,45226.9000
2,89.1063,46.0083,46008.3000
2,89.1872,46.0892,46089.2000
2,89.8608,46.7628,46762.8000
2,92.1971,49.0991,49099.1000
2,92.9214,49.8234,49823.4000
2,93.7324,50.6344,50634.4000
2,93.7488,50.6508,50650.8000
2,93.9516,50.8536,50853.6000
2,94.9520,51.8540,51854.0000
2,97.0437,53.9457,53945.7000
2,97.9012,54.8032,54803.2000
2,99.8251,56.7271,56727.1000
2,100.0456,56.9476,56947.6000
2,101.0702,57.9722,57972.2000
2,102.0662,58.9682,58968.2000
2,102.0861,58.9881,58988.1000
2,102.8950,59.7970,59797.0000
2,103.9171,60.8191,60819.1000
2,104.0390,60.9410,60941.0000
2,104.9827,61.8847,61884.7000
2,105.9201,62.8221,62822.1000
2,109.1931,66.0951,66095.1000
2,111.2677,68.1697,68169.7000
2,111.3367,68.2387,68238.7000
2,112.1951,69.0971,69097.1000
2,113.3663,70.2683,70268.3000
2,115.3170,72.2190,72219.0000
2,116.0147,72.9167,72916.7000
2,116.1170,73.0190,73019.0000
2,116.3860,73.2880,73288.0000
2,117.1051,74.0071,74007.1000
2,117.2872,74.1892,74189.2000
2,117.7103,74.6123,74612.3000
2,119.3008,76.2028,76202.8000
2,120.3856,77.2876,77287.6000
2,120.3901,77.2921,77292.1000
2,120.4384,77.3404,77340.4000
2,120.4508,77.3528,77352.8000
2,121.3333,78.2353,78235.3000
2,121.4026,78.3046,78304.6000
2,121.4210,78.3230,78323.0000
2,121.6591,78.5611,78561.1000
2,122.3618,79.2638,79263.8000
2,122.3809,79.2829,79282.9000
2,122.6513,79.5533,79553.3000
2,123.5019,80.4039,80403.9000
2,124.2604,81.1624,81162.4000
2,125.2183,82.1203,82120.3000
2,129.8658,86.7678,86767.8000
2,133.2331,90.1351,90135.1000
2,135.1626,92.0646,92064.6000
2,136.1661,93.0681,93068.1000
2,137.2057,94.1077,94107.7000
2,138.2496,95.1516,95151.6000
2,138.5705,95.4725,95472.5000
2,139.4087,96.3107,96310.7000
2,139.4443,96.3463,96346.3000
2,139.5630,96.4650,96465.0000
2,139.6445,96.5465,96546.5000
2,140.6131,97.5151,97515.1000
2,140.6827,97.5847,97584.7000
2,141.3782,98.2802,98280.2000
2,141.4987,98.4007,98400.7000
2,143.8325,100.7345,100734.5000
2,143.8715,100.7735,100773.5000
2,144.8075,101.7095,101709.5000
2,146.9231,103.8251,103825.1000
2,147.1319,104.0339,104033.9000
2,147.8663,104.7683,104768.3000
2,147.9558,104.8578,104857.8000
2,148.1769,105.0789,105078.9000
2,149.0026,105.9046,105904.6000
2,150.0051,106.9071,106907.1000
2,150.3436,107.2456,107245.6000
2,150.9509,107.8529,107852.9000
2,151.3685,108.2705,108270.5000
2,152.0018,108.9038,108903.8000
2,152.7461,109.6481,109648.1000
2,153.1056,110.0076,110007.6000
2,153.8357,110.7377,110737.7000
2,153.9403,110.8423,110842.3000
2,153.9820,110.8840,110884.0000
2,154.0822,110.9842,110984.2000
2,154.2769,111.1789,111178.9000
2,154.9067,111.8087,111808.7000
2,157.8976,114.7996,114799.6000
2,160.7342,117.6362,117636.2000
2,161.5156,118.4176,118417.6000
2,172.8482,129.7502,129750.2000
2,179.7983,136.7003,136700.3000
2,179.9135,136.8155,136815.5000
2,181.9814,138.8834,138883.4000
2,182.2028,139.1048,139104.8000
2,182.3441,139.2461,139246.1000
2,183.0434,139.9454,139945.4000
2,183.0732,139.9752,139975.2000
2,183.4717,140.3737,140373.7000
2,184.0755,140.9775,140977.5000
2,184.2816,141.1836,141183.6000
2,184.5546,141.4566,141456.6000
2,185.1660,142.0680,142068.0000
2,185.2246,142.1266,142126.6000
2,185.3343,142.2363,142236.3000
2,185.5711,142.4731,142473.1000
2,186.3334,143.2354,143235.4000
2,187.2222,144.1242,144124.2000
2,188.1773,145.0793,145079.3000
2,188.4219,145.3239,145323.9000
2,190.3691,147.2711,147271.1000
2,191.5365,148.4385,148438.5000
2,191.5690,148.4710,148471.0000
2,193.8978,150.7998,150799.8000
2,194.4921,151.3941,151394.1000
2,194.5506,151.4526,151452.6000
2,194.6765,151.5785,151578.5000
2,194.8217,151.7237,151723.7000
2,194.9445,151.8465,151846.5000
2,195.9528,152.8548,152854.8000
2,196.9559,153.8579,153857.9000
2,197.5561,154.4581,154458.1000
2,198.7087,155.6107,155610.7000
2,199.0359,155.9379,155937.9000
2,200.0778,156.9798,156979.8000
2,201.6144,158.5164,158516.4000
2,201.7609,158.6629,158662.9000
2,201.8058,158.7078,158707.8000
2,202.1032,159.0052,159005.2000
2,202.8993,159.8013,159801.3000
2,202.9948,159.8968,159896.8000
2,203.2104,160.1124,160112.4000
2,203.8296,160.7316,160731.6000
2,204.7750,161.6770,161677.0000
2,204.9132,161.8152,161815.2000
2,205.8268,162.7288,162728.8000
2,206.0431,162.9451,162945.1000
2,206.1205,163.0225,163022.5000
2,207.9287,164.8307,164830.7000
2,210.7834,167.6854,167685.4000
2,210.8352,167.7372,167737.2000
2,214.7898,171.6918,171691.8000
2,214.9133,171.8153,171815.3000
2,215.0648,171.9668,171966.8000
2,216.9566,173.8586,173858.6000
2,217.8880,174.7900,174790.0000
2,218.9997,175.9017,175901.7000
2,219.8621,176.7641,176764.1000
2,220.0712,176.9732,176973.2000
2,222.1263,179.0283,179028.3000
2,223.1265,180.0285,180028.5000
2,223.1672,180.0692,180069.2000
2,225.1815,182.0835,182083.5000
2,225.3093,182.2113,182211.3000
2,226.1750,183.0770,183077.0000
2,227.4836,184.3856,184385.6000
2,227.5112,184.4132,184413.2000
2,228.5029,185.4049,185404.9000
2,230.6679,187.5699,187569.9000
2,232.8929,189.7949,189794.9000
2,233.1882,190.0902,190090.2000
2,233.9876,190.8896,190889.6000
2,234.0610,190.9630,190963.0000
2,234.9726,191.8746,191874.6000
2,235.0797,191.9817,191981.7000
