units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,43.1844,0.0864,86.4000
1,43.6328,0.5348,534.8000
1,43.6844,0.5864,586.4000
1,43.8766,0.7786,778.6000
1,44.6583,1.5603,1560.3000
1,44.6619,1.5639,1563.9000
1,45.0779,1.9799,1979.9000
1,45.2587,2.1607,2160.7000
1,45.3380,2.2400,2240.0000
1,45.5694,2.4714,2471.4000
1,45.6034,2.5054,2505.4000
1,45.8120,2.7140,2714.0000
1,46.4115,3.3135,3313.5000
1,47.2451,4.1471,4147.1000
1,47.7772,4.6792,4679.2000
1,47.9752,4.8772,4877.2000
1,48.5549,5.4569,5456.9000
1,49.0007,5.9027,5902.7000
1,49.1594,6.0614,6061.4000
1,49.2592,6.1612,6161.2000
1,49.4782,6.3802,6380.2000
1,49.7879,6.6899,6689.9000
1,50.4348,7.3368,7336.8000
1,50.5348,7.4368,7436.8000
1,50.8022,7.7042,7704.2000
1,50.8124,7.7144,7714.4000
1,51.1209,8.0229,8022.9000
1,51.3193,8.2213,8221.3000
1,51.9176,8.8196,8819.6000
1,52.5461,9.4481,9448.1000
1,52.6490,9.5510,9551.0000
1,53.8604,10.7624,10762.4000
1,54.4899,11.3919,11391.9000
1,55.1853,12.0873,12087.3000
1,55.1884,12.0904,12090.4000
1,55.6893,12.5913,12591.3000
1,55.7128,12.6148,12614.8000
1,56.1429,13.0449,13044.9000
1,56.2573,13.1593,13159.3000
1,56.4449,13.3469,13346.9000
1,56.6334,13.5354,13535.4000
1,57.2320,14.1340,14134.0000
1,57.3837,14.2857,14285.7000
1,57.4209,14.3229,14322.9000
1,57.4700,14.3720,14372.0000
1,58.6316,15.5336,15533.6000
1,58.6337,15.5357,15535.7000
1,58.7110,15.6130,15613.0000
1,58.7899,15.6919,15691.9000
1,59.1491,16.0511,16051.1000
1,59.3076,16.2096,16209.6000
1,59.3991,16.3011,16301.1000
1,59.4345,16.3365,16336.5000
1,59.9274,16.8294,16829.4000
1,60.1148,17.0168,17016.8000
1,60.7735,17.6755,17675.5000
1,60.9044,17.8064,17806.4000
1,60.9244,17.8264,17826.4000
1,62.7534,19.6554,19655.4000
1,62.9442,19.8462,19846.2000
1,62.9605,19.8625,19862.5000
1,63.6898,20.5918,20591.8000
1,63.8635,20.7655,20765.5000
1,65.2526,22.1546,22154.6000
1,65.6113,22.5133,22513.3000
1,65.6517,22.5537,22553.7000
1,65.6627,22.5647,22564.7000
1,65.7211,22.6231,22623.1000
1,66.2355,23.1375,23137.5000
1,66.4606,23.3626,23362.6000
1,68.5256,25.4276,25427.6000
1,68.6013,25.5033,25503.3000
1,68.8917,25.7937,25793.7000
1,69.9007,26.8027,26802.7000
1,69.9374,26.8394,26839.4000
1,70.4584,27.3604,27360.4000
1,70.6444,27.5464,27546.4000
1,71.0973,27.9993,27999.3000
1,71.6321,28.5341,28534.1000
1,72.2309,29.1329,29132.9000
1,72.5173,29.4193,29419.3000
1,74.0345,30.9365,30936.5000
1,74.4040,31.3060,31306.0000
1,75.2687,32.1707,32170.7000
1,75.2962,32.1982,32198.2000
