units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,43.1119,0.0139,13.9000
1,43.1279,0.0299,29.9000
1,43.1463,0.0483,48.3000
1,43.2555,0.1575,157.5000
1,43.3239,0.2259,225.9000
1,43.4690,0.3710,371.0000
1,43.5839,0.4859,485.9000
1,43.6644,0.5664,566.4000
1,43.6956,0.5976,597.6000
1,43.7517,0.6537,653.7000
1,43.8314,0.7334,733.4000
1,43.8528,0.7548,754.8000
1,43.8830,0.7850,785.0000
1,43.8965,0.7985,798.5000
1,43.9735,0.8755,875.5000
1,44.0393,0.9413,941.3000
1,44.0613,0.9633,963.3000
1,44.1189,1.0209,1020.9000
1,44.1667,1.0687,1068.7000
1,44.2582,1.1602,1160.2000
1,44.3840,1.2860,1286.0000
1,44.6979,1.5999,1599.9000
1,44.7268,1.6288,1628.8000
1,44.7373,1.6393,1639.3000
1,44.7723,1.6743,1674.3000
1,44.7788,1.6808,1680.8000
1,44.7873,1.6893,1689.3000
1,44.7965,1.6985,1698.5000
1,44.8239,1.7259,1725.9000
1,44.8955,1.7975,1797.5000
1,44.9111,1.8131,1813.1000
1,44.9425,1.8445,1844.5000
1,44.9613,1.8633,1863.3000
1,45.0833,1.9853,1985.3000
1,45.3311,2.2331,2233.1000
1,45.3595,2.2615,2261.5000
1,45.3814,2.2834,2283.4000
1,45.4104,2.3124,2312.4000
1,45.5937,2.4957,2495.7000
1,45.7645,2.6665,2666.5000
1,45.8408,2.7428,2742.8000
1,45.8521,2.7541,2754.1000
1,45.8686,2.7706,2770.6000
1,45.9558,2.8578,2857.8000
1,46.0396,2.9416,2941.6000
1,46.1702,3.0722,3072.2000
1,46.2020,3.1040,3104.0000
1,46.2759,3.1779,3177.9000
1,46.4475,3.3495,3349.5000
1,46.5058,3.4078,3407.8000
1,46.5209,3.4229,3422.9000
1,46.5925,3.4945,3494.5000
1,46.7097,3.6117,3611.7000
1,46.8151,3.7171,3717.1000
1,47.0776,3.9796,3979.6000
1,47.1470,4.0490,4049.0000
1,47.1751,4.0771,4077.1000
1,47.2197,4.1217,4121.7000
1,47.2489,4.1509,4150.9000
1,47.2550,4.1570,4157.0000
1,47.2669,4.1689,4168.9000
1,47.2968,4.1988,4198.8000
1,47.3390,4.2410,4241.0000
1,47.3984,4.3004,4300.4000
1,47.5252,4.4272,4427.2000
1,47.8076,4.7096,4709.6000
1,47.9179,4.8199,4819.9000
1,48.4872,5.3892,5389.2000
1,48.6052,5.5072,5507.2000
1,48.6724,5.5744,5574.4000
1,49.1322,6.0342,6034.2000
1,49.4560,6.3580,6358.0000
1,49.6669,6.5689,6568.9000
1,49.7999,6.7019,6701.9000
1,49.8488,6.7508,6750.8000
1,49.8598,6.7618,6761.8000
1,49.9157,6.8177,6817.7000
1,50.0062,6.9082,6908.2000
1,50.1350,7.0370,7037.0000
1,50.2499,7.1519,7151.9000
1,50.2688,7.1708,7170.8000
1,50.3565,7.2585,7258.5000
1,50.4261,7.3281,7328.1000
1,50.4350,7.3370,7337.0000
1,50.4834,7.3854,7385.4000
1,50.5749,7.4769,7476.9000
1,50.6199,7.5219,7521.9000
1,50.6942,7.5962,7596.2000
1,50.7137,7.6157,7615.7000
1,50.7626,7.6646,7664.6000
1,50.7912,7.6932,7693.2000
1,50.7981,7.7001,7700.1000
1,50.8796,7.7816,7781.6000
1,50.9308,7.8328,7832.8000
1,50.9420,7.8440,7844.0000
1,50.9481,7.8501,7850.1000
1,50.9725,7.8745,7874.5000
1,50.9819,7.8839,7883.9000
1,51.0186,7.9206,7920.6000
1,51.0261,7.9281,7928.1000
1,51.0556,7.9576,7957.6000
1,51.0637,7.9657,7965.7000
1,51.0996,8.0016,8001.6000
1,51.3898,8.2918,8291.8000
1,51.9883,8.8903,8890.3000
1,52.0007,8.9027,8902.7000
1,52.1867,9.0887,9088.7000
1,52.1980,9.1000,9100.0000
1,52.2692,9.1712,9171.2000
1,52.3057,9.2077,9207.7000
1,52.3154,9.2174,9217.4000
1,52.3638,9.2658,9265.8000
1,52.3748,9.2768,9276.8000
1,52.4014,9.3034,9303.4000
1,52.4148,9.3168,9316.8000
1,52.4333,9.3353,9335.3000
1,52.5356,9.4376,9437.6000
1,52.6384,9.5404,9540.4000
1,52.7387,9.6407,9640.7000
1,52.7950,9.6970,9697.0000
1,52.9313,9.8333,9833.3000
1,53.0763,9.9783,9978.3000
1,53.1498,10.0518,10051.8000
1,53.1619,10.0639,10063.9000
1,53.1771,10.0791,10079.1000
1,53.1842,10.0862,10086.2000
1,53.2971,10.1991,10199.1000
1,53.4254,10.3274,10327.4000
1,53.4659,10.3679,10367.9000
1,53.4733,10.3753,10375.3000
1,53.4841,10.3861,10386.1000
1,53.5003,10.4023,10402.3000
1,53.5091,10.4111,10411.1000
1,53.5425,10.4445,10444.5000
1,53.5484,10.4504,10450.4000
1,53.5615,10.4635,10463.5000
1,53.6026,10.5046,10504.6000
1,53.6208,10.5228,10522.8000
1,53.7100,10.6120,10612.0000
1,53.7463,10.6483,10648.3000
1,53.7607,10.6627,10662.7000
1,53.7716,10.6736,10673.6000
1,53.9227,10.8247,10824.7000
1,54.0463,10.9483,10948.3000
1,54.0772,10.9792,10979.2000
1,54.0963,10.9983,10998.3000
1,54.4108,11.3128,11312.8000
1,54.5461,11.4481,11448.1000
1,54.5845,11.4865,11486.5000
1,54.6119,11.5139,11513.9000
1,54.6256,11.5276,11527.6000
1,54.6419,11.5439,11543.9000
1,54.6796,11.5816,11581.6000
1,54.6995,11.6015,11601.5000
1,54.7213,11.6233,11623.3000
1,54.7308,11.6328,11632.8000
1,54.7461,11.6481,11648.1000
1,54.9214,11.8234,11823.4000
1,54.9419,11.8439,11843.9000
1,54.9559,11.8579,11857.9000
1,54.9678,11.8698,11869.8000
1,55.3203,12.2223,12222.3000
1,55.4014,12.3034,12303.4000
1,55.4542,12.3562,12356.2000
1,55.4635,12.3655,12365.5000
1,55.5405,12.4425,12442.5000
1,55.5529,12.4549,12454.9000
1,55.8406,12.7426,12742.6000
1,55.8773,12.7793,12779.3000
1,56.0279,12.9299,12929.9000
1,56.1941,13.0961,13096.1000
1,56.3679,13.2699,13269.9000
1,56.4390,13.3410,13341.0000
1,56.4604,13.3624,13362.4000
1,56.4706,13.3726,13372.6000
1,56.6045,13.5065,13506.5000
1,56.8262,13.7282,13728.2000
1,56.8402,13.7422,13742.2000
1,57.4433,14.3453,14345.3000
1,57.6358,14.5378,14537.8000
1,57.7227,14.6247,14624.7000
1,57.7738,14.6758,14675.8000
1,57.8982,14.8002,14800.2000
1,58.0835,14.9855,14985.5000
1,58.1135,15.0155,15015.5000
1,58.2538,15.1558,15155.8000
1,58.4606,15.3626,15362.6000
1,59.1556,16.0576,16057.6000
1,59.1835,16.0855,16085.5000
1,59.2054,16.1074,16107.4000
1,59.2270,16.1290,16129.0000
1,59.3402,16.2422,16242.2000
1,59.3854,16.2874,16287.4000
1,59.4690,16.3710,16371.0000
1,59.5386,16.4406,16440.6000
1,59.6044,16.5064,16506.4000
1,59.6221,16.5241,16524.1000
1,59.6297,16.5317,16531.7000
1,60.3286,17.2306,17230.6000
1,60.3648,17.2668,17266.8000
1,60.4075,17.3095,17309.5000
1,60.7534,17.6554,17655.4000
1,60.8112,17.7132,17713.2000
1,60.9416,17.8436,17843.6000
1,61.0359,17.9379,17937.9000
1,61.6463,18.5483,18548.3000
1,61.8802,18.7822,18782.2000
1,62.1260,19.0280,19028.0000
1,62.5522,19.4542,19454.2000
1,62.7833,19.6853,19685.3000
1,62.8219,19.7239,19723.9000
1,62.8880,19.7900,19790.0000
1,62.9319,19.8339,19833.9000
1,62.9596,19.8616,19861.6000
1,63.0470,19.9490,19949.0000
1,63.0687,19.9707,19970.7000
1,63.0922,19.9942,19994.2000
1,63.1933,20.0953,20095.3000
1,63.2471,20.1491,20149.1000
1,63.4608,20.3628,20362.8000
1,63.5160,20.4180,20418.0000
1,63.5259,20.4279,20427.9000
1,63.5591,20.4611,20461.1000
1,63.6047,20.5067,20506.7000
1,63.6407,20.5427,20542.7000
1,63.7001,20.6021,20602.1000
1,63.9068,20.8088,20808.8000
1,64.1419,21.0439,21043.9000
1,64.2012,21.1032,21103.2000
1,64.2210,21.1230,21123.0000
1,64.2794,21.1814,21181.4000
1,64.3120,21.2140,21214.0000
1,64.3985,21.3005,21300.5000
1,64.4807,21.3827,21382.7000
1,64.6783,21.5803,21580.3000
1,65.1923,22.0943,22094.3000
1,65.4494,22.3514,22351.4000
1,65.6603,22.5623,22562.3000
1,65.6888,22.5908,22590.8000
1,65.7184,22.6204,22620.4000
1,65.8047,22.7067,22706.7000
1,65.8705,22.7725,22772.5000
1,65.9022,22.8042,22804.2000
1,66.0388,22.9408,22940.8000
1,66.0918,22.9938,22993.8000
1,66.3036,23.2056,23205.6000
1,66.5167,23.4187,23418.7000
1,66.5612,23.4632,23463.2000
1,66.5962,23.4982,23498.2000
1,67.8307,24.7327,24732.7000
1,67.9159,24.8179,24817.9000
1,68.0446,24.9466,24946.6000
1,68.2436,25.1456,25145.6000
1,68.2582,25.1602,25160.2000
1,68.2650,25.1670,25167.0000
1,68.3299,25.2319,25231.9000
1,68.3766,25.2786,25278.6000
1,68.5395,25.4415,25441.5000
1,68.6188,25.5208,25520.8000
1,68.6628,25.5648,25564.8000
1,68.6756,25.5776,25577.6000
1,68.7447,25.6467,25646.7000
1,68.7852,25.6872,25687.2000
1,68.8318,25.7338,25733.8000
1,68.8473,25.7493,25749.3000
1,68.8563,25.7583,25758.3000
1,68.8869,25.7889,25788.9000
1,68.8947,25.7967,25796.7000
1,68.9527,25.8547,25854.7000
1,68.9812,25.8832,25883.2000
1,69.3164,26.2184,26218.4000
1,69.3440,26.2460,26246.0000
1,69.3521,26.2541,26254.1000
1,69.3764,26.2784,26278.4000
1,69.3867,26.2887,26288.7000
1,69.4142,26.3162,26316.2000
1,69.4374,26.3394,26339.4000
1,69.4529,26.3549,26354.9000
1,69.4646,26.3666,26366.6000
1,69.4808,26.3828,26382.8000
1,69.6118,26.5138,26513.8000
1,69.6868,26.5888,26588.8000
1,69.8762,26.7782,26778.2000
1,70.0070,26.9090,26909.0000
1,70.0844,26.9864,26986.4000
1,70.1366,27.0386,27038.6000
1,70.2804,27.1824,27182.4000
1,70.3104,27.2124,27212.4000
1,70.5549,27.4569,27456.9000
1,70.5983,27.5003,27500.3000
1,70.6376,27.5396,27539.6000
1,70.7100,27.6120,27612.0000
1,70.7405,27.6425,27642.5000
1,70.7687,27.6707,27670.7000
1,71.0694,27.9714,27971.4000
1,71.2423,28.1443,28144.3000
1,71.4997,28.4017,28401.7000
1,71.6355,28.5375,28537.5000
1,71.8663,28.7683,28768.3000
1,72.3631,29.2651,29265.1000
1,72.3789,29.2809,29280.9000
1,72.4453,29.3473,29347.3000
1,72.5519,29.4539,29453.9000
1,72.7045,29.6065,29606.5000
1,72.7618,29.6638,29663.8000
1,72.7895,29.6915,29691.5000
1,72.8114,29.7134,29713.4000
1,73.1675,30.0695,30069.5000
1,73.4245,30.3265,30326.5000
1,73.7878,30.6898,30689.8000
1,73.8361,30.7381,30738.1000
1,74.3143,31.2163,31216.3000
1,74.3315,31.2335,31233.5000
1,74.3617,31.2637,31263.7000
1,74.4179,31.3199,31319.9000
1,74.4283,31.3303,31330.3000
1,74.5351,31.4371,31437.1000
1,74.6557,31.5577,31557.7000
1,74.7365,31.6385,31638.5000
1,74.7927,31.6947,31694.7000
1,74.8118,31.7138,31713.8000
1,74.9454,31.8474,31847.4000
1,75.3460,32.2480,32248.0000
1,75.3796,32.2816,32281.6000
1,75.4187,32.3207,32320.7000
1,75.4779,32.3799,32379.9000
1,75.6168,32.5188,32518.8000
1,75.6648,32.5668,32566.8000
1,75.7566,32.6586,32658.6000
1,75.7710,32.6730,32673.0000
1,75.7775,32.6795,32679.5000
1,75.8128,32.7148,32714.8000
1,75.8761,32.7781,32778.1000
1,75.9117,32.8137,32813.7000
1,75.9222,32.8242,32824.2000
1,75.9444,32.8464,32846.4000
1,76.0341,32.9361,32936.1000
1,76.1914,33.0934,33093.4000
1,76.2997,33.2017,33201.7000
1,76.3889,33.2909,33290.9000
1,76.4093,33.3113,33311.3000
1,76.4541,33.3561,33356.1000
1,76.4769,33.3789,33378.9000
1,76.4957,33.3977,33397.7000
1,76.5493,33.4513,33451.3000
1,76.5636,33.4656,33465.6000
1,76.5751,33.4771,33477.1000
1,76.5848,33.4868,33486.8000
1,76.6076,33.5096,33509.6000
1,76.7155,33.6175,33617.5000
1,77.2408,34.1428,34142.8000
1,77.2538,34.1558,34155.8000
1,77.3249,34.2269,34226.9000
1,77.3346,34.2366,34236.6000
1,77.4209,34.3229,34322.9000
1,77.4277,34.3297,34329.7000
1,77.4389,34.3409,34340.9000
1,77.4496,34.3516,34351.6000
1,77.4652,34.3672,34367.2000
1,77.4734,34.3754,34375.4000
1,77.5062,34.4082,34408.2000
1,77.5492,34.4512,34451.2000
1,77.6009,34.5029,34502.9000
1,77.6301,34.5321,34532.1000
1,77.6388,34.5408,34540.8000
1,77.6532,34.5552,34555.2000
1,77.6662,34.5682,34568.2000
1,77.6984,34.6004,34600.4000
1,77.7331,34.6351,34635.1000
1,77.7394,34.6414,34641.4000
1,77.7594,34.6614,34661.4000
1,77.7688,34.6708,34670.8000
1,77.7865,34.6885,34688.5000
1,77.7991,34.7011,34701.1000
1,77.8329,34.7349,34734.9000
1,77.8507,34.7527,34752.7000
1,77.8569,34.7589,34758.9000
1,77.8811,34.7831,34783.1000
1,77.8915,34.7935,34793.5000
1,77.9552,34.8572,34857.2000
1,77.9850,34.8870,34887.0000
1,78.1499,35.0519,35051.9000
1,78.2850,35.1870,35187.0000
1,78.3564,35.2584,35258.4000
1,78.4545,35.3565,35356.5000
1,78.4901,35.3921,35392.1000
1,78.5691,35.4711,35471.1000
1,78.6000,35.5020,35502.0000
1,78.7383,35.6403,35640.3000
1,78.9353,35.8373,35837.3000
1,78.9902,35.8922,35892.2000
1,79.5882,36.4902,36490.2000
1,79.6467,36.5487,36548.7000
1,79.6650,36.5670,36567.0000
1,79.6801,36.5821,36582.1000
1,79.7146,36.6166,36616.6000
1,79.7205,36.6225,36622.5000
1,79.7961,36.6981,36698.1000
1,79.8063,36.7083,36708.3000
1,79.8675,36.7695,36769.5000
1,79.9077,36.8097,36809.7000
1,79.9165,36.8185,36818.5000
1,79.9347,36.8367,36836.7000
1,80.0018,36.9038,36903.8000
1,80.0282,36.9302,36930.2000
1,80.1242,37.0262,37026.2000
1,80.1710,37.0730,37073.0000
1,80.2491,37.1511,37151.1000
1,80.4301,37.3321,37332.1000
1,80.5394,37.4414,37441.4000
1,80.5757,37.4777,37477.7000
1,80.6213,37.5233,37523.3000
1,80.6348,37.5368,37536.8000
1,80.7009,37.6029,37602.9000
1,80.7307,37.6327,37632.7000
1,80.7735,37.6755,37675.5000
1,80.7963,37.6983,37698.3000
1,80.8246,37.7266,37726.6000
1,80.8383,37.7403,37740.3000
1,80.8458,37.7478,37747.8000
1,80.8572,37.7592,37759.2000
1,80.8733,37.7753,37775.3000
1,80.8861,37.7881,37788.1000
1,80.9006,37.8026,37802.6000
1,80.9374,37.8394,37839.4000
1,80.9623,37.8643,37864.3000
1,80.9706,37.8726,37872.6000
1,81.0019,37.9039,37903.9000
1,81.0549,37.9569,37956.9000
1,81.4032,38.3052,38305.2000
1,81.4197,38.3217,38321.7000
1,81.5659,38.4679,38467.9000
1,81.6957,38.5977,38597.7000
1,81.8562,38.7582,38758.2000
1,81.9772,38.8792,38879.2000
1,81.9910,38.8930,38893.0000
1,82.0800,38.9820,38982.0000
1,82.1815,39.0835,39083.5000
1,82.2277,39.1297,39129.7000
1,82.2827,39.1847,39184.7000
1,82.3437,39.2457,39245.7000
1,82.3663,39.2683,39268.3000
1,82.3772,39.2792,39279.2000
1,82.4172,39.3192,39319.2000
1,82.5173,39.4193,39419.3000
1,82.5311,39.4331,39433.1000
1,82.5557,39.4577,39457.7000
1,82.8302,39.7322,39732.2000
1,82.8463,39.7483,39748.3000
1,82.8693,39.7713,39771.3000
1,83.1892,40.0912,40091.2000
1,83.2604,40.1624,40162.4000
1,83.3561,40.2581,40258.1000
1,83.6993,40.6013,40601.3000
1,83.7985,40.7005,40700.5000
1,83.8480,40.7500,40750.0000
1,83.9271,40.8291,40829.1000
1,83.9897,40.8917,40891.7000
1,84.0264,40.9284,40928.4000
1,84.1231,41.0251,41025.1000
1,84.2912,41.1932,41193.2000
1,84.6307,41.5327,41532.7000
1,84.8772,41.7792,41779.2000
1,84.9428,41.8448,41844.8000
1,84.9933,41.8953,41895.3000
1,85.0066,41.9086,41908.6000
1,85.0647,41.9667,41966.7000
1,85.1722,42.0742,42074.2000
1,85.2219,42.1239,42123.9000
1,85.2383,42.1403,42140.3000
1,85.3338,42.2358,42235.8000
1,85.3498,42.2518,42251.8000
1,85.3917,42.2937,42293.7000
1,85.4097,42.3117,42311.7000
1,85.4285,42.3305,42330.5000
1,85.5139,42.4159,42415.9000
1,85.7289,42.6309,42630.9000
1,85.7664,42.6684,42668.4000
1,85.8320,42.7340,42734.0000
1,85.8516,42.7536,42753.6000
1,86.2632,43.1652,43165.2000
1,86.3454,43.2474,43247.4000
1,86.3643,43.2663,43266.3000
1,86.4037,43.3057,43305.7000
1,86.4568,43.3588,43358.8000
1,86.5079,43.4099,43409.9000
1,86.5533,43.4553,43455.3000
1,86.5952,43.4972,43497.2000
1,86.7315,43.6335,43633.5000
1,86.7461,43.6481,43648.1000
1,86.8254,43.7274,43727.4000
1,86.8475,43.7495,43749.5000
1,87.1101,44.0121,44012.1000
1,87.3089,44.2109,44210.9000
1,87.3272,44.2292,44229.2000
1,87.4058,44.3078,44307.8000
1,87.4936,44.3956,44395.6000
1,87.5045,44.4065,44406.5000
1,87.6817,44.5837,44583.7000
1,87.7047,44.6067,44606.7000
1,87.7184,44.6204,44620.4000
1,87.7599,44.6619,44661.9000
1,87.7754,44.6774,44677.4000
1,87.8056,44.7076,44707.6000
1,87.8214,44.7234,44723.4000
1,87.8438,44.7458,44745.8000
1,87.9449,44.8469,44846.9000
1,87.9876,44.8896,44889.6000
1,88.0244,44.9264,44926.4000
1,88.0328,44.9348,44934.8000
1,88.2267,45.1287,45128.7000
1,88.5393,45.4413,45441.3000
1,88.5674,45.4694,45469.4000
1,88.8362,45.7382,45738.2000
1,89.0529,45.9549,45954.9000
1,89.2144,46.1164,46116.4000
1,89.4252,46.3272,46327.2000
1,89.4725,46.3745,46374.5000
1,89.4906,46.3926,46392.6000
1,89.5444,46.4464,46446.4000
1,89.6140,46.5160,46516.0000
1,89.6447,46.5467,46546.7000
1,89.6533,46.5553,46555.3000
1,89.6605,46.5625,46562.5000
1,89.6794,46.5814,46581.4000
1,89.6982,46.6002,46600.2000
1,89.7307,46.6327,46632.7000
1,89.8283,46.7303,46730.3000
1,89.9801,46.8821,46882.1000
1,90.0966,46.9986,46998.6000
1,90.1107,47.0127,47012.7000
1,90.1947,47.0967,47096.7000
1,90.2581,47.1601,47160.1000
1,90.2688,47.1708,47170.8000
1,90.3885,47.2905,47290.5000
1,90.4387,47.3407,47340.7000
1,90.4636,47.3656,47365.6000
1,90.6635,47.5655,47565.5000
1,90.6993,47.6013,47601.3000
1,90.7234,47.6254,47625.4000
1,90.7409,47.6429,47642.9000
1,90.7884,47.6904,47690.4000
1,90.8068,47.7088,47708.8000
1,90.8297,47.7317,47731.7000
1,90.8517,47.7537,47753.7000
1,90.8592,47.7612,47761.2000
1,91.0067,47.9087,47908.7000
1,91.0488,47.9508,47950.8000
1,91.0558,47.9578,47957.8000
1,91.0646,47.9666,47966.6000
1,91.0847,47.9867,47986.7000
1,91.0905,47.9925,47992.5000
1,91.1082,48.0102,48010.2000
1,91.1336,48.0356,48035.6000
1,91.1490,48.0510,48051.0000
1,91.1600,48.0620,48062.0000
1,91.1709,48.0729,48072.9000
1,91.1856,48.0876,48087.6000
1,91.2099,48.1119,48111.9000
1,91.2281,48.1301,48130.1000
1,91.2480,48.1500,48150.0000
1,91.2626,48.1646,48164.6000
1,91.7085,48.6105,48610.5000
1,91.9362,48.8382,48838.2000
1,91.9900,48.8920,48892.0000
1,92.2153,49.1173,49117.3000
1,92.2897,49.1917,49191.7000
1,92.3837,49.2857,49285.7000
1,92.4281,49.3301,49330.1000
1,92.8359,49.7379,49737.9000
1,92.9009,49.8029,49802.9000
1,92.9427,49.8447,49844.7000
1,93.3787,50.2807,50280.7000
1,93.9052,50.8072,50807.2000
1,94.0376,50.9396,50939.6000
1,94.0993,51.0013,51001.3000
1,94.1499,51.0519,51051.9000
1,94.4103,51.3123,51312.3000
1,94.4852,51.3872,51387.2000
1,94.5344,51.4364,51436.4000
1,94.6266,51.5286,51528.6000
1,94.8377,51.7397,51739.7000
1,94.9302,51.8322,51832.2000
1,94.9526,51.8546,51854.6000
1,94.9999,51.9019,51901.9000
1,95.1321,52.0341,52034.1000
1,95.5755,52.4775,52477.5000
1,95.6959,52.5979,52597.9000
1,95.8253,52.7273,52727.3000
1,95.9310,52.8330,52833.0000
1,96.0203,52.9223,52922.3000
1,96.0451,52.9471,52947.1000
1,96.0666,52.9686,52968.6000
1,96.2180,53.1200,53120.0000
1,96.2348,53.1368,53136.8000
1,96.2425,53.1445,53144.5000
1,96.2694,53.1714,53171.4000
1,96.3854,53.2874,53287.4000
1,96.4992,53.4012,53401.2000
1,96.5680,53.4700,53470.0000
1,96.7588,53.6608,53660.8000
1,96.9281,53.8301,53830.1000
1,97.0281,53.9301,53930.1000
1,97.0886,53.9906,53990.6000
1,97.1647,54.0667,54066.7000
1,97.1812,54.0832,54083.2000
1,97.4833,54.3853,54385.3000
1,97.6439,54.5459,54545.9000
1,98.1419,55.0439,55043.9000
1,98.2117,55.1137,55113.7000
1,98.2572,55.1592,55159.2000
1,98.2899,55.1919,55191.9000
1,98.3623,55.2643,55264.3000
1,98.4125,55.3145,55314.5000
1,98.4488,55.3508,55350.8000
1,98.5406,55.4426,55442.6000
1,98.5839,55.4859,55485.9000
1,98.7986,55.7006,55700.6000
1,98.8292,55.7312,55731.2000
1,98.8696,55.7716,55771.6000
1,98.9239,55.8259,55825.9000
1,99.0310,55.9330,55933.0000
1,99.1325,56.0345,56034.5000
1,99.2000,56.1020,56102.0000
1,99.7211,56.6231,56623.1000
1,99.7557,56.6577,56657.7000
1,99.8376,56.7396,56739.6000
1,99.8561,56.7581,56758.1000
1,100.0716,56.9736,56973.6000
1,100.2129,57.1149,57114.9000
1,100.2436,57.1456,57145.6000
1,100.2659,57.1679,57167.9000
1,100.5434,57.4454,57445.4000
1,100.6344,57.5364,57536.4000
1,100.9547,57.8567,57856.7000
1,101.1193,58.0213,58021.3000
1,101.5008,58.4028,58402.8000
1,101.7091,58.6111,58611.1000
1,101.8344,58.7364,58736.4000
1,102.0072,58.9092,58909.2000
1,102.1888,59.0908,59090.8000
1,102.2062,59.1082,59108.2000
1,102.2335,59.1355,59135.5000
1,102.2520,59.1540,59154.0000
1,102.4593,59.3613,59361.3000
1,102.5442,59.4462,59446.2000
1,102.8140,59.7160,59716.0000
1,102.8510,59.7530,59753.0000
1,103.1374,60.0394,60039.4000
1,103.2693,60.1713,60171.3000
1,103.2998,60.2018,60201.8000
1,103.4686,60.3706,60370.6000
1,103.5416,60.4436,60443.6000
1,103.6810,60.5830,60583.0000
1,103.7965,60.6985,60698.5000
1,103.9006,60.8026,60802.6000
1,104.0113,60.9133,60913.3000
1,104.0416,60.9436,60943.6000
1,104.1528,61.0548,61054.8000
1,104.3081,61.2101,61210.1000
1,104.6302,61.5322,61532.2000
1,104.9724,61.8744,61874.4000
1,105.0793,61.9813,61981.3000
1,105.1435,62.0455,62045.5000
1,105.2129,62.1149,62114.9000
1,105.2504,62.1524,62152.4000
1,105.3166,62.2186,62218.6000
1,105.4451,62.3471,62347.1000
1,105.8569,62.7589,62758.9000
1,106.2465,63.1485,63148.5000
1,106.4253,63.3273,63327.3000
1,106.4673,63.3693,63369.3000
1,106.6491,63.5511,63551.1000
1,106.7046,63.6066,63606.6000
1,106.8437,63.7457,63745.7000
1,108.0285,64.9305,64930.5000
1,108.2856,65.1876,65187.6000
1,108.3915,65.2935,65293.5000
1,108.5076,65.4096,65409.6000
1,108.6009,65.5029,65502.9000
1,108.6889,65.5909,65590.9000
1,108.7705,65.6725,65672.5000
1,108.8178,65.7198,65719.8000
1,108.8787,65.7807,65780.7000
1,108.8988,65.8008,65800.8000
1,109.0769,65.9789,65978.9000
1,109.1051,66.0071,66007.1000
1,109.5184,66.4204,66420.4000
1,109.9000,66.8020,66802.0000
1,110.0015,66.9035,66903.5000
1,110.0666,66.9686,66968.6000
1,110.0880,66.9900,66990.0000
1,110.1590,67.0610,67061.0000
1,110.5951,67.4971,67497.1000
1,110.6829,67.5849,67584.9000
1,110.7742,67.6762,67676.2000
1,110.7998,67.7018,67701.8000
1,111.2196,68.1216,68121.6000
1,111.4639,68.3659,68365.9000
1,111.5151,68.4171,68417.1000
1,111.5556,68.4576,68457.6000
1,111.5772,68.4792,68479.2000
1,111.7225,68.6245,68624.5000
1,111.7549,68.6569,68656.9000
1,111.7760,68.6780,68678.0000
1,111.8621,68.7641,68764.1000
1,111.9600,68.8620,68862.0000
1,112.0561,68.9581,68958.1000
1,112.0973,68.9993,68999.3000
1,112.2380,69.1400,69140.0000
1,112.3834,69.2854,69285.4000
1,112.4746,69.3766,69376.6000
1,112.5820,69.4840,69484.0000
1,112.8040,69.7060,69706.0000
1,112.8658,69.7678,69767.8000
1,112.8803,69.7823,69782.3000
1,112.9330,69.8350,69835.0000
1,112.9804,69.8824,69882.4000
1,113.0748,69.9768,69976.8000
1,113.1798,70.0818,70081.8000
1,113.1966,70.0986,70098.6000
1,113.2136,70.1156,70115.6000
1,113.4203,70.3223,70322.3000
1,113.9305,70.8325,70832.5000
1,114.2120,71.1140,71114.0000
1,114.4335,71.3355,71335.5000
1,114.4683,71.3703,71370.3000
1,114.4858,71.3878,71387.8000
1,114.4921,71.3941,71394.1000
1,114.5378,71.4398,71439.8000
1,114.5954,71.4974,71497.4000
1,114.7412,71.6432,71643.2000
1,114.8475,71.7495,71749.5000
1,114.9217,71.8237,71823.7000
1,114.9395,71.8415,71841.5000
1,114.9988,71.9008,71900.8000
1,115.0319,71.9339,71933.9000
1,115.0690,71.9710,71971.0000
1,115.0980,72.0000,72000.0000
1,115.1093,72.0113,72011.3000
