units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,2050.5590,2007.4610,2007461.0000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,14.0000,0.0140
1,2050.5951,2007.4971,2007497.1000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,50.1000,0.0501
1,2050.6479,2007.5499,2007549.9000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,102.9000,0.1029
1,2050.6870,2007.5890,2007589.0000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,142.0000,0.1420
1,2050.7564,2007.6584,2007658.4000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,211.4000,0.2114
1,2050.7979,2007.6999,2007699.9000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,252.9000,0.2529
1,2050.8537,2007.7557,2007755.7000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,308.7000,0.3087
1,2050.8808,2007.7828,2007782.8000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,335.8000,0.3358
1,2050.9238,2007.8258,2007825.8000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,378.8000,0.3788
1,2050.9628,2007.8648,2007864.8000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,417.8000,0.4178
1,2051.0369,2007.9389,2007938.9000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,491.9000,0.4919
1,2051.0764,2007.9784,2007978.4000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,531.4000,0.5314
1,2051.0791,2007.9811,2007981.1000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,534.1000,0.5341
1,2051.1637,2008.0657,2008065.7000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,618.7000,0.6187
1,2051.2301,2008.1321,2008132.1000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,685.1000,0.6851
1,2051.3062,2008.2082,2008208.2000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,761.2000,0.7612
1,2051.4093,2008.3113,2008311.3000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,864.3000,0.8643
1,2051.4929,2008.3949,2008394.9000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,947.9000,0.9479
1,2051.5016,2008.4036,2008403.6000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,956.6000,0.9566
1,2051.5637,2008.4657,2008465.7000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,1018.7000,1.0187
1,2051.6556,2008.5576,2008557.6000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,1110.6000,1.1106
1,2051.7687,2008.6707,2008670.7000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,1223.7000,1.2237
1,2051.8524,2008.7544,2008754.4000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,1307.4000,1.3074
1,1878.8909,1835.7929,1835792.9000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,49.9000,0.0499
1,1878.9654,1835.8674,1835867.4000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,124.4000,0.1244
1,1878.9826,1835.8846,1835884.6000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,141.6000,0.1416
1,1879.0630,1835.9650,1835965.0000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,222.0000,0.2220
1,1879.1214,1836.0234,1836023.4000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,280.4000,0.2804
1,1879.2007,1836.1027,1836102.7000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,359.7000,0.3597
1,1879.2910,1836.1930,1836193.0000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,450.0000,0.4500
1,1879.3753,1836.2773,1836277.3000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,534.3000,0.5343
1,1879.4458,1836.3478,1836347.8000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,604.8000,0.6048
1,1879.5442,1836.4462,1836446.2000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,703.2000,0.7032
1,1879.6465,1836.5485,1836548.5000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,805.5000,0.8055
1,1879.7040,1836.6060,1836606.0000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,863.0000,0.8630
1,1879.7707,1836.6727,1836672.7000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,929.7000,0.9297
1,1879.8507,1836.7527,1836752.7000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,1009.7000,1.0097
1,1879.9970,1836.8990,1836899.0000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,1156.0000,1.1560
1,1880.1588,1837.0608,1837060.8000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,1317.8000,1.3178
1,1880.2278,1837.1298,1837129.8000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,1386.8000,1.3868
1,1880.3257,1837.2277,1837227.7000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,1484.7000,1.4847
1,1880.4337,1837.3357,1837335.7000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,1592.7000,1.5927
1,1880.4936,1837.3956,1837395.6000,2,1.0-1835743-1837446,758.0000,1.0000,1,1,True,1835743.0000,1837446.0000,1652.6000,1.6526
1,562.5544,519.4564,519456.4000,3,1.0-519321-520724,264.0000,1.0000,0,58,True,519321.0000,520724.0000,135.4000,0.1354
1,562.5786,519.4806,519480.6000,3,1.0-519321-520724,264.0000,1.0000,0,58,True,519321.0000,520724.0000,159.6000,0.1596
1,562.6911,519.5931,519593.1000,3,1.0-519321-520724,264.0000,1.0000,0,58,True,519321.0000,520724.0000,272.1000,0.2721
1,562.7914,519.6934,519693.4000,3,1.0-519321-520724,264.0000,1.0000,0,58,True,519321.0000,520724.0000,372.4000,0.3724
1,562.8733,519.7753,519775.3000,3,1.0-519321-520724,264.0000,1.0000,0,58,True,519321.0000,520724.0000,454.3000,0.4543
1,562.9608,519.8628,519862.8000,3,1.0-519321-520724,264.0000,1.0000,0,58,True,519321.0000,520724.0000,541.8000,0.5418
1,563.1308,520.0328,520032.8000,3,1.0-519321-520724,264.0000,1.0000,0,58,True,519321.0000,520724.0000,711.8000,0.7118
1,563.3260,520.2280,520228.0000,3,1.0-519321-520724,264.0000,1.0000,0,58,True,519321.0000,520724.0000,907.0000,0.9070
1,563.5422,520.4442,520444.2000,3,1.0-519321-520724,264.0000,1.0000,0,58,True,519321.0000,520724.0000,1123.2000,1.1232
1,563.6979,520.5999,520599.9000,3,1.0-519321-520724,264.0000,1.0000,0,58,True,519321.0000,520724.0000,1278.9000,1.2789
1,886.6126,843.5146,843514.6000,4,1.0-842623-844594,368.0000,1.0000,1,2,True,842623.0000,844594.0000,891.6000,0.8916
1,886.8776,843.7796,843779.6000,4,1.0-842623-844594,368.0000,1.0000,1,2,True,842623.0000,844594.0000,1156.6000,1.1566
1,887.1470,844.0490,844049.0000,4,1.0-842623-844594,368.0000,1.0000,1,2,True,842623.0000,844594.0000,1426.0000,1.4260
1,887.6679,844.5699,844569.9000,4,1.0-842623-844594,368.0000,1.0000,1,2,True,842623.0000,844594.0000,1946.9000,1.9469
1,739.7126,696.6146,696614.6000,5,1.0-696503-698139,326.0000,1.0000,0,59,True,696503.0000,698139.0000,111.6000,0.1116
1,739.8816,696.7836,696783.6000,5,1.0-696503-698139,326.0000,1.0000,0,59,True,696503.0000,698139.0000,280.6000,0.2806
1,739.9625,696.8645,696864.5000,5,1.0-696503-698139,326.0000,1.0000,0,59,True,696503.0000,698139.0000,361.5000,0.3615
1,740.0590,696.9610,696961.0000,5,1.0-696503-698139,326.0000,1.0000,0,59,True,696503.0000,698139.0000,458.0000,0.4580
1,740.1683,697.0703,697070.3000,5,1.0-696503-698139,326.0000,1.0000,0,59,True,696503.0000,698139.0000,567.3000,0.5673
1,740.3634,697.2654,697265.4000,5,1.0-696503-698139,326.0000,1.0000,0,59,True,696503.0000,698139.0000,762.4000,0.7624
1,740.5017,697.4037,697403.7000,5,1.0-696503-698139,326.0000,1.0000,0,59,True,696503.0000,698139.0000,900.7000,0.9007
1,740.8784,697.7804,697780.4000,5,1.0-696503-698139,326.0000,1.0000,0,59,True,696503.0000,698139.0000,1277.4000,1.2774
1,740.9920,697.8940,697894.0000,5,1.0-696503-698139,326.0000,1.0000,0,59,True,696503.0000,698139.0000,1391.0000,1.3910
1,741.0872,697.9892,697989.2000,5,1.0-696503-698139,326.0000,1.0000,0,59,True,696503.0000,698139.0000,1486.2000,1.4862
1,132.0673,88.9693,88969.3000,6,1.0-88875-90545,51.0000,1.0000,1,3,True,88875.0000,90545.0000,94.3000,0.0943
1,132.2361,89.1381,89138.1000,6,1.0-88875-90545,51.0000,1.0000,1,3,True,88875.0000,90545.0000,263.1000,0.2631
1,132.3861,89.2881,89288.1000,6,1.0-88875-90545,51.0000,1.0000,1,3,True,88875.0000,90545.0000,413.1000,0.4131
1,132.5524,89.4544,89454.4000,6,1.0-88875-90545,51.0000,1.0000,1,3,True,88875.0000,90545.0000,579.4000,0.5794
1,132.9564,89.8584,89858.4000,6,1.0-88875-90545,51.0000,1.0000,1,3,True,88875.0000,90545.0000,983.4000,0.9834
1,133.1584,90.0604,90060.4000,6,1.0-88875-90545,51.0000,1.0000,1,3,True,88875.0000,90545.0000,1185.4000,1.1854
1,133.2814,90.1834,90183.4000,6,1.0-88875-90545,51.0000,1.0000,1,3,True,88875.0000,90545.0000,1308.4000,1.3084
1,133.3742,90.2762,90276.2000,6,1.0-88875-90545,51.0000,1.0000,1,3,True,88875.0000,90545.0000,1401.2000,1.4012
1,133.6201,90.5221,90522.1000,6,1.0-88875-90545,51.0000,1.0000,1,3,True,88875.0000,90545.0000,1647.1000,1.6471
1,2394.7379,2351.6399,2351639.9000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,15.9000,0.0159
1,2394.7922,2351.6942,2351694.2000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,70.2000,0.0702
1,2394.8954,2351.7974,2351797.4000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,173.4000,0.1734
1,2394.9533,2351.8553,2351855.3000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,231.3000,0.2313
1,2394.9992,2351.9012,2351901.2000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,277.2000,0.2772
1,2395.0355,2351.9375,2351937.5000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,313.5000,0.3135
1,2395.0590,2351.9610,2351961.0000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,337.0000,0.3370
1,2395.1245,2352.0265,2352026.5000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,402.5000,0.4025
1,2395.1694,2352.0714,2352071.4000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,447.4000,0.4474
1,2395.2362,2352.1382,2352138.2000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,514.2000,0.5142
1,2395.3054,2352.2074,2352207.4000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,583.4000,0.5834
1,2395.3557,2352.2577,2352257.7000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,633.7000,0.6337
1,2395.3926,2352.2946,2352294.6000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,670.6000,0.6706
1,2395.4297,2352.3317,2352331.7000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,707.7000,0.7077
1,2395.5049,2352.4069,2352406.9000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,782.9000,0.7829
1,2395.5269,2352.4289,2352428.9000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,804.9000,0.8049
1,2395.6257,2352.5277,2352527.7000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,903.7000,0.9037
1,2395.6707,2352.5727,2352572.7000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,948.7000,0.9487
1,2395.6902,2352.5922,2352592.2000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,968.2000,0.9682
1,2395.7114,2352.6134,2352613.4000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,989.4000,0.9894
1,2395.7915,2352.6935,2352693.5000,7,1.0-2351624-2352759,964.0000,1.0000,1,4,True,2351624.0000,2352759.0000,1069.5000,1.0695
1,351.3811,308.2831,308283.1000,8,1.0-308206-310611,173.0000,1.0000,1,5,True,308206.0000,310611.0000,77.1000,0.0771
1,351.4537,308.3557,308355.7000,8,1.0-308206-310611,173.0000,1.0000,1,5,True,308206.0000,310611.0000,149.7000,0.1497
1,351.5210,308.4230,308423.0000,8,1.0-308206-310611,173.0000,1.0000,1,5,True,308206.0000,310611.0000,217.0000,0.2170
1,351.6718,308.5738,308573.8000,8,1.0-308206-310611,173.0000,1.0000,1,5,True,308206.0000,310611.0000,367.8000,0.3678
1,351.6858,308.5878,308587.8000,8,1.0-308206-310611,173.0000,1.0000,1,5,True,308206.0000,310611.0000,381.8000,0.3818
1,351.7546,308.6566,308656.6000,8,1.0-308206-310611,173.0000,1.0000,1,5,True,308206.0000,310611.0000,450.6000,0.4506
1,351.8470,308.7490,308749.0000,8,1.0-308206-310611,173.0000,1.0000,1,5,True,308206.0000,310611.0000,543.0000,0.5430
1,351.9242,308.8262,308826.2000,8,1.0-308206-310611,173.0000,1.0000,1,5,True,308206.0000,310611.0000,620.2000,0.6202
1,352.0094,308.9114,308911.4000,8,1.0-308206-310611,173.0000,1.0000,1,5,True,308206.0000,310611.0000,705.4000,0.7054
1,353.1642,310.0662,310066.2000,8,1.0-308206-310611,173.0000,1.0000,1,5,True,308206.0000,310611.0000,1860.2000,1.8602
1,253.8132,210.7152,210715.2000,9,1.0-210147-212351,126.0000,1.0000,1,6,True,210147.0000,212351.0000,568.2000,0.5682
1,253.9041,210.8061,210806.1000,9,1.0-210147-212351,126.0000,1.0000,1,6,True,210147.0000,212351.0000,659.1000,0.6591
1,254.0124,210.9144,210914.4000,9,1.0-210147-212351,126.0000,1.0000,1,6,True,210147.0000,212351.0000,767.4000,0.7674
1,254.0651,210.9671,210967.1000,9,1.0-210147-212351,126.0000,1.0000,1,6,True,210147.0000,212351.0000,820.1000,0.8201
1,254.1253,211.0273,211027.3000,9,1.0-210147-212351,126.0000,1.0000,1,6,True,210147.0000,212351.0000,880.3000,0.8803
1,254.7139,211.6159,211615.9000,9,1.0-210147-212351,126.0000,1.0000,1,6,True,210147.0000,212351.0000,1468.9000,1.4689
1,254.7750,211.6770,211677.0000,9,1.0-210147-212351,126.0000,1.0000,1,6,True,210147.0000,212351.0000,1530.0000,1.5300
1,254.9141,211.8161,211816.1000,9,1.0-210147-212351,126.0000,1.0000,1,6,True,210147.0000,212351.0000,1669.1000,1.6691
1,254.9950,211.8970,211897.0000,9,1.0-210147-212351,126.0000,1.0000,1,6,True,210147.0000,212351.0000,1750.0000,1.7500
1,255.0964,211.9984,211998.4000,9,1.0-210147-212351,126.0000,1.0000,1,6,True,210147.0000,212351.0000,1851.4000,1.8514
1,255.3689,212.2709,212270.9000,9,1.0-210147-212351,126.0000,1.0000,1,6,True,210147.0000,212351.0000,2123.9000,2.1239
1,1491.3586,1448.2606,1448260.6000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,13.6000,0.0136
1,1491.4372,1448.3392,1448339.2000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,92.2000,0.0922
1,1491.5568,1448.4588,1448458.8000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,211.8000,0.2118
1,1491.6296,1448.5316,1448531.6000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,284.6000,0.2846
1,1491.7037,1448.6057,1448605.7000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,358.7000,0.3587
1,1491.7707,1448.6727,1448672.7000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,425.7000,0.4257
1,1491.8245,1448.7265,1448726.5000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,479.5000,0.4795
1,1491.8579,1448.7599,1448759.9000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,512.9000,0.5129
1,1491.9648,1448.8668,1448866.8000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,619.8000,0.6198
1,1492.0502,1448.9522,1448952.2000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,705.2000,0.7052
1,1492.1095,1449.0115,1449011.5000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,764.5000,0.7645
1,1492.1888,1449.0908,1449090.8000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,843.8000,0.8438
1,1492.2790,1449.1810,1449181.0000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,934.0000,0.9340
1,1492.3567,1449.2587,1449258.7000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,1011.7000,1.0117
1,1492.4397,1449.3417,1449341.7000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,1094.7000,1.0947
1,1492.4501,1449.3521,1449352.1000,10,1.0-1448247-1450185,574.0000,1.0000,1,7,True,1448247.0000,1450185.0000,1105.1000,1.1051
