units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,2050.8207,2007.7227,2007722.7000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,275.7000,0.2757
1,2050.8549,2007.7569,2007756.9000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,309.9000,0.3099
1,2050.9447,2007.8467,2007846.7000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,399.7000,0.3997
1,2050.9486,2007.8506,2007850.6000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,403.6000,0.4036
1,2050.9954,2007.8974,2007897.4000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,450.4000,0.4504
1,2051.0164,2007.9184,2007918.4000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,471.4000,0.4714
1,2051.0301,2007.9321,2007932.1000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,485.1000,0.4851
1,2051.1581,2008.0601,2008060.1000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,613.1000,0.6131
1,2051.3499,2008.2519,2008251.9000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,804.9000,0.8049
1,2051.3581,2008.2601,2008260.1000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,813.1000,0.8131
1,2051.4908,2008.3928,2008392.8000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,945.8000,0.9458
1,2051.6064,2008.5084,2008508.4000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,1061.4000,1.0614
1,2051.6452,2008.5472,2008547.2000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,1100.2000,1.1002
1,2051.6968,2008.5988,2008598.8000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,1151.8000,1.1518
1,2051.7711,2008.6731,2008673.1000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,1226.1000,1.2261
1,2051.8100,2008.7120,2008712.0000,1,1.0-2007447-2008850,833.0000,1.0000,0,57,True,2007447.0000,2008850.0000,1265.0000,1.2650
