bin_10s,spike_count,firing_rate_hz
0,24,2.4
1,59,5.9
2,43,4.3
3,54,5.4
4,26,2.6
5,23,2.3
6,73,7.3
7,88,8.8
8,36,3.6
9,40,4.0
10,20,2.0
11,29,2.9
12,48,4.8
13,22,2.2
14,155,15.5
15,77,7.7
16,57,5.7
17,42,4.2
18,39,3.9
19,27,2.7
20,138,13.8
21,72,7.2
22,31,3.1
23,39,3.9
24,27,2.7
25,85,8.5
26,172,17.2
27,57,5.7
28,83,8.3
29,88,8.8
30,90,9.0
31,59,5.9
32,108,10.8
33,105,10.5
34,57,5.7
35,77,7.7
36,39,3.9
37,45,4.5
38,73,7.3
39,79,7.9
40,19,1.9
41,22,2.2
42,16,1.6
43,59,5.9
44,48,4.8
45,41,4.1
46,41,4.1
47,26,2.6
48,13,1.3
49,27,2.7
50,39,3.9
51,56,5.6
52,20,2.0
53,25,2.5
54,21,2.1
55,20,2.0
56,39,3.9
57,54,5.4
58,142,14.2
59,25,2.5
60,59,5.9
61,34,3.4
62,39,3.9
63,42,4.2
64,18,1.8
65,34,3.4
66,10,1.0
67,47,4.7
68,32,3.2
69,46,4.6
70,41,4.1
71,33,3.3
72,61,6.1
73,48,4.8
74,27,2.7
75,27,2.7
76,70,7.0
77,20,2.0
78,23,2.3
79,52,5.2
80,77,7.7
81,70,7.0
82,51,5.1
83,68,6.8
84,96,9.6
85,79,7.9
86,30,3.0
87,40,4.0
88,38,3.8
89,30,3.0
90,49,4.9
91,55,5.5
92,44,4.4
93,54,5.4
94,80,8.0
95,52,5.2
96,70,7.0
97,28,2.8
98,43,4.3
99,79,7.9
100,129,12.9
101,170,17.0
102,129,12.9
103,111,11.1
104,48,4.8
105,41,4.1
106,62,6.2
107,42,4.2
108,67,6.7
109,42,4.2
110,45,4.5
111,44,4.4
112,80,8.0
113,52,5.2
114,47,4.7
115,35,3.5
116,52,5.2
117,63,6.3
118,26,2.6
119,46,4.6
120,33,3.3
121,14,1.4
122,28,2.8
123,60,6.0
124,46,4.6
125,37,3.7
126,20,2.0
127,102,10.2
128,17,1.7
129,28,2.8
130,13,1.3
131,40,4.0
132,45,4.5
133,45,4.5
134,150,15.0
135,32,3.2
136,26,2.6
137,37,3.7
138,23,2.3
139,122,12.2
140,92,9.2
141,87,8.7
142,112,11.2
143,165,16.5
144,180,18.0
145,142,14.2
146,94,9.4
147,98,9.8
148,97,9.7
149,50,5.0
150,26,2.6
151,26,2.6
152,17,1.7
153,25,2.5
154,10,1.0
155,65,6.5
156,81,8.1
157,68,6.8
158,32,3.2
159,42,4.2
160,152,15.2
161,35,3.5
162,21,2.1
163,20,2.0
164,19,1.9
165,12,1.2
166,77,7.7
167,123,12.3
168,88,8.8
169,21,2.1
170,16,1.6
171,35,3.5
172,43,4.3
173,39,3.9
174,18,1.8
175,38,3.8
176,38,3.8
177,11,1.1
178,70,7.0
179,86,8.6
180,49,4.9
181,46,4.6
182,70,7.0
183,38,3.8
184,36,3.6
185,20,2.0
186,44,4.4
187,28,2.8
188,30,3.0
189,96,9.6
190,21,2.1
191,77,7.7
192,105,10.5
193,75,7.5
194,26,2.6
195,33,3.3
196,27,2.7
197,122,12.2
198,98,9.8
199,77,7.7
200,69,6.9
201,107,10.7
202,29,2.9
203,57,5.7
204,21,2.1
205,33,3.3
206,58,5.8
207,29,2.9
208,29,2.9
209,13,1.3
210,12,1.2
211,16,1.6
212,15,1.5
213,18,1.8
214,5,0.5
215,50,5.0
216,22,2.2
217,28,2.8
218,21,2.1
219,19,1.9
220,41,4.1
221,24,2.4
222,35,3.5
223,26,2.6
224,31,3.1
225,25,2.5
226,34,3.4
227,67,6.7
228,18,1.8
229,32,3.2
230,24,2.4
231,15,1.5
232,23,2.3
233,10,1.0
234,26,2.6
235,77,7.7
236,0,0.0
237,0,0.0
238,0,0.0
239,0,0.0
240,0,0.0
241,0,0.0
242,0,0.0
243,0,0.0
244,0,0.0
245,0,0.0
246,0,0.0
247,3,0.3
