bin_10s,spike_count,firing_rate_hz
0,26,2.6
1,17,1.7
2,27,2.7
3,16,1.6
4,20,2.0
5,18,1.8
6,27,2.7
7,26,2.6
8,26,2.6
9,21,2.1
10,25,2.5
11,23,2.3
12,30,3.0
13,17,1.7
14,23,2.3
15,20,2.0
16,20,2.0
17,19,1.9
18,25,2.5
19,13,1.3
20,15,1.5
21,28,2.8
22,26,2.6
23,21,2.1
24,25,2.5
25,30,3.0
26,25,2.5
27,26,2.6
28,19,1.9
29,21,2.1
30,20,2.0
31,21,2.1
32,15,1.5
33,19,1.9
34,25,2.5
35,15,1.5
36,19,1.9
37,18,1.8
38,11,1.1
39,23,2.3
40,26,2.6
41,23,2.3
42,23,2.3
43,23,2.3
44,25,2.5
45,20,2.0
46,22,2.2
47,28,2.8
48,33,3.3
49,23,2.3
50,36,3.6
51,27,2.7
52,30,3.0
53,25,2.5
54,26,2.6
55,21,2.1
56,15,1.5
57,16,1.6
58,19,1.9
59,16,1.6
60,25,2.5
61,26,2.6
62,28,2.8
63,23,2.3
64,22,2.2
65,35,3.5
66,21,2.1
67,40,4.0
68,29,2.9
69,15,1.5
70,31,3.1
71,32,3.2
72,24,2.4
73,31,3.1
74,17,1.7
75,22,2.2
76,24,2.4
77,18,1.8
78,27,2.7
79,19,1.9
80,29,2.9
81,19,1.9
82,27,2.7
83,25,2.5
84,18,1.8
85,26,2.6
86,31,3.1
87,21,2.1
88,33,3.3
89,14,1.4
90,17,1.7
91,27,2.7
92,14,1.4
93,15,1.5
94,32,3.2
95,15,1.5
96,21,2.1
97,26,2.6
98,23,2.3
99,16,1.6
100,19,1.9
101,31,3.1
102,16,1.6
103,13,1.3
104,24,2.4
105,12,1.2
106,14,1.4
107,20,2.0
108,21,2.1
109,28,2.8
110,31,3.1
111,37,3.7
112,19,1.9
113,9,0.9
114,24,2.4
115,24,2.4
116,21,2.1
117,15,1.5
118,20,2.0
119,20,2.0
120,29,2.9
121,31,3.1
122,15,1.5
123,16,1.6
124,23,2.3
125,16,1.6
126,22,2.2
127,11,1.1
128,14,1.4
129,26,2.6
130,36,3.6
131,19,1.9
132,16,1.6
133,24,2.4
134,20,2.0
135,20,2.0
136,24,2.4
137,11,1.1
138,20,2.0
139,28,2.8
140,36,3.6
141,23,2.3
142,11,1.1
143,18,1.8
144,22,2.2
145,11,1.1
146,26,2.6
147,15,1.5
148,17,1.7
149,33,3.3
150,20,2.0
151,15,1.5
152,21,2.1
153,22,2.2
154,17,1.7
155,20,2.0
156,24,2.4
157,15,1.5
158,18,1.8
159,15,1.5
160,25,2.5
161,25,2.5
162,13,1.3
163,18,1.8
164,21,2.1
165,13,1.3
166,9,0.9
167,22,2.2
168,7,0.7
169,29,2.9
170,35,3.5
171,18,1.8
172,20,2.0
173,17,1.7
174,17,1.7
175,20,2.0
176,15,1.5
177,20,2.0
178,14,1.4
179,21,2.1
180,16,1.6
181,14,1.4
182,13,1.3
183,23,2.3
184,13,1.3
185,31,3.1
186,18,1.8
187,35,3.5
188,11,1.1
189,14,1.4
190,21,2.1
191,22,2.2
192,20,2.0
193,21,2.1
194,26,2.6
195,27,2.7
196,17,1.7
197,55,5.5
198,9,0.9
199,10,1.0
200,12,1.2
201,20,2.0
202,21,2.1
203,25,2.5
204,29,2.9
205,45,4.5
206,62,6.2
207,94,9.4
208,94,9.4
209,90,9.0
210,95,9.5
211,81,8.1
212,62,6.2
213,81,8.1
214,86,8.6
215,67,6.7
216,40,4.0
217,49,4.9
218,46,4.6
219,52,5.2
220,54,5.4
221,71,7.1
222,46,4.6
223,45,4.5
224,47,4.7
225,39,3.9
226,36,3.6
227,32,3.2
228,26,2.6
229,41,4.1
230,30,3.0
231,28,2.8
232,27,2.7
233,27,2.7
234,30,3.0
235,30,3.0
236,3,0.3
237,0,0.0
238,0,0.0
239,0,0.0
240,0,0.0
241,0,0.0
242,0,0.0
243,0,0.0
244,0,0.0
245,0,0.0
246,0,0.0
247,25,2.5
