bin_10s,spike_count,firing_rate_hz
0,43,4.3
1,20,2.0
2,18,1.8
3,17,1.7
4,22,2.2
5,33,3.3
6,35,3.5
7,28,2.8
8,19,1.9
9,40,4.0
10,31,3.1
11,26,2.6
12,29,2.9
13,33,3.3
14,32,3.2
15,22,2.2
16,47,4.7
17,45,4.5
18,23,2.3
19,30,3.0
20,29,2.9
21,42,4.2
22,34,3.4
23,66,6.6
24,34,3.4
25,35,3.5
26,29,2.9
27,36,3.6
28,28,2.8
29,38,3.8
30,25,2.5
31,16,1.6
32,40,4.0
33,23,2.3
34,32,3.2
35,26,2.6
36,35,3.5
37,48,4.8
38,24,2.4
39,32,3.2
40,18,1.8
41,15,1.5
42,38,3.8
43,25,2.5
44,30,3.0
45,34,3.4
46,46,4.6
47,28,2.8
48,36,3.6
49,30,3.0
50,16,1.6
51,20,2.0
52,18,1.8
53,20,2.0
54,50,5.0
55,38,3.8
56,57,5.7
57,21,2.1
58,20,2.0
59,24,2.4
60,38,3.8
61,22,2.2
62,44,4.4
63,34,3.4
64,43,4.3
65,61,6.1
66,32,3.2
67,40,4.0
68,50,5.0
69,40,4.0
70,40,4.0
71,52,5.2
72,48,4.8
73,33,3.3
74,75,7.5
75,24,2.4
76,39,3.9
77,32,3.2
78,37,3.7
79,21,2.1
80,17,1.7
81,42,4.2
82,33,3.3
83,52,5.2
84,27,2.7
85,27,2.7
86,33,3.3
87,38,3.8
88,38,3.8
89,33,3.3
90,23,2.3
91,39,3.9
92,27,2.7
93,29,2.9
94,36,3.6
95,16,1.6
96,35,3.5
97,41,4.1
98,18,1.8
99,26,2.6
100,60,6.0
101,54,5.4
102,59,5.9
103,93,9.3
104,70,7.0
105,38,3.8
106,67,6.7
107,83,8.3
108,70,7.0
109,83,8.3
110,55,5.5
111,55,5.5
112,36,3.6
113,31,3.1
114,100,10.0
115,74,7.4
116,47,4.7
117,49,4.9
118,25,2.5
119,44,4.4
120,46,4.6
121,38,3.8
122,64,6.4
123,54,5.4
124,23,2.3
125,47,4.7
126,39,3.9
127,64,6.4
128,95,9.5
129,47,4.7
130,36,3.6
131,57,5.7
132,85,8.5
133,54,5.4
134,33,3.3
135,60,6.0
136,58,5.8
137,54,5.4
138,53,5.3
139,28,2.8
140,50,5.0
141,67,6.7
142,35,3.5
143,50,5.0
144,24,2.4
145,49,4.9
146,58,5.8
147,74,7.4
148,58,5.8
149,36,3.6
150,64,6.4
151,27,2.7
152,42,4.2
153,33,3.3
154,43,4.3
155,30,3.0
156,22,2.2
157,47,4.7
158,43,4.3
159,35,3.5
160,44,4.4
161,74,7.4
162,41,4.1
163,30,3.0
164,63,6.3
165,39,3.9
166,78,7.8
167,43,4.3
168,39,3.9
169,67,6.7
170,51,5.1
171,47,4.7
172,58,5.8
173,36,3.6
174,86,8.6
175,50,5.0
176,34,3.4
177,39,3.9
178,38,3.8
179,29,2.9
180,28,2.8
181,57,5.7
182,21,2.1
183,42,4.2
184,42,4.2
185,35,3.5
186,66,6.6
187,64,6.4
188,80,8.0
189,71,7.1
190,56,5.6
191,61,6.1
192,50,5.0
193,46,4.6
194,60,6.0
195,32,3.2
196,59,5.9
197,35,3.5
198,55,5.5
199,48,4.8
200,54,5.4
201,43,4.3
202,51,5.1
203,104,10.4
204,77,7.7
205,88,8.8
206,62,6.2
207,52,5.2
208,95,9.5
209,71,7.1
210,58,5.8
211,48,4.8
212,56,5.6
213,83,8.3
214,65,6.5
215,49,4.9
216,59,5.9
217,74,7.4
218,58,5.8
219,47,4.7
220,42,4.2
221,63,6.3
222,44,4.4
223,54,5.4
224,65,6.5
225,29,2.9
226,52,5.2
227,47,4.7
228,50,5.0
229,78,7.8
230,48,4.8
231,50,5.0
232,64,6.4
233,32,3.2
234,29,2.9
235,53,5.3
236,0,0.0
237,0,0.0
238,0,0.0
239,0,0.0
240,0,0.0
241,0,0.0
242,0,0.0
243,0,0.0
244,0,0.0
245,0,0.0
246,0,0.0
247,2,0.2
