units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,25.9321,2.0911,2091.0999
1,26.4012,2.5602,2560.1999
1,27.7851,3.9441,3944.0999
1,28.2080,4.3670,4366.9999
1,29.8622,6.0212,6021.1999
1,30.4896,6.6486,6648.5999
1,33.4928,9.6518,9651.7999
1,34.1009,10.2599,10259.8999
1,35.3480,11.5070,11506.9999
1,35.4044,11.5634,11563.3999
1,35.4200,11.5790,11578.9999
1,35.6417,11.8007,11800.6999
1,37.0519,13.2109,13210.8999
1,38.2890,14.4480,14447.9999
1,43.5290,19.6880,19687.9999
1,46.1480,22.3070,22306.9999
1,46.6331,22.7921,22792.0999
1,51.8049,27.9639,27963.8999
1,52.7250,28.8840,28883.9999
1,53.1828,29.3418,29341.7999
1,56.0478,32.2068,32206.7999
1,56.2389,32.3979,32397.8999
1,56.3035,32.4625,32462.4999
1,58.7105,34.8695,34869.4999
1,60.4544,36.6134,36613.3999
1,62.3283,38.4873,38487.2999
1,63.6532,39.8122,39812.1999
1,66.4818,42.6408,42640.7999
1,69.2259,45.3849,45384.8999
1,69.2722,45.4312,45431.1999
1,70.4535,46.6125,46612.4999
1,70.5125,46.6715,46671.4999
1,72.9672,49.1262,49126.1999
1,74.2495,50.4085,50408.4999
1,79.3329,55.4919,55491.8999
1,79.8262,55.9852,55985.1999
1,81.5382,57.6972,57697.1999
1,82.2222,58.3812,58381.1999
1,82.4215,58.5805,58580.4999
1,82.4812,58.6402,58640.1999
1,82.5009,58.6599,58659.8999
1,83.0220,59.1810,59180.9999
1,84.1977,60.3567,60356.6999
1,85.9897,62.1487,62148.6999
1,86.1254,62.2844,62284.3999
1,86.4127,62.5717,62571.6999
1,89.7309,65.8899,65889.8999
1,90.1865,66.3455,66345.4999
1,90.8115,66.9705,66970.4999
1,92.1507,68.3097,68309.6999
1,92.8889,69.0479,69047.8999
1,94.6781,70.8371,70837.0999
1,95.0750,71.2340,71233.9999
1,99.9560,76.1150,76114.9999
1,100.4703,76.6293,76629.2999
1,100.5145,76.6735,76673.4999
1,101.8682,78.0272,78027.1999
1,103.7327,79.8917,79891.6999
1,105.2669,81.4259,81425.8999
1,109.2484,85.4074,85407.3999
1,110.8233,86.9823,86982.2999
1,110.9037,87.0627,87062.6999
1,111.9884,88.1474,88147.3999
1,114.4357,90.5947,90594.6999
1,114.8241,90.9831,90983.0999
1,115.1523,91.3113,91311.2999
1,115.6510,91.8100,91809.9999
1,116.8535,93.0125,93012.4999
1,120.8042,96.9632,96963.1999
1,120.9820,97.1410,97140.9999
1,121.3034,97.4624,97462.3999
1,121.5490,97.7080,97707.9999
1,123.5443,99.7033,99703.2999
1,123.8660,100.0250,100024.9999
1,125.0470,101.2060,101205.9999
1,125.3499,101.5089,101508.8999
1,126.1328,102.2918,102291.7999
1,126.6878,102.8468,102846.7999
1,127.4698,103.6288,103628.7999
1,128.2559,104.4149,104414.8999
1,128.3158,104.4748,104474.7999
1,132.4445,108.6035,108603.4999
1,133.5339,109.6929,109692.8999
1,139.5750,115.7340,115733.9999
1,143.3743,119.5333,119533.2999
1,145.2299,121.3889,121388.8999
1,146.8974,123.0564,123056.3999
1,146.9345,123.0935,123093.4999
1,148.9664,125.1254,125125.3999
1,150.3578,126.5168,126516.7999
1,150.5662,126.7252,126725.1999
