units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,23.9817,0.1407,140.6999
1,24.0687,0.2277,227.6999
1,24.1166,0.2756,275.5999
1,24.1705,0.3295,329.4999
1,24.3310,0.4900,489.9999
1,24.3459,0.5049,504.8999
1,24.4152,0.5742,574.1999
1,24.4899,0.6489,648.8999
1,24.5030,0.6620,661.9999
1,24.5188,0.6778,677.7999
1,24.5212,0.6802,680.1999
1,24.5342,0.6932,693.1999
1,24.5449,0.7039,703.8999
1,24.5705,0.7295,729.4999
1,24.6238,0.7828,782.7999
1,24.6482,0.8072,807.1999
1,24.6672,0.8262,826.1999
1,24.7164,0.8754,875.3999
1,24.7833,0.9423,942.2999
1,24.8165,0.9755,975.4999
1,24.8307,0.9897,989.6999
1,24.8532,1.0122,1012.1999
1,24.8816,1.0406,1040.5999
1,24.8843,1.0433,1043.2999
1,24.8941,1.0531,1053.0999
1,24.9362,1.0952,1095.1999
1,24.9658,1.1248,1124.7999
1,25.0055,1.1645,1164.4999
1,25.0140,1.1730,1172.9999
1,25.0474,1.2064,1206.3999
1,25.1525,1.3115,1311.4999
1,25.2056,1.3646,1364.5999
1,25.2531,1.4121,1412.0999
1,25.2795,1.4385,1438.4999
1,25.4254,1.5844,1584.3999
1,25.4373,1.5963,1596.2999
1,25.5167,1.6757,1675.6999
1,25.5867,1.7457,1745.6999
1,25.6201,1.7791,1779.0999
1,25.6237,1.7827,1782.6999
1,25.6368,1.7958,1795.7999
1,25.8175,1.9765,1976.4999
1,25.8858,2.0448,2044.7999
1,25.8878,2.0468,2046.7999
1,25.9646,2.1236,2123.5999
1,25.9910,2.1500,2149.9999
1,26.0319,2.1909,2190.8999
1,26.0730,2.2320,2231.9999
1,26.0923,2.2513,2251.2999
1,26.1236,2.2826,2282.5999
1,26.1424,2.3014,2301.3999
1,26.1769,2.3359,2335.8999
1,26.2488,2.4078,2407.7999
1,26.2979,2.4569,2456.8999
1,26.3664,2.5254,2525.3999
1,26.3715,2.5305,2530.4999
1,26.4232,2.5822,2582.1999
1,26.4830,2.6420,2641.9999
1,26.5400,2.6990,2698.9999
1,26.5426,2.7016,2701.5999
1,26.5649,2.7239,2723.8999
1,26.6507,2.8097,2809.6999
1,26.6693,2.8283,2828.2999
1,26.6873,2.8463,2846.2999
1,26.7084,2.8674,2867.3999
1,26.7183,2.8773,2877.2999
1,26.7384,2.8974,2897.3999
1,26.7404,2.8994,2899.3999
1,26.7583,2.9173,2917.2999
1,26.8373,2.9963,2996.2999
1,26.8524,3.0114,3011.3999
1,26.9229,3.0819,3081.8999
1,26.9556,3.1146,3114.5999
1,27.0096,3.1686,3168.5999
1,27.0451,3.2041,3204.0999
1,27.0553,3.2143,3214.2999
1,27.1110,3.2700,3269.9999
1,27.1144,3.2734,3273.3999
1,27.1377,3.2967,3296.6999
1,27.1919,3.3509,3350.8999
1,27.2770,3.4360,3435.9999
1,27.3320,3.4910,3490.9999
1,27.3539,3.5129,3512.8999
1,27.3897,3.5487,3548.6999
1,27.4137,3.5727,3572.6999
1,27.4558,3.6148,3614.7999
1,27.5964,3.7554,3755.3999
1,27.6866,3.8456,3845.5999
1,27.7108,3.8698,3869.7999
1,27.8086,3.9676,3967.5999
1,27.8965,4.0555,4055.4999
1,27.9235,4.0825,4082.4999
1,27.9508,4.1098,4109.7999
1,28.0957,4.2547,4254.6999
1,28.1146,4.2736,4273.5999
1,28.2146,4.3736,4373.5999
1,28.2995,4.4585,4458.4999
1,28.3414,4.5004,4500.3999
1,28.5176,4.6766,4676.5999
1,28.5701,4.7291,4729.0999
1,28.5779,4.7369,4736.8999
1,28.6204,4.7794,4779.3999
1,28.6370,4.7960,4795.9999
1,28.6601,4.8191,4819.0999
1,28.7088,4.8678,4867.7999
1,28.7151,4.8741,4874.0999
1,28.7272,4.8862,4886.1999
1,28.8051,4.9641,4964.0999
1,28.8218,4.9808,4980.7999
1,28.9375,5.0965,5096.4999
1,28.9771,5.1361,5136.0999
1,29.0140,5.1730,5172.9999
1,29.0588,5.2178,5217.7999
1,29.1004,5.2594,5259.3999
1,29.1894,5.3484,5348.3999
1,29.3231,5.4821,5482.0999
1,29.3478,5.5068,5506.7999
1,29.3674,5.5264,5526.3999
1,29.4213,5.5803,5580.2999
1,29.6621,5.8211,5821.0999
1,29.6737,5.8327,5832.6999
1,29.7647,5.9237,5923.6999
1,29.7676,5.9266,5926.5999
1,29.7710,5.9300,5929.9999
1,29.7891,5.9481,5948.0999
1,29.8113,5.9703,5970.2999
1,29.8721,6.0311,6031.0999
1,29.9026,6.0616,6061.5999
1,29.9348,6.0938,6093.7999
1,29.9468,6.1058,6105.7999
1,29.9930,6.1520,6151.9999
1,30.0522,6.2112,6211.1999
1,30.0959,6.2549,6254.8999
1,30.1605,6.3195,6319.4999
1,30.1785,6.3375,6337.4999
1,30.2180,6.3770,6376.9999
1,30.2530,6.4120,6411.9999
1,30.2656,6.4246,6424.5999
1,30.2999,6.4589,6458.8999
1,30.3145,6.4735,6473.4999
1,30.3746,6.5336,6533.5999
1,30.4094,6.5684,6568.3999
1,30.4605,6.6195,6619.4999
1,30.5170,6.6760,6675.9999
1,30.6956,6.8546,6854.5999
1,30.7676,6.9266,6926.5999
1,30.8774,7.0364,7036.3999
1,30.9857,7.1447,7144.6999
1,31.0039,7.1629,7162.8999
1,31.0312,7.1902,7190.1999
1,31.1045,7.2635,7263.4999
1,31.1311,7.2901,7290.0999
1,31.2049,7.3639,7363.8999
1,31.2162,7.3752,7375.1999
1,31.2503,7.4093,7409.2999
1,31.2867,7.4457,7445.6999
1,31.3602,7.5192,7519.1999
1,31.4049,7.5639,7563.8999
1,31.4549,7.6139,7613.8999
1,31.5839,7.7429,7742.8999
1,31.6126,7.7716,7771.5999
1,31.7084,7.8674,7867.3999
1,31.7236,7.8826,7882.5999
1,31.7341,7.8931,7893.0999
1,31.7771,7.9361,7936.0999
1,31.8089,7.9679,7967.8999
1,31.8311,7.9901,7990.0999
1,31.8525,8.0115,8011.4999
1,31.8681,8.0271,8027.0999
1,31.8726,8.0316,8031.5999
1,31.8825,8.0415,8041.4999
1,31.9538,8.1128,8112.7999
1,31.9755,8.1345,8134.4999
1,31.9835,8.1425,8142.4999
1,32.0405,8.1995,8199.4999
1,32.0668,8.2258,8225.7999
1,32.1577,8.3167,8316.6999
1,32.1886,8.3476,8347.5999
1,32.2308,8.3898,8389.7999
1,32.2840,8.4430,8442.9999
1,32.3085,8.4675,8467.4999
1,32.3489,8.5079,8507.8999
1,32.3783,8.5373,8537.2999
1,32.3805,8.5395,8539.4999
1,32.3849,8.5439,8543.8999
1,32.4128,8.5718,8571.7999
1,32.4465,8.6055,8605.4999
1,32.5067,8.6657,8665.6999
1,32.5392,8.6982,8698.1999
1,32.5423,8.7013,8701.2999
1,32.5700,8.7290,8728.9999
1,32.7121,8.8711,8871.0999
1,32.7313,8.8903,8890.2999
1,32.8230,8.9820,8981.9999
1,32.9313,9.0903,9090.2999
1,32.9805,9.1395,9139.4999
1,33.0144,9.1734,9173.3999
1,33.0643,9.2233,9223.2999
1,33.0816,9.2406,9240.5999
1,33.1811,9.3401,9340.0999
1,33.2457,9.4047,9404.6999
1,33.3103,9.4693,9469.2999
1,33.3211,9.4801,9480.0999
1,33.3448,9.5038,9503.7999
1,33.3585,9.5175,9517.4999
1,33.3729,9.5319,9531.8999
1,33.4123,9.5713,9571.2999
1,33.4431,9.6021,9602.0999
1,33.5289,9.6879,9687.8999
1,33.6014,9.7604,9760.3999
1,33.6399,9.7989,9798.8999
1,33.7771,9.9361,9936.0999
1,33.8003,9.9593,9959.2999
1,33.9110,10.0700,10069.9999
1,33.9362,10.0952,10095.1999
1,33.9513,10.1103,10110.2999
1,34.0137,10.1727,10172.6999
1,34.1934,10.3524,10352.3999
1,34.2126,10.3716,10371.5999
