units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,132.6529,108.8119,108811.8999
1,132.6555,108.8145,108814.4999
1,132.6594,108.8184,108818.3999
1,197.1109,173.2699,173269.8999
1,208.1623,184.3213,184321.2999
1,233.2510,209.4100,209409.9999
1,277.5797,253.7387,253738.6999
1,311.9378,288.0968,288096.7999
1,312.0888,288.2478,288247.7999
1,323.3012,299.4602,299460.1999
1,326.2632,302.4222,302422.1999
1,371.7414,347.9004,347900.3999
1,372.0896,348.2486,348248.5999
1,373.2994,349.4584,349458.3999
1,379.8994,356.0584,356058.3999
1,380.3022,356.4612,356461.1999
1,391.1762,367.3352,367335.1999
1,417.7856,393.9446,393944.5999
1,417.8651,394.0241,394024.0999
1,494.5516,470.7106,470710.5999
1,494.7771,470.9361,470936.0999
1,563.7236,539.8826,539882.5999
1,565.5441,541.7031,541703.0999
1,572.8858,549.0448,549044.7999
1,749.5397,725.6987,725698.6999
1,749.8334,725.9924,725992.3999
1,760.7012,736.8602,736860.1999
1,788.6986,764.8576,764857.5999
1,836.4567,812.6157,812615.6999
1,909.8930,886.0520,886051.9999
1,913.1932,889.3522,889352.1999
1,942.6825,918.8415,918841.4999
1,949.1608,925.3198,925319.7999
1,954.7977,930.9567,930956.6999
1,1009.2696,985.4286,985428.5999
1,1048.3474,1024.5064,1024506.3999
1,1095.5616,1071.7206,1071720.5999
1,1107.2281,1083.3871,1083387.0999
1,1107.2348,1083.3938,1083393.7999
1,1107.8757,1084.0347,1084034.6999
1,1193.8125,1169.9715,1169971.4999
1,1305.9999,1282.1589,1282158.8999
1,1312.4794,1288.6384,1288638.3999
1,1369.3392,1345.4982,1345498.1999
1,1469.6808,1445.8398,1445839.7999
1,1503.3895,1479.5485,1479548.4999
1,1514.0599,1490.2189,1490218.8999
1,1514.1245,1490.2835,1490283.4999
1,1552.0651,1528.2241,1528224.0999
1,1606.5194,1582.6784,1582678.3999
1,1612.6365,1588.7955,1588795.4999
1,1615.1239,1591.2829,1591282.8999
1,1638.5218,1614.6808,1614680.7999
1,1639.3704,1615.5294,1615529.3999
1,1715.2789,1691.4379,1691437.8999
1,1721.0462,1697.2052,1697205.1999
1,1724.0889,1700.2479,1700247.8999
1,1787.8676,1764.0266,1764026.5999
1,1790.3808,1766.5398,1766539.7999
1,1813.3754,1789.5344,1789534.3999
1,1821.3448,1797.5038,1797503.7999
1,1824.3307,1800.4897,1800489.6999
1,1825.4607,1801.6197,1801619.6999
1,1826.6427,1802.8017,1802801.6999
1,1827.0921,1803.2511,1803251.0999
1,1830.1440,1806.3030,1806302.9999
1,1835.4041,1811.5631,1811563.0999
1,1849.2021,1825.3611,1825361.0999
1,1849.5612,1825.7202,1825720.1999
1,1850.0140,1826.1730,1826172.9999
1,1851.2442,1827.4032,1827403.1999
1,1882.1202,1858.2792,1858279.1999
1,1971.5867,1947.7457,1947745.6999
1,1971.5915,1947.7505,1947750.4999
1,1971.8092,1947.9682,1947968.1999
1,1975.6183,1951.7773,1951777.2999
1,2004.5304,1980.6894,1980689.3999
1,2015.8999,1992.0589,1992058.8999
1,2066.6387,2042.7977,2042797.6999
1,2110.7559,2086.9149,2086914.8999
1,2119.6538,2095.8128,2095812.7999
1,2119.6819,2095.8409,2095840.8999
1,2119.7014,2095.8604,2095860.3999
1,2120.8213,2096.9803,2096980.2999
1,2123.8813,2100.0403,2100040.2999
1,2154.6549,2130.8139,2130813.8999
1,2168.4324,2144.5914,2144591.3999
1,2168.7688,2144.9278,2144927.7999
1,2171.3087,2147.4677,2147467.6999
1,2172.5452,2148.7042,2148704.1999
1,2173.8034,2149.9624,2149962.3999
1,2173.8074,2149.9664,2149966.3999
1,2177.3392,2153.4982,2153498.1999
1,2177.8345,2153.9935,2153993.4999
1,2177.9350,2154.0940,2154093.9999
1,2178.1916,2154.3506,2154350.5999
1,2178.3406,2154.4996,2154499.5999
1,2178.8623,2155.0213,2155021.2999
1,2191.1786,2167.3376,2167337.5999
1,2199.6193,2175.7783,2175778.2999
1,2199.6254,2175.7844,2175784.3999
1,2211.6420,2187.8010,2187800.9999
1,2216.5307,2192.6897,2192689.6999
1,2216.7406,2192.8996,2192899.5999
1,2224.8874,2201.0464,2201046.3999
1,2226.2312,2202.3902,2202390.1999
1,2235.9321,2212.0911,2212091.0999
1,2243.7254,2219.8844,2219884.3999
1,2244.8625,2221.0215,2221021.4999
1,2251.2243,2227.3833,2227383.2999
1,2251.4931,2227.6521,2227652.0999
1,2251.5652,2227.7242,2227724.1999
1,2255.2663,2231.4253,2231425.2999
1,2261.1545,2237.3135,2237313.4999
1,2261.1905,2237.3495,2237349.4999
1,2267.7363,2243.8953,2243895.2999
1,2270.4614,2246.6204,2246620.3999
1,2272.8257,2248.9847,2248984.6999
1,2275.5643,2251.7233,2251723.2999
1,2280.0738,2256.2328,2256232.7999
1,2280.3626,2256.5216,2256521.5999
1,2280.3666,2256.5256,2256525.5999
1,2280.6237,2256.7827,2256782.6999
1,2284.0758,2260.2348,2260234.7999
1,2284.0861,2260.2451,2260245.0999
1,2284.5413,2260.7003,2260700.2999
1,2284.8179,2260.9769,2260976.8999
1,2285.4703,2261.6293,2261629.2999
1,2289.8826,2266.0416,2266041.5999
1,2291.5199,2267.6789,2267678.8999
1,2292.2458,2268.4048,2268404.7999
1,2294.0296,2270.1886,2270188.5999
1,2294.4842,2270.6432,2270643.1999
1,2299.1327,2275.2917,2275291.6999
1,2301.2535,2277.4125,2277412.4999
1,2302.7844,2278.9434,2278943.3999
1,2306.0087,2282.1677,2282167.6999
1,2307.5957,2283.7547,2283754.6999
1,2308.1896,2284.3486,2284348.5999
1,2313.7819,2289.9409,2289940.8999
1,2314.9832,2291.1422,2291142.1999
1,2315.4972,2291.6562,2291656.1999
1,2316.1224,2292.2814,2292281.3999
1,2317.3390,2293.4980,2293497.9999
1,2325.6438,2301.8028,2301802.7999
1,2326.4242,2302.5832,2302583.1999
1,2328.3003,2304.4593,2304459.2999
1,2328.3019,2304.4609,2304460.8999
1,2332.3522,2308.5112,2308511.1999
1,2332.7337,2308.8927,2308892.6999
1,2332.8712,2309.0302,2309030.1999
1,2334.2359,2310.3949,2310394.8999
1,2335.8638,2312.0228,2312022.7999
1,2342.4196,2318.5786,2318578.5999
1,2348.0824,2324.2414,2324241.3999
1,2349.4257,2325.5847,2325584.6999
1,2350.2603,2326.4193,2326419.2999
1,2351.5024,2327.6614,2327661.3999
1,2359.7740,2335.9330,2335932.9999
1,2360.0901,2336.2491,2336249.0999
1,2363.4965,2339.6555,2339655.4999
1,2365.2644,2341.4234,2341423.3999
1,2365.4526,2341.6116,2341611.5999
1,2366.6098,2342.7688,2342768.7999
1,2369.4805,2345.6395,2345639.4999
1,2371.2683,2347.4273,2347427.2999
1,2372.2921,2348.4511,2348451.0999
1,2374.1264,2350.2854,2350285.3999
1,2374.4255,2350.5845,2350584.4999
1,2375.9764,2352.1354,2352135.3999
1,2378.2434,2354.4024,2354402.3999
1,2379.1891,2355.3481,2355348.0999
1,2383.0202,2359.1792,2359179.1999
1,2384.4220,2360.5810,2360580.9999
1,2386.0950,2362.2540,2362253.9999
1,2388.6675,2364.8265,2364826.4999
1,2388.8730,2365.0320,2365031.9999
1,2389.4583,2365.6173,2365617.2999
1,2392.3127,2368.4717,2368471.6999
1,2397.2092,2373.3682,2373368.1999
1,2397.5311,2373.6901,2373690.0999
1,2398.0939,2374.2529,2374252.8999
1,2400.1466,2376.3056,2376305.5999
1,2402.5478,2378.7068,2378706.7999
1,2404.8788,2381.0378,2381037.7999
1,2408.1506,2384.3096,2384309.5999
1,2412.9089,2389.0679,2389067.8999
1,2414.8771,2391.0361,2391036.0999
1,2415.9445,2392.1035,2392103.4999
1,2425.6243,2401.7833,2401783.2999
1,2425.8739,2402.0329,2402032.8999
1,2426.4414,2402.6004,2402600.3999
1,2431.3863,2407.5453,2407545.2999
1,2435.9601,2412.1191,2412119.0999
1,2440.0011,2416.1601,2416160.0999
1,2440.6781,2416.8371,2416837.0999
1,2446.8658,2423.0248,2423024.7999
1,2447.0904,2423.2494,2423249.3999
1,2450.9569,2427.1159,2427115.8999
1,2454.3125,2430.4715,2430471.4999
1,2455.5034,2431.6624,2431662.3999
1,2456.2154,2432.3744,2432374.3999
1,2457.8294,2433.9884,2433988.3999
1,2460.6029,2436.7619,2436761.8999
1,2460.7020,2436.8610,2436860.9999
1,2460.7827,2436.9417,2436941.6999
1,2460.9616,2437.1206,2437120.5999
1,2461.8549,2438.0139,2438013.8999
1,2463.2104,2439.3694,2439369.3999
1,2465.7589,2441.9179,2441917.8999
1,2467.5593,2443.7183,2443718.2999
1,2470.5355,2446.6945,2446694.4999
1,2472.5108,2448.6698,2448669.7999
1,2473.1716,2449.3306,2449330.5999
