units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,32.5138,8.6728,8672.7999
1,34.7441,10.9031,10903.0999
1,36.7543,12.9133,12913.2999
1,41.4085,17.5675,17567.4999
1,44.3970,20.5560,20555.9999
1,46.7127,22.8717,22871.6999
1,56.5677,32.7267,32726.6999
1,56.8233,32.9823,32982.2999
1,58.3276,34.4866,34486.5999
1,59.2512,35.4102,35410.1999
1,60.3810,36.5400,36539.9999
1,64.8204,40.9794,40979.3999
1,77.1798,53.3388,53338.7999
1,77.1981,53.3571,53357.0999
1,84.9129,61.0719,61071.8999
1,89.6605,65.8195,65819.4999
1,90.8957,67.0547,67054.6999
1,91.2293,67.3883,67388.2999
1,92.1812,68.3402,68340.1999
1,95.8581,72.0171,72017.0999
1,97.1830,73.3420,73341.9999
1,100.4687,76.6277,76627.6999
1,103.0090,79.1680,79167.9999
1,103.0609,79.2199,79219.8999
1,127.8108,103.9698,103969.7999
1,132.5928,108.7518,108751.7999
1,133.0834,109.2424,109242.3999
1,144.4320,120.5910,120590.9999
1,150.4754,126.6344,126634.3999
1,152.8891,129.0481,129048.0999
1,153.3622,129.5212,129521.1999
1,177.1930,153.3520,153351.9999
1,177.9219,154.0809,154080.8999
1,179.1154,155.2744,155274.3999
1,179.5973,155.7563,155756.2999
1,185.4885,161.6475,161647.4999
1,185.5507,161.7097,161709.6999
1,188.0330,164.1920,164191.9999
1,189.4817,165.6407,165640.6999
1,193.5383,169.6973,169697.2999
1,205.1580,181.3170,181316.9999
1,215.0469,191.2059,191205.8999
1,216.0459,192.2049,192204.8999
1,216.4989,192.6579,192657.8999
1,218.3552,194.5142,194514.1999
1,220.9598,197.1188,197118.7999
1,222.3150,198.4740,198473.9999
1,226.8243,202.9833,202983.2999
1,228.0045,204.1635,204163.4999
1,233.3552,209.5142,209514.1999
1,237.5399,213.6989,213698.8999
1,252.7302,228.8892,228889.1999
1,261.4745,237.6335,237633.4999
1,262.7097,238.8687,238868.6999
1,262.7742,238.9332,238933.1999
1,265.6980,241.8570,241856.9999
1,272.8057,248.9647,248964.6999
1,273.1577,249.3167,249316.6999
1,273.5491,249.7081,249708.0999
