units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,867.5532,843.7122,843712.1999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,1087.1999,1.0872
1,867.9771,844.1361,844136.0999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,1511.0999,1.5111
1,868.3781,844.5371,844537.0999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,1912.0999,1.9121
1,160.5005,136.6595,136659.4999,2,1.0-135099-137938,79.0000,1.0000,1,2,True,135099.0000,137938.0000,1560.4999,1.5605
1,1106.0680,1082.2270,1082226.9999,3,1.0-1081762-1083766,458.0000,1.0000,1,3,True,1081762.0000,1083766.0000,464.9999,0.4650
1,1107.0170,1083.1760,1083175.9999,3,1.0-1081762-1083766,458.0000,1.0000,1,3,True,1081762.0000,1083766.0000,1413.9999,1.4140
1,1107.4177,1083.5767,1083576.6999,3,1.0-1081762-1083766,458.0000,1.0000,1,3,True,1081762.0000,1083766.0000,1814.6999,1.8147
1,1628.3912,1604.5502,1604550.1999,5,1.0-1604391-1607163,650.0000,1.0000,1,5,True,1604391.0000,1607163.0000,159.1999,0.1592
1,1628.4919,1604.6509,1604650.8999,5,1.0-1604391-1607163,650.0000,1.0000,1,5,True,1604391.0000,1607163.0000,259.8999,0.2599
1,1628.5754,1604.7344,1604734.3999,5,1.0-1604391-1607163,650.0000,1.0000,1,5,True,1604391.0000,1607163.0000,343.3999,0.3434
1,1628.6529,1604.8119,1604811.8999,5,1.0-1604391-1607163,650.0000,1.0000,1,5,True,1604391.0000,1607163.0000,420.8999,0.4209
1,1629.8617,1606.0207,1606020.6999,5,1.0-1604391-1607163,650.0000,1.0000,1,5,True,1604391.0000,1607163.0000,1629.6999,1.6297
1,1630.0177,1606.1767,1606176.6999,5,1.0-1604391-1607163,650.0000,1.0000,1,5,True,1604391.0000,1607163.0000,1785.6999,1.7857
1,1630.3328,1606.4918,1606491.7999,5,1.0-1604391-1607163,650.0000,1.0000,1,5,True,1604391.0000,1607163.0000,2100.7999,2.1008
1,1801.9734,1778.1324,1778132.3999,6,1.0-1777398-1778200,733.0000,1.0000,1,6,True,1777398.0000,1778200.0000,734.3999,0.7344
1,606.2633,582.4223,582422.2999,8,1.0-581712-582747,287.0000,1.0000,1,8,True,581712.0000,582747.0000,710.2999,0.7103
1,606.3660,582.5250,582524.9999,8,1.0-581712-582747,287.0000,1.0000,1,8,True,581712.0000,582747.0000,812.9999,0.8130
1,606.5277,582.6867,582686.6999,8,1.0-581712-582747,287.0000,1.0000,1,8,True,581712.0000,582747.0000,974.6999,0.9747
1,2437.1063,2413.2653,2413265.2999,9,1.0-2412682-2413851,990.0000,1.0000,1,9,True,2412682.0000,2413851.0000,583.2999,0.5833
1,2437.1688,2413.3278,2413327.7999,9,1.0-2412682-2413851,990.0000,1.0000,1,9,True,2412682.0000,2413851.0000,645.7999,0.6458
1,640.9208,617.0798,617079.7999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,65.7999,0.0658
1,640.9419,617.1009,617100.8999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,86.8999,0.0869
1,640.9756,617.1346,617134.5999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,120.5999,0.1206
1,641.1589,617.3179,617317.8999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,303.8999,0.3039
1,641.2018,617.3608,617360.7999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,346.7999,0.3468
1,641.6973,617.8563,617856.2999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,842.2999,0.8423
1,641.8189,617.9779,617977.8999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,963.8999,0.9639
1,642.0158,618.1748,618174.7999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,1160.7999,1.1608
1,642.0542,618.2132,618213.1999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,1199.1999,1.1992
1,642.2183,618.3773,618377.2999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,1363.2999,1.3633
1,642.4513,618.6103,618610.2999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,1596.2999,1.5963
1,642.7455,618.9045,618904.4999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,1890.4999,1.8905
1,643.1721,619.3311,619331.0999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,2317.0999,2.3171
1,643.4232,619.5822,619582.1999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,2568.1999,2.5682
1,2106.6169,2082.7759,2082775.8999,13,1.0-2082732-2084937,867.0000,1.0000,1,13,True,2082732.0000,2084937.0000,43.8999,0.0439
1,2107.6696,2083.8286,2083828.5999,13,1.0-2082732-2084937,867.0000,1.0000,1,13,True,2082732.0000,2084937.0000,1096.5999,1.0966
1,2259.5228,2235.6818,2235681.7999,14,1.0-2234331-2235733,922.0000,1.0000,1,14,True,2234331.0000,2235733.0000,1350.7999,1.3508
1,235.6188,211.7778,211777.7999,15,1.0-210147-212351,126.0000,1.0000,1,15,True,210147.0000,212351.0000,1630.7999,1.6308
1,2375.7555,2351.9145,2351914.4999,16,1.0-2351628-2352764,964.0000,1.0000,1,16,True,2351628.0000,2352764.0000,286.4999,0.2865
1,2375.9934,2352.1524,2352152.3999,16,1.0-2351628-2352764,964.0000,1.0000,1,16,True,2351628.0000,2352764.0000,524.3999,0.5244
1,933.9844,910.1434,910143.3999,17,1.0-910091-911594,394.0000,1.0000,1,17,True,910091.0000,911594.0000,52.3999,0.0524
1,934.0874,910.2464,910246.3999,17,1.0-910091-911594,394.0000,1.0000,1,17,True,910091.0000,911594.0000,155.3999,0.1554
1,934.6042,910.7632,910763.1999,17,1.0-910091-911594,394.0000,1.0000,1,17,True,910091.0000,911594.0000,672.1999,0.6722
1,1897.3209,1873.4799,1873479.8999,19,1.0-1873120-1875257,783.0000,1.0000,1,19,True,1873120.0000,1875257.0000,359.8999,0.3599
1,2083.9573,2060.1163,2060116.2999,21,1.0-2059687-2061758,857.0000,1.0000,1,21,True,2059687.0000,2061758.0000,429.2999,0.4293
1,116.8535,93.0125,93012.4999,22,1.0-92849-93584,54.0000,1.0000,1,22,True,92849.0000,93584.0000,163.4999,0.1635
1,1472.3986,1448.5576,1448557.5999,23,1.0-1448250-1450187,574.0000,1.0000,1,23,True,1448250.0000,1450187.0000,307.5999,0.3076
1,1472.8368,1448.9958,1448995.7999,23,1.0-1448250-1450187,574.0000,1.0000,1,23,True,1448250.0000,1450187.0000,745.7999,0.7458
1,1473.4088,1449.5678,1449567.7999,23,1.0-1448250-1450187,574.0000,1.0000,1,23,True,1448250.0000,1450187.0000,1317.7999,1.3178
1,1473.4688,1449.6278,1449627.7999,23,1.0-1448250-1450187,574.0000,1.0000,1,23,True,1448250.0000,1450187.0000,1377.7999,1.3778
1,1473.8366,1449.9956,1449995.5999,23,1.0-1448250-1450187,574.0000,1.0000,1,23,True,1448250.0000,1450187.0000,1745.5999,1.7456
1,1439.7293,1415.8883,1415888.2999,24,1.0-1415319-1417189,560.0000,1.0000,1,24,True,1415319.0000,1417189.0000,569.2999,0.5693
1,319.9171,296.0761,296076.0999,25,1.0-295248-298120,167.0000,1.0000,1,25,True,295248.0000,298120.0000,828.0999,0.8281
1,321.9576,298.1166,298116.5999,25,1.0-295248-298120,167.0000,1.0000,1,25,True,295248.0000,298120.0000,2868.5999,2.8686
1,2192.1406,2168.2996,2168299.5999,26,1.0-2167733-2169737,898.0000,1.0000,1,26,True,2167733.0000,2169737.0000,566.5999,0.5666
1,2192.5139,2168.6729,2168672.8999,26,1.0-2167733-2169737,898.0000,1.0000,1,26,True,2167733.0000,2169737.0000,939.8999,0.9399
1,1571.8565,1548.0155,1548015.4999,27,1.0-1547512-1548681,627.0000,1.0000,1,27,True,1547512.0000,1548681.0000,503.4999,0.5035
1,612.1544,588.3134,588313.3999,28,1.0-587189-590095,290.0000,1.0000,1,28,True,587189.0000,590095.0000,1124.3999,1.1244
1,612.3649,588.5239,588523.8999,28,1.0-587189-590095,290.0000,1.0000,1,28,True,587189.0000,590095.0000,1334.8999,1.3349
1,612.5506,588.7096,588709.5999,28,1.0-587189-590095,290.0000,1.0000,1,28,True,587189.0000,590095.0000,1520.5999,1.5206
1,612.5541,588.7131,588713.0999,28,1.0-587189-590095,290.0000,1.0000,1,28,True,587189.0000,590095.0000,1524.0999,1.5241
1,613.4071,589.5661,589566.0999,28,1.0-587189-590095,290.0000,1.0000,1,28,True,587189.0000,590095.0000,2377.0999,2.3771
1,613.4091,589.5681,589568.0999,28,1.0-587189-590095,290.0000,1.0000,1,28,True,587189.0000,590095.0000,2379.0999,2.3791
1,613.5447,589.7037,589703.6999,28,1.0-587189-590095,290.0000,1.0000,1,28,True,587189.0000,590095.0000,2514.6999,2.5147
1,613.7288,589.8878,589887.7999,28,1.0-587189-590095,290.0000,1.0000,1,28,True,587189.0000,590095.0000,2698.7999,2.6988
1,734.2323,710.3913,710391.2999,29,1.0-709630-711667,330.0000,1.0000,0,67,True,709630.0000,711667.0000,761.2999,0.7613
1,734.9431,711.1021,711102.0999,29,1.0-709630-711667,330.0000,1.0000,0,67,True,709630.0000,711667.0000,1472.0999,1.4721
1,735.3325,711.4915,711491.4999,29,1.0-709630-711667,330.0000,1.0000,0,67,True,709630.0000,711667.0000,1861.4999,1.8615
1,1582.4656,1558.6246,1558624.5999,30,1.0-1558367-1560371,634.0000,1.0000,1,29,True,1558367.0000,1560371.0000,257.5999,0.2576
1,1582.9989,1559.1579,1559157.8999,30,1.0-1558367-1560371,634.0000,1.0000,1,29,True,1558367.0000,1560371.0000,790.8999,0.7909
1,1583.1611,1559.3201,1559320.0999,30,1.0-1558367-1560371,634.0000,1.0000,1,29,True,1558367.0000,1560371.0000,953.0999,0.9531
1,1583.2013,1559.3603,1559360.2999,30,1.0-1558367-1560371,634.0000,1.0000,1,29,True,1558367.0000,1560371.0000,993.2999,0.9933
1,1583.2515,1559.4105,1559410.4999,30,1.0-1558367-1560371,634.0000,1.0000,1,29,True,1558367.0000,1560371.0000,1043.4999,1.0435
1,1583.3145,1559.4735,1559473.4999,30,1.0-1558367-1560371,634.0000,1.0000,1,29,True,1558367.0000,1560371.0000,1106.4999,1.1065
1,1583.4310,1559.5900,1559589.9999,30,1.0-1558367-1560371,634.0000,1.0000,1,29,True,1558367.0000,1560371.0000,1222.9999,1.2230
1,1583.4899,1559.6489,1559648.8999,30,1.0-1558367-1560371,634.0000,1.0000,1,29,True,1558367.0000,1560371.0000,1281.8999,1.2819
1,1583.5372,1559.6962,1559696.1999,30,1.0-1558367-1560371,634.0000,1.0000,1,29,True,1558367.0000,1560371.0000,1329.1999,1.3292
1,1583.7251,1559.8841,1559884.0999,30,1.0-1558367-1560371,634.0000,1.0000,1,29,True,1558367.0000,1560371.0000,1517.0999,1.5171
1,1583.8565,1560.0155,1560015.4999,30,1.0-1558367-1560371,634.0000,1.0000,1,29,True,1558367.0000,1560371.0000,1648.4999,1.6485
